#NTIMES: 200
#NSTAGES: 10
#TIMES[d]: 1.3135 1.3409 1.3688 1.3973 1.4263 1.4560 1.4863 1.5173 1.5488 1.5811 1.6140 1.6476 1.6819 1.7169 1.7526 1.7891 1.8263 1.8643 1.9031 1.9427 1.9831 2.0244 2.0665 2.1096 2.1535 2.1983 2.2440 2.2907 2.3384 2.3871 2.4368 2.4875 2.5392 2.5921 2.6460 2.7011 2.7573 2.8147 2.8733 2.9331 2.9941 3.0564 3.1200 3.1850 3.2513 3.3189 3.3880 3.4585 3.5305 3.6040 3.6790 3.7555 3.8337 3.9135 3.9949 4.0781 4.1629 4.2496 4.3380 4.4283 4.5205 4.6145 4.7106 4.8086 4.9087 5.0109 5.1151 5.2216 5.3303 5.4412 5.5544 5.6700 5.7880 5.9085 6.0315 6.1570 6.2851 6.4159 6.5495 6.6858 6.8249 6.9670 7.1120 7.2600 7.4111 7.5653 7.7228 7.8835 8.0476 8.2150 8.3860 8.5605 8.7387 8.9206 9.1062 9.2957 9.4892 9.6867 9.8883 10.0941 10.3042 10.5186 10.7375 10.9610 11.1891 11.4220 11.6597 11.9023 12.1501 12.4029 12.6611 12.9246 13.1935 13.4681 13.7484 14.0346 14.3266 14.6248 14.9292 15.2399 15.5570 15.8808 16.2113 16.5487 16.8931 17.2447 17.6036 17.9700 18.3440 18.7257 19.1155 19.5133 19.9194 20.3340 20.7571 21.1891 21.6301 22.0803 22.5398 23.0089 23.4878 23.9766 24.4756 24.9850 25.5050 26.0358 26.5776 27.1308 27.6954 28.2718 28.8602 29.4608 30.0740 30.6999 31.3388 31.9910 32.6568 33.3365 34.0302 34.7385 35.4615 36.1995 36.9529 37.7219 38.5070 39.3084 40.1265 40.9616 41.8141 42.6843 43.5726 44.4795 45.4052 46.3501 47.3148 48.2995 49.3047 50.3308 51.3783 52.4476 53.5391 54.6534 55.7908 56.9519 58.1372 59.3472 60.5823 61.8431 63.1302 64.4440 65.7853 67.1544 68.5520 69.9787 71.4351 72.9218 74.4394 75.9886 77.5701 79.1845
#
#TIME: 1.3135
#NVEL: 115
#vel_mid[km/s] fe0 fe1 fe2 fe3 fe4 fe5 fe6 fe7 fe8 fe9
1.5924e+04 1.0000e+00 1.8929e-08 4.3907e-39 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6356e+04 1.0000e+00 1.9363e-08 4.8478e-39 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6776e+04 1.0000e+00 1.5717e-08 2.6761e-39 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7184e+04 1.0000e+00 8.2683e-09 3.4474e-40 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7580e+04 1.0000e+00 3.2401e-09 1.5004e-41 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7990e+04 1.0000e+00 3.3580e-09 1.6872e-41 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.8458e+04 1.0000e+00 3.1307e-09 1.2102e-41 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.9085e+04 1.0000e+00 1.2577e-09 4.0217e-43 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.0000e+04 1.0000e+00 1.6173e-09 5.0166e-43 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.1194e+04 1.0000e+00 1.8970e-09 3.0969e-43 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.2528e+04 1.0000e+00 1.2750e-09 2.6625e-44 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.3943e+04 1.0000e+00 2.0393e-09 3.7835e-44 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.5446e+04 1.0000e+00 1.7281e-09 7.0065e-45 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.7044e+04 1.0000e+00 1.6603e-09 1.4013e-45 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.8744e+04 1.0000e+00 8.2317e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.0520e+04 1.0000e+00 3.6322e-09 5.6052e-45 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.2244e+04 1.0000e+00 5.9663e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.3773e+04 1.0000e+00 2.1296e-09 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.5108e+04 1.0000e+00 4.5035e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.6326e+04 1.0000e+00 1.0844e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.7486e+04 1.0000e+00 2.8426e-07 4.6039e-40 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.8628e+04 1.0000e+00 2.5633e-11 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.9769e+04 7.1045e-02 9.2896e-01 4.3297e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.0916e+04 9.9995e-01 4.8775e-05 1.5794e-33 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.2074e+04 1.0000e+00 3.8934e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.3252e+04 1.0000e+00 2.1214e-09 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.4454e+04 9.9519e-01 4.8082e-03 6.0861e-28 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.5683e+04 1.0000e+00 2.0353e-08 7.0065e-45 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.6942e+04 9.9999e-01 5.1019e-06 1.8871e-37 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.8231e+04 1.0000e+00 1.1721e-09 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.9550e+04 1.0000e+00 1.2879e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.0900e+04 1.0000e+00 1.7376e-08 1.4013e-45 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.2277e+04 1.0000e+00 1.1731e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.3682e+04 1.0000e+00 2.8885e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.5110e+04 1.0000e+00 3.4433e-11 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.6562e+04 9.8798e-01 1.2022e-02 3.2428e-28 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.8030e+04 1.0000e+00 1.1963e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.9510e+04 1.0000e+00 9.3878e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.0994e+04 1.0000e+00 5.4653e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.2466e+04 9.9998e-01 2.4611e-05 3.5282e-37 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.3912e+04 9.9999e-01 9.6679e-06 1.4436e-38 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.5312e+04 1.0000e+00 3.3702e-08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.6639e+04 9.9990e-01 1.0261e-04 1.0145e-35 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.7870e+04 1.0000e+00 2.3411e-07 5.0447e-44 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.8864e+04 1.0000e+00 4.6354e-07 3.5593e-43 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9460e+04 1.0000e+00 5.5193e-07 5.5912e-43 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9745e+04 1.0000e+00 7.9463e-07 1.6928e-42 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9888e+04 1.0000e+00 8.6187e-07 2.1132e-42 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9960e+04 1.0000e+00 7.7653e-07 1.5078e-42 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9991e+04 1.0000e+00 9.4295e-07 2.7564e-42 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
7.0000e+04 1.0000e+00 4.0221e-06 1.0106e-40 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
#
#TIME: 2.2907
#NVEL: 115
#vel_mid[km/s] fe0 fe1 fe2 fe3 fe4 fe5 fe6 fe7 fe8 fe9
4.2577e+02 6.9490e-34 3.5627e-24 1.6081e-15 2.7901e-08 2.9528e-03 7.7370e-01 2.2333e-01 1.5417e-05 1.8989e-12 2.3840e-28
8.5779e+02 1.3592e-25 1.0543e-17 7.6322e-11 2.6839e-05 8.2844e-02 9.0128e-01 1.5845e-02 1.0086e-07 1.7624e-15 1.1728e-31
8.7843e+02 2.9175e-27 3.0241e-19 3.1477e-12 2.0569e-06 1.8249e-02 8.7470e-01 1.0704e-01 7.7813e-06 2.5918e-12 1.5820e-26
9.1772e+02 9.5387e-28 1.0704e-19 1.2327e-12 9.5298e-07 1.1301e-02 8.1718e-01 1.7150e-01 2.4566e-05 1.8601e-11 4.0068e-25
9.7304e+02 8.8628e-28 9.9996e-20 1.1595e-12 9.0626e-07 1.0948e-02 8.1258e-01 1.7645e-01 2.6379e-05 2.1032e-11 4.9032e-25
1.0350e+03 8.4755e-28 9.5908e-20 1.1164e-12 8.7827e-07 1.0731e-02 8.0962e-01 1.7962e-01 2.7591e-05 2.2733e-11 5.5747e-25
1.1000e+03 7.3949e-28 8.4505e-20 9.9598e-13 7.9939e-07 1.0109e-02 8.0058e-01 1.8928e-01 3.1490e-05 2.8575e-11 8.1250e-25
1.1690e+03 5.1990e-28 6.0934e-20 7.4153e-13 6.2657e-07 8.6501e-03 7.7560e-01 2.1571e-01 4.4006e-05 5.1095e-11 2.1199e-24
1.2425e+03 1.8242e-28 2.2798e-20 3.0221e-13 2.9507e-07 5.2678e-03 6.8415e-01 3.1046e-01 1.1755e-04 2.8913e-10 3.8203e-23
1.3205e+03 2.1594e-29 2.9990e-21 4.6240e-14 5.8805e-08 1.7114e-03 4.5654e-01 5.4105e-01 6.9384e-04 7.5352e-09 9.9929e-21
1.4033e+03 1.1016e-30 1.7654e-22 3.3389e-15 5.9241e-09 3.1445e-04 2.0417e-01 7.9096e-01 4.5620e-03 3.0761e-07 6.9171e-18
1.4915e+03 5.6548e-32 1.0562e-23 2.4710e-16 6.0285e-10 5.5128e-05 8.0032e-02 8.9993e-01 1.9977e-02 6.8670e-06 1.9053e-15
1.5852e+03 4.0532e-33 8.7707e-25 2.5060e-17 8.1086e-11 1.1684e-05 3.3217e-02 9.0535e-01 6.1336e-02 8.0655e-05 1.7545e-13
1.6847e+03 2.7213e-34 6.8394e-26 2.3993e-18 1.0317e-11 2.3077e-06 1.2656e-02 8.2068e-01 1.6585e-01 8.0852e-04 1.3119e-11
1.7904e+03 1.5308e-35 4.4771e-27 1.9393e-19 1.1150e-12 3.8308e-07 4.0280e-03 6.1827e-01 3.7106e-01 6.6451e-03 7.9301e-10
1.9028e+03 6.5524e-37 2.2509e-28 1.2176e-20 9.4687e-14 4.9399e-08 9.8207e-04 3.5035e-01 6.0993e-01 3.8741e-02 3.2007e-08
2.0223e+03 2.0804e-38 8.3618e-30 5.6456e-22 5.9631e-15 4.6442e-09 1.7197e-04 1.4081e-01 7.0335e-01 1.5567e-01 8.6817e-07
2.1493e+03 4.5111e-40 2.1320e-31 1.8106e-23 2.6332e-16 3.0334e-10 2.0683e-05 3.8501e-02 5.4709e-01 4.1438e-01 1.5107e-05
2.2843e+03 8.4288e-42 4.6417e-33 4.9077e-25 9.7522e-18 1.6103e-11 1.9271e-06 7.7207e-03 2.9289e-01 6.9924e-01 1.4663e-04
2.4277e+03 2.3542e-43 1.4927e-34 1.9251e-26 5.0639e-19 1.1361e-12 2.1638e-07 1.6358e-03 1.4003e-01 8.5759e-01 7.4571e-04
2.5802e+03 1.6816e-44 1.1685e-35 1.7641e-27 5.7630e-20 1.6254e-13 4.3118e-08 5.1130e-04 7.7757e-02 9.1960e-01 2.1307e-03
2.7422e+03 5.6052e-45 3.7930e-36 6.2689e-28 2.2886e-20 7.2374e-14 2.2258e-08 3.1871e-04 6.1074e-02 9.3548e-01 3.1265e-03
2.9144e+03 8.4078e-45 6.7786e-36 1.1312e-27 4.0596e-20 1.2565e-13 3.6211e-08 4.6085e-04 7.4270e-02 9.2309e-01 2.1761e-03
3.0973e+03 1.5414e-43 1.1785e-34 1.7908e-26 5.3604e-19 1.3555e-12 2.7268e-07 2.0271e-03 1.5831e-01 8.3915e-01 5.1757e-04
3.2918e+03 5.0939e-41 3.5975e-32 4.4798e-24 9.3110e-17 1.5063e-10 1.3581e-05 3.1530e-02 5.2509e-01 4.4335e-01 1.5089e-05
3.4986e+03 4.4609e-38 2.5821e-29 2.3012e-21 2.8635e-14 2.2981e-08 6.4921e-04 3.0544e-01 6.4732e-01 4.6588e-02 3.4296e-08
3.7182e+03 2.2120e-35 8.8482e-27 4.8858e-19 3.2568e-12 1.0972e-06 8.6861e-03 7.8071e-01 2.0931e-01 1.2984e-03 2.3424e-11
3.9517e+03 1.5200e-32 4.1743e-24 1.3961e-16 4.6420e-10 5.2243e-05 8.2740e-02 9.0022e-01 1.6983e-02 4.3625e-06 6.0282e-16
4.1999e+03 9.5595e-29 2.0702e-20 4.4546e-13 5.8153e-07 9.6992e-03 8.2302e-01 1.6726e-01 1.8846e-05 9.0597e-12 6.4104e-26
4.4636e+03 4.4704e-26 7.3937e-18 1.0549e-10 5.3114e-05 1.4371e-01 8.5138e-01 4.8593e-03 5.7365e-09 1.0389e-17 1.2087e-35
4.7438e+03 1.3423e-24 1.7884e-16 1.8986e-09 5.0648e-04 4.4982e-01 5.4929e-01 3.8779e-04 3.2575e-11 2.3595e-21 1.8909e-41
5.0416e+03 5.0559e-24 6.1621e-16 5.7632e-09 1.1557e-03 6.2332e-01 3.7542e-01 1.0390e-04 2.6680e-12 4.5581e-23 3.9236e-44
5.3582e+03 6.1084e-24 7.5484e-16 7.0791e-09 1.3594e-03 6.6070e-01 3.3787e-01 7.4336e-05 1.4132e-12 1.6595e-23 8.4078e-45
5.6947e+03 7.9020e-24 9.9190e-16 9.3077e-09 1.6810e-03 7.0828e-01 2.8999e-01 4.6774e-05 5.9258e-13 4.1979e-24 1.4013e-45
6.0522e+03 1.1297e-23 1.4207e-15 1.3119e-08 2.1687e-03 7.6113e-01 2.3668e-01 2.6174e-05 2.0350e-13 7.8822e-25 0.0000e+00
6.4323e+03 2.7084e-23 3.2873e-15 2.8182e-08 3.7125e-03 8.5305e-01 1.4323e-01 6.9053e-06 1.8566e-14 1.9529e-26 0.0000e+00
6.8362e+03 8.8270e-23 1.0111e-14 7.7277e-08 7.3331e-03 9.2698e-01 6.5684e-02 9.9499e-07 6.1066e-16 1.0509e-28 0.0000e+00
7.2654e+03 4.2331e-22 4.3558e-14 2.7692e-07 1.6705e-02 9.6101e-01 2.2285e-02 7.6464e-08 7.1357e-18 1.2325e-31 0.0000e+00
7.7216e+03 2.8070e-21 2.5134e-13 1.2565e-06 4.3156e-02 9.5113e-01 5.7099e-03 3.2707e-09 3.1682e-20 3.4626e-35 0.0000e+00
8.2065e+03 4.8014e-20 3.4690e-12 1.1745e-05 1.6672e-01 8.3265e-01 6.2424e-04 2.2868e-11 6.8620e-24 1.0926e-40 0.0000e+00
8.7177e+03 2.7523e-18 1.4450e-10 2.4552e-04 7.3327e-01 2.6648e-01 5.0763e-06 1.4417e-15 9.2633e-31 0.0000e+00 0.0000e+00
9.2147e+03 2.4835e-16 8.5186e-09 4.4484e-03 9.9104e-01 4.5085e-03 1.8727e-10 1.5916e-23 3.5453e-43 0.0000e+00 0.0000e+00
9.6291e+03 6.8069e-14 1.3002e-06 1.2423e-01 8.7576e-01 1.1940e-05 1.5916e-16 3.3378e-34 0.0000e+00 0.0000e+00 0.0000e+00
9.9539e+03 5.4661e-12 6.2117e-05 8.7920e-01 1.2074e-01 1.6854e-09 1.6120e-24 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.0246e+04 1.7083e-10 8.1122e-04 9.9799e-01 1.2025e-03 4.0897e-15 4.4023e-35 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.0542e+04 5.6198e-09 9.9184e-03 9.9007e-01 9.4869e-06 5.6631e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.0840e+04 4.4641e-07 1.8619e-01 8.1381e-01 2.2687e-08 4.1341e-28 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1119e+04 1.1301e-05 8.9286e-01 1.0713e-01 3.2053e-12 2.6103e-37 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1356e+04 6.0769e-05 9.9679e-01 3.1479e-03 7.0471e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1540e+04 2.2878e-04 9.9957e-01 2.0286e-04 2.4358e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1677e+04 9.1253e-04 9.9907e-01 1.3522e-05 1.0572e-23 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1784e+04 5.8135e-03 9.9419e-01 3.1335e-07 1.9824e-28 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1876e+04 1.8987e-01 8.1013e-01 8.5304e-11 8.6318e-39 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1964e+04 9.8375e-01 1.6245e-02 2.3784e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2056e+04 9.9795e-01 2.0480e-03 1.7830e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2170e+04 9.9971e-01 2.9281e-04 2.1638e-24 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2360e+04 9.9993e-01 7.3265e-05 1.5083e-26 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2670e+04 9.9998e-01 2.1752e-05 1.7063e-28 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.3075e+04 9.9999e-01 7.5157e-06 3.3605e-30 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.3530e+04 1.0000e+00 2.2785e-06 4.5956e-32 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.4013e+04 1.0000e+00 7.3718e-07 8.8490e-34 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.4509e+04 1.0000e+00 5.2828e-07 2.7126e-34 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5002e+04 1.0000e+00 1.6736e-07 5.9910e-36 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5476e+04 1.0000e+00 5.2584e-08 1.3128e-37 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5924e+04 1.0000e+00 6.1701e-08 2.2930e-37 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6356e+04 1.0000e+00 6.6137e-08 2.9695e-37 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6776e+04 1.0000e+00 2.7650e-08 1.7514e-38 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7184e+04 1.0000e+00 1.4084e-08 2.0455e-39 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7580e+04 1.0000e+00 9.7365e-09 6.3629e-40 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7990e+04 1.0000e+00 3.5610e-09 1.9713e-41 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.8458e+04 1.0000e+00 2.5386e-09 5.5842e-42 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.9085e+04 1.0000e+00 2.0749e-09 2.1776e-42 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.0000e+04 1.0000e+00 2.2657e-09 1.5372e-42 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.1194e+04 1.0000e+00 1.7499e-09 2.2421e-43 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.2528e+04 1.0000e+00 6.6234e-09 6.9602e-42 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.3943e+04 1.0000e+00 1.1694e-09 5.6052e-45 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.5446e+04 1.0000e+00 4.4515e-09 1.4574e-43 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.7044e+04 1.0000e+00 1.5440e-09 1.4013e-45 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.8744e+04 1.0000e+00 5.0283e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.0520e+04 1.0000e+00 4.5011e-09 9.8091e-45 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.2244e+04 1.0000e+00 3.4327e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.3773e+04 1.0000e+00 2.2310e-09 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.5108e+04 1.0000e+00 1.3109e-08 7.9874e-44 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.6326e+04 9.9999e-01 5.2769e-06 8.1883e-36 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.7486e+04 1.0000e+00 3.5557e-11 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.8628e+04 1.0000e+00 4.7780e-06 2.3661e-36 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.9769e+04 5.0185e-01 4.9815e-01 8.2570e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.0916e+04 1.0000e+00 2.9217e-06 2.1623e-37 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.2074e+04 9.9981e-01 1.8589e-04 5.8484e-32 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.3252e+04 1.0000e+00 2.0583e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.4454e+04 9.9972e-01 2.7679e-04 8.6354e-32 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.5683e+04 1.0000e+00 1.2164e-11 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.6942e+04 1.0000e+00 7.5967e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.8231e+04 1.0000e+00 1.0080e-11 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
