#NTIMES: 108
#NSTAGES: 9
#TIMES[d]: 2.037028e+00 2.112455e+00 2.190675e+00 2.271792e+00 2.355913e+00 2.443148e+00 2.533613e+00 2.627428e+00 2.724717e+00 2.825608e+00 2.930235e+00 3.038736e+00 3.151255e+00 3.267940e+00 3.388946e+00 3.514432e+00 3.644565e+00 3.779516e+00 3.919465e+00 4.064595e+00 4.215100e+00 4.371177e+00 4.533034e+00 4.700883e+00 4.874948e+00 5.055458e+00 5.242653e+00 5.436778e+00 5.638092e+00 5.846861e+00 6.063359e+00 6.287873e+00 6.520702e+00 6.762152e+00 7.012541e+00 7.272203e+00 7.541479e+00 7.820726e+00 8.110313e+00 8.410623e+00 8.722052e+00 9.045013e+00 9.379933e+00 9.727255e+00 1.008744e+01 1.046096e+01 1.084831e+01 1.125000e+01 1.166656e+01 1.209856e+01 1.254655e+01 1.301112e+01 1.349289e+01 1.399251e+01 1.451063e+01 1.504793e+01 1.560513e+01 1.618296e+01 1.678218e+01 1.740360e+01 1.804802e+01 1.871630e+01 1.940933e+01 2.012802e+01 2.087333e+01 2.164623e+01 2.244774e+01 2.327894e+01 2.414092e+01 2.503481e+01 2.596181e+01 2.692312e+01 2.792004e+01 2.895387e+01 3.002597e+01 3.113778e+01 3.229075e+01 3.348642e+01 3.472636e+01 3.601222e+01 3.734568e+01 3.872852e+01 4.016256e+01 4.164970e+01 4.319192e+01 4.479123e+01 4.644977e+01 4.816972e+01 4.995336e+01 5.180304e+01 5.372120e+01 5.571040e+01 5.777325e+01 5.991249e+01 6.213094e+01 6.443153e+01 6.681731e+01 6.929144e+01 7.185717e+01 7.451791e+01 7.727716e+01 8.013859e+01 8.310597e+01 8.618323e+01 8.937444e+01 9.268381e+01 9.611572e+01 9.967470e+01 
#
#TIME: 2.037028e+00 
#NVEL: 115
#vel_mid[km/s] co0 co1 co2 co3 co4 co5 co6 co7 co8
3.860572e+03 4.675054e-29 9.961374e-21 2.433745e-13 2.977092e-07 5.829668e-03 6.757887e-01 3.180848e-01 2.965773e-04 3.237447e-10 
4.104562e+03 1.030504e-25 2.103267e-17 3.111015e-10 1.124777e-04 2.230049e-01 7.736904e-01 3.192285e-03 6.599124e-09 3.673404e-18 
4.363973e+03 1.833419e-22 2.409636e-14 1.408531e-07 8.788770e-03 9.429012e-01 4.830913e-02 7.915713e-07 1.478376e-15 1.536580e-28 
4.639779e+03 1.163743e-20 1.090500e-12 3.312190e-06 6.111683e-02 9.358769e-01 3.002944e-03 1.326504e-09 2.587903e-20 1.025396e-35 
4.933016e+03 6.840142e-20 5.560555e-12 1.270178e-05 1.354856e-01 8.637208e-01 7.809240e-04 6.651967e-11 1.608892e-22 5.005441e-39 
5.244785e+03 1.121681e-19 9.033539e-12 1.922882e-05 1.732597e-01 8.262384e-01 4.827235e-04 2.293437e-11 2.643963e-23 3.264893e-40 
5.576259e+03 1.187189e-19 9.879107e-12 2.130580e-05 1.865582e-01 8.130124e-01 4.080962e-04 1.558185e-11 1.346187e-23 1.155389e-40 
5.928682e+03 1.690746e-19 1.407064e-11 2.916253e-05 2.235416e-01 7.761546e-01 2.746044e-04 6.581428e-12 3.086463e-24 1.248202e-41 
6.303378e+03 3.113121e-19 2.570586e-11 4.869903e-05 2.996863e-01 7.001293e-01 1.356339e-04 1.472597e-12 2.467245e-25 2.816018e-43 
6.701756e+03 8.839481e-19 7.000498e-11 1.114207e-04 4.589731e-01 5.408773e-01 3.817049e-05 1.072483e-13 3.245264e-27 4.435194e-46 
7.125310e+03 2.811165e-18 2.047868e-10 2.606378e-04 6.571796e-01 3.425525e-01 7.279241e-06 4.207439e-15 1.694146e-29 1.954783e-49 
7.575635e+03 9.839476e-18 6.520698e-10 6.263609e-04 8.413804e-01 1.579925e-01 7.385450e-07 5.819548e-17 1.860385e-32 9.535644e-54 
8.054419e+03 5.272044e-17 3.024148e-09 1.869473e-03 9.606117e-01 3.751884e-02 1.698051e-08 6.242359e-20 4.042978e-37 1.717457e-60 
8.563463e+03 1.304080e-15 5.311468e-08 1.320871e-02 9.850562e-01 1.735042e-03 7.947612e-12 7.108076e-26 2.244361e-46 8.227458e-74 
9.105475e+03 1.028309e-12 1.827161e-05 5.368170e-01 4.631640e-01 7.549431e-07 9.348264e-20 9.773185e-40 9.362428e-68 2.096277e-104 
9.611971e+03 4.330749e-09 7.358440e-03 9.926229e-01 1.862605e-05 2.284182e-18 3.234648e-42 2.912716e-76 4.867302e-122 2.042734e-180 
1.001075e+04 5.773265e-05 9.941325e-01 5.809747e-03 2.334843e-16 1.632566e-42 5.499651e-87 1.842337e-147 1.313349e-226 0.000000e+00 
1.035413e+04 7.286498e-02 9.271350e-01 8.331157e-10 8.383390e-37 8.069992e-84 8.305040e-161 5.641160e-263 0.000000e+00 0.000000e+00 
