#NTIMES:    67
#NSTAGES:     4
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           sc0           sc1           sc2           sc3
    2.248295E+04   1.0000E-099   9.8756E-001   1.2439E-002   3.7509E-016
    2.340334E+04   1.0000E-099   9.8814E-001   1.1857E-002   3.8478E-016
    2.427003E+04   1.0000E-099   9.8404E-001   1.5958E-002   8.3172E-016
    2.528269E+04   1.0000E-099   9.8147E-001   1.8534E-002   1.1469E-015
    2.627013E+04   1.0000E-099   9.8242E-001   1.7583E-002   1.0304E-015
    2.723040E+04   1.0000E-099   9.7364E-001   2.6355E-002   2.4021E-015
    2.827004E+04   1.0000E-099   9.6805E-001   3.1954E-002   3.4311E-015
    2.934273E+04   1.0000E-099   9.5619E-001   4.3809E-002   6.4715E-015
    3.052012E+04   1.0000E-099   9.4154E-001   5.8462E-002   1.1427E-014
    3.176086E+04   1.0000E-099   9.2863E-001   7.1368E-002   1.7222E-014
    3.295538E+04   1.0000E-099   9.2451E-001   7.5494E-002   1.9631E-014
    3.403161E+04   1.0000E-099   9.1919E-001   8.0810E-002   2.3753E-014
    3.500379E+04   1.0000E-099   9.0726E-001   9.2743E-002   3.3775E-014
    3.593430E+04   1.0000E-099   8.9111E-001   1.0889E-001   5.0164E-014
    3.686142E+04   1.0000E-099   8.7357E-001   1.2643E-001   7.1980E-014
    3.781660E+04   1.0000E-099   8.5793E-001   1.4207E-001   9.6067E-014
    3.881204E+04   1.0000E-099   8.4852E-001   1.5148E-001   1.1566E-013
    3.984228E+04   1.0000E-099   8.4464E-001   1.5536E-001   1.3081E-013
    4.090108E+04   1.0000E-099   8.4463E-001   1.5537E-001   1.4328E-013
    4.198933E+04   1.0000E-099   8.4756E-001   1.5244E-001   1.5331E-013
    4.310952E+04   1.0000E-099   8.5225E-001   1.4775E-001   1.6095E-013
    4.426353E+04   1.0000E-099   8.5759E-001   1.4241E-001   1.6655E-013
    4.545322E+04   1.0000E-099   8.6172E-001   1.3828E-001   1.7244E-013
    4.667980E+04   1.0000E-099   8.6291E-001   1.3709E-001   1.8188E-013
    4.794258E+04   1.0000E-099   8.6004E-001   1.3996E-001   1.9750E-013
    4.924062E+04   1.0000E-099   8.5258E-001   1.4742E-001   2.2109E-013
    5.057272E+04   1.0000E-099   8.4064E-001   1.5936E-001   2.5378E-013
    5.193717E+04   1.0000E-099   8.2634E-001   1.7366E-001   2.9278E-013
    5.333235E+04   1.0000E-099   8.1159E-001   1.8841E-001   3.3368E-013
    5.475676E+04   1.0000E-099   7.9770E-001   2.0230E-001   3.7215E-013
    5.620758E+04   1.0000E-099   7.8752E-001   2.1248E-001   4.0078E-013
    5.768166E+04   1.0000E-099   7.8360E-001   2.1640E-001   4.1303E-013
    5.917412E+04   1.0000E-099   7.8482E-001   2.1518E-001   4.1086E-013
    6.067730E+04   1.0000E-099   7.8874E-001   2.1126E-001   3.9947E-013
    6.217708E+04   1.0000E-099   7.9560E-001   2.0440E-001   3.7895E-013
    6.366086E+04   1.0000E-099   8.0611E-001   1.9389E-001   3.4919E-013
    6.510379E+04   1.0000E-099   8.1854E-001   1.8146E-001   3.1459E-013
    6.648389E+04   1.0000E-099   8.2966E-001   1.7034E-001   2.8264E-013
    6.776932E+04   1.0000E-099   8.4051E-001   1.5949E-001   2.5137E-013
    6.895129E+04   1.0000E-099   8.5083E-001   1.4917E-001   2.1798E-013
    6.949055E+04   1.0000E-099   8.6090E-001   1.3910E-001   1.8339E-013
    6.976176E+04   1.0000E-099   8.6706E-001   1.3294E-001   1.5651E-013
    6.989776E+04   1.0000E-099   8.7204E-001   1.2796E-001   1.3079E-013
    6.996586E+04   1.0000E-099   8.7572E-001   1.2428E-001   1.1005E-013
    6.999823E+04   1.0000E-099   8.7809E-001   1.2191E-001   9.5240E-014
    6.999993E+04   1.0000E-099   8.7839E-001   1.2161E-001   9.3518E-014
#TIME:     0.605
#NVEL: 115
#vel_mid[km/s]           sc0           sc1           sc2           sc3
    8.484664E+02   1.0000E-099   6.7479E-013   4.3941E-006   1.0000E+000
    8.543246E+02   1.0000E-099   6.7479E-013   4.3941E-006   1.0000E+000
    8.721432E+02   1.0000E-099   6.7479E-013   4.3941E-006   1.0000E+000
    9.089031E+02   1.0000E-099   6.7480E-013   4.3941E-006   1.0000E+000
    9.682894E+02   1.0000E-099   6.7483E-013   4.3942E-006   1.0000E+000
    1.029084E+03   1.0000E-099   6.7502E-013   4.3947E-006   1.0000E+000
    1.093701E+03   1.0000E-099   6.7447E-013   4.3923E-006   1.0000E+000
    1.162375E+03   1.0000E-099   6.7160E-013   4.3824E-006   1.0000E+000
    1.235362E+03   1.0000E-099   6.6330E-013   4.3627E-006   1.0000E+000
    1.312931E+03   1.0000E-099   6.3082E-013   4.3119E-006   1.0000E+000
    1.395371E+03   1.0000E-099   4.1777E-013   3.7026E-006   1.0000E+000
    1.482988E+03   1.0000E-099   2.9742E-013   3.2809E-006   1.0000E+000
