#NTIMES: 50
#NSTAGES: 4
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL: 115
#vel_mid[km/s] ca0 ca1 ca2 ca3
30520.16 2.1155e-10 4.2140e-05 1.6105e-01 8.3891e-01
32243.50 1.3173e-10 3.4495e-05 1.2079e-01 8.7917e-01
33773.01 9.4164e-11 3.1707e-05 1.0083e-01 8.9914e-01
35108.48 4.5384e-11 2.3037e-05 7.6760e-02 9.2322e-01
36326.30 2.0246e-11 1.4645e-05 5.2795e-02 9.4719e-01
37486.70 5.7488e-12 5.5381e-06 3.7302e-02 9.6269e-01
38628.25 9.0662e-13 1.1951e-06 7.4237e-03 9.9258e-01
39768.62 3.3573e-13 6.3637e-07 3.0165e-03 9.9698e-01
40915.31 3.1508e-13 8.1525e-07 2.1689e-03 9.9783e-01
42074.51 1.3068e-13 4.2690e-07 2.6941e-03 9.9731e-01
43252.44 5.0176e-14 2.3517e-07 8.9741e-03 9.9103e-01
44454.05 1.3207e-14 9.0623e-08 6.7266e-03 9.9327e-01
45683.04 5.4255e-15 4.8752e-08 5.0121e-03 9.9499e-01
46941.68 3.9606e-15 5.0492e-08 3.7254e-03 9.9627e-01
48230.81 1.8890e-15 3.4512e-08 2.7596e-03 9.9724e-01
49550.29 1.9201e-14 2.0881e-08 2.0216e-03 9.9798e-01
50899.37 4.4414e-16 1.2347e-08 1.5182e-03 9.9848e-01
52276.86 1.2019e-16 4.5232e-09 1.1337e-03 9.9887e-01
53681.16 5.2652e-17 2.4504e-09 8.4600e-04 9.9915e-01
55110.21 2.8392e-17 1.6425e-09 6.3199e-04 9.9937e-01
56561.17 9.6094e-18 7.3910e-10 4.7257e-04 9.9953e-01
58030.00 3.2829e-18 3.2486e-10 3.5572e-04 9.9964e-01
59510.42 2.5432e-18 3.1359e-10 2.6853e-04 9.9973e-01
60993.45 3.0351e-18 4.5426e-10 2.0286e-04 9.9980e-01
62466.44 1.2698e-18 2.5994e-10 1.5557e-04 9.9984e-01
63912.69 1.9752e-16 1.3412e-10 1.2072e-04 9.9988e-01
65311.62 2.8959e-19 8.1257e-11 9.5010e-05 9.9990e-01
66639.26 1.6810e-19 6.0900e-11 7.6199e-05 9.9992e-01
67870.77 1.1791e-19 4.6194e-11 6.2270e-05 9.9994e-01
68864.47 5.3056e-16 3.4305e-11 5.1740e-05 9.9995e-01
69459.55 4.1903e-20 3.0550e-11 4.8014e-05 9.9995e-01
69744.99 3.4131e-20 2.8104e-11 4.6226e-05 9.9995e-01
69888.26 3.2278e-20 2.7323e-11 4.5366e-05 9.9995e-01
69959.62 3.0649e-20 2.6929e-11 4.4932e-05 9.9996e-01
69991.15 3.2091e-20 2.7357e-11 4.4745e-05 9.9996e-01
69999.53 3.0711e-20 2.7395e-11 4.4765e-05 9.9996e-01
#TIME: 202.03
#NVEL: 115
#vel_mid[km/s] ca0 ca1 ca2 ca3
425.78 1.0047e-06 1.6500e-02 9.1493e-01 6.8568e-02
857.79 3.0305e-07 4.2172e-03 9.1606e-01 7.9724e-02
878.44 8.2339e-08 1.1107e-03 9.1007e-01 8.8821e-02
917.72 7.8086e-08 1.1267e-03 9.0964e-01 8.9233e-02
973.04 9.6852e-07 1.4976e-02 9.1396e-01 7.1066e-02
1034.98 7.2934e-07 8.1297e-03 9.2096e-01 7.0910e-02
1099.97 3.1436e-07 3.3787e-03 9.3016e-01 6.6457e-02
1169.04 6.5716e-08 7.5171e-04 9.0403e-01 9.5218e-02
1242.44 6.9222e-08 7.9223e-04 9.0460e-01 9.4609e-02
1320.45 1.1641e-07 1.0846e-03 9.1201e-01 8.6909e-02
1403.37 9.2802e-07 7.6911e-03 9.2716e-01 6.5150e-02
1491.49 1.6420e-06 1.2153e-02 9.2458e-01 6.3260e-02
1585.14 1.6593e-06 1.2701e-02 9.2410e-01 6.3195e-02
1684.67 2.3087e-06 1.6882e-02 9.2097e-01 6.2146e-02
1790.45 1.2477e-06 1.0274e-02 9.2660e-01 6.3125e-02
1902.87 7.1364e-07 9.0462e-03 9.2419e-01 6.6767e-02
2022.36 5.5035e-07 1.3536e-02 9.1733e-01 6.9136e-02
2149.34 9.6374e-08 1.7569e-03 9.3009e-01 6.8153e-02
2284.30 8.6492e-08 1.5780e-03 9.2518e-01 7.3239e-02
2427.74 6.2526e-08 1.3196e-03 9.2009e-01 7.8591e-02
2580.18 5.6640e-08 1.3997e-03 9.1378e-01 8.4824e-02
2742.19 5.2694e-08 1.4128e-03 9.0625e-01 9.2335e-02
2914.37 6.4860e-08 1.8010e-03 8.9880e-01 9.9403e-02
3097.37 8.3550e-08 2.3277e-03 8.9027e-01 1.0740e-01
3291.85 1.2171e-07 3.4729e-03 8.7055e-01 1.2597e-01
3498.55 3.2586e-07 7.8928e-03 8.6225e-01 1.2986e-01
3718.23 5.9299e-06 7.8003e-02 8.2370e-01 9.8287e-02
3951.70 2.1327e-05 1.5396e-01 7.6790e-01 7.8123e-02
4199.83 1.7265e-05 1.4127e-01 7.5710e-01 1.0161e-01
4463.54 1.5703e-05 1.2322e-01 7.7052e-01 1.0625e-01
4743.81 1.6524e-05 1.0934e-01 7.9335e-01 9.7292e-02
5041.68 2.0049e-05 1.0096e-01 8.1065e-01 8.8366e-02
5358.25 2.4278e-05 9.5708e-02 8.2260e-01 8.1673e-02
5694.70 3.1094e-05 9.7013e-02 8.2192e-01 8.1040e-02
6052.28 3.7683e-05 9.4273e-02 8.2910e-01 7.6586e-02
6432.31 5.0563e-05 9.6292e-02 8.2830e-01 7.5361e-02
6836.20 6.1806e-05 9.3895e-02 8.3017e-01 7.5874e-02
7265.45 8.1526e-05 9.5556e-02 8.3299e-01 7.1377e-02
7721.65 1.1266e-04 1.0054e-01 8.2829e-01 7.1055e-02
8206.56 1.5309e-04 9.9079e-02 8.3263e-01 6.8138e-02
8717.73 1.9992e-04 1.0522e-01 8.2696e-01 6.7619e-02
9214.74 2.6706e-04 1.1417e-01 8.2022e-01 6.5344e-02
9629.11 3.6886e-04 1.3501e-01 8.0170e-01 6.2928e-02
9954.11 3.9140e-04 1.4276e-01 7.9115e-01 6.5697e-02
10245.64 4.3565e-04 1.6752e-01 7.5851e-01 7.3531e-02
10541.49 6.0219e-04 2.0463e-01 7.1620e-01 7.8565e-02
10839.94 6.8065e-04 2.3002e-01 6.9760e-01 7.1701e-02
11119.11 6.8344e-04 2.5208e-01 6.8726e-01 5.9974e-02
11355.83 7.4322e-04 2.5346e-01 6.9891e-01 4.6889e-02
11539.81 7.8177e-04 2.7069e-01 6.9348e-01 3.5046e-02
11677.16 6.7699e-04 2.6263e-01 7.0672e-01 2.9965e-02
11784.05 6.3787e-04 2.6053e-01 7.1220e-01 2.6626e-02
11875.85 4.9586e-04 2.5217e-01 7.2097e-01 2.6367e-02
11963.37 5.0116e-04 2.7869e-01 6.9194e-01 2.8861e-02
12055.39 4.3718e-04 2.7729e-01 6.8858e-01 3.3687e-02
12170.41 3.6638e-04 3.4070e-01 6.1372e-01 4.5208e-02
12360.89 1.4743e-04 1.8868e-01 7.4084e-01 7.0333e-02
12670.46 1.5591e-05 2.9774e-02 8.5258e-01 1.1763e-01
13075.34 5.9913e-06 1.5582e-02 8.4480e-01 1.3961e-01
13530.52 5.5096e-06 1.8286e-02 7.9161e-01 1.9010e-01
