#NTIMES: 128
#NSTAGES: 9
#TIMES[d]: 2.037028e+00 2.112455e+00 2.190675e+00 2.271792e+00 2.355913e+00 2.443148e+00 2.533613e+00 2.627428e+00 2.724717e+00 2.825608e+00 2.930235e+00 3.038736e+00 3.151255e+00 3.267940e+00 3.388946e+00 3.514432e+00 3.644565e+00 3.779516e+00 3.919465e+00 4.064595e+00 4.215100e+00 4.371177e+00 4.533034e+00 4.700883e+00 4.874948e+00 5.055458e+00 5.242653e+00 5.436778e+00 5.638092e+00 5.846861e+00 6.063359e+00 6.287873e+00 6.520702e+00 6.762152e+00 7.012541e+00 7.272203e+00 7.541479e+00 7.820726e+00 8.110313e+00 8.410623e+00 8.722052e+00 9.045013e+00 9.379933e+00 9.727255e+00 1.008744e+01 1.046096e+01 1.084831e+01 1.125000e+01 1.166656e+01 1.209856e+01 1.254655e+01 1.301112e+01 1.349289e+01 1.399251e+01 1.451063e+01 1.504793e+01 1.560513e+01 1.618296e+01 1.678218e+01 1.740360e+01 1.804802e+01 1.871630e+01 1.940933e+01 2.012802e+01 2.087333e+01 2.164623e+01 2.244774e+01 2.327894e+01 2.414092e+01 2.503481e+01 2.596181e+01 2.692312e+01 2.792004e+01 2.895387e+01 3.002597e+01 3.113778e+01 3.229075e+01 3.348642e+01 3.472636e+01 3.601222e+01 3.734568e+01 3.872852e+01 4.016256e+01 4.164970e+01 4.319192e+01 4.479123e+01 4.644977e+01 4.816972e+01 4.995336e+01 5.180304e+01 5.372120e+01 5.571040e+01 5.777325e+01 5.991249e+01 6.213094e+01 6.443153e+01 6.681731e+01 6.929144e+01 7.185717e+01 7.451791e+01 7.727716e+01 8.013859e+01 8.310597e+01 8.618323e+01 8.937444e+01 9.268381e+01 9.611572e+01 9.967470e+01 1.033655e+02 1.071929e+02 1.111621e+02 1.152782e+02 1.195467e+02 1.239733e+02 1.285638e+02 1.333243e+02 1.382611e+02 1.433806e+02 1.486897e+02 1.541954e+02 1.599050e+02 1.658260e+02 1.719662e+02 1.783338e+02 1.849372e+02 1.917850e+02 1.988865e+02 2.062509e+02 
#
#TIME: 2.037028e+00 
#NVEL: 115
#vel_mid[km/s] temp[K] ne[/cm^3] cr0 cr1 cr2 cr3 cr4 cr5 cr6 cr7 cr8
2.672762e+03 8.669479e+04 4.624058e+13 2.049393e-40 1.732067e-31 1.375076e-23 2.485715e-16 3.622797e-10 2.855928e-05 6.650610e-02 7.761249e-01 1.573405e-01 
2.841682e+03 8.520897e+04 4.269968e+13 7.307774e-41 6.819337e-32 5.992750e-24 1.221093e-16 2.028894e-10 1.848547e-05 5.128592e-02 7.514421e-01 1.972535e-01 
3.021278e+03 8.078053e+04 3.753985e+13 2.244218e-40 2.187402e-31 1.962981e-23 3.863464e-16 5.852012e-10 4.460028e-05 9.232543e-02 7.982598e-01 1.093701e-01 
3.212225e+03 7.379445e+04 2.966421e+13 2.085496e-38 1.940670e-29 1.559294e-21 2.264114e-14 2.066185e-08 6.999927e-04 4.566849e-01 5.358565e-01 6.758551e-03 
3.415240e+03 6.601306e+04 2.448419e+13 1.314196e-35 9.616066e-27 5.521225e-19 4.215042e-12 1.410356e-06 1.089821e-02 9.535932e-01 3.549931e-02 7.869147e-06 
3.631085e+03 6.012772e+04 2.628402e+13 2.918529e-32 1.288178e-23 3.975238e-16 1.177476e-09 9.983382e-05 1.167412e-01 8.826035e-01 5.555269e-04 1.127156e-09 
3.860572e+03 5.655824e+04 2.508909e+13 4.551735e-28 1.102727e-19 1.546584e-12 1.202061e-06 1.295107e-02 8.399335e-01 1.471141e-01 1.408272e-07 1.634601e-16 
4.104562e+03 4.683278e+04 1.159091e+13 9.132608e-24 1.630454e-15 1.145446e-08 1.504043e-03 6.449582e-01 3.534371e-01 1.006135e-04 8.384457e-16 1.297656e-30 
4.363973e+03 4.048415e+04 8.523331e+12 2.311034e-19 1.761197e-11 2.949647e-05 2.119164e-01 7.875272e-01 5.269273e-04 2.239441e-11 3.321933e-29 8.505293e-52 
4.639779e+03 3.728897e+04 6.880220e+12 5.737811e-17 2.419185e-09 1.310392e-03 9.201175e-01 7.857183e-02 2.543246e-07 9.899017e-18 6.228885e-41 1.013163e-69 
4.933016e+03 3.587871e+04 6.237756e+12 4.788784e-16 1.522232e-08 4.626845e-03 9.832045e-01 1.216860e-02 2.591033e-09 2.799241e-21 3.169389e-47 3.516402e-79 
5.244785e+03 3.500361e+04 5.847586e+12 8.812218e-16 2.637073e-08 6.768487e-03 9.867047e-01 6.526755e-03 5.647731e-10 1.863531e-22 2.483244e-49 2.351390e-82 
5.576259e+03 3.399704e+04 5.469480e+12 7.456082e-16 2.367361e-08 6.460463e-03 9.867693e-01 6.770211e-03 5.973716e-10 1.997876e-22 2.588610e-49 2.345236e-82 
