#NTIMES: 200
#NSTAGES: 10
#TIMES[d]: 1.3135 1.3409 1.3688 1.3973 1.4263 1.4560 1.4863 1.5173 1.5488 1.5811 1.6140 1.6476 1.6819 1.7169 1.7526 1.7891 1.8263 1.8643 1.9031 1.9427 1.9831 2.0244 2.0665 2.1096 2.1535 2.1983 2.2440 2.2907 2.3384 2.3871 2.4368 2.4875 2.5392 2.5921 2.6460 2.7011 2.7573 2.8147 2.8733 2.9331 2.9941 3.0564 3.1200 3.1850 3.2513 3.3189 3.3880 3.4585 3.5305 3.6040 3.6790 3.7555 3.8337 3.9135 3.9949 4.0781 4.1629 4.2496 4.3380 4.4283 4.5205 4.6145 4.7106 4.8086 4.9087 5.0109 5.1151 5.2216 5.3303 5.4412 5.5544 5.6700 5.7880 5.9085 6.0315 6.1570 6.2851 6.4159 6.5495 6.6858 6.8249 6.9670 7.1120 7.2600 7.4111 7.5653 7.7228 7.8835 8.0476 8.2150 8.3860 8.5605 8.7387 8.9206 9.1062 9.2957 9.4892 9.6867 9.8883 10.0941 10.3042 10.5186 10.7375 10.9610 11.1891 11.4220 11.6597 11.9023 12.1501 12.4029 12.6611 12.9246 13.1935 13.4681 13.7484 14.0346 14.3266 14.6248 14.9292 15.2399 15.5570 15.8808 16.2113 16.5487 16.8931 17.2447 17.6036 17.9700 18.3440 18.7257 19.1155 19.5133 19.9194 20.3340 20.7571 21.1891 21.6301 22.0803 22.5398 23.0089 23.4878 23.9766 24.4756 24.9850 25.5050 26.0358 26.5776 27.1308 27.6954 28.2718 28.8602 29.4608 30.0740 30.6999 31.3388 31.9910 32.6568 33.3365 34.0302 34.7385 35.4615 36.1995 36.9529 37.7219 38.5070 39.3084 40.1265 40.9616 41.8141 42.6843 43.5726 44.4795 45.4052 46.3501 47.3148 48.2995 49.3047 50.3308 51.3783 52.4476 53.5391 54.6534 55.7908 56.9519 58.1372 59.3472 60.5823 61.8431 63.1302 64.4440 65.7853 67.1544 68.5520 69.9787 71.4351 72.9218 74.4394 75.9886 77.5701 79.1845
#
#TIME: 1.3135
#NVEL: 115
#vel_mid[km/s] mn0 mn1 mn2 mn3 mn4 mn5 mn6 mn7 mn8 mn9
1.0246e+04 3.0099e-10 1.5705e-03 9.9839e-01 3.6703e-05 5.0784e-18 1.3159e-40 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.0542e+04 1.0688e-08 1.8600e-02 9.8140e-01 1.4090e-07 3.9922e-24 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.0840e+04 6.6000e-07 2.8138e-01 7.1861e-01 1.2785e-10 1.3740e-31 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1119e+04 1.2434e-05 9.4771e-01 5.2278e-02 1.5920e-15 2.9722e-42 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1356e+04 3.4854e-05 9.9456e-01 5.4024e-03 7.6175e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1540e+04 9.6657e-05 9.9919e-01 7.1049e-04 1.2853e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1677e+04 2.9419e-04 9.9963e-01 8.0783e-05 1.4847e-24 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1784e+04 9.2022e-04 9.9907e-01 7.8765e-06 9.6199e-28 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1876e+04 4.1123e-03 9.9589e-01 3.3341e-07 4.1167e-32 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1964e+04 2.6253e-02 9.7375e-01 4.7350e-09 4.3401e-38 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2056e+04 1.5102e-01 8.4898e-01 3.7425e-11 5.6052e-45 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2170e+04 4.5747e-01 5.4253e-01 4.3206e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2360e+04 8.3432e-01 1.6568e-01 9.0404e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2670e+04 9.7167e-01 2.8325e-02 8.9349e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.3075e+04 9.9500e-01 5.0046e-03 1.8257e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.3530e+04 9.9846e-01 1.5384e-03 2.3382e-23 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.4013e+04 9.9950e-01 4.9760e-04 3.2209e-25 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.4509e+04 9.9974e-01 2.6172e-04 2.5230e-26 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5002e+04 9.9985e-01 1.5019e-04 2.9889e-27 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5476e+04 9.9997e-01 3.3863e-05 1.6181e-29 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5924e+04 9.9994e-01 5.6541e-05 8.5808e-29 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6356e+04 9.9997e-01 3.3821e-05 1.4710e-29 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6776e+04 1.0000e+00 4.3438e-06 1.8121e-32 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7184e+04 1.0000e+00 2.3340e-06 2.6402e-33 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7580e+04 1.0000e+00 3.4243e-06 1.0999e-32 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7990e+04 1.0000e+00 1.1463e-06 2.5533e-34 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.8458e+04 1.0000e+00 5.0529e-07 1.3112e-35 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.9085e+04 9.9999e-01 1.3464e-05 6.8656e-31 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.0000e+04 1.0000e+00 9.9273e-07 4.8943e-35 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.1194e+04 1.0000e+00 7.8671e-07 6.4463e-36 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.2528e+04 9.9999e-01 7.1005e-06 2.2968e-33 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.3943e+04 1.0000e+00 1.1396e-06 1.2515e-36 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.5446e+04 1.0000e+00 9.1530e-07 1.3920e-37 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.7044e+04 9.9963e-01 3.7195e-04 9.5773e-30 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.8744e+04 1.0000e+00 2.2837e-07 1.3977e-40 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.0520e+04 9.9993e-01 6.7871e-05 6.4022e-33 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.2244e+04 1.0000e+00 1.4582e-07 9.1351e-42 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.3773e+04 1.0000e+00 2.3054e-07 2.7467e-41 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.5108e+04 1.0000e+00 9.8354e-08 1.0846e-42 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.6326e+04 1.0000e+00 1.3681e-08 1.4013e-45 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.7486e+04 1.0000e+00 1.9997e-08 1.4013e-45 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.8628e+04 9.9999e-01 7.1058e-06 2.0985e-37 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.9769e+04 3.6308e-01 6.3692e-01 2.2401e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.0916e+04 9.9690e-01 3.0978e-03 2.9415e-29 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.2074e+04 9.9979e-01 2.0594e-04 3.6444e-33 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.3252e+04 4.0286e-01 5.9714e-01 3.4831e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.4454e+04 9.9794e-01 2.0632e-03 2.2034e-30 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.5683e+04 8.1460e-01 1.8540e-01 3.7531e-24 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.6942e+04 1.0000e+00 2.9687e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.8231e+04 1.0000e+00 2.6219e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.9550e+04 1.0000e+00 4.5992e-09 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.0900e+04 1.0000e+00 5.4794e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.2277e+04 1.0000e+00 6.0696e-07 6.7543e-43 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.3682e+04 1.0000e+00 6.0818e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.5110e+04 1.0000e+00 1.5643e-09 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.6562e+04 1.0000e+00 1.5316e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.8030e+04 1.0000e+00 8.2044e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.9510e+04 1.0000e+00 1.5228e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.0994e+04 1.0000e+00 8.8479e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.2466e+04 1.0000e+00 8.1204e-09 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.3912e+04 1.0000e+00 5.2843e-11 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.5312e+04 1.0000e+00 4.2365e-11 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.6639e+04 1.0000e+00 4.9713e-11 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.7870e+04 1.0000e+00 1.8162e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.8864e+04 1.0000e+00 2.6663e-11 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9460e+04 1.0000e+00 4.9510e-11 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9745e+04 1.0000e+00 6.0106e-11 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9888e+04 1.0000e+00 3.1717e-11 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9960e+04 1.0000e+00 2.3177e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9991e+04 1.0000e+00 4.5952e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
7.0000e+04 1.0000e+00 2.0273e-08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
#
#TIME: 2.8733
#NVEL: 115
#vel_mid[km/s] mn0 mn1 mn2 mn3 mn4 mn5 mn6 mn7 mn8 mn9
4.2577e+02 4.3794e-31 5.3163e-21 2.2084e-12 1.1427e-05 1.2471e-01 8.7451e-01 7.7557e-04 5.6064e-10 1.1827e-25 0.0000e+00
8.5779e+02 3.2638e-24 7.0832e-16 6.1184e-09 9.7898e-04 5.8764e-01 4.1131e-01 6.8996e-05 1.8495e-11 1.1655e-26 0.0000e+00
8.7843e+02 4.3237e-26 1.2833e-17 1.7760e-10 6.4645e-05 1.5977e-01 8.3817e-01 1.9981e-03 1.4866e-08 2.0892e-21 1.0475e-38
9.1772e+02 6.6337e-27 2.2577e-18 3.8168e-11 1.9036e-05 8.0868e-02 9.1316e-01 5.9515e-03 1.5518e-07 1.6626e-19 8.3798e-36
9.7304e+02 4.9332e-27 1.7169e-18 2.9977e-11 1.5698e-05 7.2482e-02 9.2051e-01 6.9964e-03 2.2087e-07 3.2232e-19 2.3071e-35
1.0350e+03 4.5475e-27 1.5921e-18 2.8041e-11 1.4880e-05 7.0304e-02 9.2236e-01 7.3162e-03 2.4358e-07 3.8742e-19 3.0580e-35
1.1000e+03 3.9892e-27 1.4109e-18 2.5212e-11 1.3670e-05 6.6988e-02 9.2515e-01 7.8471e-03 2.8394e-07 5.1648e-19 4.7474e-35
1.1690e+03 2.9076e-27 1.0543e-18 1.9515e-11 1.1144e-05 5.9616e-02 9.3110e-01 9.2721e-03 4.0944e-07 1.0263e-18 1.3574e-34
1.2425e+03 1.0104e-27 3.9468e-19 8.1698e-12 5.5201e-06 3.9685e-02 9.4396e-01 1.6344e-02 1.4384e-06 1.1042e-17 5.2077e-33
1.3205e+03 1.3488e-28 5.9702e-20 1.5145e-12 1.3879e-06 1.7478e-02 9.3509e-01 4.7411e-02 1.6011e-05 1.1079e-15 6.3675e-30
1.4033e+03 9.5856e-30 4.9567e-21 1.6393e-13 2.1802e-07 5.5494e-03 8.2931e-01 1.6483e-01 3.0753e-04 3.5062e-13 4.8725e-26
1.4915e+03 8.1555e-31 4.8203e-22 2.0225e-14 3.6616e-08 1.6893e-03 6.0674e-01 3.8844e-01 3.1238e-03 3.9250e-11 8.3349e-23
1.5852e+03 8.1006e-32 5.4412e-23 2.8414e-15 6.6768e-09 5.0194e-04 3.6956e-01 6.1382e-01 1.6118e-02 1.4004e-09 2.6644e-20
1.6847e+03 5.6831e-33 4.4377e-24 2.9689e-16 9.2072e-10 1.1398e-04 1.7423e-01 7.6004e-01 6.5610e-02 3.9394e-08 6.6796e-18
1.7904e+03 2.7323e-34 2.5400e-25 2.2450e-17 9.3786e-11 1.9348e-05 6.2433e-02 7.2819e-01 2.0936e-01 8.7704e-07 1.3329e-15
1.9028e+03 9.7367e-36 1.0903e-26 1.2923e-18 7.3218e-12 2.4866e-06 1.6694e-02 5.1030e-01 4.7299e-01 1.3019e-05 1.6501e-13
2.0223e+03 2.7285e-37 3.6075e-28 5.6680e-20 4.2878e-13 2.3273e-07 3.1904e-03 2.5263e-01 7.4405e-01 1.3377e-04 1.4055e-11
2.1493e+03 6.8873e-39 1.0681e-29 2.2156e-21 2.2270e-14 1.8715e-08 5.0747e-04 1.0060e-01 8.9791e-01 9.8087e-04 7.8546e-10
2.2843e+03 1.8432e-40 3.3424e-31 9.1182e-23 1.2164e-15 1.5319e-09 7.9089e-05 3.7574e-02 9.5659e-01 5.7525e-03 3.1316e-08
2.4277e+03 8.2719e-42 1.7289e-32 6.0095e-24 1.0340e-16 1.8194e-10 1.6049e-05 1.5838e-02 9.6058e-01 2.3564e-02 6.2034e-07
2.5802e+03 8.7861e-43 2.0561e-33 8.5722e-25 1.7898e-17 3.9916e-11 5.1210e-06 8.4262e-03 9.3168e-01 5.9886e-02 4.6273e-06
2.7422e+03 2.9848e-43 7.5346e-34 3.4784e-25 8.0828e-18 2.0341e-11 3.0974e-06 6.3656e-03 9.0771e-01 8.5910e-02 1.0185e-05
2.9144e+03 4.2880e-43 1.1167e-33 5.1712e-25 1.1989e-17 2.9662e-11 4.2074e-06 7.6283e-03 9.2740e-01 6.4967e-02 5.4560e-06
3.0973e+03 4.6327e-42 1.1664e-32 4.7181e-24 9.4027e-17 1.8687e-10 1.7376e-05 1.6899e-02 9.6454e-01 1.8541e-02 3.6107e-07
3.2918e+03 7.3788e-40 1.7129e-30 5.1866e-22 7.5988e-15 9.0339e-09 3.2909e-04 8.3405e-02 9.1520e-01 1.0636e-03 8.6456e-10
3.4986e+03 6.7769e-37 1.2729e-27 2.4501e-19 2.2481e-12 1.1694e-06 1.1212e-02 4.5706e-01 5.3171e-01 1.4885e-05 1.7890e-13
3.7182e+03 3.7951e-34 4.8272e-25 5.2088e-17 2.5991e-10 5.0665e-05 1.1917e-01 7.8155e-01 9.9225e-02 8.1437e-08 1.8410e-17
3.9517e+03 2.0670e-31 1.8113e-22 1.0797e-14 2.7065e-08 1.5426e-03 6.1142e-01 3.8433e-01 2.7033e-03 2.0441e-11 2.2943e-23
4.1999e+03 5.7108e-28 3.8103e-19 1.2074e-11 1.0422e-05 6.5301e-02 9.2825e-01 6.4358e-03 1.4989e-07 8.3017e-20 1.7804e-36
4.4636e+03 2.5793e-25 1.3039e-16 2.4414e-09 7.0485e-04 5.7991e-01 4.1933e-01 5.3669e-05 7.9804e-12 1.0379e-27 0.0000e+00
4.7438e+03 6.7815e-24 2.6333e-15 3.2759e-08 4.2300e-03 9.0061e-01 9.5154e-02 9.6306e-07 5.9249e-15 4.2921e-33 0.0000e+00
5.0416e+03 3.0960e-23 1.0534e-14 1.0641e-07 9.0140e-03 9.5368e-01 3.7311e-02 1.0189e-07 1.2105e-16 6.0188e-36 0.0000e+00
5.3582e+03 4.7150e-23 1.5822e-14 1.5310e-07 1.1442e-02 9.6181e-01 2.6743e-02 4.6034e-08 3.0360e-17 5.6599e-37 0.0000e+00
5.6947e+03 6.6241e-23 2.2282e-14 2.1008e-07 1.4125e-02 9.6624e-01 1.9639e-02 2.2015e-08 8.3677e-18 6.1627e-38 0.0000e+00
6.0522e+03 1.0243e-22 3.4055e-14 3.0734e-07 1.8087e-02 9.6825e-01 1.3663e-02 9.3469e-09 1.8914e-18 4.8635e-39 0.0000e+00
6.4323e+03 2.5092e-22 7.9571e-14 6.4550e-07 2.8954e-02 9.6424e-01 6.8038e-03 1.8393e-09 1.1465e-19 4.2063e-41 0.0000e+00
6.8362e+03 9.5809e-22 2.8000e-13 1.9168e-06 5.7021e-02 9.4058e-01 2.3982e-03 1.6673e-10 1.8647e-21 4.0638e-44 0.0000e+00
7.2654e+03 5.4626e-21 1.4019e-12 7.5285e-06 1.2996e-01 8.6942e-01 6.0890e-04 7.6363e-12 9.8736e-24 0.0000e+00 0.0000e+00
7.7216e+03 4.2118e-20 9.1707e-12 3.6139e-05 3.1465e-01 6.8522e-01 9.6716e-05 1.4567e-13 1.3081e-26 0.0000e+00 0.0000e+00
8.2065e+03 4.9871e-19 8.7346e-11 2.2063e-04 7.0399e-01 2.9578e-01 3.9679e-06 2.6432e-16 4.6769e-31 0.0000e+00 0.0000e+00
8.7177e+03 1.1152e-17 1.4386e-09 1.7340e-03 9.7476e-01 2.3508e-02 5.1864e-09 1.4707e-21 2.6608e-39 0.0000e+00 0.0000e+00
9.2147e+03 1.6603e-15 1.1277e-07 3.3838e-02 9.6596e-01 2.0590e-04 5.5805e-14 2.2963e-30 0.0000e+00 0.0000e+00 0.0000e+00
9.6291e+03 4.0326e-13 1.3399e-05 6.6057e-01 3.3942e-01 1.2314e-07 3.8179e-21 9.6269e-43 0.0000e+00 0.0000e+00 0.0000e+00
9.9539e+03 1.6148e-11 2.0232e-04 9.9641e-01 3.3910e-03 5.0489e-13 2.5340e-31 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.0246e+04 3.7069e-10 1.8530e-03 9.9812e-01 2.3842e-05 1.6551e-18 1.5836e-41 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.0542e+04 1.2428e-08 2.1025e-02 9.7898e-01 9.9926e-08 1.6373e-24 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.0840e+04 7.5943e-07 3.1239e-01 6.8761e-01 8.1515e-11 4.5735e-32 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1119e+04 1.1587e-05 9.4321e-01 5.6779e-02 1.9825e-15 4.4491e-42 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1356e+04 3.1576e-05 9.9364e-01 6.3314e-03 1.2060e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1540e+04 8.2837e-05 9.9899e-01 9.2227e-04 2.7640e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1677e+04 2.6111e-04 9.9964e-01 9.7041e-05 2.4777e-24 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1784e+04 7.4172e-04 9.9925e-01 1.1590e-05 3.0600e-27 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1876e+04 2.5467e-03 9.9745e-01 8.5716e-07 7.6773e-31 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1964e+04 1.2685e-02 9.8731e-01 2.3958e-08 7.5995e-36 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2056e+04 6.7354e-02 9.3265e-01 3.1631e-10 4.8037e-42 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2170e+04 2.9629e-01 7.0371e-01 2.9482e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2360e+04 7.3110e-01 2.6890e-01 7.2238e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2670e+04 9.3825e-01 6.1754e-02 1.3403e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.3075e+04 9.8847e-01 1.1525e-02 2.9487e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.3530e+04 9.9718e-01 2.8202e-03 1.8393e-22 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.4013e+04 9.9934e-01 6.5912e-04 8.3290e-25 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.4509e+04 9.9967e-01 3.2766e-04 5.3228e-26 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5002e+04 9.9987e-01 1.2635e-04 1.5312e-27 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5476e+04 9.9992e-01 7.8885e-05 2.7551e-28 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5924e+04 9.9996e-01 3.6607e-05 1.8704e-29 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6356e+04 9.9999e-01 1.3021e-05 5.8670e-31 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6776e+04 9.9994e-01 5.5685e-05 7.8008e-29 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7184e+04 9.9997e-01 2.9688e-05 1.1760e-29 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7580e+04 9.9999e-01 6.3927e-06 8.4905e-32 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7990e+04 9.9999e-01 6.4999e-06 8.9370e-32 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.8458e+04 9.9998e-01 2.1407e-05 3.9859e-30 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.9085e+04 1.0000e+00 8.5264e-07 5.8811e-35 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.0000e+04 1.0000e+00 1.8758e-06 4.0795e-34 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.1194e+04 1.0000e+00 6.2927e-07 2.8318e-36 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
