#NTIMES: 50
#NSTAGES: 3
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL: 115
#vel_mid[km/s] co0 co1 co2
59510.42 2.3614e-09 9.0727e-05 9.9991e-01
60993.45 1.3462e-09 6.8774e-05 9.9993e-01
62466.44 8.0186e-10 5.2536e-05 9.9995e-01
63912.69 4.7727e-10 4.0626e-05 9.9996e-01
65311.62 2.9036e-10 3.1841e-05 9.9997e-01
66639.26 1.8593e-10 2.5442e-05 9.9997e-01
67870.77 1.2285e-10 2.0739e-05 9.9998e-01
68864.47 8.4330e-11 1.7199e-05 9.9998e-01
69459.55 7.2432e-11 1.5947e-05 9.9998e-01
69744.99 6.6991e-11 1.5336e-05 9.9998e-01
69888.26 6.4443e-11 1.5050e-05 9.9998e-01
69959.62 6.3207e-11 1.4903e-05 9.9999e-01
69991.15 6.2602e-11 1.4833e-05 9.9999e-01
69999.53 6.2624e-11 1.4838e-05 9.9999e-01
#TIME: 202.03
#NVEL: 115
#vel_mid[km/s] co0 co1 co2
425.78 3.7563e-01 4.7056e-01 1.5381e-01
857.79 3.2421e-01 5.2988e-01 1.4590e-01
878.44 3.2619e-01 5.0923e-01 1.6458e-01
917.72 3.5234e-01 4.8418e-01 1.6348e-01
973.04 3.5230e-01 4.8808e-01 1.5962e-01
1034.98 3.3520e-01 5.0709e-01 1.5771e-01
1099.97 4.0205e-01 4.5256e-01 1.4539e-01
1169.04 2.9635e-01 5.2845e-01 1.7520e-01
1242.44 2.9097e-01 5.3618e-01 1.7285e-01
1320.45 3.3278e-01 5.0339e-01 1.6383e-01
1403.37 3.9155e-01 4.6379e-01 1.4465e-01
1491.49 3.7791e-01 4.8044e-01 1.4165e-01
1585.14 3.9341e-01 4.6646e-01 1.4013e-01
1684.67 3.9275e-01 4.6829e-01 1.3896e-01
1790.45 3.8698e-01 4.7222e-01 1.4079e-01
1902.87 3.7967e-01 4.7225e-01 1.4808e-01
2022.36 3.8496e-01 4.6174e-01 1.5330e-01
2149.34 3.2701e-01 5.2031e-01 1.5268e-01
2284.30 2.9079e-01 5.4586e-01 1.6335e-01
2427.74 2.5663e-01 5.6776e-01 1.7561e-01
2580.18 2.3664e-01 5.7495e-01 1.8840e-01
2742.19 2.0906e-01 5.9247e-01 1.9846e-01
2914.37 1.9314e-01 6.0103e-01 2.0583e-01
3097.37 1.7511e-01 6.1893e-01 2.0596e-01
3291.85 1.3266e-01 6.6058e-01 2.0676e-01
3498.55 1.2856e-01 6.8139e-01 1.9004e-01
3718.23 1.8006e-01 6.7188e-01 1.4806e-01
3951.70 2.1855e-01 6.5336e-01 1.2809e-01
4199.83 1.4163e-01 6.9881e-01 1.5956e-01
4463.54 1.2557e-01 6.9327e-01 1.8116e-01
4743.81 1.4231e-01 6.7032e-01 1.8737e-01
5041.68 1.6327e-01 6.5145e-01 1.8528e-01
5358.25 1.8453e-01 6.3251e-01 1.8296e-01
5694.70 1.7204e-01 6.4494e-01 1.8302e-01
6052.28 1.8866e-01 6.3350e-01 1.7783e-01
6432.31 1.8487e-01 6.3669e-01 1.7844e-01
6836.20 1.9570e-01 6.2706e-01 1.7724e-01
7265.45 2.0766e-01 6.2199e-01 1.7035e-01
7721.65 2.1728e-01 6.1590e-01 1.6683e-01
8206.56 2.2632e-01 6.1263e-01 1.6105e-01
8717.73 2.3738e-01 6.0696e-01 1.5566e-01
9214.74 2.3903e-01 6.1673e-01 1.4424e-01
9629.11 2.3711e-01 6.3315e-01 1.2974e-01
9954.11 2.5613e-01 6.1649e-01 1.2738e-01
10245.64 2.2160e-01 6.5253e-01 1.2587e-01
10541.49 1.8805e-01 6.9600e-01 1.1595e-01
10839.94 2.1853e-01 6.8099e-01 1.0048e-01
11119.11 2.3556e-01 6.7914e-01 8.5298e-02
11355.83 3.0487e-01 6.2458e-01 7.0544e-02
11539.81 3.8573e-01 5.6125e-01 5.3024e-02
11677.16 4.7202e-01 4.8279e-01 4.5198e-02
11784.05 4.9748e-01 4.6074e-01 4.1778e-02
11875.85 5.2876e-01 4.2867e-01 4.2567e-02
11963.37 4.6823e-01 4.8633e-01 4.5442e-02
12055.39 4.3371e-01 5.1556e-01 5.0727e-02
12170.41 2.9079e-01 6.4803e-01 6.1184e-02
12360.89 2.1560e-01 7.1824e-01 6.6161e-02
12670.46 1.3501e-01 7.8376e-01 8.1231e-02
13075.34 9.3906e-02 8.0960e-01 9.6495e-02
13530.52 5.3469e-02 8.3602e-01 1.1051e-01
14012.75 3.6759e-02 8.2964e-01 1.3360e-01
14508.81 3.4894e-02 8.1852e-01 1.4658e-01
15002.30 5.5196e-02 7.8073e-01 1.6407e-01
15475.29 4.1788e-02 7.9119e-01 1.6702e-01
15923.68 8.6661e-02 7.3483e-01 1.7851e-01
16355.64 5.7944e-02 7.4756e-01 1.9449e-01
16776.27 4.4295e-02 7.7405e-01 1.8165e-01
17183.14 9.7080e-02 7.2989e-01 1.7303e-01
17580.45 6.1401e-02 7.6751e-01 1.7109e-01
17990.34 7.9805e-02 7.2361e-01 1.9658e-01
18458.06 3.6488e-02 7.5269e-01 2.1082e-01
19084.69 5.6319e-02 6.9744e-01 2.4624e-01
19999.79 1.5906e-02 6.7092e-01 3.1317e-01
21193.46 9.7417e-02 4.6008e-01 4.4250e-01
22528.72 5.1812e-02 3.8079e-01 5.6740e-01
23943.32 2.8172e-02 3.0811e-01 6.6372e-01
25446.74 4.3814e-03 2.6532e-01 7.3030e-01
27044.57 7.0904e-04 2.1076e-01 7.8853e-01
28744.18 5.1393e-04 1.3290e-01 8.6658e-01
30520.16 5.7030e-05 7.7328e-02 9.2261e-01
32243.50 6.5888e-05 5.1600e-02 9.4833e-01
33773.01 1.9612e-04 4.1555e-02 9.5825e-01
35108.48 1.5052e-05 3.0757e-02 9.6923e-01
36326.30 2.4785e-06 2.1515e-02 9.7848e-01
37486.70 7.8423e-07 1.5012e-02 9.8499e-01
38628.25 8.9508e-06 1.0800e-02 9.8919e-01
39768.62 3.9049e-06 7.9360e-03 9.9206e-01
40915.31 1.8822e-06 6.1334e-03 9.9386e-01
42074.51 1.3690e-06 4.5385e-03 9.9546e-01
43252.44 4.5116e-07 3.3538e-03 9.9665e-01
44454.05 1.8680e-07 2.4812e-03 9.9752e-01
45683.04 3.3916e-07 1.8309e-03 9.9817e-01
46941.68 1.9917e-07 1.3506e-03 9.9865e-01
48230.81 1.5461e-07 9.9576e-04 9.9900e-01
49550.29 1.1356e-07 7.3432e-04 9.9927e-01
50899.37 8.2093e-08 5.4215e-04 9.9946e-01
52276.86 4.7564e-08 4.0074e-04 9.9960e-01
53681.16 2.5496e-08 2.9683e-04 9.9970e-01
55110.21 1.3913e-08 2.2044e-04 9.9978e-01
56561.17 1.7152e-10 1.6432e-04 9.9984e-01
58030.00 7.4954e-11 1.2301e-04 9.9988e-01
59510.42 8.3110e-11 9.2486e-05 9.9991e-01
60993.45 1.3667e-09 7.0052e-05 9.9993e-01
62466.44 8.2566e-10 5.3503e-05 9.9995e-01
63912.69 4.9394e-10 4.1379e-05 9.9996e-01
65311.62 3.0034e-10 3.2415e-05 9.9997e-01
66639.26 1.9182e-10 2.5880e-05 9.9997e-01
67870.77 1.2643e-10 2.1062e-05 9.9998e-01
68864.47 8.6889e-11 1.7478e-05 9.9998e-01
69459.55 7.4635e-11 1.6207e-05 9.9998e-01
69744.99 6.9053e-11 1.5591e-05 9.9998e-01
69888.26 6.6394e-11 1.5294e-05 9.9998e-01
69959.62 6.5116e-11 1.5147e-05 9.9998e-01
69991.15 6.4501e-11 1.5073e-05 9.9998e-01
69999.53 6.4505e-11 1.5077e-05 9.9998e-01
#TIME: 204.93
#NVEL: 115
#vel_mid[km/s] co0 co1 co2
425.78 3.4595e-01 4.9902e-01 1.5503e-01
857.79 3.4333e-01 5.0486e-01 1.5181e-01
878.44 3.9655e-01 4.5097e-01 1.5248e-01
917.72 3.7386e-01 4.7482e-01 1.5133e-01
973.04 2.9953e-01 5.4035e-01 1.6013e-01
1034.98 3.4549e-01 4.9792e-01 1.5659e-01
1099.97 3.3314e-01 4.9449e-01 1.7237e-01
1169.04 3.4286e-01 4.9948e-01 1.5766e-01
1242.44 3.9615e-01 4.5013e-01 1.5372e-01
1320.45 3.9031e-01 4.5806e-01 1.5163e-01
1403.37 3.8512e-01 4.7221e-01 1.4267e-01
1491.49 3.9652e-01 4.6656e-01 1.3692e-01
1585.14 3.9467e-01 4.6670e-01 1.3863e-01
1684.67 3.9130e-01 4.7326e-01 1.3544e-01
1790.45 3.8347e-01 4.7736e-01 1.3917e-01
1902.87 3.6688e-01 4.8681e-01 1.4631e-01
2022.36 3.6569e-01 4.8079e-01 1.5352e-01
2149.34 3.0945e-01 5.3728e-01 1.5326e-01
2284.30 2.8359e-01 5.5243e-01 1.6399e-01
2427.74 2.5909e-01 5.6513e-01 1.7578e-01
2580.18 2.3829e-01 5.7410e-01 1.8761e-01
2742.19 2.0566e-01 5.9473e-01 1.9961e-01
2914.37 1.8539e-01 6.0816e-01 2.0646e-01
3097.37 1.7162e-01 6.2156e-01 2.0682e-01
3291.85 1.3402e-01 6.5911e-01 2.0687e-01
3498.55 1.2798e-01 6.8112e-01 1.9090e-01
3718.23 1.7769e-01 6.7434e-01 1.4797e-01
3951.70 2.1842e-01 6.5390e-01 1.2768e-01
4199.83 1.4732e-01 6.9302e-01 1.5966e-01
4463.54 1.2969e-01 6.8839e-01 1.8192e-01
4743.81 1.4670e-01 6.6496e-01 1.8834e-01
5041.68 1.5755e-01 6.5657e-01 1.8588e-01
5358.25 1.7525e-01 6.4197e-01 1.8279e-01
5694.70 1.7772e-01 6.3858e-01 1.8371e-01
6052.28 1.7125e-01 6.4431e-01 1.8444e-01
6432.31 1.8912e-01 6.3273e-01 1.7815e-01
6836.20 1.9979e-01 6.2571e-01 1.7451e-01
7265.45 2.0381e-01 6.1906e-01 1.7713e-01
7721.65 2.1926e-01 6.1447e-01 1.6628e-01
8206.56 2.1193e-01 6.2139e-01 1.6668e-01
8717.73 2.2769e-01 6.1385e-01 1.5846e-01
9214.74 2.4502e-01 6.1175e-01 1.4324e-01
9629.11 2.5469e-01 6.1344e-01 1.3188e-01
9954.11 2.3085e-01 6.3889e-01 1.3026e-01
10245.64 2.3180e-01 6.4322e-01 1.2498e-01
10541.49 1.9133e-01 6.9009e-01 1.1857e-01
10839.94 2.5457e-01 6.4718e-01 9.8251e-02
11119.11 2.6276e-01 6.5340e-01 8.3836e-02
11355.83 3.1313e-01 6.1772e-01 6.9145e-02
11539.81 3.9669e-01 5.5001e-01 5.3299e-02
11677.16 4.8005e-01 4.7500e-01 4.4956e-02
11784.05 5.0295e-01 4.5308e-01 4.3971e-02
11875.85 5.1439e-01 4.4309e-01 4.2520e-02
