#NTIMES: 50
#NSTAGES 4
#TIMES[d]: 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 78
#vel_mid[km/s] o0 o1 o2 o3
12061.10 2.0779e-03 5.6036e-01 4.0287e-01 3.4688e-02
12793.43 2.3651e-03 5.7918e-01 3.8414e-01 3.4324e-02
13528.61 2.6742e-03 5.8223e-01 3.7985e-01 3.5252e-02
14194.74 2.3969e-03 5.2553e-01 4.2701e-01 4.5066e-02
14757.77 2.7606e-03 5.7007e-01 3.8920e-01 3.7971e-02
15240.48 2.6179e-03 6.1287e-01 3.5267e-01 3.1841e-02
15646.99 3.3003e-03 6.8225e-01 2.9648e-01 1.7971e-02
15960.30 4.0234e-03 7.8612e-01 2.0230e-01 7.5567e-03
16187.41 6.3274e-03 8.1678e-01 1.7138e-01 5.5198e-03
16354.17 2.5869e-03 8.2858e-01 1.6397e-01 4.8703e-03
16484.18 2.7346e-03 7.9513e-01 1.9577e-01 6.3680e-03
16593.12 3.3162e-03 7.6562e-01 2.2272e-01 8.3498e-03
16691.99 3.4230e-03 7.3875e-01 2.4591e-01 1.1924e-02
16788.59 2.4342e-03 7.4308e-01 2.4362e-01 1.0861e-02
16888.37 1.5345e-03 7.2201e-01 2.6463e-01 1.1835e-02
16998.79 2.0722e-03 6.8380e-01 2.9905e-01 1.5073e-02
17146.37 1.5130e-03 6.5970e-01 3.2201e-01 1.6778e-02
17415.23 7.3343e-04 6.3165e-01 3.4769e-01 1.9929e-02
17888.12 5.2438e-04 5.8545e-01 3.8325e-01 3.0772e-02
18532.37 4.5901e-04 5.1266e-01 4.4805e-01 3.8822e-02
19260.76 2.3869e-04 4.6494e-01 4.8720e-01 4.7626e-02
20034.10 2.1236e-04 4.1732e-01 5.1684e-01 6.5632e-02
20838.00 9.0716e-05 2.9690e-01 6.1659e-01 8.6414e-02
21647.97 8.2268e-05 2.0624e-01 6.6820e-01 1.2547e-01
22447.94 3.3939e-05 1.2211e-01 6.8811e-01 1.8974e-01
23245.88 7.0575e-05 2.9107e-01 5.5390e-01 1.5495e-01
24052.47 2.9479e-05 1.8814e-01 6.0419e-01 2.0764e-01
24867.72 2.0315e-05 4.8329e-02 5.9300e-01 3.5865e-01
25698.86 5.4644e-05 1.6601e-01 5.6117e-01 2.7276e-01
26587.16 4.0241e-06 1.2578e-02 6.7638e-01 3.1104e-01
27637.54 5.8148e-05 6.9215e-02 5.9912e-01 3.3161e-01
28986.97 4.1761e-06 1.6343e-02 5.8258e-01 4.0107e-01
#TIME: 204.93
#NVEL 78
#vel_mid[km/s] o0 o1 o2 o3
1060.83 1.0066e-02 8.4356e-01 1.4293e-01 3.4488e-03
1919.29 8.8069e-03 8.5059e-01 1.3750e-01 3.0983e-03
2581.60 6.3792e-03 7.9201e-01 1.9593e-01 5.6791e-03
3084.17 3.9793e-03 6.6480e-01 3.1985e-01 1.1373e-02
3472.46 1.7998e-03 5.3291e-01 4.4577e-01 1.9523e-02
3909.64 1.1233e-03 4.4338e-01 5.2515e-01 3.0349e-02
4148.46 1.0777e-03 4.4508e-01 5.2354e-01 3.0307e-02
4670.75 1.4605e-03 4.9416e-01 4.7661e-01 2.7766e-02
4956.05 8.2670e-04 4.1044e-01 5.5333e-01 3.5405e-02
5258.79 3.5476e-04 3.1523e-01 6.4057e-01 4.3844e-02
5580.02 1.2606e-04 2.3431e-01 7.1237e-01 5.3189e-02
5920.87 5.7849e-05 1.9712e-01 7.4257e-01 6.0253e-02
6282.54 3.3897e-05 1.6707e-01 7.6591e-01 6.6992e-02
6666.30 3.0720e-05 1.6451e-01 7.6586e-01 6.9595e-02
7073.50 3.2594e-05 1.7044e-01 7.5906e-01 7.0471e-02
7505.58 3.4397e-05 1.6007e-01 7.6463e-01 7.5268e-02
7964.05 3.5715e-05 1.5923e-01 7.6046e-01 8.0276e-02
8450.53 8.0130e-05 1.9648e-01 7.2980e-01 7.3638e-02
8966.72 1.8097e-04 2.4636e-01 6.8589e-01 6.7566e-02
9514.44 3.7266e-04 2.9069e-01 6.4559e-01 6.3351e-02
10095.62 6.2889e-04 3.8224e-01 5.6405e-01 5.3085e-02
10712.30 9.7600e-04 4.4522e-01 5.0962e-01 4.4187e-02
11366.65 1.8101e-03 5.1471e-01 4.4612e-01 3.7357e-02
12061.10 2.3051e-03 5.3542e-01 4.2606e-01 3.6214e-02
12793.43 2.9934e-03 5.6871e-01 3.9256e-01 3.5745e-02
13528.61 3.0008e-03 5.8304e-01 3.7907e-01 3.4892e-02
14194.74 2.5970e-03 5.4228e-01 4.1235e-01 4.2779e-02
14757.77 2.1753e-03 5.0557e-01 4.4784e-01 4.4408e-02
15240.48 2.9103e-03 5.9998e-01 3.6660e-01 3.0503e-02
15646.99 3.9394e-03 6.6382e-01 3.1361e-01 1.8638e-02
15960.30 5.7086e-03 7.6537e-01 2.2010e-01 8.8197e-03
16187.41 7.9684e-03 8.0639e-01 1.7986e-01 5.7828e-03
16354.17 4.2359e-03 8.0617e-01 1.8398e-01 5.6208e-03
16484.18 2.4718e-03 8.0445e-01 1.8661e-01 6.4670e-03
16593.12 1.8009e-03 7.6590e-01 2.2486e-01 7.4365e-03
16691.99 3.3381e-03 7.4884e-01 2.3582e-01 1.2009e-02
16788.59 1.7153e-03 7.1142e-01 2.6809e-01 1.8780e-02
16888.37 1.6467e-03 7.3197e-01 2.5501e-01 1.1369e-02
16998.79 1.4478e-03 6.6721e-01 3.1453e-01 1.6812e-02
17146.37 1.9758e-03 6.6891e-01 3.1219e-01 1.6927e-02
