#NTIMES: 145 
#NSTAGES: 5 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] si0 si1 si2 si3 si4 
440.10 1.32e-21 9.78e-15 3.02e-08 2.37e-03 9.98e-01 
999.11 1.97e-23 1.93e-16 1.15e-09 3.61e-04 1.00e+00 
1267.34 7.38e-25 8.68e-18 8.14e-11 7.40e-05 1.00e+00 
1514.05 9.65e-26 1.25e-18 1.49e-11 2.61e-05 1.00e+00 
1808.80 1.41e-26 2.16e-19 3.36e-12 1.05e-05 1.00e+00 
1919.29 3.73e-27 6.39e-20 1.16e-12 5.37e-06 1.00e+00 
2160.92 1.83e-27 2.94e-20 5.36e-13 3.03e-06 1.00e+00 
2292.92 4.78e-28 9.60e-21 2.13e-13 1.74e-06 1.00e+00 
2432.98 3.49e-28 6.84e-21 1.58e-13 1.41e-06 1.00e+00 
2581.60 3.19e-28 5.99e-21 1.40e-13 1.28e-06 1.00e+00 
2739.29 2.54e-28 4.80e-21 1.16e-13 1.13e-06 1.00e+00 
2906.62 2.11e-28 4.04e-21 1.02e-13 1.04e-06 1.00e+00 
3084.17 1.87e-28 3.67e-21 9.60e-14 1.01e-06 1.00e+00 
3272.56 1.32e-28 2.85e-21 8.25e-14 9.40e-07 1.00e+00 
3472.46 1.05e-28 2.46e-21 7.75e-14 9.33e-07 1.00e+00 
3684.57 8.73e-29 2.23e-21 7.67e-14 9.60e-07 1.00e+00 
3909.64 6.36e-29 1.85e-21 7.24e-14 9.73e-07 1.00e+00 
4148.46 6.24e-29 1.94e-21 7.98e-14 1.06e-06 1.00e+00 
4401.86 7.93e-29 2.44e-21 9.79e-14 1.22e-06 1.00e+00 
4670.75 9.51e-29 2.97e-21 1.18e-13 1.39e-06 1.00e+00 
4956.05 8.73e-29 2.91e-21 1.22e-13 1.46e-06 1.00e+00 
5258.79 6.48e-29 2.41e-21 1.12e-13 1.42e-06 1.00e+00 
5580.02 5.41e-29 2.23e-21 1.12e-13 1.47e-06 1.00e+00 
5920.87 5.85e-29 2.50e-21 1.28e-13 1.63e-06 1.00e+00 
6282.54 5.44e-29 2.53e-21 1.37e-13 1.76e-06 1.00e+00 
6666.30 6.95e-29 3.30e-21 1.79e-13 2.11e-06 1.00e+00 
