#NTIMES: 145 
#NSTAGES: 7 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] v0 v1 v2 v3 v4 v5 v6 
8450.53 5.10e-26 1.92e-18 3.32e-11 2.39e-05 1.09e-01 8.91e-01 1.03e-07 
8966.72 6.66e-25 2.44e-17 3.39e-10 1.49e-04 2.95e-01 7.04e-01 7.32e-09 
9514.44 1.55e-23 5.18e-16 5.33e-09 1.16e-03 6.98e-01 3.01e-01 1.14e-10 
10095.62 6.67e-22 1.74e-14 1.14e-07 8.92e-03 9.52e-01 3.96e-02 1.65e-13 
10712.30 5.79e-20 1.20e-12 4.28e-06 8.62e-02 9.12e-01 1.47e-03 6.44e-18 
11366.65 7.77e-18 1.33e-10 2.22e-04 6.99e-01 3.01e-01 6.56e-06 3.51e-24 
12061.10 3.27e-16 4.71e-09 3.30e-03 9.88e-01 9.18e-03 4.24e-10 4.19e-33 
12793.43 1.76e-14 1.93e-07 4.54e-02 9.54e-01 1.12e-04 9.59e-15 9.75e-36 
13528.61 9.89e-13 8.24e-06 5.25e-01 4.75e-01 1.92e-07 8.59e-21 1.33e-36 
14194.74 9.79e-12 5.76e-05 9.57e-01 4.27e-02 1.10e-10 3.02e-27 1.18e-36 
14757.77 3.89e-11 1.75e-04 9.96e-01 3.97e-03 1.68e-13 4.13e-29 2.48e-36 
15240.48 1.61e-10 4.82e-04 9.99e-01 4.32e-04 4.34e-16 4.65e-29 4.80e-36 
15646.99 9.07e-10 1.47e-03 9.98e-01 3.65e-05 9.09e-19 4.51e-29 8.69e-36 
15960.30 7.39e-09 5.43e-03 9.95e-01 3.69e-06 2.59e-21 4.22e-29 1.37e-35 
16187.41 2.86e-08 1.33e-02 9.87e-01 1.43e-06 9.52e-23 1.68e-28 2.55e-35 
16354.17 7.74e-08 2.61e-02 9.74e-01 1.22e-07 5.71e-25 1.66e-28 4.69e-35 
16484.18 1.33e-07 4.03e-02 9.60e-01 4.92e-08 3.98e-26 6.74e-29 8.05e-35 
16593.12 1.85e-07 5.46e-02 9.45e-01 2.41e-08 6.24e-27 2.51e-28 1.18e-34 
16691.99 1.96e-07 5.79e-02 9.42e-01 1.64e-08 1.33e-27 1.15e-27 1.53e-34 
16788.59 4.84e-07 1.26e-01 8.74e-01 1.36e-09 1.00e-29 4.16e-29 1.85e-34 
16888.37 4.72e-07 1.17e-01 8.83e-01 1.49e-09 5.67e-30 2.51e-28 2.22e-34 
16998.79 6.37e-07 1.44e-01 8.56e-01 1.08e-09 2.87e-30 1.05e-27 2.71e-34 
17146.37 9.24e-07 1.94e-01 8.06e-01 3.04e-10 1.19e-30 7.23e-28 3.35e-34 
17415.23 1.94e-06 3.30e-01 6.70e-01 4.90e-11 6.62e-31 4.25e-28 4.38e-34 
17888.12 4.87e-06 6.36e-01 3.64e-01 1.44e-12 6.87e-31 1.63e-27 6.22e-34 
18532.37 9.14e-06 8.04e-01 1.96e-01 5.77e-14 1.60e-30 5.90e-27 7.58e-34 
19260.76 1.39e-05 9.64e-01 3.61e-02 3.84e-16 7.43e-31 1.24e-27 8.93e-34 
20034.10 1.57e-05 9.86e-01 1.43e-02 3.32e-18 2.60e-31 2.36e-27 1.09e-33 
20838.00 1.93e-05 9.93e-01 7.21e-03 1.16e-19 9.70e-31 7.06e-26 1.26e-33 
21647.97 1.85e-05 9.97e-01 2.87e-03 8.37e-21 7.54e-32 5.37e-29 1.31e-33 
22447.94 3.58e-05 9.93e-01 6.60e-03 7.84e-21 2.97e-30 1.26e-26 1.47e-33 
23245.88 2.63e-05 9.99e-01 9.11e-04 6.43e-23 1.07e-30 1.56e-26 1.70e-33 
24052.47 3.06e-05 1.00e+00 3.21e-04 2.89e-24 2.08e-30 1.08e-23 1.99e-33 
24867.72 3.27e-05 1.00e+00 3.30e-05 3.32e-26 5.36e-33 2.41e-33 2.41e-33 
25698.86 3.42e-05 1.00e+00 2.59e-05 5.40e-26 7.01e-33 3.16e-33 3.16e-33 
26587.16 3.92e-05 1.00e+00 9.06e-06 1.71e-25 1.05e-32 4.77e-33 4.77e-33 
27637.54 3.46e-05 1.00e+00 1.01e-05 5.49e-25 1.95e-32 8.85e-33 8.85e-33 
28986.97 3.97e-05 1.00e+00 2.18e-06 1.48e-24 4.82e-32 2.20e-32 2.20e-32 
#TIME: 5.51 
#NVEL: 67 
#vel_mid[km/s] v0 v1 v2 v3 v4 v5 v6 
440.10 2.02e-21 7.14e-15 2.02e-08 1.28e-03 4.99e-01 4.99e-01 1.25e-08 
999.11 1.01e-22 4.01e-16 1.54e-09 1.81e-04 1.98e-01 8.02e-01 2.84e-07 
1267.34 5.48e-24 2.62e-17 1.26e-10 2.60e-05 7.05e-02 9.29e-01 2.98e-06 
1514.05 8.07e-25 4.01e-18 2.22e-11 6.50e-06 3.22e-02 9.68e-01 1.53e-05 
1808.80 1.20e-25 6.91e-19 4.61e-12 1.91e-06 1.60e-02 9.84e-01 5.08e-05 
1919.29 1.94e-26 1.27e-19 9.54e-13 5.56e-07 7.90e-03 9.92e-01 1.84e-04 
2160.92 4.59e-27 3.32e-20 2.86e-13 2.21e-07 4.64e-03 9.95e-01 4.44e-04 
2292.92 8.00e-28 8.24e-21 8.15e-14 8.71e-08 2.72e-03 9.96e-01 9.06e-04 
2432.98 1.52e-28 1.52e-21 1.72e-14 2.73e-08 1.43e-03 9.96e-01 2.55e-03 
2581.60 1.00e-28 1.10e-21 1.35e-14 2.29e-08 1.29e-03 9.96e-01 2.82e-03 
2739.29 6.56e-29 7.75e-22 1.01e-14 1.85e-08 1.14e-03 9.96e-01 3.31e-03 
2906.62 5.07e-29 6.38e-22 8.80e-15 1.70e-08 1.09e-03 9.96e-01 3.27e-03 
3084.17 3.62e-29 4.98e-22 7.45e-15 1.55e-08 1.05e-03 9.96e-01 3.14e-03 
3272.56 2.44e-29 3.82e-22 6.32e-15 1.44e-08 1.03e-03 9.96e-01 2.81e-03 
3472.46 1.86e-29 3.33e-22 5.99e-15 1.46e-08 1.07e-03 9.97e-01 2.39e-03 
3684.57 1.49e-29 3.07e-22 6.04e-15 1.57e-08 1.15e-03 9.97e-01 1.83e-03 
3909.64 1.03e-29 2.59e-22 5.77e-15 1.64e-08 1.24e-03 9.97e-01 1.35e-03 
4148.46 1.02e-29 2.74e-22 6.40e-15 1.87e-08 1.38e-03 9.98e-01 1.07e-03 
4401.86 1.79e-29 4.67e-22 1.02e-14 2.71e-08 1.73e-03 9.98e-01 7.08e-04 
4670.75 2.99e-29 8.08e-22 1.70e-14 4.10e-08 2.21e-03 9.97e-01 4.46e-04 
4956.05 2.96e-29 8.38e-22 1.89e-14 4.70e-08 2.44e-03 9.97e-01 3.22e-04 
5258.79 2.66e-29 8.43e-22 2.06e-14 5.31e-08 2.68e-03 9.97e-01 2.45e-04 
5580.02 3.40e-29 1.18e-21 2.93e-14 7.29e-08 3.28e-03 9.97e-01 1.56e-04 
5920.87 4.90e-29 1.69e-21 4.29e-14 1.02e-07 4.07e-03 9.96e-01 9.39e-05 
6282.54 8.12e-29 3.05e-21 7.79e-14 1.70e-07 5.54e-03 9.94e-01 5.01e-05 
6666.30 1.83e-28 6.87e-21 1.71e-13 3.29e-07 8.24e-03 9.92e-01 2.08e-05 
7073.50 4.81e-28 1.89e-20 4.48e-13 7.33e-07 1.34e-02 9.87e-01 8.25e-06 
7505.58 1.43e-27 5.76e-20 1.32e-12 1.81e-06 2.34e-02 9.77e-01 2.79e-06 
7964.05 7.12e-27 2.92e-19 6.09e-12 6.32e-06 5.02e-02 9.50e-01 5.33e-07 
8450.53 7.10e-26 2.83e-18 4.87e-11 3.30e-05 1.32e-01 8.68e-01 6.40e-08 
8966.72 9.84e-25 3.66e-17 5.05e-10 2.05e-04 3.49e-01 6.51e-01 3.93e-09 
9514.44 2.20e-23 7.40e-16 7.52e-09 1.50e-03 7.51e-01 2.47e-01 5.12e-11 
10095.62 9.48e-22 2.53e-14 1.63e-07 1.13e-02 9.60e-01 2.82e-02 3.83e-14 
10712.30 8.09e-20 1.72e-12 5.95e-06 1.07e-01 8.92e-01 9.95e-04 1.98e-18 
11366.65 9.91e-18 1.75e-10 2.80e-04 7.53e-01 2.46e-01 2.10e-06 5.25e-25 
12061.10 4.01e-16 5.90e-09 3.93e-03 9.90e-01 6.42e-03 1.85e-10 3.67e-34 
12793.43 2.19e-14 2.46e-07 5.45e-02 9.45e-01 1.82e-04 1.30e-14 2.90e-35 
13528.61 1.11e-12 9.42e-06 5.70e-01 4.30e-01 1.30e-07 3.67e-21 1.26e-36 
14194.74 1.05e-11 6.18e-05 9.65e-01 3.50e-02 5.41e-11 8.74e-28 1.25e-36 
14757.77 4.03e-11 1.83e-04 9.96e-01 3.35e-03 8.45e-14 2.80e-29 2.64e-36 
15240.48 1.64e-10 4.95e-04 9.99e-01 2.91e-04 1.58e-16 2.81e-29 5.11e-36 
15646.99 9.42e-10 1.53e-03 9.98e-01 4.08e-05 9.41e-19 8.65e-29 9.25e-36 
15960.30 7.10e-09 5.44e-03 9.95e-01 3.70e-06 2.21e-21 5.87e-29 1.46e-35 
16187.41 3.08e-08 1.42e-02 9.86e-01 1.38e-06 4.75e-23 4.30e-29 2.72e-35 
16354.17 7.04e-08 2.58e-02 9.74e-01 1.40e-07 6.23e-25 1.48e-28 5.00e-35 
16484.18 1.17e-07 3.75e-02 9.63e-01 4.24e-08 3.72e-26 2.09e-28 8.57e-35 
16593.12 1.63e-07 5.08e-02 9.49e-01 1.82e-08 4.07e-27 2.25e-28 1.26e-34 
16691.99 1.94e-07 6.21e-02 9.38e-01 9.44e-09 6.88e-28 2.42e-28 1.62e-34 
16788.59 3.41e-07 9.01e-02 9.10e-01 3.59e-09 4.33e-29 2.29e-27 1.97e-34 
16888.37 4.02e-07 1.04e-01 8.96e-01 2.02e-09 1.38e-29 1.60e-27 2.37e-34 
16998.79 6.88e-07 1.71e-01 8.29e-01 6.29e-10 1.20e-30 3.37e-28 2.88e-34 
17146.37 1.00e-06 2.15e-01 7.85e-01 2.65e-10 1.12e-30 8.97e-28 3.56e-34 
17415.23 1.79e-06 3.37e-01 6.63e-01 6.57e-11 1.65e-30 3.13e-27 4.66e-34 
17888.12 3.96e-06 5.76e-01 4.24e-01 3.17e-12 2.52e-30 6.52e-27 6.62e-34 
18532.37 8.33e-06 8.39e-01 1.61e-01 2.33e-14 3.87e-31 5.10e-28 8.06e-34 
19260.76 1.30e-05 9.50e-01 4.97e-02 3.47e-16 6.68e-31 2.42e-27 9.50e-34 
20034.10 1.47e-05 9.90e-01 9.84e-03 1.77e-18 1.72e-31 2.95e-27 1.16e-33 
20838.00 2.34e-05 9.85e-01 1.50e-02 9.66e-19 4.44e-30 2.16e-26 1.34e-33 
21647.97 1.70e-05 9.97e-01 2.79e-03 6.17e-21 4.10e-31 5.22e-26 1.39e-33 
22447.94 1.92e-05 9.98e-01 2.42e-03 1.84e-21 8.39e-32 3.70e-28 1.56e-33 
23245.88 2.04e-05 1.00e+00 2.41e-04 4.56e-24 4.04e-33 1.53e-29 1.80e-33 
24052.47 1.91e-05 1.00e+00 1.79e-04 9.82e-25 4.72e-33 2.11e-33 2.11e-33 
24867.72 2.36e-05 1.00e+00 2.49e-04 1.76e-24 2.33e-30 1.38e-23 2.56e-33 
25698.86 2.92e-05 1.00e+00 7.88e-05 2.44e-25 1.52e-30 1.03e-23 3.36e-33 
26587.16 3.34e-05 1.00e+00 1.52e-05 2.28e-25 1.12e-32 5.07e-33 5.07e-33 
27637.54 3.76e-05 1.00e+00 4.53e-06 1.68e-25 2.07e-32 9.41e-33 9.41e-33 
28986.97 3.46e-05 1.00e+00 1.51e-06 1.05e-24 5.12e-32 2.34e-32 2.34e-32 
#TIME: 5.62 
#NVEL: 67 
#vel_mid[km/s] v0 v1 v2 v3 v4 v5 v6 
440.10 1.49e-21 5.19e-15 1.59e-08 1.10e-03 4.78e-01 5.20e-01 1.38e-08 
999.11 7.76e-23 3.36e-16 1.35e-09 1.69e-04 1.93e-01 8.06e-01 3.12e-07 
1267.34 4.74e-24 2.35e-17 1.18e-10 2.54e-05 7.10e-02 9.29e-01 2.86e-06 
1514.05 6.85e-25 3.73e-18 2.15e-11 6.46e-06 3.24e-02 9.68e-01 1.66e-05 
1808.80 1.13e-25 7.02e-19 4.82e-12 2.03e-06 1.68e-02 9.83e-01 4.70e-05 
1919.29 1.99e-26 1.37e-19 1.06e-12 6.22e-07 8.56e-03 9.91e-01 1.47e-04 
2160.92 4.68e-27 3.68e-20 3.25e-13 2.51e-07 5.06e-03 9.95e-01 3.61e-04 
2292.92 1.04e-27 1.06e-20 1.07e-13 1.12e-07 3.19e-03 9.96e-01 5.78e-04 
2432.98 1.67e-28 1.82e-21 2.09e-14 3.27e-08 1.62e-03 9.96e-01 1.96e-03 
2581.60 1.11e-28 1.26e-21 1.57e-14 2.66e-08 1.44e-03 9.96e-01 2.18e-03 
2739.29 7.39e-29 9.09e-22 1.20e-14 2.19e-08 1.28e-03 9.96e-01 2.52e-03 
2906.62 5.77e-29 7.53e-22 1.06e-14 2.03e-08 1.23e-03 9.96e-01 2.52e-03 
3084.17 4.09e-29 5.86e-22 8.92e-15 1.84e-08 1.18e-03 9.96e-01 2.45e-03 
3272.56 2.75e-29 4.54e-22 7.61e-15 1.72e-08 1.16e-03 9.97e-01 2.23e-03 
3472.46 2.17e-29 4.06e-22 7.40e-15 1.77e-08 1.21e-03 9.97e-01 1.80e-03 
3684.57 1.74e-29 3.71e-22 7.43e-15 1.90e-08 1.30e-03 9.97e-01 1.38e-03 
3909.64 1.22e-29 3.20e-22 7.25e-15 2.02e-08 1.41e-03 9.98e-01 1.01e-03 
4148.46 1.18e-29 3.30e-22 7.85e-15 2.26e-08 1.57e-03 9.98e-01 7.84e-04 
4401.86 2.07e-29 5.91e-22 1.31e-14 3.38e-08 1.99e-03 9.97e-01 5.31e-04 
4670.75 3.62e-29 9.75e-22 2.09e-14 4.97e-08 2.50e-03 9.97e-01 3.21e-04 
4956.05 3.51e-29 1.02e-21 2.35e-14 5.73e-08 2.78e-03 9.97e-01 2.46e-04 
5258.79 3.16e-29 1.06e-21 2.63e-14 6.61e-08 3.09e-03 9.97e-01 1.78e-04 
5580.02 4.15e-29 1.45e-21 3.69e-14 9.00e-08 3.76e-03 9.96e-01 1.12e-04 
5920.87 6.58e-29 2.40e-21 6.13e-14 1.39e-07 4.90e-03 9.95e-01 6.56e-05 
6282.54 1.03e-28 4.19e-21 1.08e-13 2.27e-07 6.64e-03 9.93e-01 3.31e-05 
6666.30 2.34e-28 9.14e-21 2.30e-13 4.28e-07 9.72e-03 9.90e-01 1.50e-05 
7073.50 6.48e-28 2.57e-20 6.13e-13 9.67e-07 1.60e-02 9.84e-01 5.32e-06 
7505.58 1.95e-27 8.32e-20 1.91e-12 2.49e-06 2.86e-02 9.71e-01 1.63e-06 
7964.05 1.00e-26 4.36e-19 9.06e-12 8.84e-06 6.19e-02 9.38e-01 3.27e-07 
8450.53 1.05e-25 4.14e-18 7.12e-11 4.54e-05 1.60e-01 8.40e-01 3.73e-08 
8966.72 1.41e-24 5.51e-17 7.52e-10 2.82e-04 4.09e-01 5.91e-01 2.12e-09 
9514.44 3.02e-23 1.06e-15 1.06e-08 1.93e-03 7.99e-01 1.99e-01 2.37e-11 
10095.62 1.34e-21 3.62e-14 2.27e-07 1.42e-02 9.65e-01 2.04e-02 1.39e-14 
10712.30 1.10e-19 2.42e-12 8.10e-06 1.30e-01 8.69e-01 7.07e-04 6.85e-19 
11366.65 1.27e-17 2.26e-10 3.50e-04 8.07e-01 1.92e-01 1.69e-06 1.38e-25 
12061.10 5.01e-16 7.42e-09 4.69e-03 9.91e-01 4.54e-03 8.03e-11 8.67e-35 
12793.43 2.77e-14 3.17e-07 6.62e-02 9.34e-01 1.28e-04 5.32e-15 7.91e-36 
13528.61 1.22e-12 1.05e-05 6.10e-01 3.90e-01 8.36e-08 1.29e-21 9.71e-37 
14194.74 1.08e-11 6.52e-05 9.71e-01 2.94e-02 3.18e-11 3.24e-28 1.33e-36 
14757.77 4.03e-11 1.86e-04 9.97e-01 2.81e-03 5.13e-14 3.70e-29 2.82e-36 
15240.48 1.60e-10 4.93e-04 9.99e-01 2.99e-04 1.61e-16 8.70e-29 5.44e-36 
15646.99 9.50e-10 1.61e-03 9.98e-01 2.64e-05 3.32e-19 3.29e-29 9.86e-36 
15960.30 7.09e-09 5.57e-03 9.94e-01 3.47e-06 1.90e-21 6.48e-29 1.56e-35 
16187.41 3.01e-08 1.47e-02 9.85e-01 6.61e-07 1.81e-23 3.71e-29 2.90e-35 
16354.17 6.75e-08 2.61e-02 9.74e-01 1.11e-07 3.49e-25 8.53e-29 5.32e-35 
16484.18 1.20e-07 4.08e-02 9.59e-01 4.64e-08 3.87e-26 2.60e-28 9.13e-35 
16593.12 1.51e-07 5.03e-02 9.50e-01 1.82e-08 3.47e-27 3.30e-28 1.34e-34 
16691.99 2.08e-07 6.64e-02 9.34e-01 9.32e-08 5.77e-27 4.31e-27 1.73e-34 
16788.59 3.01e-07 9.13e-02 9.09e-01 3.65e-08 1.01e-27 1.45e-26 2.10e-34 
16888.37 3.65e-07 1.05e-01 8.95e-01 1.68e-09 7.96e-30 4.31e-28 2.52e-34 
16998.79 4.77e-07 1.26e-01 8.74e-01 1.45e-09 6.91e-30 5.21e-27 3.06e-34 
17146.37 7.61e-07 1.81e-01 8.19e-01 2.94e-10 1.74e-30 1.73e-27 3.79e-34 
17415.23 1.82e-06 3.44e-01 6.56e-01 4.22e-11 8.60e-31 7.23e-28 4.96e-34 
17888.12 4.35e-06 6.13e-01 3.87e-01 1.15e-12 4.12e-31 3.15e-28 7.04e-34 
18532.37 8.71e-06 8.28e-01 1.72e-01 3.47e-14 1.74e-30 1.02e-26 8.57e-34 
19260.76 1.36e-05 9.40e-01 6.02e-02 6.63e-16 9.00e-31 3.81e-27 1.01e-33 
20034.10 1.71e-05 9.80e-01 2.00e-02 1.00e-17 3.29e-30 8.01e-26 1.23e-33 
20838.00 1.77e-05 9.90e-01 9.55e-03 2.25e-19 2.52e-31 3.60e-28 1.43e-33 
21647.97 1.64e-05 9.98e-01 2.39e-03 4.78e-21 3.28e-31 8.52e-27 1.48e-33 
22447.94 1.75e-05 9.99e-01 5.61e-04 1.06e-22 3.73e-33 8.28e-29 1.66e-33 
23245.88 1.84e-05 1.00e+00 2.90e-04 9.11e-24 6.58e-32 3.47e-25 1.92e-33 
24052.47 2.09e-05 1.00e+00 2.33e-04 1.39e-24 2.29e-31 1.34e-24 2.25e-33 
24867.72 2.69e-05 1.00e+00 2.97e-04 4.55e-25 2.60e-31 4.23e-27 2.72e-33 
25698.86 2.92e-05 1.00e+00 2.01e-05 2.48e-26 7.94e-33 3.58e-33 3.58e-33 
26587.16 3.23e-05 1.00e+00 1.03e-05 1.19e-25 1.19e-32 5.39e-33 5.39e-33 
27637.54 3.62e-05 1.00e+00 5.34e-06 5.06e-25 2.20e-32 1.00e-32 1.00e-32 
28986.97 2.73e-05 1.00e+00 4.53e-06 4.91e-24 5.45e-32 2.48e-32 2.48e-32 
#TIME: 5.74 
#NVEL: 67 
#vel_mid[km/s] v0 v1 v2 v3 v4 v5 v6 
440.10 9.82e-22 3.92e-15 1.27e-08 9.43e-04 4.44e-01 5.55e-01 2.02e-08 
999.11 6.33e-23 2.89e-16 1.22e-09 1.61e-04 1.93e-01 8.07e-01 2.60e-07 
1267.34 3.83e-24 2.02e-17 1.06e-10 2.39e-05 6.96e-02 9.30e-01 4.65e-06 
1514.05 6.46e-25 3.78e-18 2.24e-11 6.89e-06 3.42e-02 9.66e-01 1.27e-05 
1808.80 1.08e-25 7.21e-19 5.10e-12 2.19e-06 1.78e-02 9.82e-01 3.77e-05 
1919.29 2.02e-26 1.47e-19 1.17e-12 6.94e-07 9.24e-03 9.91e-01 1.23e-04 
2160.92 5.09e-27 4.09e-20 3.69e-13 2.87e-07 5.55e-03 9.94e-01 2.71e-04 
2292.92 1.34e-27 1.44e-20 1.47e-13 1.46e-07 3.78e-03 9.96e-01 4.40e-04 
2432.98 2.45e-28 3.22e-21 3.75e-14 5.18e-08 2.12e-03 9.97e-01 1.24e-03 
2581.60 1.22e-28 1.50e-21 1.89e-14 3.18e-08 1.62e-03 9.97e-01 1.72e-03 
2739.29 8.34e-29 1.08e-21 1.45e-14 2.62e-08 1.45e-03 9.97e-01 1.95e-03 
2906.62 6.32e-29 8.64e-22 1.23e-14 2.36e-08 1.36e-03 9.97e-01 1.99e-03 
3084.17 4.61e-29 6.92e-22 1.07e-14 2.19e-08 1.33e-03 9.97e-01 1.90e-03 
3272.56 3.21e-29 5.49e-22 9.35e-15 2.08e-08 1.32e-03 9.97e-01 1.69e-03 
3472.46 2.51e-29 4.90e-22 9.09e-15 2.15e-08 1.38e-03 9.97e-01 1.36e-03 
3684.57 2.01e-29 4.63e-22 9.38e-15 2.35e-08 1.49e-03 9.97e-01 1.04e-03 
3909.64 1.44e-29 4.05e-22 9.29e-15 2.53e-08 1.63e-03 9.98e-01 7.40e-04 
4148.46 1.34e-29 4.07e-22 9.79e-15 2.76e-08 1.78e-03 9.98e-01 5.98e-04 
4401.86 2.59e-29 7.73e-22 1.73e-14 4.34e-08 2.33e-03 9.97e-01 3.64e-04 
4670.75 4.35e-29 1.20e-21 2.61e-14 6.08e-08 2.85e-03 9.97e-01 2.45e-04 
4956.05 4.14e-29 1.28e-21 2.98e-14 7.09e-08 3.19e-03 9.97e-01 1.81e-04 
5258.79 3.77e-29 1.35e-21 3.40e-14 8.33e-08 3.58e-03 9.96e-01 1.28e-04 
5580.02 5.09e-29 1.77e-21 4.57e-14 1.10e-07 4.28e-03 9.96e-01 8.32e-05 
5920.87 8.29e-29 3.22e-21 8.33e-14 1.82e-07 5.81e-03 9.94e-01 4.44e-05 
6282.54 1.37e-28 5.45e-21 1.43e-13 2.92e-07 7.79e-03 9.92e-01 2.21e-05 
6666.30 3.04e-28 1.25e-20 3.17e-13 5.67e-07 1.16e-02 9.88e-01 1.01e-05 
7073.50 8.64e-28 3.47e-20 8.36e-13 1.27e-06 1.90e-02 9.81e-01 3.73e-06 
7505.58 2.76e-27 1.18e-19 2.72e-12 3.38e-06 3.47e-02 9.65e-01 1.05e-06 
7964.05 1.46e-26 6.22e-19 1.30e-11 1.20e-05 7.49e-02 9.25e-01 2.02e-07 
8450.53 1.50e-25 6.30e-18 1.07e-10 6.35e-05 1.93e-01 8.07e-01 2.33e-08 
8966.72 2.06e-24 8.24e-17 1.11e-09 3.87e-04 4.74e-01 5.25e-01 1.12e-09 
9514.44 4.29e-23 1.50e-15 1.48e-08 2.45e-03 8.40e-01 1.57e-01 9.61e-12 
10095.62 1.88e-21 5.18e-14 3.17e-07 1.77e-02 9.67e-01 1.50e-02 5.13e-15 
10712.30 1.64e-19 3.70e-12 1.19e-05 1.64e-01 8.36e-01 4.63e-04 1.90e-19 
11366.65 1.68e-17 3.08e-10 4.59e-04 8.52e-01 1.48e-01 4.42e-07 1.53e-26 
12061.10 5.98e-16 9.04e-09 5.47e-03 9.91e-01 3.72e-03 4.36e-11 6.41e-35 
12793.43 3.49e-14 4.07e-07 7.95e-02 9.20e-01 3.19e-05 5.53e-16 1.78e-36 
13528.61 1.35e-12 1.20e-05 6.54e-01 3.46e-01 5.13e-08 5.14e-22 9.82e-37 
14194.74 1.12e-11 6.94e-05 9.74e-01 2.64e-02 2.38e-11 1.77e-28 1.42e-36 
14757.77 4.20e-11 1.97e-04 9.98e-01 2.03e-03 2.30e-14 2.99e-29 3.00e-36 
15240.48 1.65e-10 5.22e-04 9.99e-01 4.90e-04 4.75e-16 2.80e-28 5.80e-36 
15646.99 1.01e-09 1.70e-03 9.98e-01 2.77e-05 2.77e-19 8.48e-29 1.05e-35 
15960.30 7.23e-09 5.76e-03 9.94e-01 3.45e-06 1.36e-21 5.98e-29 1.66e-35 
16187.41 2.89e-08 1.44e-02 9.86e-01 3.57e-07 7.14e-24 4.23e-29 3.09e-35 
16354.17 7.28e-08 2.74e-02 9.73e-01 1.05e-07 3.34e-25 1.58e-28 5.67e-35 
16484.18 1.10e-07 3.73e-02 9.63e-01 3.69e-08 1.76e-26 1.25e-28 9.72e-35 
16593.12 1.26e-07 4.23e-02 9.58e-01 1.81e-08 2.06e-27 2.51e-28 1.43e-34 
16691.99 1.81e-07 6.20e-02 9.38e-01 1.72e-08 1.89e-27 1.92e-28 1.84e-34 
16788.59 2.52e-07 8.21e-02 9.18e-01 2.39e-08 6.97e-28 5.03e-28 2.23e-34 
16888.37 3.74e-07 1.11e-01 8.89e-01 1.46e-09 5.72e-30 6.09e-28 2.68e-34 
16998.79 4.73e-07 1.30e-01 8.70e-01 7.21e-09 8.56e-29 1.28e-26 3.26e-34 
17146.37 7.00e-07 1.80e-01 8.20e-01 4.42e-10 2.75e-30 1.99e-27 4.03e-34 
17415.23 1.51e-06 3.06e-01 6.94e-01 6.52e-11 2.58e-30 4.71e-27 5.27e-34 
17888.12 3.70e-06 5.76e-01 4.24e-01 1.54e-12 1.87e-30 1.01e-26 7.49e-34 
18532.37 8.17e-06 8.51e-01 1.49e-01 5.84e-14 1.36e-30 1.98e-27 9.12e-34 
19260.76 1.24e-05 9.16e-01 8.44e-02 1.61e-15 2.46e-30 8.46e-27 1.07e-33 
20034.10 1.51e-05 9.49e-01 5.10e-02 1.18e-16 1.62e-29 2.26e-26 1.31e-33 
20838.00 1.35e-05 9.90e-01 1.02e-02 1.03e-18 2.53e-30 9.04e-26 1.52e-33 
21647.97 1.49e-05 9.95e-01 5.38e-03 2.68e-20 6.99e-30 2.48e-25 1.58e-33 
22447.94 1.64e-05 9.98e-01 2.20e-03 1.59e-21 1.04e-29 4.57e-23 1.76e-33 
23245.88 1.62e-05 9.99e-01 1.25e-03 9.83e-23 1.14e-29 4.27e-24 2.04e-33 
24052.47 2.15e-05 1.00e+00 1.17e-04 5.79e-25 5.34e-33 2.39e-33 2.39e-33 
24867.72 2.22e-05 1.00e+00 7.34e-05 8.35e-26 6.45e-33 2.90e-33 2.90e-33 
25698.86 3.04e-05 1.00e+00 1.46e-04 7.79e-25 2.75e-31 2.05e-24 3.80e-33 
26587.16 2.78e-05 1.00e+00 1.89e-05 3.39e-25 1.27e-32 5.73e-33 5.73e-33 
27637.54 3.67e-05 1.00e+00 3.31e-05 2.46e-24 2.35e-32 6.32e-26 1.06e-32 
28986.97 2.68e-05 1.00e+00 5.38e-06 1.59e-24 5.80e-32 2.64e-32 2.64e-32 
#TIME: 5.86 
#NVEL: 67 
