#NTIMES:    67
#NSTAGES:     2
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           v0           v1
    6.999993E+04   2.5381E-006   1.0000E+000
#TIME:     0.605
#NVEL: 115
#vel_mid[km/s]           v0           v1
    8.484664E+02   4.2675E-007   1.0000E+000
    8.543246E+02   4.2675E-007   1.0000E+000
    8.721432E+02   4.2675E-007   1.0000E+000
    9.089031E+02   4.2675E-007   1.0000E+000
    9.682894E+02   4.2676E-007   1.0000E+000
    1.029084E+03   4.2680E-007   1.0000E+000
    1.093701E+03   4.2652E-007   1.0000E+000
    1.162375E+03   4.2552E-007   1.0000E+000
    1.235362E+03   4.2410E-007   1.0000E+000
    1.312931E+03   4.2279E-007   1.0000E+000
    1.395371E+03   3.7347E-007   1.0000E+000
    1.482988E+03   3.3732E-007   1.0000E+000
    1.576106E+03   3.3154E-007   1.0000E+000
    1.675071E+03   3.0838E-007   1.0000E+000
    1.780251E+03   2.7730E-007   1.0000E+000
    1.892034E+03   2.4538E-007   1.0000E+000
    2.010837E+03   2.2141E-007   1.0000E+000
    2.137099E+03   1.9481E-007   1.0000E+000
    2.271289E+03   1.7287E-007   1.0000E+000
    2.413905E+03   1.5225E-007   1.0000E+000
    2.565477E+03   1.3750E-007   1.0000E+000
    2.726565E+03   1.2642E-007   1.0000E+000
    2.897769E+03   1.1891E-007   1.0000E+000
    3.079722E+03   1.1384E-007   1.0000E+000
    3.273101E+03   1.1694E-007   1.0000E+000
    3.478622E+03   1.1668E-007   1.0000E+000
    3.697048E+03   1.5726E-007   1.0000E+000
    3.929188E+03   2.2278E-007   1.0000E+000
    4.175906E+03   1.7498E-007   1.0000E+000
    4.438115E+03   1.7430E-007   1.0000E+000
    4.716788E+03   1.6460E-007   1.0000E+000
    5.012959E+03   1.5121E-007   1.0000E+000
    5.327727E+03   1.3900E-007   1.0000E+000
    5.662260E+03   1.2907E-007   1.0000E+000
    6.017798E+03   1.2462E-007   1.0000E+000
    6.395661E+03   1.2352E-007   1.0000E+000
    6.797251E+03   1.2257E-007   1.0000E+000
    7.224056E+03   1.2601E-007   1.0000E+000
    7.677661E+03   1.2957E-007   1.0000E+000
    8.159748E+03   1.4004E-007   1.0000E+000
    8.672106E+03   1.5969E-007   1.0000E+000
    9.216636E+03   2.7150E-007   1.0000E+000
    9.793140E+03   7.3928E-007   1.0000E+000
    1.026683E+04   1.7368E-006   1.0000E+000
    1.070804E+04   4.9097E-006   1.0000E+000
    1.120152E+04   3.7886E-005   9.9996E-001
    1.159423E+04   2.3687E-004   9.9976E-001
    1.180243E+04   4.7371E-004   9.9953E-001
    1.192916E+04   7.6273E-004   9.9924E-001
    1.202084E+04   1.1217E-003   9.9888E-001
    1.209768E+04   1.4959E-003   9.9850E-001
    1.216841E+04   1.8464E-003   9.9815E-001
    1.223949E+04   2.1925E-003   9.9781E-001
    1.231406E+04   2.5365E-003   9.9746E-001
    1.239842E+04   2.8799E-003   9.9712E-001
    1.256481E+04   3.3255E-003   9.9667E-001
    1.321135E+04   1.8517E-003   9.9815E-001
    1.378971E+04   1.0168E-003   9.9898E-001
    1.426236E+04   7.9526E-004   9.9920E-001
    1.471893E+04   7.6153E-004   9.9924E-001
    1.520339E+04   7.0276E-004   9.9930E-001
    1.569984E+04   7.4789E-004   9.9925E-001
    1.625603E+04   1.3456E-003   9.9865E-001
    1.692188E+04   2.2103E-003   9.9779E-001
    1.755155E+04   3.2238E-003   9.9678E-001
    1.815678E+04   3.9685E-003   9.9603E-001
    1.877630E+04   4.2142E-003   9.9579E-001
    1.943029E+04   3.9307E-003   9.9607E-001
    2.010428E+04   2.5606E-003   9.9744E-001
    2.090850E+04   1.6414E-003   9.9836E-001
    2.182676E+04   1.3209E-003   9.9868E-001
    2.283367E+04   8.2798E-004   9.9917E-001
    2.394324E+04   5.8795E-004   9.9941E-001
    2.516734E+04   3.8616E-004   9.9961E-001
    2.638649E+04   3.5659E-004   9.9964E-001
    2.758311E+04   2.0836E-004   9.9979E-001
    2.884269E+04   1.4913E-004   9.9985E-001
    3.014497E+04   1.0306E-004   9.9990E-001
    3.148085E+04   7.9947E-005   9.9992E-001
    3.276289E+04   7.1790E-005   9.9993E-001
    3.391810E+04   6.5019E-005   9.9993E-001
    3.495083E+04   5.5822E-005   9.9994E-001
    3.592850E+04   4.7275E-005   9.9995E-001
    3.688885E+04   4.0689E-005   9.9996E-001
    3.786912E+04   3.6154E-005   9.9996E-001
    3.888044E+04   3.3634E-005   9.9997E-001
    3.991994E+04   3.2026E-005   9.9997E-001
    4.098383E+04   3.0711E-005   9.9997E-001
    4.207443E+04   2.9462E-005   9.9997E-001
    4.319619E+04   2.8153E-005   9.9997E-001
    4.435339E+04   2.6743E-005   9.9997E-001
    4.555005E+04   2.5240E-005   9.9997E-001
    4.678738E+04   2.3670E-005   9.9998E-001
    4.806468E+04   2.2032E-005   9.9998E-001
    4.937985E+04   2.0303E-005   9.9998E-001
    5.073002E+04   1.8477E-005   9.9998E-001
    5.211198E+04   1.6583E-005   9.9998E-001
    5.352349E+04   1.4663E-005   9.9999E-001
    5.496004E+04   1.2772E-005   9.9999E-001
    5.642085E+04   1.0949E-005   9.9999E-001
    5.789881E+04   9.2627E-006   9.9999E-001
    5.939226E+04   7.7431E-006   9.9999E-001
    6.088737E+04   6.4402E-006   9.9999E-001
    6.237825E+04   5.3698E-006   9.9999E-001
    6.383998E+04   4.4848E-006   1.0000E+000
    6.526223E+04   3.8563E-006   1.0000E+000
    6.660986E+04   3.2896E-006   1.0000E+000
    6.786444E+04   3.0221E-006   1.0000E+000
    6.899777E+04   2.6667E-006   1.0000E+000
    6.951321E+04   2.5902E-006   1.0000E+000
    6.977237E+04   2.5462E-006   1.0000E+000
    6.990232E+04   2.5286E-006   1.0000E+000
    6.996738E+04   2.5359E-006   1.0000E+000
    6.999830E+04   2.5369E-006   1.0000E+000
    6.999993E+04   2.5381E-006   1.0000E+000
#TIME:     0.733
#NVEL: 115
#vel_mid[km/s]           v0           v1
    8.484664E+02   3.0383E-007   1.0000E+000
    8.528610E+02   3.0383E-007   1.0000E+000
    8.661820E+02   3.0383E-007   1.0000E+000
    8.934513E+02   3.0384E-007   1.0000E+000
    9.472405E+02   3.0384E-007   1.0000E+000
    1.007109E+03   3.0387E-007   1.0000E+000
    1.070759E+03   3.0377E-007   1.0000E+000
    1.138432E+03   3.0285E-007   1.0000E+000
    1.210381E+03   3.0086E-007   1.0000E+000
    1.286878E+03   2.9597E-007   1.0000E+000
    1.368209E+03   2.7003E-007   1.0000E+000
    1.454681E+03   2.4504E-007   1.0000E+000
    1.546618E+03   2.3403E-007   1.0000E+000
    1.644365E+03   2.1984E-007   1.0000E+000
    1.748290E+03   1.9907E-007   1.0000E+000
    1.858783E+03   1.7607E-007   1.0000E+000
    1.976259E+03   1.5792E-007   1.0000E+000
    2.101160E+03   1.3937E-007   1.0000E+000
    2.233954E+03   1.2284E-007   1.0000E+000
    2.375142E+03   1.0817E-007   1.0000E+000
    2.525252E+03   9.6926E-008   1.0000E+000
    2.684850E+03   8.8696E-008   1.0000E+000
    2.854534E+03   8.3212E-008   1.0000E+000
    3.034942E+03   7.9171E-008   1.0000E+000
    3.226752E+03   8.0964E-008   1.0000E+000
    3.430685E+03   7.6956E-008   1.0000E+000
    3.647506E+03   1.0359E-007   1.0000E+000
    3.878031E+03   1.5212E-007   1.0000E+000
    4.123125E+03   1.2479E-007   1.0000E+000
    4.383709E+03   1.2655E-007   1.0000E+000
    4.660762E+03   1.2227E-007   1.0000E+000
    4.955325E+03   1.1416E-007   1.0000E+000
    5.268505E+03   1.0515E-007   1.0000E+000
    5.601477E+03   9.7325E-008   1.0000E+000
    5.955494E+03   9.3507E-008   1.0000E+000
    6.331885E+03   9.2563E-008   1.0000E+000
    6.732064E+03   9.1844E-008   1.0000E+000
    7.157534E+03   9.4519E-008   1.0000E+000
    7.609895E+03   9.7640E-008   1.0000E+000
    8.090845E+03   1.0611E-007   1.0000E+000
    8.602191E+03   1.2088E-007   1.0000E+000
    9.145855E+03   1.9737E-007   1.0000E+000
    9.716757E+03   5.0760E-007   1.0000E+000
    1.017136E+04   1.1489E-006   1.0000E+000
    1.058976E+04   3.0644E-006   1.0000E+000
    1.103681E+04   1.7756E-005   9.9998E-001
    1.143091E+04   1.1295E-004   9.9989E-001
    1.169743E+04   3.2265E-004   9.9968E-001
    1.185375E+04   5.9505E-004   9.9940E-001
    1.195751E+04   8.5970E-004   9.9914E-001
    1.203767E+04   1.1943E-003   9.9881E-001
    1.210835E+04   1.5471E-003   9.9845E-001
    1.217533E+04   1.8810E-003   9.9812E-001
    1.224092E+04   2.1997E-003   9.9780E-001
    1.231061E+04   2.5219E-003   9.9748E-001
    1.238832E+04   2.8537E-003   9.9715E-001
    1.249177E+04   3.1132E-003   9.9689E-001
    1.273320E+04   3.3547E-003   9.9665E-001
    1.314431E+04   1.9943E-003   9.9801E-001
    1.356973E+04   1.2369E-003   9.9876E-001
    1.397745E+04   8.9956E-004   9.9910E-001
    1.437971E+04   7.8676E-004   9.9921E-001
    1.481384E+04   7.3916E-004   9.9926E-001
    1.527443E+04   6.9093E-004   9.9931E-001
    1.573281E+04   7.8953E-004   9.9921E-001
    1.619433E+04   1.2277E-003   9.9877E-001
    1.667669E+04   1.8889E-003   9.9811E-001
    1.717287E+04   2.5951E-003   9.9740E-001
    1.768426E+04   3.4253E-003   9.9657E-001
    1.825695E+04   4.0472E-003   9.9595E-001
    1.899553E+04   4.1748E-003   9.9583E-001
    1.999671E+04   2.7265E-003   9.9727E-001
    2.125276E+04   1.4580E-003   9.9854E-001
    2.259595E+04   9.4964E-004   9.9905E-001
    2.402403E+04   5.6702E-004   9.9943E-001
    2.554236E+04   3.6509E-004   9.9963E-001
    2.715756E+04   2.7468E-004   9.9973E-001
    2.877497E+04   1.4665E-004   9.9985E-001
    3.035869E+04   9.8601E-005   9.9990E-001
    3.187471E+04   7.7327E-005   9.9992E-001
    3.324789E+04   6.9330E-005   9.9993E-001
    3.445101E+04   6.0292E-005   9.9994E-001
    3.554577E+04   5.0414E-005   9.9995E-001
    3.658462E+04   4.2529E-005   9.9996E-001
    3.762248E+04   3.7084E-005   9.9996E-001
    3.867668E+04   3.4048E-005   9.9997E-001
    3.975213E+04   3.2256E-005   9.9997E-001
    4.084453E+04   3.0876E-005   9.9997E-001
    4.195824E+04   2.9596E-005   9.9997E-001
    4.309818E+04   2.8270E-005   9.9997E-001
    4.426979E+04   2.6846E-005   9.9997E-001
    4.547749E+04   2.5331E-005   9.9997E-001
    4.672340E+04   2.3752E-005   9.9998E-001
    4.800748E+04   2.2107E-005   9.9998E-001
    4.932825E+04   2.0372E-005   9.9998E-001
    5.068335E+04   1.8541E-005   9.9998E-001
    5.207013E+04   1.6640E-005   9.9998E-001
    5.348629E+04   1.4713E-005   9.9999E-001
    5.492827E+04   1.2813E-005   9.9999E-001
    5.639439E+04   1.0980E-005   9.9999E-001
    5.787868E+04   9.2845E-006   9.9999E-001
    5.937786E+04   7.7567E-006   9.9999E-001
    6.087934E+04   6.4465E-006   9.9999E-001
    6.237552E+04   5.3715E-006   9.9999E-001
    6.384322E+04   4.4833E-006   1.0000E+000
    6.526864E+04   3.8534E-006   1.0000E+000
    6.661842E+04   3.2871E-006   1.0000E+000
    6.787517E+04   3.0191E-006   1.0000E+000
    6.900452E+04   2.6655E-006   1.0000E+000
    6.951650E+04   2.5896E-006   1.0000E+000
    6.977391E+04   2.5460E-006   1.0000E+000
    6.990298E+04   2.5286E-006   1.0000E+000
    6.996760E+04   2.5359E-006   1.0000E+000
    6.999832E+04   2.5369E-006   1.0000E+000
    6.999993E+04   2.5381E-006   1.0000E+000
#TIME:     0.806
#NVEL: 115
#vel_mid[km/s]           v0           v1
    8.484664E+02   2.5731E-007   1.0000E+000
    8.540175E+02   2.5731E-007   1.0000E+000
    8.708899E+02   2.5731E-007   1.0000E+000
    9.056412E+02   2.5731E-007   1.0000E+000
    9.639886E+02   2.5732E-007   1.0000E+000
    1.024912E+03   2.5733E-007   1.0000E+000
    1.089687E+03   2.5698E-007   1.0000E+000
    1.158556E+03   2.5570E-007   1.0000E+000
    1.231778E+03   2.5166E-007   1.0000E+000
    1.309627E+03   2.4154E-007   1.0000E+000
    1.392396E+03   2.1999E-007   1.0000E+000
    1.480396E+03   2.0414E-007   1.0000E+000
    1.573958E+03   1.9320E-007   1.0000E+000
    1.673433E+03   1.7900E-007   1.0000E+000
    1.779195E+03   1.6166E-007   1.0000E+000
    1.891642E+03   1.4264E-007   1.0000E+000
    2.011195E+03   1.2753E-007   1.0000E+000
    2.138303E+03   1.1194E-007   1.0000E+000
    2.273445E+03   9.8628E-008   1.0000E+000
    2.417128E+03   8.7219E-008   1.0000E+000
    2.569892E+03   7.8666E-008   1.0000E+000
    2.732311E+03   7.2623E-008   1.0000E+000
    2.904995E+03   6.8427E-008   1.0000E+000
    3.088592E+03   6.6538E-008   1.0000E+000
    3.283793E+03   6.5685E-008   1.0000E+000
    3.491331E+03   7.0243E-008   1.0000E+000
    3.711985E+03   9.4569E-008   1.0000E+000
    3.946585E+03   1.2447E-007   1.0000E+000
    4.196011E+03   1.0539E-007   1.0000E+000
    4.461202E+03   1.0657E-007   1.0000E+000
    4.743153E+03   1.0435E-007   1.0000E+000
    5.042923E+03   9.7053E-008   1.0000E+000
    5.361639E+03   8.9576E-008   1.0000E+000
    5.700497E+03   8.3606E-008   1.0000E+000
    6.060772E+03   8.1343E-008   1.0000E+000
    6.443817E+03   8.0576E-008   1.0000E+000
    6.851070E+03   8.0881E-008   1.0000E+000
    7.284062E+03   8.3681E-008   1.0000E+000
    7.744419E+03   8.7966E-008   1.0000E+000
    8.233871E+03   9.6498E-008   1.0000E+000
    8.754256E+03   1.1924E-007   1.0000E+000
    9.307531E+03   2.1945E-007   1.0000E+000
    9.857056E+03   5.7921E-007   1.0000E+000
    1.026219E+04   1.2666E-006   1.0000E+000
    1.066046E+04   3.3557E-006   1.0000E+000
    1.108456E+04   2.1644E-005   9.9998E-001
    1.145920E+04   1.3019E-004   9.9987E-001
    1.170019E+04   3.2617E-004   9.9967E-001
    1.184807E+04   5.8315E-004   9.9942E-001
    1.194895E+04   8.3456E-004   9.9917E-001
    1.202846E+04   1.1513E-003   9.9885E-001
    1.209713E+04   1.4898E-003   9.9851E-001
    1.216131E+04   1.8115E-003   9.9819E-001
    1.222467E+04   2.1218E-003   9.9788E-001
    1.229131E+04   2.4346E-003   9.9757E-001
    1.236339E+04   2.7596E-003   9.9724E-001
    1.245100E+04   3.0305E-003   9.9697E-001
    1.259630E+04   3.2632E-003   9.9674E-001
    1.288977E+04   2.9652E-003   9.9703E-001
    1.326716E+04   1.7218E-003   9.9828E-001
    1.368028E+04   1.1181E-003   9.9888E-001
    1.412000E+04   8.4441E-004   9.9916E-001
    1.458947E+04   7.5946E-004   9.9924E-001
    1.507487E+04   7.0104E-004   9.9930E-001
    1.554368E+04   7.2317E-004   9.9928E-001
    1.599734E+04   1.0003E-003   9.9900E-001
    1.645628E+04   1.5694E-003   9.9843E-001
    1.692588E+04   2.2427E-003   9.9776E-001
    1.740008E+04   2.9663E-003   9.9703E-001
    1.790650E+04   3.7159E-003   9.9628E-001
    1.855795E+04   4.2225E-003   9.9578E-001
    1.953644E+04   3.4283E-003   9.9657E-001
    2.077905E+04   1.8216E-003   9.9818E-001
    2.209229E+04   1.1093E-003   9.9889E-001
