#NTIMES: 128
#NSTAGES: 9
#TIMES[d]: 2.037028e+00 2.112455e+00 2.190675e+00 2.271792e+00 2.355913e+00 2.443148e+00 2.533613e+00 2.627428e+00 2.724717e+00 2.825608e+00 2.930235e+00 3.038736e+00 3.151255e+00 3.267940e+00 3.388946e+00 3.514432e+00 3.644565e+00 3.779516e+00 3.919465e+00 4.064595e+00 4.215100e+00 4.371177e+00 4.533034e+00 4.700883e+00 4.874948e+00 5.055458e+00 5.242653e+00 5.436778e+00 5.638092e+00 5.846861e+00 6.063359e+00 6.287873e+00 6.520702e+00 6.762152e+00 7.012541e+00 7.272203e+00 7.541479e+00 7.820726e+00 8.110313e+00 8.410623e+00 8.722052e+00 9.045013e+00 9.379933e+00 9.727255e+00 1.008744e+01 1.046096e+01 1.084831e+01 1.125000e+01 1.166656e+01 1.209856e+01 1.254655e+01 1.301112e+01 1.349289e+01 1.399251e+01 1.451063e+01 1.504793e+01 1.560513e+01 1.618296e+01 1.678218e+01 1.740360e+01 1.804802e+01 1.871630e+01 1.940933e+01 2.012802e+01 2.087333e+01 2.164623e+01 2.244774e+01 2.327894e+01 2.414092e+01 2.503481e+01 2.596181e+01 2.692312e+01 2.792004e+01 2.895387e+01 3.002597e+01 3.113778e+01 3.229075e+01 3.348642e+01 3.472636e+01 3.601222e+01 3.734568e+01 3.872852e+01 4.016256e+01 4.164970e+01 4.319192e+01 4.479123e+01 4.644977e+01 4.816972e+01 4.995336e+01 5.180304e+01 5.372120e+01 5.571040e+01 5.777325e+01 5.991249e+01 6.213094e+01 6.443153e+01 6.681731e+01 6.929144e+01 7.185717e+01 7.451791e+01 7.727716e+01 8.013859e+01 8.310597e+01 8.618323e+01 8.937444e+01 9.268381e+01 9.611572e+01 9.967470e+01 1.033655e+02 1.071929e+02 1.111621e+02 1.152782e+02 1.195467e+02 1.239733e+02 1.285638e+02 1.333243e+02 1.382611e+02 1.433806e+02 1.486897e+02 1.541954e+02 1.599050e+02 1.658260e+02 1.719662e+02 1.783338e+02 1.849372e+02 1.917850e+02 1.988865e+02 2.062509e+02 
#
#TIME: 2.037028e+00 
#NVEL: 115
#vel_mid[km/s] temp[K] ne[/cm^3] ni0 ni1 ni2 ni3 ni4 ni5 ni6 ni7 ni8
3.415240e+03 6.601306e+04 2.448419e+13 1.762569e-35 1.927810e-26 8.702687e-19 6.113913e-12 2.106821e-06 1.302649e-02 5.824741e-01 4.034632e-01 1.034133e-03 
3.631085e+03 6.012772e+04 2.628402e+13 1.338232e-31 7.943932e-23 1.827687e-15 4.642053e-09 3.457261e-04 2.524966e-01 7.302979e-01 1.685901e-02 7.069906e-07 
3.860572e+03 5.655824e+04 2.508909e+13 2.959247e-27 8.145255e-19 7.969458e-12 4.746516e-06 3.428039e-02 9.287935e-01 3.691734e-02 4.014029e-06 2.490456e-13 
4.104562e+03 4.683278e+04 1.159091e+13 9.845728e-23 1.556803e-14 6.950916e-08 5.326791e-03 9.004213e-01 9.424970e-02 2.162694e-06 1.817673e-14 9.172516e-27 
4.363973e+03 4.048415e+04 8.523331e+12 4.138010e-18 2.295538e-10 2.114312e-04 5.784153e-01 4.213521e-01 2.114312e-05 1.797165e-14 4.394748e-28 3.624534e-47 
4.639779e+03 3.728897e+04 6.880220e+12 7.476635e-16 2.100178e-08 5.376457e-03 9.849837e-01 9.639819e-03 1.165599e-09 2.835241e-22 2.688228e-40 8.673737e-65 
4.933016e+03 3.587871e+04 6.237756e+12 8.018991e-15 1.642796e-07 2.154647e-02 9.773907e-01 1.062699e-03 5.995963e-12 2.203394e-26 1.160194e-46 6.459066e-74 
5.244785e+03 3.500361e+04 5.847586e+12 1.623389e-14 3.090932e-07 3.324700e-02 9.662410e-01 5.116921e-04 1.051956e-12 9.480590e-28 8.727338e-49 5.688354e-77 
5.576259e+03 3.399704e+04 5.469480e+12 1.382654e-14 2.803791e-07 3.188626e-02 9.675829e-01 5.305213e-04 1.105024e-12 1.000569e-27 9.071090e-49 5.717536e-77 
5.928682e+03 3.321690e+04 5.146699e+12 2.051643e-14 4.056257e-07 4.144436e-02 9.582172e-01 3.380214e-04 3.732932e-13 1.393236e-28 4.203223e-50 6.731035e-79 
6.303378e+03 3.210665e+04 4.688670e+12 4.414082e-14 8.125923e-07 6.688003e-02 9.329764e-01 1.427889e-04 4.882242e-14 3.511201e-30 1.374385e-52 1.779009e-82 
6.701756e+03 3.094313e+04 4.153299e+12 1.803549e-13 2.865639e-06 1.543037e-01 8.456642e-01 2.925758e-05 1.234429e-15 4.769386e-33 5.009859e-57 7.574907e-89 
7.125310e+03 3.019250e+04 3.636666e+12 1.082108e-12 1.367127e-05 4.009596e-01 5.990240e-01 2.652131e-06 6.328399e-18 4.420218e-37 3.241493e-63 1.106262e-97 
7.575635e+03 2.956418e+04 2.982831e+12 6.416076e-12 6.052902e-05 7.929302e-01 2.070092e-01 5.713940e-08 2.820652e-21 8.413534e-43 7.324011e-72 6.355547e-110 
8.054419e+03 2.862058e+04 2.335214e+12 5.421168e-11 2.998766e-04 9.856669e-01 1.403322e-02 4.034552e-11 3.491600e-27 1.319791e-52 1.879450e-86 2.146749e-130 
8.563463e+03 2.667673e+04 1.852605e+12 4.256786e-09 6.232631e-03 9.937342e-01 3.312447e-05 8.048666e-18 1.670752e-39 6.842819e-73 1.786978e-116 2.353581e-172 
9.105475e+03 2.133805e+04 1.132605e+12 2.404406e-06 4.411754e-01 5.588222e-01 1.033086e-09 5.808810e-29 7.720570e-60 2.382347e-106 5.772045e-166 1.595584e-241 
9.611971e+03 1.812122e+04 5.907630e+11 2.358894e-04 9.995312e-01 2.328908e-04 1.449320e-20 1.739184e-51 1.569264e-98 4.088083e-168 6.556925e-256 0.000000e+00 
1.001075e+04 1.635435e+04 3.042036e+11 8.143939e-02 9.185606e-01 2.414773e-10 2.888258e-38 1.796875e-87 7.528409e-160 1.600379e-265 0.000000e+00 0.000000e+00 
1.035413e+04 8.571989e+03 1.515221e+10 9.494100e-01 5.058999e-02 1.654686e-18 6.917130e-61 3.051675e-133 4.502916e-238 0.000000e+00 0.000000e+00 0.000000e+00 
1.071873e+04 5.489634e+03 8.513416e+08 9.999816e-01 1.843410e-05 1.320915e-31 1.119353e-93 2.465708e-197 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.109526e+04 4.213708e+03 1.366910e+07 1.000000e+00 6.413043e-12 1.298913e-55 4.369565e-153 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.142152e+04 4.204359e+03 7.277293e+02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.165575e+04 3.624646e+03 3.694229e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.180634e+04 3.499960e+03 3.676171e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.190922e+04 3.464967e+03 3.549408e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.198841e+04 3.193374e+03 3.272781e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.205647e+04 2.734661e+03 3.029262e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.212064e+04 2.327751e+03 2.875009e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.218540e+04 3.558009e+03 2.755686e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.225395e+04 2.958903e+03 2.700775e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.233084e+04 1.947311e+03 2.907735e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.244353e+04 3.195086e+03 3.017712e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.267901e+04 1.019633e+03 2.234158e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.305675e+04 2.688727e+03 5.224105e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.350389e+04 1.969837e+03 5.572812e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.398480e+04 8.860575e+02 5.752819e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.448732e+04 2.781539e+03 5.941001e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.499069e+04 2.637160e+03 6.394673e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.547181e+04 9.554414e+02 6.732000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.592644e+04 2.542078e+03 6.906751e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.636833e+04 2.399422e+03 7.352487e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.680466e+04 2.280469e+03 8.246650e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.723140e+04 2.158647e+03 9.239926e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.765772e+04 1.084827e+03 9.811811e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.812132e+04 1.124458e+03 9.924366e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.871331e+04 1.179607e+03 8.733596e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
