#NTIMES:    67
#NSTAGES:     5
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           c0           c1           c2           c3           c4
    8.484663E+02   7.7068E-025   1.6319E-017   1.2217E-010   1.1405E-004   9.9989E-001
    8.542546E+02   7.7068E-025   1.6319E-017   1.2217E-010   1.1405E-004   9.9989E-001
    8.718573E+02   7.7069E-025   1.6319E-017   1.2217E-010   1.1405E-004   9.9989E-001
    9.081584E+02   7.7070E-025   1.6320E-017   1.2217E-010   1.1405E-004   9.9989E-001
    9.674554E+02   7.7075E-025   1.6320E-017   1.2218E-010   1.1405E-004   9.9989E-001
    1.028597E+03   7.7112E-025   1.6327E-017   1.2221E-010   1.1406E-004   9.9989E-001
    1.093605E+03   7.7197E-025   1.6351E-017   1.2232E-010   1.1406E-004   9.9989E-001
    1.162722E+03   7.7116E-025   1.6355E-017   1.2234E-010   1.1400E-004   9.9989E-001
    1.236207E+03   7.5621E-025   1.6063E-017   1.2090E-010   1.1372E-004   9.9989E-001
    1.314336E+03   6.3523E-025   1.3582E-017   1.0833E-010   1.1161E-004   9.9989E-001
    1.397402E+03   1.3261E-025   3.4970E-018   4.4839E-011   9.0916E-005   9.9991E-001
    1.485719E+03   3.5308E-026   1.1154E-018   2.1641E-011   7.7819E-005   9.9992E-001
    1.579618E+03   3.2510E-026   1.0375E-018   2.0679E-011   7.7150E-005   9.9992E-001
    1.679450E+03   1.5312E-026   5.4629E-019   1.3789E-011   7.0696E-005   9.9993E-001
    1.785593E+03   5.6365E-027   2.3482E-019   8.1081E-012   6.2913E-005   9.9994E-001
    1.898443E+03   2.5828E-027   1.2443E-019   5.4090E-012   5.6788E-005   9.9994E-001
    2.018426E+03   1.0651E-027   5.9249E-020   3.4033E-012   5.1242E-005   9.9995E-001
    2.145992E+03   4.5132E-028   2.9389E-020   2.1861E-012   4.5959E-005   9.9995E-001
    2.281620E+03   1.8446E-028   1.4035E-020   1.3782E-012   4.1252E-005   9.9996E-001
    2.425820E+03   8.0232E-029   7.1361E-021   9.0045E-013   3.7104E-005   9.9996E-001
    2.579133E+03   4.3431E-029   4.3529E-021   6.5882E-013   3.4287E-005   9.9997E-001
    2.742135E+03   2.9045E-029   3.1830E-021   5.3784E-013   3.2464E-005   9.9997E-001
    2.915440E+03   2.5194E-029   2.9094E-021   5.0224E-013   3.1686E-005   9.9997E-001
    3.099698E+03   2.9634E-029   3.4626E-021   5.4957E-013   3.1980E-005   9.9997E-001
    3.295601E+03   5.9979E-029   6.4673E-021   7.9698E-013   3.4514E-005   9.9997E-001
    3.503885E+03   2.3968E-028   2.2510E-020   1.6844E-012   3.8738E-005   9.9996E-001
    3.725332E+03   1.6668E-027   1.0986E-019   4.6509E-012   5.0077E-005   9.9995E-001
    3.960775E+03   5.8846E-027   2.8160E-019   8.7226E-012   6.2712E-005   9.9994E-001
    4.211099E+03   1.0133E-025   4.6408E-018   5.3353E-011   7.3744E-005   9.9993E-001
    4.477243E+03   2.2202E-025   9.9060E-018   9.0997E-011   8.2402E-005   9.9992E-001
    4.760207E+03   2.0876E-025   9.8182E-018   9.1225E-011   8.0692E-005   9.9992E-001
    5.061055E+03   1.1479E-025   6.0062E-018   6.5110E-011   7.1675E-005   9.9993E-001
    5.380917E+03   6.8075E-026   3.9211E-018   4.8657E-011   6.4755E-005   9.9994E-001
    5.720994E+03   5.4719E-026   3.3694E-018   4.4083E-011   6.1505E-005   9.9994E-001
    6.082565E+03   5.3563E-026   3.3748E-018   4.4290E-011   6.0841E-005   9.9994E-001
    6.466986E+03   7.9343E-026   4.9010E-018   5.7839E-011   6.4808E-005   9.9994E-001
    6.875704E+03   1.4483E-025   8.6496E-018   8.7313E-011   7.2711E-005   9.9993E-001
    7.310253E+03   2.9612E-025   1.6533E-017   1.3968E-010   8.5559E-005   9.9991E-001
    7.772265E+03   7.5108E-025   3.8814E-017   2.6263E-010   1.0936E-004   9.9989E-001
    8.263477E+03   2.8390E-024   1.2760E-016   6.3576E-010   1.6259E-004   9.9984E-001
    8.785734E+03   6.6072E-023   2.2109E-015   5.6367E-009   5.0395E-004   9.9950E-001
    9.340997E+03   3.0124E-019   4.0634E-012   1.9203E-006   1.3654E-002   9.8634E-001
    9.929841E+03   3.6611E-013   1.0359E-006   2.1104E-002   9.1452E-001   6.4377E-002
    1.041447E+04   1.7654E-009   1.2486E-003   8.9864E-001   1.0011E-001   1.7991E-006
    1.083674E+04   4.0800E-007   5.7136E-002   9.4277E-001   9.2847E-005   1.0563E-013
    1.136786E+04   4.4435E-004   9.9671E-001   2.8495E-003   2.3022E-014   7.6128E-033
    1.167027E+04   1.8561E-003   9.9790E-001   2.4799E-004   2.9462E-017   4.0254E-038
    1.185735E+04   3.6824E-003   9.9624E-001   7.5154E-005   1.1141E-018   1.0091E-040
    1.198132E+04   1.0071E-002   9.8992E-001   5.8351E-006   4.4877E-022   3.0788E-047
    1.207995E+04   2.3178E-002   9.7682E-001   5.4729E-007   2.7774E-025   1.9031E-053
    1.216774E+04   3.6392E-002   9.6361E-001   1.3405E-007   3.2537E-027   3.3290E-057
    1.225420E+04   5.7963E-002   9.4204E-001   3.1559E-008   3.5024E-029   1.0884E-060
    1.234075E+04   9.2794E-002   9.0721E-001   7.2200E-009   3.6516E-031   2.0426E-061
    1.244043E+04   1.3697E-001   8.6303E-001   2.0230E-009   7.4857E-033   8.0028E-062
    1.256653E+04   1.6549E-001   8.3451E-001   9.7199E-010   7.6520E-034   4.8417E-062
    1.291944E+04   1.3285E-001   8.6715E-001   1.2758E-009   1.2140E-033   8.0916E-062
    1.356464E+04   5.4740E-002   9.4526E-001   8.8370E-009   2.5378E-031   5.7927E-061
    1.414194E+04   3.5879E-002   9.6412E-001   1.7652E-008   1.4936E-030   1.3547E-060
    1.463678E+04   4.0313E-002   9.5969E-001   8.8971E-009   1.4090E-031   9.9085E-061
    1.515385E+04   4.8021E-002   9.5198E-001   4.6270E-009   1.6858E-032   6.6315E-061
    1.570238E+04   7.3410E-002   9.2659E-001   1.2793E-009   3.1669E-034   2.4890E-061
    1.628316E+04   1.8003E-001   8.1997E-001   7.6416E-011   6.4062E-038   1.9507E-062
    1.695591E+04   3.8287E-001   6.1713E-001   5.7793E-012   5.1829E-041   1.5559E-063
    1.773545E+04   5.9452E-001   4.0548E-001   4.4012E-013   4.6050E-044   1.4793E-064
    1.852426E+04   7.0772E-001   2.9228E-001   5.8198E-014   1.3918E-046   2.5377E-065
    1.933673E+04   7.7075E-001   2.2925E-001   1.6259E-014   1.5299E-047   8.7380E-066
    2.006825E+04   7.4751E-001   2.5249E-001   1.2668E-014   5.2956E-047   6.6619E-066
    2.082304E+04   7.1139E-001   2.8861E-001   1.2846E-014   1.9343E-046   6.3596E-066
    2.162788E+04   7.2253E-001   2.7747E-001   9.0241E-015   2.6082E-046   4.9085E-066
    2.248295E+04   6.6055E-001   3.3945E-001   1.3171E-014   7.6341E-046   6.4695E-066
    2.340334E+04   6.7135E-001   3.2865E-001   1.0428E-014   6.9882E-046   5.6633E-066
    2.427003E+04   6.0631E-001   3.9369E-001   1.5746E-014   1.2029E-045   7.8180E-066
    2.528269E+04   5.7225E-001   4.2775E-001   1.8379E-014   1.2607E-045   9.0239E-066
    2.627013E+04   5.7903E-001   4.2097E-001   1.5637E-014   8.8987E-046   8.1731E-066
    2.723040E+04   4.8192E-001   5.1808E-001   3.0799E-014   1.6369E-045   1.3963E-065
    2.827004E+04   4.2978E-001   5.7022E-001   4.1859E-014   1.8175E-045   1.7966E-065
    2.934273E+04   3.5117E-001   6.4883E-001   7.1435E-014   2.6197E-045   2.7913E-065
    3.052012E+04   2.8300E-001   7.1700E-001   1.1494E-013   3.3880E-045   4.1730E-065
    3.176086E+04   2.3582E-001   7.6418E-001   1.5708E-013   3.6913E-045   5.4985E-065
    3.295538E+04   2.1434E-001   7.8566E-001   1.6892E-013   3.1339E-045   5.9310E-065
    3.403161E+04   1.9067E-001   8.0933E-001   1.8652E-013   2.8332E-045   6.5596E-065
    3.500379E+04   1.5910E-001   8.4090E-001   2.2545E-013   2.8828E-045   7.8695E-065
    3.593430E+04   1.2889E-001   8.7111E-001   2.7144E-013   2.9100E-045   9.4664E-065
    3.686142E+04   1.0461E-001   8.9539E-001   3.1211E-013   2.7881E-045   1.1030E-064
    3.781660E+04   8.6919E-002   9.1308E-001   3.4223E-013   2.5782E-045   1.2443E-064
    3.881204E+04   7.5694E-002   9.2431E-001   3.6076E-013   2.3547E-045   1.3639E-064
    3.984228E+04   6.8622E-002   9.3138E-001   3.8382E-013   2.2475E-045   1.5077E-064
    4.090108E+04   6.4329E-002   9.3567E-001   4.2509E-013   2.3053E-045   1.7117E-064
    4.198933E+04   6.2102E-002   9.3790E-001   4.9030E-013   2.5327E-045   1.9825E-064
    4.310952E+04   6.1286E-002   9.3871E-001   5.7965E-013   2.9430E-045   2.3063E-064
    4.426353E+04   6.1187E-002   9.3881E-001   6.8884E-013   3.5694E-045   2.6560E-064
    4.545322E+04   6.0857E-002   9.3914E-001   8.1349E-013   4.4931E-045   3.0101E-064
    4.667980E+04   5.9371E-002   9.4063E-001   9.5114E-013   5.8508E-045   3.3604E-064
    4.794258E+04   5.6613E-002   9.4339E-001   1.0964E-012   7.7622E-045   3.6971E-064
    4.924062E+04   5.2967E-002   9.4703E-001   1.2419E-012   1.0276E-044   4.0117E-064
