#NTIMES:    67
#NSTAGES:     4
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           mn0           mn1           mn2           mn3
    2.248295E+04   1.0000E-099   9.9996E-001   4.2381E-005   2.9704E-024
    2.340334E+04   1.0000E-099   9.9996E-001   3.7575E-005   3.2895E-024
    2.427003E+04   1.0000E-099   9.9995E-001   4.9730E-005   7.5265E-024
    2.528269E+04   1.0000E-099   9.9994E-001   5.6944E-005   1.0799E-023
    2.627013E+04   1.0000E-099   9.9995E-001   5.1971E-005   1.0158E-023
    2.723040E+04   1.0000E-099   9.9991E-001   8.8574E-005   2.5777E-023
    2.827004E+04   1.0000E-099   9.9988E-001   1.1911E-004   3.9524E-023
    2.934273E+04   1.0000E-099   9.9981E-001   1.9196E-004   8.1898E-023
    3.052012E+04   1.0000E-099   9.9970E-001   2.9977E-004   1.5823E-022
    3.176086E+04   1.0000E-099   9.9959E-001   4.1491E-004   2.5831E-022
    3.295538E+04   1.0000E-099   9.9952E-001   4.7518E-004   3.1262E-022
    3.403161E+04   1.0000E-099   9.9944E-001   5.5620E-004   4.0521E-022
    3.500379E+04   1.0000E-099   9.9929E-001   7.1143E-004   6.2239E-022
    3.593430E+04   1.0000E-099   9.9908E-001   9.2476E-004   9.8161E-022
    3.686142E+04   1.0000E-099   9.9884E-001   1.1613E-003   1.4384E-021
    3.781660E+04   1.0000E-099   9.9863E-001   1.3734E-003   1.8701E-021
    3.881204E+04   1.0000E-099   9.9850E-001   1.4971E-003   2.1063E-021
    3.984228E+04   1.0000E-099   9.9846E-001   1.5448E-003   2.1795E-021
    4.090108E+04   1.0000E-099   9.9846E-001   1.5434E-003   2.1627E-021
    4.198933E+04   1.0000E-099   9.9849E-001   1.5088E-003   2.0906E-021
    4.310952E+04   1.0000E-099   9.9854E-001   1.4558E-003   1.9834E-021
    4.426353E+04   1.0000E-099   9.9861E-001   1.3938E-003   1.8573E-021
    4.545322E+04   1.0000E-099   9.9867E-001   1.3297E-003   1.7356E-021
    4.667980E+04   1.0000E-099   9.9873E-001   1.2720E-003   1.6449E-021
    4.794258E+04   1.0000E-099   9.9877E-001   1.2292E-003   1.5979E-021
    4.924062E+04   1.0000E-099   9.9879E-001   1.2059E-003   1.5948E-021
    5.057272E+04   1.0000E-099   9.9879E-001   1.2086E-003   1.6420E-021
    5.193717E+04   1.0000E-099   9.9876E-001   1.2381E-003   1.7369E-021
    5.333235E+04   1.0000E-099   9.9871E-001   1.2915E-003   1.8667E-021
    5.475676E+04   1.0000E-099   9.9866E-001   1.3356E-003   1.9735E-021
    5.620758E+04   1.0000E-099   9.9864E-001   1.3552E-003   2.0257E-021
    5.768166E+04   1.0000E-099   9.9867E-001   1.3330E-003   1.9932E-021
    5.917412E+04   1.0000E-099   9.9872E-001   1.2757E-003   1.8898E-021
    6.067730E+04   1.0000E-099   9.9882E-001   1.1839E-003   1.7224E-021
    6.217708E+04   1.0000E-099   9.9894E-001   1.0591E-003   1.5005E-021
    6.366086E+04   1.0000E-099   9.9909E-001   9.1330E-004   1.2501E-021
    6.510379E+04   1.0000E-099   9.9924E-001   7.6398E-004   1.0031E-021
    6.648389E+04   1.0000E-099   9.9937E-001   6.3273E-004   7.9352E-022
    6.776932E+04   1.0000E-099   9.9947E-001   5.2603E-004   6.2678E-022
    6.895129E+04   1.0000E-099   9.9956E-001   4.4429E-004   4.8812E-022
    6.949055E+04   1.0000E-099   9.9960E-001   4.0082E-004   3.9521E-022
    6.976176E+04   1.0000E-099   9.9962E-001   3.7608E-004   3.2965E-022
    6.989776E+04   1.0000E-099   9.9964E-001   3.5947E-004   2.7341E-022
    6.996586E+04   1.0000E-099   9.9965E-001   3.4874E-004   2.3109E-022
    6.999823E+04   1.0000E-099   9.9966E-001   3.4156E-004   2.0133E-022
    6.999993E+04   1.0000E-099   9.9966E-001   3.4073E-004   1.9799E-022
#TIME:     0.605
#NVEL: 115
#vel_mid[km/s]           mn0           mn1           mn2           mn3
    8.484664E+02   1.0000E-099   1.5105E-013   3.7362E-006   1.0000E+000
    8.543246E+02   1.0000E-099   1.5105E-013   3.7362E-006   1.0000E+000
    8.721432E+02   1.0000E-099   1.5105E-013   3.7363E-006   1.0000E+000
    9.089031E+02   1.0000E-099   1.5105E-013   3.7363E-006   1.0000E+000
    9.682894E+02   1.0000E-099   1.5106E-013   3.7364E-006   1.0000E+000
    1.029084E+03   1.0000E-099   1.5111E-013   3.7370E-006   1.0000E+000
    1.093701E+03   1.0000E-099   1.5104E-013   3.7363E-006   1.0000E+000
    1.162375E+03   1.0000E-099   1.5044E-013   3.7290E-006   1.0000E+000
    1.235362E+03   1.0000E-099   1.4799E-013   3.6971E-006   1.0000E+000
    1.312931E+03   1.0000E-099   1.3649E-013   3.5411E-006   1.0000E+000
    1.395371E+03   1.0000E-099   8.0555E-014   2.6964E-006   1.0000E+000
    1.482988E+03   1.0000E-099   5.2061E-014   2.1546E-006   1.0000E+000
    1.576106E+03   1.0000E-099   4.8642E-014   2.0811E-006   1.0000E+000
    1.675071E+03   1.0000E-099   3.7198E-014   1.8152E-006   1.0000E+000
    1.780251E+03   1.0000E-099   2.5720E-014   1.5052E-006   1.0000E+000
    1.892034E+03   1.0000E-099   1.8452E-014   1.2732E-006   1.0000E+000
    2.010837E+03   1.0000E-099   1.3185E-014   1.0745E-006   1.0000E+000
    2.137099E+03   1.0000E-099   9.2304E-015   8.9815E-007   1.0000E+000
    2.271289E+03   1.0000E-099   6.4596E-015   7.5070E-007   1.0000E+000
    2.413905E+03   1.0000E-099   4.5664E-015   6.3087E-007   1.0000E+000
    2.565477E+03   1.0000E-099   3.4997E-015   5.5218E-007   1.0000E+000
    2.726565E+03   1.0000E-099   2.8887E-015   5.0164E-007   1.0000E+000
    2.897769E+03   1.0000E-099   2.6228E-015   4.7803E-007   1.0000E+000
    3.079722E+03   1.0000E-099   2.6167E-015   4.7762E-007   1.0000E+000
    3.273101E+03   1.0000E-099   3.2279E-015   5.3100E-007   1.0000E+000
    3.478622E+03   1.0000E-099   4.5014E-015   6.2957E-007   1.0000E+000
    3.697048E+03   1.0000E-099   1.0499E-014   9.6596E-007   1.0000E+000
    3.929188E+03   1.0000E-099   2.1457E-014   1.3815E-006   1.0000E+000
    4.175906E+03   1.0000E-099   3.2930E-014   1.7627E-006   1.0000E+000
    4.438115E+03   1.0000E-099   4.8680E-014   2.1843E-006   1.0000E+000
    4.716788E+03   1.0000E-099   4.7324E-014   2.1636E-006   1.0000E+000
    5.012959E+03   1.0000E-099   3.8125E-014   1.9371E-006   1.0000E+000
    5.327727E+03   1.0000E-099   3.0437E-014   1.7257E-006   1.0000E+000
    5.662260E+03   1.0000E-099   2.6525E-014   1.6118E-006   1.0000E+000
    6.017798E+03   1.0000E-099   2.5272E-014   1.5751E-006   1.0000E+000
    6.395661E+03   1.0000E-099   2.7575E-014   1.6546E-006   1.0000E+000
    6.797251E+03   1.0000E-099   3.2171E-014   1.8046E-006   1.0000E+000
    7.224056E+03   1.0000E-099   4.0191E-014   2.0376E-006   1.0000E+000
    7.677661E+03   1.0000E-099   5.2878E-014   2.3708E-006   1.0000E+000
    8.159748E+03   1.0000E-099   8.0321E-014   2.9769E-006   1.0000E+000
    8.672106E+03   1.0000E-099   1.8936E-013   4.7948E-006   1.0000E+000
    9.216636E+03   1.0000E-099   2.1404E-012   1.8511E-005   9.9998E-001
    9.793140E+03   1.0000E-099   2.6942E-010   3.0884E-004   9.9969E-001
    1.026683E+04   1.0000E-099   6.6302E-008   9.7011E-003   9.9030E-001
    1.070804E+04   1.0000E-099   3.7120E-005   4.7962E-001   5.2034E-001
    1.120152E+04   1.0000E-099   8.5249E-003   9.9138E-001   9.6743E-005
    1.159423E+04   1.0000E-099   1.6780E-001   8.3220E-001   1.7494E-007
    1.180243E+04   1.0000E-099   3.4230E-001   6.5770E-001   2.7006E-008
    1.192916E+04   1.0000E-099   5.7718E-001   4.2282E-001   1.9009E-009
    1.202084E+04   1.0000E-099   8.1060E-001   1.8940E-001   4.6089E-011
    1.209768E+04   1.0000E-099   9.1298E-001   8.7017E-002   1.9223E-012
    1.216841E+04   1.0000E-099   9.5146E-001   4.8541E-002   1.9541E-013
    1.223949E+04   1.0000E-099   9.7489E-001   2.5107E-002   1.6293E-014
    1.231406E+04   1.0000E-099   9.8724E-001   1.2756E-002   1.3540E-015
    1.239842E+04   1.0000E-099   9.9291E-001   7.0856E-003   1.6092E-016
    1.256481E+04   1.0000E-099   9.9607E-001   3.9339E-003   1.8043E-017
    1.321135E+04   1.0000E-099   9.9275E-001   7.2532E-003   7.4171E-017
    1.378971E+04   1.0000E-099   9.8399E-001   1.6014E-002   7.1627E-016
    1.426236E+04   1.0000E-099   9.8327E-001   1.6730E-002   5.8814E-016
    1.471893E+04   1.0000E-099   9.8956E-001   1.0443E-002   8.5851E-017
    1.520339E+04   1.0000E-099   9.9512E-001   4.8760E-003   5.6694E-018
    1.569984E+04   1.0000E-099   9.9848E-001   1.5222E-003   1.1277E-019
    1.625603E+04   1.0000E-099   9.9962E-001   3.8263E-004   9.0147E-022
    1.692188E+04   1.0000E-099   9.9991E-001   8.6942E-005   6.5390E-024
    1.755155E+04   1.0000E-099   9.9997E-001   2.7509E-005   1.2160E-025
    1.815678E+04   1.0000E-099   9.9999E-001   1.3055E-005   7.0587E-027
    1.877630E+04   1.0000E-099   9.9999E-001   7.0770E-006   7.6636E-028
    1.943029E+04   1.0000E-099   1.0000E+000   4.1324E-006   1.9939E-028
    2.010428E+04   1.0000E-099   1.0000E+000   4.1576E-006   3.5485E-028
    2.090850E+04   1.0000E-099   1.0000E+000   4.5257E-006   1.4014E-027
    2.182676E+04   1.0000E-099   1.0000E+000   4.0018E-006   3.0201E-027
    2.283367E+04   1.0000E-099   9.9999E-001   5.0091E-006   1.2370E-026
    2.394324E+04   1.0000E-099   9.9999E-001   5.8248E-006   2.9450E-026
    2.516734E+04   1.0000E-099   9.9999E-001   8.4926E-006   7.7383E-026
    2.638649E+04   1.0000E-099   9.9999E-001   8.4358E-006   9.2106E-026
    2.758311E+04   1.0000E-099   9.9998E-001   1.7152E-005   3.8352E-025
    2.884269E+04   1.0000E-099   9.9997E-001   2.7783E-005   9.7101E-025
    3.014497E+04   1.0000E-099   9.9995E-001   4.9530E-005   3.1274E-024
    3.148085E+04   1.0000E-099   9.9992E-001   7.6430E-005   7.6929E-024
    3.276289E+04   1.0000E-099   9.9991E-001   9.3207E-005   1.2073E-023
    3.391810E+04   1.0000E-099   9.9989E-001   1.1196E-004   1.9407E-023
    3.495083E+04   1.0000E-099   9.9985E-001   1.4843E-004   3.9637E-023
    3.592850E+04   1.0000E-099   9.9979E-001   2.0521E-004   8.7955E-023
    3.688885E+04   1.0000E-099   9.9972E-001   2.8111E-004   1.8243E-022
    3.786912E+04   1.0000E-099   9.9963E-001   3.7451E-004   3.2951E-022
    3.888044E+04   1.0000E-099   9.9953E-001   4.7098E-004   4.9787E-022
    3.991994E+04   1.0000E-099   9.9943E-001   5.6877E-004   6.7385E-022
    4.098383E+04   1.0000E-099   9.9933E-001   6.6683E-004   8.5151E-022
    4.207443E+04   1.0000E-099   9.9924E-001   7.6006E-004   1.0148E-021
    4.319619E+04   1.0000E-099   9.9916E-001   8.4481E-004   1.1470E-021
    4.435339E+04   1.0000E-099   9.9908E-001   9.1721E-004   1.2381E-021
    4.555005E+04   1.0000E-099   9.9903E-001   9.7390E-004   1.2943E-021
    4.678738E+04   1.0000E-099   9.9898E-001   1.0160E-003   1.3371E-021
    4.806468E+04   1.0000E-099   9.9895E-001   1.0500E-003   1.3854E-021
    4.937985E+04   1.0000E-099   9.9892E-001   1.0832E-003   1.4501E-021
    5.073002E+04   1.0000E-099   9.9887E-001   1.1265E-003   1.5458E-021
    5.211198E+04   1.0000E-099   9.9881E-001   1.1852E-003   1.6758E-021
    5.352349E+04   1.0000E-099   9.9874E-001   1.2570E-003   1.8275E-021
    5.496004E+04   1.0000E-099   9.9869E-001   1.3115E-003   1.9451E-021
    5.642085E+04   1.0000E-099   9.9866E-001   1.3350E-003   1.9989E-021
    5.789881E+04   1.0000E-099   9.9869E-001   1.3139E-003   1.9642E-021
    5.939226E+04   1.0000E-099   9.9874E-001   1.2560E-003   1.8574E-021
    6.088737E+04   1.0000E-099   9.9884E-001   1.1628E-003   1.6867E-021
    6.237825E+04   1.0000E-099   9.9896E-001   1.0369E-003   1.4633E-021
    6.383998E+04   1.0000E-099   9.9911E-001   8.9278E-004   1.2164E-021
    6.526223E+04   1.0000E-099   9.9925E-001   7.4702E-004   9.7608E-022
