#NTIMES: 50
#NSTAGES: 4
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL: 115
#vel_mid[km/s] ni0 ni1 ni2 ni3
30520.16 6.8104e-05 5.6207e-03 8.8881e-02 9.0543e-01
32243.50 9.7857e-06 3.0939e-03 6.6834e-02 9.3006e-01
33773.01 1.0010e-05 1.9979e-03 5.4205e-02 9.4379e-01
35108.48 2.8533e-05 1.0381e-03 3.9678e-02 9.5926e-01
36326.30 4.3217e-06 4.9994e-04 2.7604e-02 9.7189e-01
37486.70 1.3540e-06 2.4353e-04 1.9357e-02 9.8040e-01
38628.25 4.4120e-09 1.4295e-04 1.4898e-02 9.8496e-01
39768.62 5.6077e-10 7.8462e-05 1.1129e-02 9.8879e-01
40915.31 1.5970e-10 4.4551e-05 8.3990e-03 9.9156e-01
42074.51 6.6372e-11 2.5460e-05 6.3599e-03 9.9361e-01
43252.44 2.9630e-08 1.4514e-05 4.8117e-03 9.9517e-01
44454.05 2.0512e-08 8.2512e-06 3.6370e-03 9.9635e-01
45683.04 1.1940e-08 4.6637e-06 2.7402e-03 9.9726e-01
46941.68 6.8208e-09 2.6157e-06 2.0566e-03 9.9794e-01
48230.81 3.2241e-09 1.4579e-06 1.5374e-03 9.9846e-01
49550.29 1.3338e-09 8.0917e-07 1.1475e-03 9.9885e-01
50899.37 5.3279e-10 4.4739e-07 8.5537e-04 9.9914e-01
52276.86 2.1345e-10 2.4638e-07 6.3750e-04 9.9936e-01
53681.16 1.4537e-12 1.3537e-07 4.7535e-04 9.9952e-01
55110.21 5.4758e-13 7.4985e-08 3.5476e-04 9.9965e-01
56561.17 4.0694e-12 4.1381e-08 2.6516e-04 9.9973e-01
58030.00 6.0795e-12 2.3010e-08 1.9895e-04 9.9980e-01
59510.42 2.5835e-12 1.3013e-08 1.4991e-04 9.9985e-01
