#NTIMES:     67
#NSTAGES:     8
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           co0           co1           co2           co3           co4           co5           co6           co7
    7.772265E+03    1.0000E-99    1.4369E-26    5.0822E-19    1.2564E-12    2.4548E-07    1.8333E-03    3.5960E-01    6.3857E-01
    8.263477E+03    1.0000E-99    3.2289E-25    9.1423E-18    1.6670E-11    2.0528E-06    7.8258E-03    6.2764E-01    3.6453E-01
    8.785734E+03    1.0000E-99    2.1032E-22    3.6130E-15    3.2613E-09    1.3193E-04    9.6964E-02    8.7045E-01    3.2452E-02
    9.340997E+03    1.0000E-99    5.7331E-17    2.5115E-10    3.4939E-05    7.6738E-02    8.8695E-01    3.6271E-02    1.6817E-06
    9.929841E+03    1.0000E-99    1.0711E-10    4.3395E-05    1.4981E-01    8.4806E-01    2.0881E-03    1.4554E-09    7.6932E-20
    1.041447E+04    1.0000E-99    4.5246E-07    1.9987E-02    9.7468E-01    5.3320E-03    5.5105E-10    7.0799E-22    2.3022E-39
    1.083674E+04    1.0000E-99    2.0595E-04    7.5880E-01    2.4099E-01    4.7076E-07    3.7950E-19    1.0797E-37    1.4841E-63
    1.136786E+04    1.0000E-99    1.0047E-01    8.9953E-01    2.4518E-06    9.9811E-20    2.2366E-43    5.0537E-72    6.0465E-96
    1.167027E+04    1.0000E-99    4.1789E-01    5.8211E-01    6.9113E-08    3.2005E-23    7.6520E-50    1.5023E-75    2.1834-102
    1.185735E+04    1.0000E-99    6.3905E-01    3.6095E-01    9.2155E-09    4.6976E-25    4.1985E-53    2.2590E-77    1.2445-105
    1.198132E+04    1.0000E-99    9.0391E-01    9.6092E-02    6.7160E-11    1.2197E-29    1.5051E-61    6.2172E-82    4.9577-114
    1.207995E+04    1.0000E-99    9.7666E-01    2.3339E-02    5.5423E-13    4.6073E-34    5.8095E-65    2.7913E-86    2.3621-117
    1.216774E+04    1.0000E-99    9.9002E-01    9.9828E-03    3.1212E-14    9.9033E-37    3.8762E-66    7.0914E-89    1.9034-118
    1.225420E+04    1.0000E-99    9.9587E-01    4.1263E-03    1.6388E-15    1.8928E-39    2.5003E-67    1.6596E-91    1.5338-119
    1.234075E+04    1.0000E-99    9.9833E-01    1.6704E-03    8.3478E-17    3.5007E-42    1.5615E-68    3.7478E-94    1.1916-120
