#NTIMES: 50
#NSTAGES: 4
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL: 115
#vel_mid[km/s] c0 c1 c2 c3
425.78 8.8339e-04 9.4517e-01 5.3713e-02 2.3376e-04
857.79 5.1865e-03 9.5063e-01 4.4023e-02 1.5813e-04
878.44 5.4637e-03 9.5442e-01 3.9989e-02 1.3053e-04
917.72 2.4850e-03 9.5731e-01 4.0073e-02 1.2907e-04
973.04 9.2707e-04 9.4551e-01 5.3338e-02 2.2492e-04
1034.98 6.5483e-03 9.4720e-01 4.6082e-02 1.7215e-04
1099.97 2.0563e-03 9.5683e-01 4.0984e-02 1.3212e-04
1169.04 1.9487e-03 9.5853e-01 3.9392e-02 1.2690e-04
1242.44 1.6462e-03 9.5802e-01 4.0207e-02 1.2982e-04
1320.45 1.8111e-03 9.6017e-01 3.7901e-02 1.1908e-04
1403.37 4.7782e-03 9.5375e-01 4.1334e-02 1.3663e-04
1491.49 8.4277e-03 9.5227e-01 3.9171e-02 1.2644e-04
1585.14 7.4170e-03 9.5247e-01 3.9980e-02 1.3147e-04
1684.67 5.8605e-03 9.5556e-01 3.8463e-02 1.2135e-04
1790.45 5.0513e-03 9.5488e-01 3.9939e-02 1.2956e-04
1902.87 9.0977e-03 9.4945e-01 4.1316e-02 1.4107e-04
2022.36 8.2371e-04 9.4250e-01 5.6425e-02 2.5547e-04
2149.34 1.1201e-03 9.5805e-01 4.0694e-02 1.3216e-04
2284.30 1.1725e-03 9.5489e-01 4.3781e-02 1.5187e-04
2427.74 1.2073e-03 9.5040e-01 4.8215e-02 1.7871e-04
2580.18 1.1003e-03 9.4637e-01 5.2321e-02 2.0815e-04
2742.19 1.1871e-03 9.4101e-01 5.7559e-02 2.3956e-04
2914.37 1.2495e-03 9.3480e-01 6.3673e-02 2.7623e-04
3097.37 1.4203e-03 9.2700e-01 7.1275e-02 3.0851e-04
3291.85 1.4788e-03 9.1281e-01 8.5339e-02 3.6872e-04
3498.55 2.1568e-03 9.0638e-01 9.1111e-02 3.5221e-04
3718.23 1.7590e-02 9.1134e-01 7.0862e-02 2.0590e-04
3951.70 1.0357e-01 8.4114e-01 5.5151e-02 1.3524e-04
4199.83 8.0103e-02 8.4865e-01 7.1030e-02 2.1971e-04
4463.54 9.1346e-02 8.3911e-01 6.9296e-02 2.4826e-04
4743.81 1.4195e-01 7.9991e-01 5.7930e-02 2.1545e-04
5041.68 1.5852e-01 7.9367e-01 4.7639e-02 1.7435e-04
5358.25 1.7397e-01 7.8230e-01 4.3566e-02 1.6064e-04
5694.70 1.7344e-01 7.8465e-01 4.1759e-02 1.5332e-04
6052.28 1.8026e-01 7.7991e-01 3.9682e-02 1.4431e-04
6432.31 1.8680e-01 7.7554e-01 3.7524e-02 1.3160e-04
6836.20 1.8818e-01 7.7354e-01 3.8143e-02 1.3878e-04
7265.45 1.9791e-01 7.6507e-01 3.6888e-02 1.3005e-04
7721.65 2.1205e-01 7.5214e-01 3.5688e-02 1.2152e-04
8206.56 2.1876e-01 7.4742e-01 3.3713e-02 1.1152e-04
8717.73 2.3258e-01 7.3594e-01 3.1387e-02 9.6635e-05
9214.74 2.4623e-01 7.2256e-01 3.1124e-02 8.6627e-05
9629.11 2.5647e-01 7.1181e-01 3.1647e-02 8.1455e-05
9954.11 2.7644e-01 6.9244e-01 3.1045e-02 7.2857e-05
10245.64 2.3345e-01 7.2608e-01 4.0381e-02 9.3364e-05
10541.49 2.1899e-01 7.3362e-01 4.7288e-02 1.0530e-04
10839.94 2.3560e-01 7.1895e-01 4.5367e-02 8.1986e-05
11119.11 2.5791e-01 7.0061e-01 4.1413e-02 6.6433e-05
11355.83 2.5010e-01 7.1908e-01 3.0785e-02 4.0134e-05
11539.81 2.4118e-01 7.3569e-01 2.3109e-02 2.4756e-05
11677.16 2.8566e-01 6.9611e-01 1.8215e-02 1.7122e-05
11784.05 2.7540e-01 7.0868e-01 1.5904e-02 1.3167e-05
11875.85 2.5423e-01 7.3038e-01 1.5377e-02 1.2811e-05
11963.37 2.1916e-01 7.6298e-01 1.7844e-02 1.5336e-05
12055.39 1.1375e-01 8.6120e-01 2.5022e-02 2.4505e-05
12170.41 2.0911e-01 7.5424e-01 3.6598e-02 4.3163e-05
12360.89 1.0804e-02 9.2887e-01 6.0253e-02 7.3321e-05
12670.46 9.2595e-04 8.8732e-01 1.1159e-01 1.5653e-04
13075.34 4.3554e-04 8.2096e-01 1.7830e-01 3.0388e-04
13530.52 4.7041e-04 8.0492e-01 1.9420e-01 4.0707e-04
14012.75 3.1715e-04 6.8179e-01 3.1715e-01 7.3486e-04
14508.81 2.5715e-04 6.9797e-01 3.0093e-01 8.4171e-04
15002.30 2.3150e-04 6.9895e-01 2.9993e-01 8.9714e-04
15475.29 2.6601e-04 7.4509e-01 2.5386e-01 7.8874e-04
15923.68 2.6586e-04 7.7054e-01 2.2840e-01 7.9777e-04
16355.64 2.4454e-04 8.5290e-01 1.4630e-01 5.5407e-04
16776.27 2.8339e-04 8.6805e-01 1.3117e-01 4.9779e-04
17183.14 3.7199e-04 9.0383e-01 9.5444e-02 3.5714e-04
17580.45 5.0682e-04 9.0179e-01 9.7370e-02 3.3021e-04
17990.34 3.9413e-04 8.9814e-01 1.0105e-01 4.1540e-04
18458.06 6.0907e-04 8.6453e-01 1.3427e-01 5.9482e-04
19084.69 5.3411e-04 8.4511e-01 1.5357e-01 7.9359e-04
19999.79 3.1801e-04 7.6615e-01 2.3180e-01 1.7324e-03
21193.46 1.7489e-04 8.0832e-01 1.8872e-01 2.7887e-03
22528.72 8.9003e-05 7.0844e-01 2.8464e-01 6.8225e-03
23943.32 2.9958e-05 3.7510e-01 6.0411e-01 2.0766e-02
25446.74 2.9439e-05 2.9951e-01 6.7374e-01 2.6726e-02
27044.57 5.6340e-06 1.0164e-01 8.4510e-01 5.3249e-02
28744.18 1.6111e-05 3.0059e-01 5.9883e-01 1.0056e-01
30520.16 3.5546e-06 1.8268e-01 6.3343e-01 1.8389e-01
32243.50 1.4379e-06 1.2903e-01 6.2439e-01 2.4657e-01
33773.01 1.6994e-06 1.0173e-01 6.0151e-01 2.9676e-01
35108.48 1.8455e-06 6.9688e-02 5.5299e-01 3.7732e-01
36326.30 7.3966e-07 4.0584e-02 4.8172e-01 4.7769e-01
37486.70 2.5056e-07 2.3451e-02 4.0173e-01 5.7482e-01
38628.25 1.7138e-08 2.6812e-03 3.4570e-01 6.5161e-01
39768.62 2.4537e-09 5.8615e-04 2.8006e-01 7.1935e-01
40915.31 1.2858e-09 3.3963e-04 2.2405e-01 7.7561e-01
42074.51 1.2761e-09 5.1995e-04 1.7732e-01 8.2216e-01
43252.44 2.4166e-09 1.8935e-03 1.3863e-01 8.5948e-01
44454.05 1.3260e-09 1.1066e-03 1.0777e-01 8.9112e-01
