#NTIMES:    67
#NSTAGES:     5
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           cr0           cr1           cr2           cr3           cr4
    1.463678E+04   1.0000E-099   9.7287E-001   2.7131E-002   5.8483E-014   4.8836E-038
    1.515385E+04   1.0000E-099   9.8065E-001   1.9354E-002   1.7401E-014   3.2417E-039
    1.570238E+04   1.0000E-099   9.9065E-001   9.3521E-003   1.6072E-015   2.6254E-041
    1.628316E+04   1.0000E-099   9.9815E-001   1.8541E-003   9.3291E-018   3.2955E-046
    1.695591E+04   1.0000E-099   9.9959E-001   4.1414E-004   1.1213E-019   4.3911E-050
    1.773545E+04   1.0000E-099   9.9989E-001   1.0844E-004   1.7896E-021   1.1024E-053
    1.852426E+04   1.0000E-099   9.9996E-001   4.1906E-005   7.0694E-023   2.9834E-055
    1.933673E+04   1.0000E-099   9.9998E-001   2.3123E-005   1.1674E-023   2.1484E-055
    2.006825E+04   1.0000E-099   9.9998E-001   2.1935E-005   1.3356E-023   2.9229E-055
    2.082304E+04   1.0000E-099   9.9998E-001   2.3562E-005   3.3310E-023   7.4439E-055
    2.162788E+04   1.0000E-099   9.9998E-001   2.0067E-005   4.4434E-023   9.7321E-055
    2.248295E+04   1.0000E-099   9.9997E-001   2.5823E-005   1.4410E-022   3.3628E-054
    2.340334E+04   1.0000E-099   9.9998E-001   2.2495E-005   1.5738E-022   3.0442E-054
    2.427003E+04   1.0000E-099   9.9997E-001   2.9912E-005   3.5133E-022   6.8301E-054
    2.528269E+04   1.0000E-099   9.9997E-001   3.4686E-005   4.9702E-022   8.5668E-054
    2.627013E+04   1.0000E-099   9.9997E-001   3.1984E-005   4.6542E-022   6.8299E-054
    2.723040E+04   1.0000E-099   9.9994E-001   5.8830E-005   1.1852E-021   1.8621E-053
    2.827004E+04   1.0000E-099   9.9992E-001   8.4163E-005   1.8361E-021   2.8173E-053
    2.934273E+04   1.0000E-099   9.9985E-001   1.4585E-004   3.8668E-021   6.3001E-053
    3.052012E+04   1.0000E-099   9.9976E-001   2.4191E-004   7.5304E-021   1.2925E-052
    3.176086E+04   1.0000E-099   9.9965E-001   3.4945E-004   1.2354E-020   2.1625E-052
    3.295538E+04   1.0000E-099   9.9959E-001   4.1136E-004   1.4952E-020   2.5036E-052
    3.403161E+04   1.0000E-099   9.9951E-001   4.8995E-004   1.9198E-020   3.1650E-052
    3.500379E+04   1.0000E-099   9.9937E-001   6.3198E-004   2.8636E-020   4.8834E-052
    3.593430E+04   1.0000E-099   9.9918E-001   8.1889E-004   4.2957E-020   7.6434E-052
    3.686142E+04   1.0000E-099   9.9899E-001   1.0112E-003   5.9018E-020   1.0816E-051
    3.781660E+04   1.0000E-099   9.9885E-001   1.1545E-003   7.1287E-020   1.3228E-051
    3.881204E+04   1.0000E-099   9.9881E-001   1.1895E-003   7.4062E-020   1.3666E-051
    3.984228E+04   1.0000E-099   9.9886E-001   1.1386E-003   7.0257E-020   1.2834E-051
    4.090108E+04   1.0000E-099   9.9896E-001   1.0394E-003   6.3642E-020   1.1563E-051
    4.198933E+04   1.0000E-099   9.9908E-001   9.1889E-004   5.6125E-020   1.0206E-051
    4.310952E+04   1.0000E-099   9.9920E-001   7.9923E-004   4.8844E-020   8.9373E-052
    4.426353E+04   1.0000E-099   9.9930E-001   6.9868E-004   4.2789E-020   7.9109E-052
    4.545322E+04   1.0000E-099   9.9937E-001   6.3040E-004   3.8910E-020   7.3172E-052
    4.667980E+04   1.0000E-099   9.9939E-001   6.0510E-004   3.8125E-020   7.3715E-052
    4.794258E+04   1.0000E-099   9.9939E-001   6.0911E-004   3.9605E-020   7.9478E-052
    4.924062E+04   1.0000E-099   9.9938E-001   6.1704E-004   4.1640E-020   8.7195E-052
    5.057272E+04   1.0000E-099   9.9939E-001   6.1487E-004   4.3203E-020   9.4718E-052
    5.193717E+04   1.0000E-099   9.9941E-001   5.9113E-004   4.3219E-020   9.9208E-052
    5.333235E+04   1.0000E-099   9.9946E-001   5.4397E-004   4.1130E-020   9.8272E-052
    5.475676E+04   1.0000E-099   9.9952E-001   4.8294E-004   3.7381E-020   9.1990E-052
    5.620758E+04   1.0000E-099   9.9959E-001   4.1489E-004   3.2484E-020   8.1293E-052
    5.768166E+04   1.0000E-099   9.9965E-001   3.4780E-004   2.7206E-020   6.8325E-052
