#NTIMES:    67
#NSTAGES:     4
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           ti0           ti1           ti2           ti3
    2.248295E+04   1.0000E-099   9.9825E-001   1.7479E-003   1.9109E-018
    2.340334E+04   1.0000E-099   9.9842E-001   1.5797E-003   1.9501E-018
    2.427003E+04   1.0000E-099   9.9793E-001   2.0716E-003   4.0250E-018
    2.528269E+04   1.0000E-099   9.9765E-001   2.3516E-003   5.2267E-018
    2.627013E+04   1.0000E-099   9.9782E-001   2.1803E-003   4.4360E-018
    2.723040E+04   1.0000E-099   9.9654E-001   3.4602E-003   1.0139E-017
    2.827004E+04   1.0000E-099   9.9558E-001   4.4191E-003   1.4097E-017
    2.934273E+04   1.0000E-099   9.9346E-001   6.5373E-003   2.6446E-017
    3.052012E+04   1.0000E-099   9.9061E-001   9.3944E-003   4.6163E-017
    3.176086E+04   1.0000E-099   9.8785E-001   1.2151E-002   6.8695E-017
    3.295538E+04   1.0000E-099   9.8672E-001   1.3276E-002   7.6464E-017
    3.403161E+04   1.0000E-099   9.8535E-001   1.4654E-002   9.0923E-017
    3.500379E+04   1.0000E-099   9.8252E-001   1.7481E-002   1.2724E-016
    3.593430E+04   1.0000E-099   9.7877E-001   2.1229E-002   1.8309E-016
    3.686142E+04   1.0000E-099   9.7484E-001   2.5163E-002   2.4823E-016
    3.781660E+04   1.0000E-099   9.7169E-001   2.8314E-002   3.0624E-016
    3.881204E+04   1.0000E-099   9.7049E-001   2.9512E-002   3.3737E-016
    3.984228E+04   1.0000E-099   9.7093E-001   2.9069E-002   3.4872E-016
    4.090108E+04   1.0000E-099   9.7242E-001   2.7579E-002   3.4737E-016
    4.198933E+04   1.0000E-099   9.7447E-001   2.5526E-002   3.3527E-016
    4.310952E+04   1.0000E-099   9.7664E-001   2.3365E-002   3.1566E-016
    4.426353E+04   1.0000E-099   9.7858E-001   2.1424E-002   2.9308E-016
    4.545322E+04   1.0000E-099   9.8005E-001   1.9951E-002   2.7364E-016
    4.667980E+04   1.0000E-099   9.8090E-001   1.9103E-002   2.6267E-016
    4.794258E+04   1.0000E-099   9.8116E-001   1.8844E-002   2.6091E-016
    4.924062E+04   1.0000E-099   9.8093E-001   1.9071E-002   2.6687E-016
    5.057272E+04   1.0000E-099   9.8023E-001   1.9771E-002   2.8025E-016
    5.193717E+04   1.0000E-099   9.7909E-001   2.0908E-002   2.9981E-016
    5.333235E+04   1.0000E-099   9.7779E-001   2.2212E-002   3.2006E-016
    5.475676E+04   1.0000E-099   9.7669E-001   2.3306E-002   3.3467E-016
    5.620758E+04   1.0000E-099   9.7606E-001   2.3945E-002   3.4041E-016
    5.768166E+04   1.0000E-099   9.7588E-001   2.4120E-002   3.3708E-016
    5.917412E+04   1.0000E-099   9.7607E-001   2.3934E-002   3.2636E-016
    6.067730E+04   1.0000E-099   9.7655E-001   2.3448E-002   3.0981E-016
    6.217708E+04   1.0000E-099   9.7730E-001   2.2696E-002   2.8949E-016
    6.366086E+04   1.0000E-099   9.7825E-001   2.1748E-002   2.6792E-016
    6.510379E+04   1.0000E-099   9.7937E-001   2.0629E-002   2.4597E-016
    6.648389E+04   1.0000E-099   9.8051E-001   1.9489E-002   2.2512E-016
    6.776932E+04   1.0000E-099   9.8189E-001   1.8107E-002   2.0206E-016
    6.895129E+04   1.0000E-099   9.8344E-001   1.6560E-002   1.7394E-016
    6.949055E+04   1.0000E-099   9.8511E-001   1.4893E-002   1.4217E-016
    6.976176E+04   1.0000E-099   9.8609E-001   1.3912E-002   1.1882E-016
    6.989776E+04   1.0000E-099   9.8694E-001   1.3057E-002   9.6943E-017
    6.996586E+04   1.0000E-099   9.8759E-001   1.2414E-002   8.0124E-017
    6.999823E+04   1.0000E-099   9.8798E-001   1.2017E-002   6.8720E-017
    6.999993E+04   1.0000E-099   9.8807E-001   1.1931E-002   6.7206E-017
#TIME:     0.605
#NVEL: 115
#vel_mid[km/s]           ti0           ti1           ti2           ti3
    8.484664E+02   1.0000E-099   2.2261E-013   2.6015E-006   1.0000E+000
    8.543246E+02   1.0000E-099   2.2261E-013   2.6015E-006   1.0000E+000
    8.721432E+02   1.0000E-099   2.2261E-013   2.6015E-006   1.0000E+000
    9.089031E+02   1.0000E-099   2.2261E-013   2.6015E-006   1.0000E+000
    9.682894E+02   1.0000E-099   2.2263E-013   2.6016E-006   1.0000E+000
    1.029084E+03   1.0000E-099   2.2269E-013   2.6019E-006   1.0000E+000
    1.093701E+03   1.0000E-099   2.2254E-013   2.6006E-006   1.0000E+000
    1.162375E+03   1.0000E-099   2.2162E-013   2.5949E-006   1.0000E+000
    1.235362E+03   1.0000E-099   2.1857E-013   2.5812E-006   1.0000E+000
    1.312931E+03   1.0000E-099   2.0563E-013   2.5354E-006   1.0000E+000
    1.395371E+03   1.0000E-099   1.3078E-013   2.1270E-006   1.0000E+000
    1.482988E+03   1.0000E-099   8.9995E-014   1.8483E-006   1.0000E+000
    1.576106E+03   1.0000E-099   8.4849E-014   1.8072E-006   1.0000E+000
    1.675071E+03   1.0000E-099   6.7095E-014   1.6499E-006   1.0000E+000
    1.780251E+03   1.0000E-099   4.8412E-014   1.4511E-006   1.0000E+000
    1.892034E+03   1.0000E-099   3.5572E-014   1.2691E-006   1.0000E+000
    2.010837E+03   1.0000E-099   2.6344E-014   1.1264E-006   1.0000E+000
    2.137099E+03   1.0000E-099   1.8960E-014   9.7924E-007   1.0000E+000
    2.271289E+03   1.0000E-099   1.3708E-014   8.5744E-007   1.0000E+000
    2.413905E+03   1.0000E-099   9.9421E-015   7.4769E-007   1.0000E+000
    2.565477E+03   1.0000E-099   7.7525E-015   6.7097E-007   1.0000E+000
    2.726565E+03   1.0000E-099   6.4414E-015   6.1541E-007   1.0000E+000
    2.897769E+03   1.0000E-099   5.8066E-015   5.8036E-007   1.0000E+000
    3.079722E+03   1.0000E-099   5.6584E-015   5.6050E-007   1.0000E+000
    3.273101E+03   1.0000E-099   6.6854E-015   5.8578E-007   1.0000E+000
    3.478622E+03   1.0000E-099   8.4995E-015   6.0962E-007   1.0000E+000
    3.697048E+03   1.0000E-099   1.8521E-014   8.5174E-007   1.0000E+000
    3.929188E+03   1.0000E-099   3.7665E-014   1.2100E-006   1.0000E+000
    4.175906E+03   1.0000E-099   4.5304E-014   1.1271E-006   1.0000E+000
    4.438115E+03   1.0000E-099   6.0324E-014   1.2350E-006   1.0000E+000
    4.716788E+03   1.0000E-099   5.7342E-014   1.1927E-006   1.0000E+000
    5.012959E+03   1.0000E-099   4.6757E-014   1.0824E-006   1.0000E+000
    5.327727E+03   1.0000E-099   3.7885E-014   9.8063E-007   1.0000E+000
    5.662260E+03   1.0000E-099   3.2924E-014   9.1304E-007   1.0000E+000
    6.017798E+03   1.0000E-099   3.1191E-014   8.8651E-007   1.0000E+000
    6.395661E+03   1.0000E-099   3.3116E-014   9.0310E-007   1.0000E+000
    6.797251E+03   1.0000E-099   3.6976E-014   9.3865E-007   1.0000E+000
    7.224056E+03   1.0000E-099   4.4244E-014   1.0125E-006   1.0000E+000
    7.677661E+03   1.0000E-099   5.5038E-014   1.1126E-006   1.0000E+000
    8.159748E+03   1.0000E-099   7.8195E-014   1.3094E-006   1.0000E+000
    8.672106E+03   1.0000E-099   1.5874E-013   1.8498E-006   1.0000E+000
    9.216636E+03   1.0000E-099   1.2863E-012   5.6774E-006   9.9999E-001
    9.793140E+03   1.0000E-099   8.4362E-011   7.0750E-005   9.9993E-001
    1.026683E+04   1.0000E-099   9.2946E-009   1.6342E-003   9.9837E-001
    1.070804E+04   1.0000E-099   3.3870E-006   8.6752E-002   9.1324E-001
    1.120152E+04   1.0000E-099   2.2151E-003   9.9458E-001   3.2033E-003
    1.159423E+04   1.0000E-099   3.6820E-002   9.6316E-001   1.6339E-005
    1.180243E+04   1.0000E-099   8.4515E-002   9.1548E-001   3.7539E-006
    1.192916E+04   1.0000E-099   1.7690E-001   8.2310E-001   5.4814E-007
    1.202084E+04   1.0000E-099   3.6297E-001   6.3703E-001   4.0683E-008
    1.209768E+04   1.0000E-099   5.4774E-001   4.5226E-001   4.2925E-009
    1.216841E+04   1.0000E-099   6.7109E-001   3.2891E-001   8.1312E-010
    1.223949E+04   1.0000E-099   7.8344E-001   2.1656E-001   1.2634E-010
    1.231406E+04   1.0000E-099   8.6589E-001   1.3411E-001   1.8649E-011
    1.239842E+04   1.0000E-099   9.1405E-001   8.5953E-002   3.5222E-012
    1.256481E+04   1.0000E-099   9.4551E-001   5.4489E-002   6.3455E-013
    1.321135E+04   1.0000E-099   9.0530E-001   9.4697E-002   2.3072E-012
    1.378971E+04   1.0000E-099   8.2127E-001   1.7873E-001   1.5152E-011
    1.426236E+04   1.0000E-099   8.1028E-001   1.8972E-001   1.3917E-011
    1.471893E+04   1.0000E-099   8.6183E-001   1.3817E-001   3.2986E-012
    1.520339E+04   1.0000E-099   9.2240E-001   7.7600E-002   3.9186E-013
