#NTIMES: 4
#NSTAGES: 8
#TIMES[d]: 5.0 10.0 15.0 20.0
#
#TIME: 5.0
#NVEL: 24
#vel_mid[km/s] Si0 Si1 Si2 Si3 Si4 Si5 Si6 Si7
1.908468E+04 2.693992E-06 9.923691E-01 7.628222E-03 4.494867E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.999980E+04 3.067233E-06 9.966433E-01 3.353672E-03 2.039639E-18 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.119348E+04 2.876108E-06 9.982266E-01 1.770515E-03 1.394084E-19 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.252870E+04 2.586145E-06 9.988694E-01 1.128041E-03 1.994671E-20 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.394330E+04 2.081131E-06 9.991096E-01 8.883065E-04 5.544586E-21 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.544675E+04 1.779922E-06 9.992940E-01 7.042428E-04 1.845078E-21 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.704458E+04 1.410005E-06 9.993925E-01 6.061379E-04 7.294936E-22 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.874418E+04 9.506543E-07 9.993696E-01 6.293995E-04 4.459071E-22 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.052015E+04 6.644400E-07 9.993503E-01 6.490394E-04 2.865462E-22 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.224350E+04 5.561161E-07 9.994132E-01 5.862155E-04 1.544625E-22 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.377303E+04 4.875236E-07 9.994718E-01 5.276844E-04 8.793482E-23 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
3.473940E+04 3.745568E-07 9.994228E-01 5.768708E-04 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
#
#TIME: 15.0
#NVEL: 41
#vel_mid[km/s] Si0 Si1 Si2 Si3 Si4 Si5 Si6 Si7
9.653898E+03 1.748327E-09 1.869693E-02 9.813029E-01 1.579575E-07 2.860300E-21 0.000000E+00 0.000000E+00 0.000000E+00
9.954100E+03 2.492331E-09 2.443996E-02 9.755599E-01 1.054663E-07 1.178440E-21 0.000000E+00 0.000000E+00 0.000000E+00
1.024563E+04 3.310784E-09 3.092800E-02 9.690719E-01 6.609946E-08 4.013055E-22 0.000000E+00 0.000000E+00 0.000000E+00
1.054150E+04 4.305271E-09 3.832954E-02 9.616704E-01 4.297761E-08 1.490479E-22 0.000000E+00 0.000000E+00 0.000000E+00
1.083998E+04 6.986269E-09 5.262080E-02 9.473792E-01 2.506164E-08 4.510442E-23 0.000000E+00 0.000000E+00 0.000000E+00
1.111913E+04 1.257395E-08 7.571502E-02 9.242850E-01 1.333543E-08 1.127928E-23 0.000000E+00 0.000000E+00 0.000000E+00
1.135580E+04 2.716272E-08 1.178617E-01 8.821383E-01 6.194225E-09 2.177286E-24 0.000000E+00 0.000000E+00 0.000000E+00
1.153978E+04 6.859737E-08 1.927449E-01 8.072550E-01 2.577703E-09 3.575515E-25 0.000000E+00 0.000000E+00 0.000000E+00
