#NTIMES: 108
#NSTAGES: 9
#TIMES[d]: 2.037028e+00 2.112455e+00 2.190675e+00 2.271792e+00 2.355913e+00 2.443148e+00 2.533613e+00 2.627428e+00 2.724717e+00 2.825608e+00 2.930235e+00 3.038736e+00 3.151255e+00 3.267940e+00 3.388946e+00 3.514432e+00 3.644565e+00 3.779516e+00 3.919465e+00 4.064595e+00 4.215100e+00 4.371177e+00 4.533034e+00 4.700883e+00 4.874948e+00 5.055458e+00 5.242653e+00 5.436778e+00 5.638092e+00 5.846861e+00 6.063359e+00 6.287873e+00 6.520702e+00 6.762152e+00 7.012541e+00 7.272203e+00 7.541479e+00 7.820726e+00 8.110313e+00 8.410623e+00 8.722052e+00 9.045013e+00 9.379933e+00 9.727255e+00 1.008744e+01 1.046096e+01 1.084831e+01 1.125000e+01 1.166656e+01 1.209856e+01 1.254655e+01 1.301112e+01 1.349289e+01 1.399251e+01 1.451063e+01 1.504793e+01 1.560513e+01 1.618296e+01 1.678218e+01 1.740360e+01 1.804802e+01 1.871630e+01 1.940933e+01 2.012802e+01 2.087333e+01 2.164623e+01 2.244774e+01 2.327894e+01 2.414092e+01 2.503481e+01 2.596181e+01 2.692312e+01 2.792004e+01 2.895387e+01 3.002597e+01 3.113778e+01 3.229075e+01 3.348642e+01 3.472636e+01 3.601222e+01 3.734568e+01 3.872852e+01 4.016256e+01 4.164970e+01 4.319192e+01 4.479123e+01 4.644977e+01 4.816972e+01 4.995336e+01 5.180304e+01 5.372120e+01 5.571040e+01 5.777325e+01 5.991249e+01 6.213094e+01 6.443153e+01 6.681731e+01 6.929144e+01 7.185717e+01 7.451791e+01 7.727716e+01 8.013859e+01 8.310597e+01 8.618323e+01 8.937444e+01 9.268381e+01 9.611572e+01 9.967470e+01 
#
#TIME: 2.037028e+00 
#NVEL: 115
#vel_mid[km/s] o0 o1 o2 o3 o4 o5 o6 o7 o8
4.242332e+02 3.510657e-16 3.989382e-09 8.968132e-04 5.648966e-01 4.340448e-01 1.618094e-04 0.000000e+00 0.000000e+00 0.000000e+00 
8.515108e+02 9.971846e-16 6.259929e-09 9.971846e-04 5.442048e-01 4.545526e-01 2.453640e-04 0.000000e+00 0.000000e+00 0.000000e+00 
8.638199e+02 2.283193e-16 1.924406e-09 4.546001e-04 4.015974e-01 5.972997e-01 6.482639e-04 0.000000e+00 0.000000e+00 0.000000e+00 
8.922215e+02 1.469930e-16 1.432058e-09 3.834601e-04 3.787260e-01 6.201638e-01 7.266805e-04 0.000000e+00 0.000000e+00 0.000000e+00 
9.416122e+02 1.992163e-16 2.247184e-09 5.790475e-04 4.710386e-01 5.280433e-01 3.390278e-04 0.000000e+00 0.000000e+00 0.000000e+00 
1.002576e+03 3.143924e-16 3.378984e-09 7.756972e-04 5.288844e-01 4.701195e-01 2.203685e-04 0.000000e+00 0.000000e+00 0.000000e+00 
1.065938e+03 3.506710e-16 3.742455e-09 8.339487e-04 5.451608e-01 4.538096e-01 1.956685e-04 0.000000e+00 0.000000e+00 0.000000e+00 
1.133306e+03 2.664112e-16 2.896927e-09 6.954982e-04 5.068885e-01 4.921534e-01 2.625800e-04 0.000000e+00 0.000000e+00 0.000000e+00 
1.204932e+03 2.032300e-16 2.245777e-09 5.749646e-04 4.668029e-01 5.322692e-01 3.529485e-04 0.000000e+00 0.000000e+00 0.000000e+00 
1.281084e+03 5.015721e-17 5.957640e-10 2.091061e-04 2.896402e-01 7.087943e-01 1.356364e-03 0.000000e+00 0.000000e+00 0.000000e+00 
1.362050e+03 2.672222e-18 3.751388e-11 2.381018e-05 8.856017e-02 8.993054e-01 1.211065e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.448132e+03 4.002119e-19 6.157107e-12 5.528011e-06 3.774574e-02 9.208890e-01 4.135970e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.539655e+03 6.949708e-20 1.173626e-12 1.426761e-06 1.668390e-02 8.721654e-01 1.111493e-01 0.000000e+00 0.000000e+00 0.000000e+00 
1.636962e+03 1.163406e-20 2.175475e-13 3.546970e-07 6.848017e-03 7.406074e-01 2.525443e-01 0.000000e+00 0.000000e+00 0.000000e+00 
1.740419e+03 1.123271e-21 2.443874e-14 5.616357e-08 1.958135e-03 4.880159e-01 5.100259e-01 0.000000e+00 0.000000e+00 0.000000e+00 
1.850415e+03 9.907335e-23 2.552079e-15 8.088900e-09 4.878422e-04 2.595973e-01 7.399149e-01 0.000000e+00 0.000000e+00 0.000000e+00 
1.967362e+03 7.363995e-24 2.234246e-16 9.668375e-10 9.968946e-05 1.132152e-01 8.866851e-01 0.000000e+00 0.000000e+00 0.000000e+00 
2.091700e+03 5.522338e-25 1.986453e-17 1.144197e-10 1.978507e-05 4.648299e-02 9.534972e-01 0.000000e+00 0.000000e+00 0.000000e+00 
2.223897e+03 3.739952e-26 1.614565e-18 1.237529e-11 3.618328e-06 1.787880e-02 9.821176e-01 0.000000e+00 0.000000e+00 0.000000e+00 
2.364448e+03 3.422374e-27 1.775500e-19 1.768609e-12 8.222884e-07 7.740536e-03 9.922586e-01 0.000000e+00 0.000000e+00 0.000000e+00 
2.513883e+03 5.653769e-28 3.416175e-20 4.184814e-13 2.750021e-07 4.184814e-03 9.958149e-01 0.000000e+00 0.000000e+00 0.000000e+00 
