#NTIMES: 200
#NSTAGES: 7
#TIMES[d]: 1.3135 1.3409 1.3688 1.3973 1.4263 1.4560 1.4863 1.5173 1.5488 1.5811 1.6140 1.6476 1.6819 1.7169 1.7526 1.7891 1.8263 1.8643 1.9031 1.9427 1.9831 2.0244 2.0665 2.1096 2.1535 2.1983 2.2440 2.2907 2.3384 2.3871 2.4368 2.4875 2.5392 2.5921 2.6460 2.7011 2.7573 2.8147 2.8733 2.9331 2.9941 3.0564 3.1200 3.1850 3.2513 3.3189 3.3880 3.4585 3.5305 3.6040 3.6790 3.7555 3.8337 3.9135 3.9949 4.0781 4.1629 4.2496 4.3380 4.4283 4.5205 4.6145 4.7106 4.8086 4.9087 5.0109 5.1151 5.2216 5.3303 5.4412 5.5544 5.6700 5.7880 5.9085 6.0315 6.1570 6.2851 6.4159 6.5495 6.6858 6.8249 6.9670 7.1120 7.2600 7.4111 7.5653 7.7228 7.8835 8.0476 8.2150 8.3860 8.5605 8.7387 8.9206 9.1062 9.2957 9.4892 9.6867 9.8883 10.0941 10.3042 10.5186 10.7375 10.9610 11.1891 11.4220 11.6597 11.9023 12.1501 12.4029 12.6611 12.9246 13.1935 13.4681 13.7484 14.0346 14.3266 14.6248 14.9292 15.2399 15.5570 15.8808 16.2113 16.5487 16.8931 17.2447 17.6036 17.9700 18.3440 18.7257 19.1155 19.5133 19.9194 20.3340 20.7571 21.1891 21.6301 22.0803 22.5398 23.0089 23.4878 23.9766 24.4756 24.9850 25.5050 26.0358 26.5776 27.1308 27.6954 28.2718 28.8602 29.4608 30.0740 30.6999 31.3388 31.9910 32.6568 33.3365 34.0302 34.7385 35.4615 36.1995 36.9529 37.7219 38.5070 39.3084 40.1265 40.9616 41.8141 42.6843 43.5726 44.4795 45.4052 46.3501 47.3148 48.2995 49.3047 50.3308 51.3783 52.4476 53.5391 54.6534 55.7908 56.9519 58.1372 59.3472 60.5823 61.8431 63.1302 64.4440 65.7853 67.1544 68.5520 69.9787 71.4351 72.9218 74.4394 75.9886 77.5701 79.1845
#
#TIME: 1.3135
#NVEL: 115
#vel_mid[km/s] o0 o1 o2 o3 o4 o5 o6
5.6947e+03 1.6399e-20 4.5436e-13 7.0317e-07 9.3988e-03 8.4362e-01 1.4692e-01 6.2010e-05
6.0522e+03 2.2665e-20 6.3800e-13 9.4833e-07 1.1376e-02 8.6986e-01 1.1873e-01 3.6781e-05
6.4323e+03 5.1961e-20 1.4515e-12 1.8982e-06 1.7395e-02 9.1112e-01 7.1474e-02 1.1086e-05
6.8362e+03 1.8494e-19 5.0307e-12 5.3214e-06 3.2019e-02 9.3647e-01 3.1501e-02 1.7042e-06
7.2654e+03 8.7153e-19 2.2465e-11 1.7980e-05 6.4281e-02 9.2452e-01 1.1184e-02 1.7064e-07
7.7216e+03 5.8536e-18 1.3966e-10 7.7768e-05 1.4417e-01 8.5288e-01 2.8739e-03 9.0451e-09
8.2065e+03 8.4989e-17 1.7818e-09 5.6572e-04 3.8966e-01 6.0947e-01 3.0270e-04 8.9957e-11
8.7177e+03 5.0415e-15 8.0255e-08 8.4802e-03 8.8128e-01 1.1024e-01 1.4241e-06 4.7589e-15
9.2147e+03 2.0709e-12 1.7266e-05 2.3010e-01 7.6887e-01 1.0124e-03 1.7755e-11 1.8430e-23
9.6291e+03 3.2430e-10 1.0474e-03 9.5997e-01 3.8986e-02 1.4280e-07 4.4488e-19 1.2311e-35
9.9539e+03 1.8450e-08 2.0174e-02 9.7952e-01 3.0354e-04 1.4590e-12 2.3661e-28 0.0000e+00
1.0246e+04 1.4169e-06 3.9584e-01 6.0416e-01 6.5490e-07 1.2869e-18 1.9276e-39 0.0000e+00
1.0542e+04 1.9199e-05 9.8117e-01 1.8813e-02 1.6725e-11 1.5640e-27 0.0000e+00 0.0000e+00
1.0840e+04 2.0972e-04 9.9972e-01 7.0359e-05 9.5672e-18 4.2743e-39 0.0000e+00 0.0000e+00
1.1119e+04 2.6927e-03 9.9731e-01 1.5836e-07 1.6552e-24 0.0000e+00 0.0000e+00 0.0000e+00
1.1356e+04 2.7590e-02 9.7241e-01 5.7102e-10 1.0453e-30 0.0000e+00 0.0000e+00 0.0000e+00
1.1540e+04 2.0630e-01 7.9370e-01 2.2470e-12 1.0874e-36 0.0000e+00 0.0000e+00 0.0000e+00
1.1677e+04 6.2732e-01 3.7268e-01 7.1357e-15 1.2906e-42 0.0000e+00 0.0000e+00 0.0000e+00
1.1784e+04 8.8945e-01 1.1055e-01 2.4828e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
