#NTIMES: 50
#NSTAGES: 4
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL: 115
#vel_mid[km/s] s0 s1 s2 s3
30520.16 5.7645e-07 5.6722e-02 4.8505e-01 4.5822e-01
32243.50 2.4746e-07 3.5752e-02 4.2882e-01 5.3543e-01
33773.01 2.5911e-07 2.6877e-02 3.8304e-01 5.9009e-01
35108.48 2.3813e-07 1.7169e-02 3.1761e-01 6.6522e-01
36326.30 6.0737e-08 8.8240e-03 2.4708e-01 7.4410e-01
37486.70 2.3156e-08 4.6040e-03 1.8608e-01 8.0931e-01
38628.25 3.7039e-09 1.2924e-03 1.4707e-01 8.5164e-01
39768.62 6.3939e-10 3.2137e-04 1.1061e-01 8.8907e-01
40915.31 2.7240e-10 1.6499e-04 8.2809e-02 9.1703e-01
42074.51 2.1682e-10 1.8578e-04 6.1627e-02 9.3819e-01
43252.44 1.8109e-10 2.4901e-04 4.5585e-02 9.5417e-01
44454.05 6.7676e-11 1.3575e-04 3.3638e-02 9.6623e-01
45683.04 3.5532e-11 7.3104e-05 2.4687e-02 9.7524e-01
46941.68 1.6630e-11 3.9175e-05 1.8067e-02 9.8189e-01
48230.81 8.3696e-12 2.0890e-05 1.3197e-02 9.8678e-01
49550.29 3.5547e-12 1.1127e-05 9.6326e-03 9.9036e-01
50899.37 2.8660e-12 5.9543e-06 7.0309e-03 9.9296e-01
52276.86 1.0150e-12 3.1967e-06 5.1441e-03 9.9485e-01
53681.16 2.5303e-13 1.7163e-06 3.7534e-03 9.9624e-01
55110.21 7.7707e-14 9.2984e-07 2.7565e-03 9.9724e-01
