#NTIMES: 200
#NSTAGES: 5
#TIMES[d]: 1.31352774879 1.34086478482 1.36877075709 1.39725750625 1.4263371194 1.45602193516 1.48632454897 1.51725781839 1.54883486857 1.58106909784 1.61397418335 1.6475640869 1.68185306088 1.71685565429 1.75258671891 1.78906141564 1.82629522088 1.86430393314 1.90310367972 1.94271092358 1.98314247027 2.02441547513 2.06654745052 2.10955627325 2.15346019222 2.19827783609 2.24402822123 2.29073075979 2.3384052679 2.38707197411 2.43675152798 2.48746500882 2.53923393462 2.59208027122 2.64602644162 2.70109533547 2.7573103188 2.81469524393 2.87327445961 2.9330728213 2.99411570179 3.0564290019 3.1200391615 3.18497317073 3.25125858145 3.31892351891 3.38799669372 3.458507414 3.53048559784 3.60396178597 3.67896715474 3.75553352933 3.83369339728 3.91347992225 3.99492695808 4.07806906321 4.16294151528 4.24958032614 4.33802225711 4.42830483457 4.52046636593 4.61454595581 4.71058352271 4.80861981588 4.90869643266 5.01085583611 5.11514137302 5.2215972923 5.33026876379 5.44120189738 5.55444376261 5.67004240861 5.78804688453 5.90850726031 6.03147464794 6.15700122315 6.28514024756 6.41594609124 6.54947425584 6.68578139809 6.82492535384 6.96696516263 7.11196109274 7.25997466672 7.41106868754 7.56530726521 7.72275584402 7.88348123025 8.04755162055 8.21503663089 8.38600732606 8.56053624988 8.73869745591 8.92056653893 9.10622066697 9.2957386141 9.48920079382 9.68668929318 9.88828790763 10.0940821766 10.3041594196 10.5186087737 10.7375212308 10.9609896768 11.1891089304 11.421975784 11.6596890442 11.902349574 12.1500603357 12.4029264342 12.661055162 12.9245560446 13.1935408868 13.4681238204 13.7484213523 14.0345524144 14.3266384136 14.6248032836 14.9291735374 15.2398783209 15.5570494679 15.8808215559 16.211331963 16.5487209267 16.8931316029 17.244710127 17.6036056756 17.9699705301 18.3439601411 18.7257331944 19.1154516784 19.5132809528 19.9193898187 20.3339505904 20.7571391682 21.1891351133 21.630121724 22.0802861133 22.5398192884 23.0089162317 23.4877759837 23.9766017271 24.4756008733 24.9849851505 25.5049706931 26.0357781339 26.5776326973 27.1307642952 27.6954076244 28.271802266 28.8601927875 29.4608288462 30.0739652952 30.6998622917 31.3387854071 31.9910057402 32.6568000314 33.3364507809 34.0302463683 34.7384811748 35.4614557083 36.1994767308 36.9528573888 37.7219173456 38.5069829176 39.3083872125 40.1264702705 40.9615792085 41.8140683681 42.6842994648 43.5726417426 44.4794721299 45.4051753997 46.3501443331 47.3147798855 48.299491357 49.3046965661 50.3308220268 51.3783031297 52.4475843269 53.53911932 54.6533712535 55.7908129104 56.9519269135 58.1372059297 59.3471528795 60.5822811498 61.8431148124 63.1301888459 64.4440493627 65.7852538411 67.1543713615 68.5519828478 69.9786813143 71.4350721169 72.9217732101 74.4394154093 75.9886426585 77.5701123031 79.1844953693
#
#TIME: 1.31352774879
#NVEL: 115
#vel_mid[km/s] temp[K] ne[/cm^3] c0 c1 c2 c3 c4
3.7182e+03 9.5501e+04 1.1447e+14 3.2170e-26 5.6327e-19 5.9163e-12 9.8224e-06 9.9999e-01
3.9517e+03 8.5298e+04 1.0750e+14 3.6930e-25 4.5150e-18 3.0656e-11 2.5733e-05 9.9997e-01
4.1999e+03 7.0756e+04 5.8351e+13 4.5826e-24 5.0576e-17 2.6598e-10 9.8729e-05 9.9990e-01
4.4636e+03 6.1501e+04 4.0585e+13 7.3731e-23 6.8385e-16 2.5239e-09 3.8034e-04 9.9962e-01
4.7438e+03 5.8000e+04 3.6488e+13 3.2307e-22 2.6753e-15 7.9472e-09 7.4597e-04 9.9925e-01
5.0416e+03 5.7076e+04 3.4689e+13 4.4893e-22 3.6864e-15 1.0520e-08 8.8257e-04 9.9912e-01
5.3582e+03 5.7048e+04 3.2866e+13 3.6134e-22 3.1321e-15 9.4355e-09 8.3582e-04 9.9916e-01
5.6947e+03 5.6805e+04 3.0776e+13 3.1986e-22 2.9154e-15 9.1558e-09 8.2948e-04 9.9917e-01
6.0522e+03 5.6099e+04 2.9002e+13 3.8753e-22 3.5772e-15 1.1076e-08 9.3320e-04 9.9907e-01
6.4323e+03 5.4660e+04 2.6726e+13 6.8626e-22 6.2472e-15 1.7988e-08 1.2468e-03 9.9875e-01
6.8362e+03 5.2662e+04 2.4125e+13 1.7326e-21 1.5235e-14 3.8574e-08 1.9588e-03 9.9804e-01
7.2654e+03 5.0491e+04 2.2008e+13 5.7078e-21 4.7233e-14 9.9868e-08 3.4214e-03 9.9658e-01
7.7216e+03 4.8044e+04 2.0005e+13 2.6291e-20 2.0062e-13 3.3322e-07 6.9085e-03 9.9309e-01
8.2065e+03 4.4825e+04 1.7799e+13 2.6956e-19 1.8179e-12 2.0565e-06 1.9828e-02 9.8017e-01
8.7177e+03 3.9811e+04 1.4956e+13 2.2053e-17 1.1886e-10 6.1954e-05 1.3589e-01 8.6405e-01
9.2147e+03 3.3233e+04 1.2760e+13 1.5432e-14 5.3934e-08 6.1624e-03 8.6614e-01 1.2770e-01
9.6291e+03 2.7346e+04 1.0618e+13 5.9721e-12 1.2669e-05 2.0345e-01 7.9568e-01 8.5955e-04
9.9539e+03 2.2706e+04 7.7053e+12 3.5863e-10 4.6784e-04 9.3366e-01 6.5871e-02 2.7647e-07
1.0246e+04 1.8922e+04 5.5868e+12 9.2050e-09 5.5874e-03 9.9381e-01 6.0318e-04 3.6904e-12
1.0542e+04 1.5605e+04 3.6191e+12 5.3759e-07 1.0122e-01 8.9878e-01 1.2652e-06 1.9196e-18
1.0840e+04 1.2930e+04 3.2876e+12 3.1092e-05 8.5211e-01 1.4786e-01 1.0084e-10 5.3633e-27
1.1119e+04 1.0912e+04 3.1858e+12 3.0769e-04 9.9730e-01 2.3891e-03 4.1639e-16 3.4099e-37
1.1356e+04 9.5722e+03 3.3472e+12 2.2296e-03 9.9772e-01 4.5866e-05 4.1190e-21 0.0000e+00
1.1540e+04 8.5760e+03 3.5030e+12 1.4174e-02 9.8583e-01 1.0524e-06 6.9802e-26 0.0000e+00
1.1677e+04 7.7754e+03 2.6526e+12 6.1469e-02 9.3853e-01 3.2585e-08 2.2524e-30 0.0000e+00
1.1784e+04 7.1612e+03 1.7897e+12 1.8490e-01 8.1510e-01 1.4059e-09 2.0486e-34 0.0000e+00
1.1876e+04 6.7236e+03 1.4098e+12 4.0518e-01 5.9482e-01 8.0155e-11 6.7875e-38 0.0000e+00
1.1964e+04 6.3706e+03 1.1495e+12 6.3345e-01 3.6655e-01 5.6591e-12 6.0062e-41 0.0000e+00
1.2056e+04 6.0918e+03 8.1289e+11 7.6531e-01 2.3469e-01 6.5743e-13 1.8637e-43 0.0000e+00
1.2170e+04 5.8557e+03 6.0697e+11 8.5423e-01 1.4577e-01 8.6859e-14 1.4013e-45 0.0000e+00
1.2360e+04 5.5704e+03 4.3917e+11 9.3254e-01 6.7465e-02 4.6583e-15 0.0000e+00 0.0000e+00
1.2670e+04 5.1544e+03 2.7701e+11 9.8438e-01 1.5624e-02 2.6803e-17 0.0000e+00 0.0000e+00
1.3075e+04 4.7634e+03 1.7490e+11 9.9712e-01 2.8798e-03 8.2171e-20 0.0000e+00 0.0000e+00
1.3530e+04 4.4317e+03 1.0857e+11 9.9951e-01 4.9054e-04 1.9613e-22 0.0000e+00 0.0000e+00
1.4013e+04 4.0908e+03 6.5746e+10 9.9992e-01 8.3607e-05 4.5457e-25 0.0000e+00 0.0000e+00
1.4509e+04 3.8533e+03 3.9975e+10 9.9999e-01 1.4735e-05 1.1673e-27 0.0000e+00 0.0000e+00
1.5002e+04 3.6537e+03 2.3793e+10 1.0000e+00 2.7903e-06 3.6400e-30 0.0000e+00 0.0000e+00
1.5476e+04 3.4664e+03 1.3308e+10 1.0000e+00 6.3961e-07 1.9119e-32 0.0000e+00 0.0000e+00
1.5924e+04 3.3268e+03 6.9008e+09 1.0000e+00 1.8889e-07 2.0264e-34 0.0000e+00 0.0000e+00
1.6356e+04 3.2205e+03 3.6471e+09 1.0000e+00 6.8544e-08 4.1642e-36 0.0000e+00 0.0000e+00
1.6776e+04 3.1245e+03 2.1256e+09 1.0000e+00 2.6714e-08 1.1915e-37 0.0000e+00 0.0000e+00
1.7184e+04 3.0597e+03 1.3653e+09 1.0000e+00 1.1310e-08 4.9204e-39 0.0000e+00 0.0000e+00
1.7580e+04 2.9768e+03 9.3583e+08 1.0000e+00 5.6194e-09 3.6022e-40 0.0000e+00 0.0000e+00
1.7990e+04 2.9353e+03 6.5057e+08 1.0000e+00 3.1730e-09 3.9954e-41 0.0000e+00 0.0000e+00
1.8458e+04 2.8672e+03 4.5057e+08 1.0000e+00 1.5503e-09 2.8040e-42 0.0000e+00 0.0000e+00
1.9085e+04 2.8050e+03 2.7684e+08 1.0000e+00 5.3756e-10 5.8855e-44 0.0000e+00 0.0000e+00
2.0000e+04 2.7576e+03 1.0617e+08 1.0000e+00 1.5444e-10 0.0000e+00 0.0000e+00 0.0000e+00
2.1194e+04 2.7252e+03 2.7754e+07 1.0000e+00 4.2441e-10 1.4013e-45 0.0000e+00 0.0000e+00
2.2528e+04 2.6626e+03 7.7885e+06 1.0000e+00 1.5312e-09 2.8026e-44 0.0000e+00 0.0000e+00
2.3943e+04 2.6752e+03 2.6975e+06 1.0000e+00 4.8812e-09 3.1109e-43 0.0000e+00 0.0000e+00
2.5446e+04 2.6715e+03 1.4329e+06 1.0000e+00 1.0017e-08 1.4433e-42 0.0000e+00 0.0000e+00
2.7044e+04 2.6746e+03 8.6232e+05 1.0000e+00 1.8403e-08 5.4567e-42 0.0000e+00 0.0000e+00
2.8744e+04 2.6458e+03 4.8651e+05 1.0000e+00 3.6567e-08 2.4520e-41 0.0000e+00 0.0000e+00
3.0520e+04 2.7818e+03 2.8190e+05 1.0000e+00 6.8592e-08 9.4812e-41 0.0000e+00 0.0000e+00
3.2244e+04 2.6571e+03 1.9288e+05 1.0000e+00 1.0210e-07 2.1445e-40 0.0000e+00 0.0000e+00
3.3773e+04 2.6396e+03 1.4039e+05 1.0000e+00 1.3717e-07 3.7745e-40 0.0000e+00 0.0000e+00
3.5108e+04 2.6445e+03 9.4403e+04 1.0000e+00 1.9627e-07 7.3970e-40 0.0000e+00 0.0000e+00
3.6326e+04 2.7719e+03 6.0275e+04 1.0000e+00 2.9156e-07 1.5374e-39 0.0000e+00 0.0000e+00
3.7486e+04 2.4647e+03 3.8428e+04 1.0000e+00 4.2931e-07 3.1030e-39 0.0000e+00 0.0000e+00
3.8628e+04 2.4186e+03 2.5353e+04 1.0000e+00 6.0703e-07 5.7341e-39 0.0000e+00 0.0000e+00
3.9769e+04 3.0310e+03 1.7106e+04 1.0000e+00 8.3570e-07 9.9966e-39 0.0000e+00 0.0000e+00
4.0916e+04 2.8050e+03 1.1620e+04 1.0000e+00 1.1379e-06 1.6963e-38 0.0000e+00 0.0000e+00
4.2074e+04 2.8640e+03 7.9155e+03 1.0000e+00 1.5445e-06 2.8599e-38 0.0000e+00 0.0000e+00
4.3252e+04 2.4119e+03 5.3921e+03 1.0000e+00 2.0916e-06 4.7871e-38 0.0000e+00 0.0000e+00
4.4454e+04 2.3382e+03 3.6718e+03 1.0000e+00 2.8271e-06 7.9610e-38 0.0000e+00 0.0000e+00
