#NTIMES: 145 
#NSTAGES: 3 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] o0 o1 o2 
14194.74 5.15e-06 1.00e+00 2.36e-05 
14757.77 1.24e-05 1.00e+00 1.31e-07 
15240.48 2.91e-05 1.00e+00 1.34e-08 
15646.99 8.04e-05 1.00e+00 1.41e-09 
15960.30 2.62e-04 1.00e+00 1.37e-10 
16187.41 6.04e-04 9.99e-01 2.05e-11 
16354.17 1.13e-03 9.99e-01 5.13e-12 
16484.18 1.58e-03 9.98e-01 2.19e-12 
16593.12 2.21e-03 9.98e-01 9.36e-13 
16691.99 1.98e-03 9.98e-01 5.32e-13 
16788.59 3.05e-03 9.97e-01 2.33e-13 
16888.37 3.28e-03 9.97e-01 1.29e-13 
16998.79 4.12e-03 9.96e-01 5.62e-14 
17146.37 5.77e-03 9.94e-01 2.28e-14 
17415.23 8.23e-03 9.92e-01 4.86e-15 
17888.12 2.50e-02 9.75e-01 3.79e-16 
18532.37 6.99e-02 9.30e-01 1.49e-17 
19260.76 1.45e-01 8.55e-01 5.56e-19 
20034.10 3.30e-01 6.70e-01 2.54e-20 
20838.00 5.72e-01 4.28e-01 8.04e-22 
21647.97 7.20e-01 2.80e-01 4.66e-23 
22447.94 8.22e-01 1.78e-01 4.19e-24 
23245.88 8.80e-01 1.20e-01 3.53e-25 
24052.47 9.26e-01 7.35e-02 2.22e-26 
24867.72 9.58e-01 4.15e-02 1.37e-27 
25698.86 9.76e-01 2.38e-02 2.75e-28 
26587.16 8.47e-01 1.53e-01 4.61e-27 
27637.54 9.95e-01 5.38e-03 6.06e-28 
28986.97 9.98e-01 2.36e-03 1.07e-28 
#TIME: 7.80 
#NVEL: 67 
#vel_mid[km/s] o0 o1 o2 
440.10 2.18e-13 3.35e-05 1.00e+00 
999.11 1.27e-13 2.22e-05 1.00e+00 
1267.34 8.57e-14 1.61e-05 1.00e+00 
1514.05 6.66e-14 1.30e-05 1.00e+00 
1808.80 4.85e-14 1.04e-05 1.00e+00 
1919.29 3.88e-14 8.84e-06 1.00e+00 
2160.92 2.93e-14 7.23e-06 1.00e+00 
2292.92 2.34e-14 6.28e-06 1.00e+00 
2432.98 1.82e-14 5.39e-06 1.00e+00 
2581.60 1.53e-14 4.83e-06 1.00e+00 
2739.29 1.34e-14 4.45e-06 1.00e+00 
2906.62 1.19e-14 4.15e-06 1.00e+00 
3084.17 9.86e-15 3.77e-06 1.00e+00 
3272.56 8.05e-15 3.46e-06 1.00e+00 
3472.46 6.79e-15 3.25e-06 1.00e+00 
3684.57 5.07e-15 2.74e-06 1.00e+00 
3909.64 4.11e-15 2.56e-06 1.00e+00 
4148.46 3.90e-15 2.59e-06 1.00e+00 
4401.86 4.82e-15 3.03e-06 1.00e+00 
4670.75 5.63e-15 3.42e-06 1.00e+00 
4956.05 5.40e-15 3.56e-06 1.00e+00 
5258.79 4.96e-15 3.61e-06 1.00e+00 
5580.02 5.41e-15 4.04e-06 1.00e+00 
5920.87 6.16e-15 4.69e-06 1.00e+00 
6282.54 7.39e-15 5.62e-06 1.00e+00 
6666.30 9.92e-15 7.27e-06 1.00e+00 
7073.50 1.48e-14 1.02e-05 1.00e+00 
7505.58 2.32e-14 1.52e-05 1.00e+00 
7964.05 4.47e-14 2.60e-05 1.00e+00 
8450.53 1.13e-13 5.34e-05 1.00e+00 
8966.72 3.40e-13 1.23e-04 1.00e+00 
9514.44 1.59e-12 3.86e-04 1.00e+00 
10095.62 1.86e-11 2.44e-03 9.98e-01 
10712.30 3.54e-10 2.18e-02 9.78e-01 
11366.65 8.58e-09 2.15e-01 7.85e-01 
12061.10 1.00e-07 8.59e-01 1.41e-01 
12793.43 3.83e-07 9.94e-01 5.65e-03 
13528.61 1.62e-06 1.00e+00 7.94e-05 
14194.74 5.28e-06 1.00e+00 8.71e-06 
14757.77 1.25e-05 1.00e+00 1.04e-07 
15240.48 2.92e-05 1.00e+00 1.11e-08 
15646.99 8.08e-05 1.00e+00 1.21e-09 
15960.30 2.70e-04 1.00e+00 1.19e-10 
16187.41 6.13e-04 9.99e-01 1.91e-11 
16354.17 9.70e-04 9.99e-01 5.17e-12 
16484.18 1.63e-03 9.98e-01 1.60e-12 
16593.12 2.08e-03 9.98e-01 7.47e-13 
16691.99 2.08e-03 9.98e-01 4.73e-13 
16788.59 2.72e-03 9.97e-01 2.23e-13 
16888.37 3.40e-03 9.97e-01 1.03e-13 
16998.79 4.63e-03 9.95e-01 4.86e-14 
17146.37 6.68e-03 9.93e-01 1.86e-14 
17415.23 9.97e-03 9.90e-01 4.09e-15 
17888.12 2.35e-02 9.77e-01 3.41e-16 
18532.37 7.36e-02 9.26e-01 1.40e-17 
19260.76 1.65e-01 8.35e-01 5.36e-19 
20034.10 3.70e-01 6.30e-01 2.11e-20 
20838.00 4.06e-01 5.94e-01 2.05e-21 
21647.97 7.11e-01 2.89e-01 5.01e-23 
22447.94 8.01e-01 1.99e-01 5.02e-24 
23245.88 8.67e-01 1.33e-01 4.74e-25 
24052.47 9.13e-01 8.75e-02 4.23e-26 
24867.72 9.50e-01 5.01e-02 2.37e-27 
25698.86 9.72e-01 2.85e-02 5.25e-28 
26587.16 9.87e-01 1.26e-02 4.01e-29 
27637.54 9.95e-01 5.41e-03 6.80e-28 
28986.97 9.98e-01 2.24e-03 1.43e-27 
#TIME: 7.96 
#NVEL: 67 
#vel_mid[km/s] o0 o1 o2 
440.10 2.14e-13 3.46e-05 1.00e+00 
999.11 1.23e-13 2.24e-05 1.00e+00 
1267.34 8.43e-14 1.66e-05 1.00e+00 
1514.05 6.70e-14 1.36e-05 1.00e+00 
1808.80 4.84e-14 1.08e-05 1.00e+00 
1919.29 3.88e-14 9.18e-06 1.00e+00 
2160.92 2.95e-14 7.59e-06 1.00e+00 
2292.92 2.34e-14 6.51e-06 1.00e+00 
2432.98 1.85e-14 5.64e-06 1.00e+00 
2581.60 1.56e-14 5.12e-06 1.00e+00 
2739.29 1.37e-14 4.70e-06 1.00e+00 
2906.62 1.22e-14 4.43e-06 1.00e+00 
3084.17 1.01e-14 4.03e-06 1.00e+00 
3272.56 8.27e-15 3.67e-06 1.00e+00 
3472.46 7.09e-15 3.49e-06 1.00e+00 
3684.57 5.23e-15 2.89e-06 1.00e+00 
3909.64 4.24e-15 2.71e-06 1.00e+00 
4148.46 4.10e-15 2.80e-06 1.00e+00 
4401.86 5.06e-15 3.21e-06 1.00e+00 
4670.75 5.92e-15 3.67e-06 1.00e+00 
4956.05 5.67e-15 3.82e-06 1.00e+00 
5258.79 5.22e-15 3.86e-06 1.00e+00 
5580.02 5.80e-15 4.42e-06 1.00e+00 
5920.87 6.67e-15 5.11e-06 1.00e+00 
6282.54 8.08e-15 6.23e-06 1.00e+00 
6666.30 1.09e-14 8.08e-06 1.00e+00 
7073.50 1.66e-14 1.15e-05 1.00e+00 
7505.58 2.61e-14 1.70e-05 1.00e+00 
7964.05 5.09e-14 2.95e-05 1.00e+00 
8450.53 1.36e-13 6.24e-05 1.00e+00 
8966.72 4.11e-13 1.45e-04 1.00e+00 
9514.44 1.92e-12 4.53e-04 1.00e+00 
10095.62 2.37e-11 2.96e-03 9.97e-01 
10712.30 4.54e-10 2.65e-02 9.73e-01 
11366.65 1.08e-08 2.54e-01 7.46e-01 
12061.10 1.10e-07 8.85e-01 1.15e-01 
12793.43 4.16e-07 9.96e-01 4.01e-03 
13528.61 1.71e-06 1.00e+00 2.22e-04 
14194.74 5.65e-06 1.00e+00 1.05e-06 
14757.77 1.34e-05 1.00e+00 8.19e-08 
15240.48 3.07e-05 1.00e+00 9.23e-09 
15646.99 9.11e-05 1.00e+00 1.01e-09 
15960.30 2.98e-04 1.00e+00 9.93e-11 
16187.41 6.03e-04 9.99e-01 1.81e-11 
16354.17 1.02e-03 9.99e-01 4.58e-12 
16484.18 1.48e-03 9.99e-01 1.66e-12 
16593.12 1.57e-03 9.98e-01 7.18e-13 
16691.99 2.66e-03 9.97e-01 3.93e-13 
16788.59 2.50e-03 9.98e-01 1.94e-13 
16888.37 3.55e-03 9.96e-01 1.01e-13 
16998.79 4.77e-03 9.95e-01 4.58e-14 
17146.37 6.48e-03 9.94e-01 1.75e-14 
17415.23 9.77e-03 9.90e-01 4.37e-15 
17888.12 1.95e-02 9.81e-01 4.08e-16 
18532.37 5.57e-02 9.44e-01 1.44e-17 
19260.76 1.52e-01 8.48e-01 5.05e-19 
20034.10 3.48e-01 6.52e-01 1.86e-20 
20838.00 5.46e-01 4.54e-01 1.12e-21 
21647.97 7.01e-01 2.99e-01 6.42e-23 
22447.94 8.04e-01 1.96e-01 4.70e-24 
23245.88 8.63e-01 1.37e-01 5.34e-25 
24052.47 2.83e-01 7.17e-01 5.82e-24 
24867.72 9.46e-01 5.37e-02 3.21e-27 
25698.86 9.70e-01 3.02e-02 5.22e-28 
26587.16 9.85e-01 1.53e-02 6.23e-28 
27637.54 9.93e-01 7.44e-03 1.18e-27 
28986.97 9.97e-01 2.63e-03 1.98e-27 
#TIME: 8.13 
#NVEL: 67 
#vel_mid[km/s] o0 o1 o2 
440.10 2.11e-13 3.51e-05 1.00e+00 
999.11 1.19e-13 2.26e-05 1.00e+00 
1267.34 8.35e-14 1.71e-05 1.00e+00 
1514.05 6.70e-14 1.41e-05 1.00e+00 
1808.80 4.87e-14 1.13e-05 1.00e+00 
1919.29 3.85e-14 9.44e-06 1.00e+00 
2160.92 3.00e-14 8.01e-06 1.00e+00 
2292.92 2.34e-14 6.80e-06 1.00e+00 
2432.98 1.87e-14 5.92e-06 1.00e+00 
2581.60 1.59e-14 5.38e-06 1.00e+00 
2739.29 1.39e-14 4.96e-06 1.00e+00 
2906.62 1.26e-14 4.73e-06 1.00e+00 
3084.17 1.05e-14 4.32e-06 1.00e+00 
3272.56 8.59e-15 3.96e-06 1.00e+00 
3472.46 7.39e-15 3.75e-06 1.00e+00 
3684.57 5.39e-15 3.07e-06 1.00e+00 
3909.64 4.41e-15 2.92e-06 1.00e+00 
4148.46 4.30e-15 2.97e-06 1.00e+00 
4401.86 5.29e-15 3.45e-06 1.00e+00 
4670.75 6.25e-15 3.97e-06 1.00e+00 
4956.05 6.00e-15 4.09e-06 1.00e+00 
5258.79 5.57e-15 4.19e-06 1.00e+00 
5580.02 6.24e-15 4.79e-06 1.00e+00 
5920.87 7.19e-15 5.60e-06 1.00e+00 
6282.54 8.87e-15 6.86e-06 1.00e+00 
6666.30 1.22e-14 9.07e-06 1.00e+00 
7073.50 1.89e-14 1.31e-05 1.00e+00 
7505.58 2.98e-14 1.95e-05 1.00e+00 
7964.05 5.91e-14 3.39e-05 1.00e+00 
8450.53 1.59e-13 7.18e-05 1.00e+00 
8966.72 5.02e-13 1.72e-04 1.00e+00 
9514.44 2.39e-12 5.43e-04 9.99e-01 
10095.62 3.09e-11 3.68e-03 9.96e-01 
10712.30 6.07e-10 3.36e-02 9.66e-01 
11366.65 1.37e-08 3.05e-01 6.95e-01 
12061.10 1.20e-07 9.03e-01 9.66e-02 
12793.43 4.51e-07 9.97e-01 3.02e-03 
13528.61 1.87e-06 1.00e+00 1.31e-04 
14194.74 5.95e-06 1.00e+00 8.52e-07 
14757.77 1.32e-05 1.00e+00 7.03e-08 
15240.48 3.23e-05 1.00e+00 8.08e-09 
15646.99 9.59e-05 1.00e+00 7.94e-10 
15960.30 2.82e-04 1.00e+00 8.95e-11 
16187.41 7.19e-04 9.99e-01 1.45e-11 
16354.17 1.06e-03 9.99e-01 4.36e-12 
16484.18 1.60e-03 9.98e-01 1.60e-12 
16593.12 1.90e-03 9.98e-01 6.58e-13 
16691.99 2.49e-03 9.98e-01 3.42e-13 
16788.59 2.50e-03 9.97e-01 1.79e-13 
16888.37 3.68e-03 9.96e-01 9.31e-14 
16998.79 4.10e-03 9.96e-01 4.62e-14 
17146.37 7.20e-03 9.93e-01 1.54e-14 
17415.23 9.13e-03 9.91e-01 3.74e-15 
17888.12 2.43e-02 9.76e-01 2.86e-16 
18532.37 5.31e-02 9.47e-01 1.24e-17 
19260.76 1.92e-01 8.08e-01 4.79e-19 
20034.10 2.71e-01 7.29e-01 2.44e-20 
20838.00 5.46e-01 4.54e-01 9.68e-22 
21647.97 6.36e-01 3.64e-01 9.64e-23 
22447.94 7.91e-01 2.09e-01 4.89e-24 
23245.88 8.58e-01 1.42e-01 4.98e-25 
24052.47 6.97e-01 3.03e-01 4.58e-25 
24867.72 9.41e-01 5.94e-02 3.97e-27 
25698.86 8.73e-01 1.27e-01 5.07e-27 
26587.16 9.84e-01 1.58e-02 5.85e-28 
27637.54 9.92e-01 7.62e-03 9.91e-28 
28986.97 9.97e-01 2.99e-03 2.28e-27 
#TIME: 8.30 
#NVEL: 67 
#vel_mid[km/s] o0 o1 o2 
440.10 1.99e-13 3.46e-05 1.00e+00 
999.11 1.18e-13 2.33e-05 1.00e+00 
1267.34 8.38e-14 1.79e-05 1.00e+00 
1514.05 6.65e-14 1.45e-05 1.00e+00 
1808.80 4.90e-14 1.18e-05 1.00e+00 
1919.29 3.86e-14 9.76e-06 1.00e+00 
2160.92 3.03e-14 8.38e-06 1.00e+00 
2292.92 2.39e-14 7.21e-06 1.00e+00 
2432.98 1.94e-14 6.38e-06 1.00e+00 
2581.60 1.64e-14 5.71e-06 1.00e+00 
2739.29 1.43e-14 5.25e-06 1.00e+00 
2906.62 1.30e-14 4.99e-06 1.00e+00 
3084.17 1.09e-14 4.59e-06 1.00e+00 
3272.56 8.93e-15 4.20e-06 1.00e+00 
3472.46 7.67e-15 3.97e-06 1.00e+00 
3684.57 5.59e-15 3.29e-06 1.00e+00 
3909.64 4.62e-15 3.09e-06 1.00e+00 
4148.46 4.47e-15 3.17e-06 1.00e+00 
4401.86 5.60e-15 3.73e-06 1.00e+00 
4670.75 6.64e-15 4.27e-06 1.00e+00 
4956.05 6.34e-15 4.42e-06 1.00e+00 
5258.79 6.01e-15 4.60e-06 1.00e+00 
5580.02 6.71e-15 5.22e-06 1.00e+00 
5920.87 7.91e-15 6.20e-06 1.00e+00 
6282.54 9.72e-15 7.60e-06 1.00e+00 
6666.30 1.36e-14 1.01e-05 1.00e+00 
7073.50 2.16e-14 1.48e-05 1.00e+00 
7505.58 3.47e-14 2.23e-05 1.00e+00 
7964.05 6.88e-14 3.89e-05 1.00e+00 
8450.53 1.89e-13 8.42e-05 1.00e+00 
8966.72 6.01e-13 2.00e-04 1.00e+00 
9514.44 3.13e-12 6.84e-04 9.99e-01 
10095.62 4.06e-11 4.61e-03 9.95e-01 
10712.30 8.23e-10 4.27e-02 9.57e-01 
11366.65 1.68e-08 3.50e-01 6.50e-01 
12061.10 1.30e-07 9.23e-01 7.68e-02 
12793.43 4.81e-07 9.98e-01 2.36e-03 
13528.61 1.99e-06 1.00e+00 3.41e-05 
14194.74 6.32e-06 1.00e+00 6.77e-06 
14757.77 1.43e-05 1.00e+00 5.93e-08 
15240.48 3.26e-05 1.00e+00 6.35e-09 
15646.99 1.02e-04 1.00e+00 6.27e-10 
15960.30 2.96e-04 1.00e+00 7.30e-11 
16187.41 7.19e-04 9.99e-01 1.10e-11 
16354.17 1.17e-03 9.99e-01 2.96e-12 
16484.18 1.77e-03 9.98e-01 1.45e-12 
16593.12 1.96e-03 9.98e-01 5.85e-13 
16691.99 2.81e-03 9.97e-01 2.88e-13 
16788.59 3.73e-03 9.96e-01 1.46e-13 
16888.37 3.46e-03 9.97e-01 1.02e-13 
16998.79 4.88e-03 9.95e-01 4.11e-14 
17146.37 7.36e-03 9.93e-01 1.56e-14 
17415.23 9.11e-03 9.91e-01 3.85e-15 
17888.12 2.29e-02 9.77e-01 3.07e-16 
18532.37 4.77e-02 9.52e-01 1.77e-17 
19260.76 1.42e-01 8.58e-01 6.57e-19 
20034.10 2.95e-01 7.05e-01 2.74e-20 
20838.00 5.28e-01 4.72e-01 1.11e-21 
21647.97 6.76e-01 3.24e-01 8.67e-23 
22447.94 4.93e-01 5.07e-01 9.61e-24 
23245.88 8.47e-01 1.53e-01 6.37e-25 
24052.47 9.03e-01 9.70e-02 4.35e-26 
24867.72 9.38e-01 6.16e-02 5.04e-27 
25698.86 9.64e-01 3.58e-02 3.80e-28 
26587.16 9.80e-01 1.97e-02 8.26e-28 
27637.54 9.92e-01 8.46e-03 1.26e-27 
28986.97 9.96e-01 3.58e-03 2.88e-27 
#TIME: 8.47 
#NVEL: 67 
#vel_mid[km/s] o0 o1 o2 
440.10 1.90e-13 3.47e-05 1.00e+00 
999.11 1.16e-13 2.36e-05 1.00e+00 
1267.34 8.37e-14 1.85e-05 1.00e+00 
1514.05 6.70e-14 1.52e-05 1.00e+00 
1808.80 4.93e-14 1.23e-05 1.00e+00 
1919.29 3.87e-14 1.03e-05 1.00e+00 
2160.92 3.06e-14 8.77e-06 1.00e+00 
2292.92 2.46e-14 7.69e-06 1.00e+00 
2432.98 2.01e-14 6.74e-06 1.00e+00 
2581.60 1.70e-14 6.12e-06 1.00e+00 
2739.29 1.47e-14 5.53e-06 1.00e+00 
2906.62 1.33e-14 5.27e-06 1.00e+00 
3084.17 1.13e-14 4.89e-06 1.00e+00 
3272.56 9.22e-15 4.45e-06 1.00e+00 
3472.46 7.13e-15 3.80e-06 1.00e+00 
3684.57 5.81e-15 3.47e-06 1.00e+00 
3909.64 4.81e-15 3.30e-06 1.00e+00 
4148.46 4.75e-15 3.45e-06 1.00e+00 
4401.86 5.95e-15 4.02e-06 1.00e+00 
4670.75 7.06e-15 4.62e-06 1.00e+00 
4956.05 6.84e-15 4.85e-06 1.00e+00 
5258.79 6.53e-15 5.02e-06 1.00e+00 
5580.02 7.29e-15 5.76e-06 1.00e+00 
5920.87 8.69e-15 6.87e-06 1.00e+00 
6282.54 1.09e-14 8.54e-06 1.00e+00 
6666.30 1.54e-14 1.15e-05 1.00e+00 
7073.50 2.42e-14 1.66e-05 1.00e+00 
7505.58 3.96e-14 2.53e-05 1.00e+00 
7964.05 8.07e-14 4.51e-05 1.00e+00 
8450.53 2.28e-13 9.86e-05 1.00e+00 
8966.72 7.30e-13 2.37e-04 1.00e+00 
9514.44 4.19e-12 8.80e-04 9.99e-01 
10095.62 5.50e-11 5.94e-03 9.94e-01 
10712.30 1.08e-09 5.28e-02 9.47e-01 
11366.65 2.08e-08 4.08e-01 5.92e-01 
12061.10 1.42e-07 9.40e-01 6.05e-02 
12793.43 5.22e-07 9.98e-01 1.90e-03 
13528.61 2.16e-06 1.00e+00 2.43e-05 
14194.74 6.51e-06 1.00e+00 5.26e-07 
14757.77 1.43e-05 1.00e+00 4.68e-08 
15240.48 3.40e-05 1.00e+00 4.95e-09 
15646.99 1.09e-04 1.00e+00 5.16e-10 
15960.30 3.05e-04 1.00e+00 5.87e-11 
16187.41 6.66e-04 9.99e-01 1.06e-11 
16354.17 1.24e-03 9.99e-01 2.68e-12 
16484.18 1.76e-03 9.98e-01 1.11e-12 
16593.12 1.82e-03 9.98e-01 5.01e-13 
16691.99 2.41e-03 9.98e-01 2.92e-13 
16788.59 2.92e-03 9.97e-01 1.58e-13 
16888.37 3.38e-03 9.97e-01 7.84e-14 
16998.79 4.09e-03 9.96e-01 3.44e-14 
17146.37 4.35e-03 9.96e-01 1.68e-14 
17415.23 1.01e-02 9.90e-01 2.89e-15 
17888.12 2.42e-02 9.76e-01 2.84e-16 
18532.37 6.66e-02 9.33e-01 1.31e-17 
19260.76 1.78e-01 8.22e-01 4.95e-19 
20034.10 3.12e-01 6.88e-01 2.18e-20 
20838.00 5.21e-01 4.79e-01 1.17e-21 
21647.97 6.54e-01 3.46e-01 9.72e-23 
22447.94 7.39e-01 2.61e-01 8.70e-24 
23245.88 8.42e-01 1.58e-01 9.47e-25 
24052.47 8.93e-01 1.07e-01 7.30e-26 
24867.72 9.32e-01 6.83e-02 5.22e-27 
25698.86 9.60e-01 3.98e-02 8.99e-28 
26587.16 9.78e-01 2.22e-02 8.54e-28 
27637.54 9.90e-01 1.00e-02 1.49e-27 
28986.97 9.97e-01 3.47e-03 2.41e-27 
#TIME: 8.64 
#NVEL: 67 
#vel_mid[km/s] o0 o1 o2 
440.10 1.88e-13 3.57e-05 1.00e+00 
999.11 1.13e-13 2.43e-05 1.00e+00 
1267.34 8.42e-14 1.93e-05 1.00e+00 
1514.05 6.85e-14 1.60e-05 1.00e+00 
1808.80 4.98e-14 1.28e-05 1.00e+00 
1919.29 4.02e-14 1.10e-05 1.00e+00 
2160.92 3.14e-14 9.28e-06 1.00e+00 
2292.92 2.51e-14 8.06e-06 1.00e+00 
2432.98 2.04e-14 7.13e-06 1.00e+00 
2581.60 1.77e-14 6.58e-06 1.00e+00 
2739.29 1.52e-14 5.95e-06 1.00e+00 
2906.62 1.37e-14 5.61e-06 1.00e+00 
3084.17 1.17e-14 5.23e-06 1.00e+00 
3272.56 9.62e-15 4.78e-06 1.00e+00 
3472.46 7.00e-15 3.84e-06 1.00e+00 
3684.57 6.02e-15 3.69e-06 1.00e+00 
3909.64 5.08e-15 3.57e-06 1.00e+00 
4148.46 5.08e-15 3.72e-06 1.00e+00 
4401.86 6.34e-15 4.35e-06 1.00e+00 
4670.75 7.64e-15 5.09e-06 1.00e+00 
4956.05 7.38e-15 5.27e-06 1.00e+00 
5258.79 7.03e-15 5.49e-06 1.00e+00 
5580.02 8.00e-15 6.35e-06 1.00e+00 
5920.87 9.68e-15 7.71e-06 1.00e+00 
6282.54 1.23e-14 9.62e-06 1.00e+00 
6666.30 1.76e-14 1.31e-05 1.00e+00 
7073.50 2.79e-14 1.91e-05 1.00e+00 
7505.58 4.64e-14 2.94e-05 1.00e+00 
7964.05 9.54e-14 5.22e-05 1.00e+00 
8450.53 2.70e-13 1.14e-04 1.00e+00 
8966.72 9.12e-13 2.85e-04 1.00e+00 
9514.44 5.55e-12 1.11e-03 9.99e-01 
10095.62 7.49e-11 7.67e-03 9.92e-01 
10712.30 1.41e-09 6.51e-02 9.35e-01 
11366.65 2.53e-08 4.65e-01 5.35e-01 
12061.10 1.56e-07 9.53e-01 4.74e-02 
12793.43 5.72e-07 9.98e-01 1.58e-03 
13528.61 2.32e-06 1.00e+00 2.06e-05 
14194.74 6.70e-06 1.00e+00 4.12e-07 
14757.77 1.54e-05 1.00e+00 3.72e-08 
15240.48 3.61e-05 1.00e+00 4.11e-09 
15646.99 1.05e-04 1.00e+00 4.44e-10 
15960.30 3.32e-04 1.00e+00 4.95e-11 
16187.41 7.30e-04 9.99e-01 8.91e-12 
16354.17 1.23e-03 9.99e-01 2.34e-12 
16484.18 1.71e-03 9.98e-01 9.59e-13 
16593.12 2.50e-03 9.97e-01 3.79e-13 
16691.99 2.88e-03 9.97e-01 2.00e-13 
16788.59 3.08e-03 9.97e-01 1.22e-13 
16888.37 4.20e-03 9.96e-01 5.74e-14 
16998.79 5.02e-03 9.95e-01 2.81e-14 
17146.37 4.76e-03 9.95e-01 1.18e-14 
17415.23 9.41e-03 9.91e-01 2.76e-15 
17888.12 2.42e-02 9.76e-01 2.48e-16 
18532.37 5.74e-02 9.43e-01 1.33e-17 
19260.76 1.56e-01 8.44e-01 4.58e-19 
20034.10 2.59e-01 7.41e-01 2.37e-20 
20838.00 5.22e-01 4.78e-01 1.02e-21 
21647.97 6.63e-01 3.37e-01 8.13e-23 
22447.94 7.57e-01 2.43e-01 9.40e-24 
23245.88 8.27e-01 1.73e-01 1.03e-24 
24052.47 8.81e-01 1.19e-01 8.47e-26 
24867.72 9.29e-01 7.14e-02 1.00e-26 
25698.86 9.57e-01 4.28e-02 1.33e-27 
26587.16 9.78e-01 2.22e-02 8.41e-28 
27637.54 9.91e-01 9.50e-03 1.27e-27 
28986.97 9.96e-01 4.26e-03 3.64e-27 
#TIME: 8.82 
#NVEL: 67 
#vel_mid[km/s] o0 o1 o2 
440.10 1.82e-13 3.61e-05 1.00e+00 
999.11 1.13e-13 2.52e-05 1.00e+00 
1267.34 8.51e-14 2.01e-05 1.00e+00 
1514.05 6.94e-14 1.69e-05 1.00e+00 
1808.80 5.06e-14 1.35e-05 1.00e+00 
1919.29 4.20e-14 1.19e-05 1.00e+00 
2160.92 3.21e-14 9.75e-06 1.00e+00 
2292.92 2.57e-14 8.52e-06 1.00e+00 
2432.98 2.09e-14 7.50e-06 1.00e+00 
2581.60 1.84e-14 7.02e-06 1.00e+00 
2739.29 1.60e-14 6.47e-06 1.00e+00 
2906.62 1.42e-14 6.02e-06 1.00e+00 
3084.17 1.23e-14 5.67e-06 1.00e+00 
3272.56 1.01e-14 5.18e-06 1.00e+00 
3472.46 7.15e-15 4.04e-06 1.00e+00 
3684.57 6.29e-15 3.95e-06 1.00e+00 
3909.64 5.36e-15 3.83e-06 1.00e+00 
4148.46 5.39e-15 4.01e-06 1.00e+00 
4401.86 6.87e-15 4.79e-06 1.00e+00 
4670.75 8.30e-15 5.55e-06 1.00e+00 
4956.05 8.00e-15 5.79e-06 1.00e+00 
5258.79 7.67e-15 6.07e-06 1.00e+00 
5580.02 8.87e-15 7.09e-06 1.00e+00 
5920.87 1.09e-14 8.74e-06 1.00e+00 
6282.54 1.39e-14 1.10e-05 1.00e+00 
6666.30 2.00e-14 1.48e-05 1.00e+00 
7073.50 3.23e-14 2.19e-05 1.00e+00 
7505.58 5.42e-14 3.37e-05 1.00e+00 
7964.05 1.12e-13 6.01e-05 1.00e+00 
8450.53 3.28e-13 1.36e-04 1.00e+00 
8966.72 1.11e-12 3.36e-04 1.00e+00 
9514.44 7.24e-12 1.39e-03 9.99e-01 
10095.62 9.94e-11 9.67e-03 9.90e-01 
10712.30 1.84e-09 8.04e-02 9.20e-01 
11366.65 3.14e-08 5.37e-01 4.63e-01 
12061.10 1.69e-07 9.66e-01 3.38e-02 
12793.43 6.16e-07 9.99e-01 8.53e-04 
13528.61 2.49e-06 1.00e+00 1.67e-05 
14194.74 7.45e-06 1.00e+00 3.25e-07 
14757.77 1.61e-05 1.00e+00 3.00e-08 
15240.48 3.69e-05 1.00e+00 3.64e-09 
15646.99 1.02e-04 1.00e+00 4.07e-10 
15960.30 3.36e-04 1.00e+00 4.48e-11 
16187.41 6.84e-04 9.99e-01 7.59e-12 
16354.17 1.37e-03 9.99e-01 1.91e-12 
16484.18 1.79e-03 9.98e-01 8.10e-13 
16593.12 2.13e-03 9.98e-01 4.39e-13 
16691.99 2.28e-03 9.98e-01 1.85e-13 
16788.59 3.16e-03 9.97e-01 1.25e-13 
16888.37 3.55e-03 9.96e-01 4.91e-14 
16998.79 5.06e-03 9.95e-01 2.72e-14 
17146.37 6.63e-03 9.93e-01 9.27e-15 
