#NTIMES: 200
#NSTAGES: 10
#TIMES[d]: 1.3135 1.3409 1.3688 1.3973 1.4263 1.4560 1.4863 1.5173 1.5488 1.5811 1.6140 1.6476 1.6819 1.7169 1.7526 1.7891 1.8263 1.8643 1.9031 1.9427 1.9831 2.0244 2.0665 2.1096 2.1535 2.1983 2.2440 2.2907 2.3384 2.3871 2.4368 2.4875 2.5392 2.5921 2.6460 2.7011 2.7573 2.8147 2.8733 2.9331 2.9941 3.0564 3.1200 3.1850 3.2513 3.3189 3.3880 3.4585 3.5305 3.6040 3.6790 3.7555 3.8337 3.9135 3.9949 4.0781 4.1629 4.2496 4.3380 4.4283 4.5205 4.6145 4.7106 4.8086 4.9087 5.0109 5.1151 5.2216 5.3303 5.4412 5.5544 5.6700 5.7880 5.9085 6.0315 6.1570 6.2851 6.4159 6.5495 6.6858 6.8249 6.9670 7.1120 7.2600 7.4111 7.5653 7.7228 7.8835 8.0476 8.2150 8.3860 8.5605 8.7387 8.9206 9.1062 9.2957 9.4892 9.6867 9.8883 10.0941 10.3042 10.5186 10.7375 10.9610 11.1891 11.4220 11.6597 11.9023 12.1501 12.4029 12.6611 12.9246 13.1935 13.4681 13.7484 14.0346 14.3266 14.6248 14.9292 15.2399 15.5570 15.8808 16.2113 16.5487 16.8931 17.2447 17.6036 17.9700 18.3440 18.7257 19.1155 19.5133 19.9194 20.3340 20.7571 21.1891 21.6301 22.0803 22.5398 23.0089 23.4878 23.9766 24.4756 24.9850 25.5050 26.0358 26.5776 27.1308 27.6954 28.2718 28.8602 29.4608 30.0740 30.6999 31.3388 31.9910 32.6568 33.3365 34.0302 34.7385 35.4615 36.1995 36.9529 37.7219 38.5070 39.3084 40.1265 40.9616 41.8141 42.6843 43.5726 44.4795 45.4052 46.3501 47.3148 48.2995 49.3047 50.3308 51.3783 52.4476 53.5391 54.6534 55.7908 56.9519 58.1372 59.3472 60.5823 61.8431 63.1302 64.4440 65.7853 67.1544 68.5520 69.9787 71.4351 72.9218 74.4394 75.9886 77.5701 79.1845
#
#TIME: 1.3135
#NVEL: 115
#vel_mid[km/s] ti0 ti1 ti2 ti3 ti4 ti5 ti6 ti7 ti8 ti9
3.0973e+03 0.0000e+00 1.8654e-38 9.0393e-31 5.9818e-24 2.1279e-17 8.8099e-12 4.0373e-07 1.4854e-03 3.2870e-01 6.6982e-01
3.2918e+03 1.6816e-44 3.6994e-36 1.6084e-28 8.8310e-22 2.1085e-15 4.6665e-10 9.2065e-06 1.1505e-02 6.6649e-01 3.2199e-01
3.4986e+03 2.8439e-41 5.2790e-33 1.7411e-25 6.6455e-19 8.7255e-13 7.1468e-08 3.9219e-04 1.0015e-01 8.4813e-01 5.1320e-02
3.7182e+03 1.1510e-37 1.5008e-29 3.0798e-22 6.8309e-16 4.2656e-10 1.0056e-05 1.2059e-02 4.9687e-01 4.8819e-01 2.8724e-03
3.9517e+03 2.8226e-34 2.7843e-26 3.7410e-19 5.1113e-13 1.5555e-07 8.4050e-04 1.6619e-01 7.7578e-01 5.7167e-02 1.9692e-05
4.1999e+03 1.0405e-30 1.0350e-22 1.1090e-15 1.1297e-09 1.6031e-04 8.0131e-02 8.1970e-01 9.9924e-02 8.9056e-05 2.2115e-10
4.4636e+03 3.6863e-28 3.2373e-20 2.6263e-13 1.8909e-07 1.1947e-02 6.0442e-01 3.8202e-01 1.6142e-03 2.5528e-08 6.9215e-16
4.7438e+03 3.7023e-27 2.9259e-19 2.0264e-12 1.1837e-06 4.8741e-02 8.1521e-01 1.3594e-01 1.1685e-04 2.7693e-10 8.9551e-19
5.0416e+03 5.9835e-27 4.6920e-19 3.1832e-12 1.7903e-06 6.6738e-02 8.3537e-01 9.7837e-02 5.4935e-05 7.8039e-11 1.4180e-19
5.3582e+03 4.5521e-27 3.7680e-19 2.6985e-12 1.6022e-06 6.3059e-02 8.3373e-01 1.0315e-01 6.1197e-05 9.1872e-11 1.7645e-19
5.6947e+03 3.9648e-27 3.4511e-19 2.5906e-12 1.6044e-06 6.4802e-02 8.3592e-01 9.9221e-02 5.5396e-05 7.6498e-11 1.3284e-19
6.0522e+03 5.2629e-27 4.6389e-19 3.4925e-12 2.1364e-06 8.1080e-02 8.4240e-01 7.6488e-02 3.0804e-05 2.8621e-11 3.1728e-20
6.4323e+03 1.1381e-26 9.8772e-19 7.1882e-12 4.1034e-06 1.3093e-01 8.2799e-01 4.1063e-02 7.9879e-06 3.0976e-12 1.2829e-21
6.8362e+03 3.5946e-26 2.9962e-18 2.0461e-11 1.0317e-05 2.4909e-01 7.3639e-01 1.4514e-02 9.3455e-07 9.6419e-14 8.9954e-24
7.2654e+03 1.3267e-25 1.0290e-17 6.4005e-11 2.7047e-05 4.5748e-01 5.3899e-01 3.4960e-03 5.9802e-08 1.2678e-15 1.9964e-26
7.7216e+03 5.2794e-25 3.7004e-17 2.0425e-10 6.7902e-05 7.2782e-01 2.7167e-01 4.4034e-04 1.4473e-09 4.2925e-18 7.4087e-30
8.2065e+03 2.8338e-24 1.6868e-16 7.7971e-10 1.7575e-04 9.3715e-01 6.2658e-02 1.2778e-05 3.5881e-12 5.6784e-22 3.6358e-35
8.7177e+03 4.9650e-23 2.1453e-15 7.1890e-09 7.2514e-04 9.9673e-01 2.5405e-03 1.0098e-08 2.6783e-17 1.6430e-29 1.4013e-45
9.2147e+03 1.0715e-20 2.5077e-13 4.5251e-07 9.0457e-03 9.9095e-01 7.0504e-06 2.3612e-14 1.4806e-26 4.3721e-43 0.0000e+00
9.6291e+03 8.4346e-18 1.0415e-10 8.4619e-05 1.9754e-01 8.0237e-01 2.7752e-09 9.4019e-22 1.1523e-38 0.0000e+00 0.0000e+00
9.9539e+03 1.4475e-15 1.1797e-08 4.0122e-03 9.0259e-01 9.3393e-02 5.6986e-14 5.5612e-31 0.0000e+00 0.0000e+00 0.0000e+00
1.0246e+04 1.0456e-13 6.0056e-07 6.4566e-02 9.3416e-01 1.2750e-03 3.1208e-20 1.4714e-42 0.0000e+00 0.0000e+00 0.0000e+00
1.0542e+04 6.6208e-12 2.8448e-05 6.8070e-01 3.1927e-01 1.7985e-06 1.1193e-28 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.0840e+04 1.8466e-10 3.8032e-04 9.9413e-01 5.4869e-03 3.0439e-11 2.8739e-40 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1119e+04 5.3602e-09 4.3582e-03 9.9560e-01 4.4711e-05 1.3759e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1356e+04 1.3679e-07 4.0761e-02 9.5924e-01 5.1765e-07 1.6645e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1540e+04 2.4870e-06 2.6817e-01 7.3183e-01 5.9001e-09 2.7537e-26 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1677e+04 1.3346e-05 6.9287e-01 3.0712e-01 5.1954e-11 4.9640e-31 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1784e+04 3.0587e-05 9.1193e-01 8.8042e-02 4.9476e-13 1.8534e-35 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
