#NTIMES: 200
#NSTAGES: 10
#TIMES[d]: 1.3135 1.3409 1.3688 1.3973 1.4263 1.4560 1.4863 1.5173 1.5488 1.5811 1.6140 1.6476 1.6819 1.7169 1.7526 1.7891 1.8263 1.8643 1.9031 1.9427 1.9831 2.0244 2.0665 2.1096 2.1535 2.1983 2.2440 2.2907 2.3384 2.3871 2.4368 2.4875 2.5392 2.5921 2.6460 2.7011 2.7573 2.8147 2.8733 2.9331 2.9941 3.0564 3.1200 3.1850 3.2513 3.3189 3.3880 3.4585 3.5305 3.6040 3.6790 3.7555 3.8337 3.9135 3.9949 4.0781 4.1629 4.2496 4.3380 4.4283 4.5205 4.6145 4.7106 4.8086 4.9087 5.0109 5.1151 5.2216 5.3303 5.4412 5.5544 5.6700 5.7880 5.9085 6.0315 6.1570 6.2851 6.4159 6.5495 6.6858 6.8249 6.9670 7.1120 7.2600 7.4111 7.5653 7.7228 7.8835 8.0476 8.2150 8.3860 8.5605 8.7387 8.9206 9.1062 9.2957 9.4892 9.6867 9.8883 10.0941 10.3042 10.5186 10.7375 10.9610 11.1891 11.4220 11.6597 11.9023 12.1501 12.4029 12.6611 12.9246 13.1935 13.4681 13.7484 14.0346 14.3266 14.6248 14.9292 15.2399 15.5570 15.8808 16.2113 16.5487 16.8931 17.2447 17.6036 17.9700 18.3440 18.7257 19.1155 19.5133 19.9194 20.3340 20.7571 21.1891 21.6301 22.0803 22.5398 23.0089 23.4878 23.9766 24.4756 24.9850 25.5050 26.0358 26.5776 27.1308 27.6954 28.2718 28.8602 29.4608 30.0740 30.6999 31.3388 31.9910 32.6568 33.3365 34.0302 34.7385 35.4615 36.1995 36.9529 37.7219 38.5070 39.3084 40.1265 40.9616 41.8141 42.6843 43.5726 44.4795 45.4052 46.3501 47.3148 48.2995 49.3047 50.3308 51.3783 52.4476 53.5391 54.6534 55.7908 56.9519 58.1372 59.3472 60.5823 61.8431 63.1302 64.4440 65.7853 67.1544 68.5520 69.9787 71.4351 72.9218 74.4394 75.9886 77.5701 79.1845
#
#TIME: 1.3135
#NVEL: 115
#vel_mid[km/s] ti0 ti1 ti2 ti3 ti4 ti5 ti6 ti7 ti8 ti9
1.1677e+04 2.0276e-05 8.7984e-01 1.2014e-01 9.0281e-13 4.2430e-35 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1784e+04 4.6817e-05 9.7542e-01 2.4533e-02 5.1010e-15 7.7081e-40 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1876e+04 9.7535e-05 9.9451e-01 5.3913e-03 4.6708e-17 4.6243e-44 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1964e+04 1.9527e-04 9.9864e-01 1.1647e-03 3.9213e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2056e+04 2.8047e-04 9.9931e-01 4.1196e-04 1.2320e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2170e+04 4.2153e-04 9.9944e-01 1.3999e-04 3.5989e-22 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2360e+04 8.3567e-04 9.9914e-01 2.6744e-05 1.7906e-24 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2670e+04 2.2979e-03 9.9770e-01 2.2622e-06 6.3534e-28 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.3075e+04 1.1751e-02 9.8825e-01 4.7056e-08 2.7543e-33 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.3530e+04 8.5442e-02 9.1456e-01 2.9931e-10 2.7360e-40 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.4013e+04 1.9356e-01 8.0644e-01 1.7865e-11 2.8026e-44 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.4509e+04 2.9784e-01 7.0216e-01 2.7195e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5002e+04 3.9836e-01 6.0164e-01 6.0847e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5476e+04 4.7902e-01 5.2098e-01 1.9498e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5924e+04 5.1925e-01 4.8075e-01 9.4059e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6356e+04 5.3043e-01 4.6957e-01 6.2191e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6776e+04 5.4238e-01 4.5762e-01 4.4613e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7184e+04 5.8244e-01 4.1756e-01 2.4678e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7580e+04 5.9324e-01 4.0676e-01 1.8515e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7990e+04 6.2450e-01 3.7550e-01 1.0411e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.8458e+04 6.1099e-01 3.8901e-01 9.3708e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.9085e+04 6.1930e-01 3.8070e-01 5.7665e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.0000e+04 5.8245e-01 4.1755e-01 3.5994e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.1194e+04 3.5801e-01 6.4199e-01 9.2517e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.2528e+04 2.1946e-01 7.8054e-01 1.2128e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.3943e+04 1.1017e-01 8.8983e-01 2.1113e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.5446e+04 5.6972e-02 9.4303e-01 4.4478e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.7044e+04 8.1363e-02 9.1864e-01 7.8910e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.8744e+04 9.5134e-03 9.9049e-01 7.9891e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.0520e+04 9.6340e-03 9.9037e-01 3.8213e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.2244e+04 2.6063e-02 9.7394e-01 2.0707e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.3773e+04 7.5259e-02 9.2474e-01 9.0040e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.5108e+04 3.4340e-02 9.6566e-01 4.4203e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.6326e+04 2.6843e-03 9.9732e-01 1.1679e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.7486e+04 1.5796e-02 9.8420e-01 1.1534e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.8628e+04 1.3275e-05 9.9999e-01 2.4477e-08 1.2440e-40 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.9769e+04 1.5269e-06 9.9999e-01 9.7789e-06 5.9737e-32 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.0916e+04 2.4040e-07 9.9469e-01 5.3140e-03 1.9381e-22 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.2074e+04 1.1292e-06 9.9999e-01 7.5616e-06 1.1103e-32 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.3252e+04 4.1116e-03 9.9589e-01 3.4325e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.4454e+04 9.3621e-06 9.9999e-01 6.5108e-09 2.6485e-43 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.5683e+04 6.8842e-06 9.9999e-01 8.1688e-09 3.5173e-43 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.6942e+04 2.8881e-05 9.9997e-01 3.2682e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.8231e+04 2.4087e-04 9.9976e-01 3.1027e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.9550e+04 3.5375e-04 9.9965e-01 9.5175e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.0900e+04 3.1212e-03 9.9688e-01 5.9990e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.2277e+04 2.1077e-04 9.9979e-01 1.2958e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.3682e+04 1.8042e-07 9.9997e-01 3.3708e-05 1.0853e-31 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.5110e+04 7.9332e-06 9.9999e-01 4.3249e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.6562e+04 1.0560e-07 9.9991e-01 8.5229e-05 1.5751e-30 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.8030e+04 1.5787e-07 9.9999e-01 5.7580e-06 5.9335e-35 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.9510e+04 5.2559e-13 5.0459e-03 9.9495e-01 4.1091e-13 1.0325e-41 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.0994e+04 2.0872e-25 6.6382e-12 1.6778e-02 9.8322e-01 3.4764e-07 3.2552e-42 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.2466e+04 9.0180e-04 9.9910e-01 4.7768e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.3912e+04 4.1265e-06 1.0000e+00 1.9287e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.5312e+04 3.6899e-05 9.9996e-01 1.9105e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.6639e+04 9.9710e-08 1.0000e+00 7.8945e-07 6.6430e-39 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.7870e+04 1.6198e-05 9.9998e-01 5.7070e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.8864e+04 4.2010e-05 9.9996e-01 6.7459e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9460e+04 6.3376e-08 1.0000e+00 1.8998e-06 9.3706e-38 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9745e+04 2.3254e-03 9.9767e-01 1.1707e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9888e+04 1.0282e-07 1.0000e+00 2.0090e-07 2.6089e-41 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9960e+04 1.0407e-06 1.0000e+00 8.0113e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9991e+04 1.8094e-06 1.0000e+00 2.6848e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
7.0000e+04 8.2968e-08 1.0000e+00 1.0235e-07 1.0510e-42 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
#
#TIME: 1.5488
#NVEL: 115
#vel_mid[km/s] ti0 ti1 ti2 ti3 ti4 ti5 ti6 ti7 ti8 ti9
4.2577e+02 1.3018e-38 5.4971e-29 2.2141e-20 8.0806e-13 2.8991e-06 1.1885e-02 6.8492e-01 3.0261e-01 5.8727e-04 2.1990e-09
8.5779e+02 4.6866e-28 2.6163e-20 1.4464e-13 7.3823e-08 4.1745e-03 3.9425e-01 5.9363e-01 7.9396e-03 5.5346e-07 8.4348e-14
8.7843e+02 2.3285e-28 1.3555e-20 7.9288e-14 4.3079e-08 2.7080e-03 3.2671e-01 6.5815e-01 1.2433e-02 1.3034e-06 3.1263e-13
9.1772e+02 2.2046e-28 1.2873e-20 7.5617e-14 4.1278e-08 2.6159e-03 3.2166e-01 6.6285e-01 1.2864e-02 1.3924e-06 3.4605e-13
9.7304e+02 1.9935e-28 1.1713e-20 6.9382e-14 3.8221e-08 2.4588e-03 3.1280e-01 6.7108e-01 1.3660e-02 1.5641e-06 4.1379e-13
1.0350e+03 2.0483e-28 1.2015e-20 7.1005e-14 3.9018e-08 2.4999e-03 3.1515e-01 6.6890e-01 1.3444e-02 1.5164e-06 3.9455e-13
1.1000e+03 1.5333e-28 9.1510e-21 5.5358e-14 3.1209e-08 2.0869e-03 2.9015e-01 6.9180e-01 1.5960e-02 2.1188e-06 6.6061e-13
1.1690e+03 9.3160e-29 5.7298e-21 3.6085e-14 2.1259e-08 1.5284e-03 2.5061e-01 7.2672e-01 2.1144e-02 3.6910e-06 1.5595e-12
1.2425e+03 2.5083e-29 1.6515e-21 1.1456e-14 7.5041e-09 6.4743e-04 1.6345e-01 7.9327e-01 4.2619e-02 1.5383e-05 1.4571e-11
1.3205e+03 2.5581e-30 1.8451e-22 1.4798e-15 1.1384e-09 1.3154e-04 6.8965e-02 8.0637e-01 1.2437e-01 1.5750e-04 6.0283e-10
1.4033e+03 1.2413e-31 9.9265e-24 9.4899e-17 8.8698e-11 1.4549e-05 1.8453e-02 6.2825e-01 3.5121e-01 2.0659e-03 4.3555e-08
1.4915e+03 6.3770e-33 5.5830e-25 6.2551e-18 6.9840e-12 1.5578e-06 4.2245e-03 3.6244e-01 6.1949e-01 1.3840e-02 1.2803e-06
1.5852e+03 3.5969e-34 3.4546e-26 4.5123e-19 5.9903e-13 1.7666e-07 9.1676e-04 1.7346e-01 7.7166e-01 5.3941e-02 1.7574e-05
1.6847e+03 1.5477e-35 1.6473e-27 2.5396e-20 4.0753e-14 1.6118e-08 1.5928e-04 6.6298e-02 7.6619e-01 1.6717e-01 1.9043e-04
1.7904e+03 4.8442e-37 5.8029e-29 1.0736e-21 2.1269e-15 1.1511e-09 2.1514e-05 1.9594e-02 5.8443e-01 3.9441e-01 1.5468e-03
1.9028e+03 1.0207e-38 1.4117e-30 3.2132e-23 8.0909e-17 6.1639e-11 2.1623e-06 4.2688e-03 3.2405e-01 6.6299e-01 8.6955e-03
2.0223e+03 1.5826e-40 2.5396e-32 7.1559e-25 2.3164e-18 2.5274e-12 1.6467e-07 6.9972e-04 1.3437e-01 8.2897e-01 3.5960e-02
2.1493e+03 1.9632e-42 3.6922e-34 1.3011e-26 5.4951e-20 8.7773e-14 1.0500e-08 9.4998e-05 4.5599e-02 8.3675e-01 1.1755e-01
2.2843e+03 2.8026e-44 6.0867e-36 2.6385e-28 1.4326e-21 3.3096e-15 6.8813e-10 1.2445e-05 1.3882e-02 6.9744e-01 2.8866e-01
2.4277e+03 1.4013e-45 1.8522e-37 9.5393e-30 6.3932e-23 2.0197e-16 6.5242e-11 2.0494e-06 4.4809e-03 5.0355e-01 4.9197e-01
2.5802e+03 0.0000e+00 1.6078e-38 9.3832e-31 7.3130e-24 2.8822e-17 1.2500e-11 5.6599e-07 1.9285e-03 3.6789e-01 6.3018e-01
2.7422e+03 0.0000e+00 5.9811e-39 3.7546e-31 3.1711e-24 1.3822e-17 6.7601e-12 3.5210e-07 1.4105e-03 3.2409e-01 6.7450e-01
2.9144e+03 0.0000e+00 1.3772e-38 8.7306e-31 7.3309e-24 3.0441e-17 1.3604e-11 6.2091e-07 2.0811e-03 3.8024e-01 6.1768e-01
3.0973e+03 1.4013e-45 2.9516e-37 1.7497e-29 1.3153e-22 4.3486e-16 1.3525e-10 3.7967e-06 6.8431e-03 5.8028e-01 4.1288e-01
3.2918e+03 2.9988e-43 8.4872e-35 4.3714e-27 2.6467e-20 5.7516e-14 8.4985e-09 8.8907e-05 4.5954e-02 8.4052e-01 1.1343e-01
3.4986e+03 7.2496e-40 1.7287e-31 6.5589e-24 2.7044e-17 3.1949e-11 1.4982e-06 3.6628e-03 3.1632e-01 6.7133e-01 8.6785e-03
3.7182e+03 1.6900e-36 2.8645e-28 6.8423e-21 1.6829e-14 9.7562e-09 1.2181e-04 6.0184e-02 7.6838e-01 1.7113e-01 1.8961e-04
3.9517e+03 2.8254e-33 3.6447e-25 5.7342e-18 8.8677e-12 2.5035e-06 6.2696e-03 4.4262e-01 5.4361e-01 7.4971e-03 3.8718e-07
4.1999e+03 1.2715e-29 1.5350e-21 1.7940e-14 1.9152e-08 2.1109e-03 3.1042e-01 6.7550e-01 1.1966e-02 9.9838e-07 1.6916e-13
4.4636e+03 2.9216e-27 3.0150e-19 2.6433e-12 1.8654e-06 7.9337e-02 8.4441e-01 7.6217e-02 2.9487e-05 2.5273e-11 2.5062e-20
4.7438e+03 3.0311e-26 2.7189e-18 1.9900e-11 1.0613e-05 2.6285e-01 7.2426e-01 1.2881e-02 7.2161e-07 6.2014e-14 4.6615e-24
5.0416e+03 5.7624e-26 5.0146e-18 3.5223e-11 1.7304e-05 3.6100e-01 6.3248e-01 6.5012e-03 1.8920e-07 7.4311e-15 2.3146e-25
5.3582e+03 5.1786e-26 4.6925e-18 3.4263e-11 1.7370e-05 3.6836e-01 6.2549e-01 6.1312e-03 1.6710e-07 6.0148e-15 1.6885e-25
5.6947e+03 4.6493e-26 4.4158e-18 3.3719e-11 1.7698e-05 3.8058e-01 6.1382e-01 5.5892e-03 1.3804e-07 4.3700e-15 1.0546e-25
6.0522e+03 6.1264e-26 5.8599e-18 4.4790e-11 2.2825e-05 4.4889e-01 5.4756e-01 3.5344e-03 5.7578e-08 1.1025e-15 1.5056e-26
6.4323e+03 1.1138e-25 1.0486e-17 7.8126e-11 3.6490e-05 5.8801e-01 4.1061e-01 1.3422e-03 9.6647e-09 6.9424e-17 3.1351e-28
6.8362e+03 2.6275e-25 2.3673e-17 1.6697e-10 6.6561e-05 7.7383e-01 2.2585e-01 2.5572e-04 5.1865e-10 8.1670e-19 6.6642e-31
7.2654e+03 6.6746e-25 5.5750e-17 3.6183e-10 1.1638e-04 9.0498e-01 9.4876e-02 3.1114e-05 1.4441e-11 3.9066e-21 4.3881e-34
7.7216e+03 2.0996e-24 1.5612e-16 8.9879e-10 2.1337e-04 9.7246e-01 2.7321e-02 1.8272e-06 1.2857e-13 3.6676e-24 3.2803e-38
8.2065e+03 1.1111e-23 6.9020e-16 3.3247e-09 4.8916e-04 9.9555e-01 3.9627e-03 2.5064e-08 1.0795e-16 1.1025e-28 2.3822e-44
8.7177e+03 2.5780e-22 1.1547e-14 4.0247e-08 2.2885e-03 9.9761e-01 9.9055e-05 7.2666e-12 1.6063e-22 3.0469e-37 0.0000e+00
9.2147e+03 9.0538e-20 2.2048e-12 3.8968e-06 3.5984e-02 9.6401e-01 1.5186e-07 4.7265e-18 1.1075e-32 0.0000e+00 0.0000e+00
9.6291e+03 5.5010e-17 7.9551e-10 6.0432e-04 5.6544e-01 4.3396e-01 1.6859e-11 2.2950e-26 0.0000e+00 0.0000e+00 0.0000e+00
9.9539e+03 5.9805e-15 5.6511e-08 1.4461e-02 9.7330e-01 1.2239e-02 3.3109e-17 4.2767e-37 0.0000e+00 0.0000e+00 0.0000e+00
1.0246e+04 4.4376e-13 3.2664e-06 2.3331e-01 7.6661e-01 7.6432e-05 2.3018e-24 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.0542e+04 1.9197e-11 8.7006e-05 9.4357e-01 5.6339e-02 9.9017e-09 1.3137e-34 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.0840e+04 4.1388e-10 8.6873e-04 9.9847e-01 6.5871e-04 1.0036e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1119e+04 1.7892e-08 1.2537e-02 9.8746e-01 3.2907e-06 1.3116e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1356e+04 5.2386e-07 1.2491e-01 8.7509e-01 2.3833e-08 5.1355e-25 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1540e+04 6.4734e-06 5.6897e-01 4.3103e-01 1.2691e-10 2.1544e-30 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1677e+04 2.1696e-05 8.9963e-01 1.0035e-01 4.5256e-13 8.9948e-36 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1784e+04 5.0732e-05 9.8032e-01 1.9628e-02 2.3951e-15 1.5027e-40 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1876e+04 1.0976e-04 9.9590e-01 3.9947e-03 1.7655e-17 5.6052e-45 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1964e+04 2.2250e-04 9.9894e-01 8.4022e-04 1.3682e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2056e+04 3.3143e-04 9.9939e-01 2.7629e-04 3.4459e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2170e+04 5.0172e-04 9.9941e-01 9.2661e-05 9.6724e-23 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2360e+04 1.0715e-03 9.9891e-01 1.5127e-05 2.9587e-25 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2670e+04 3.3868e-03 9.9661e-01 9.2298e-07 3.7082e-29 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.3075e+04 2.4207e-02 9.7579e-01 8.7521e-09 1.3795e-35 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.3530e+04 1.3934e-01 8.6066e-01 6.5397e-11 2.0697e-42 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.4013e+04 2.6845e-01 7.3155e-01 5.1267e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.4509e+04 3.8815e-01 6.1185e-01 8.2335e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5002e+04 4.9866e-01 5.0134e-01 1.8142e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5476e+04 5.6163e-01 4.3837e-01 7.1792e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5924e+04 6.0043e-01 3.9957e-01 3.4858e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6356e+04 6.3137e-01 3.6863e-01 1.8216e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6776e+04 6.3674e-01 3.6326e-01 1.4193e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7184e+04 6.7368e-01 3.2632e-01 7.8898e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7580e+04 6.6968e-01 3.3032e-01 7.1397e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7990e+04 6.7545e-01 3.2455e-01 5.3756e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.8458e+04 7.0159e-01 2.9841e-01 3.0165e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.9085e+04 7.8138e-01 2.1862e-01 6.5561e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.0000e+04 8.3049e-01 1.6951e-01 1.1675e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.1194e+04 7.3404e-01 2.6596e-01 1.5660e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.2528e+04 5.9522e-01 4.0478e-01 2.2251e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.3943e+04 5.0840e-01 4.9160e-01 1.4049e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.5446e+04 3.3064e-01 6.6936e-01 2.8890e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.7044e+04 1.5111e-01 8.4889e-01 1.3746e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.8744e+04 1.2211e-01 8.7789e-01 1.0871e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.0520e+04 1.3378e-01 8.6622e-01 4.1595e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
