#NTIMES: 50
#NSTAGES 4
#TIMES[d]: 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 78
#vel_mid[km/s] ar0 ar1 ar2 ar3
11366.65 2.9933e-04 1.9068e-01 5.9070e-01 2.1832e-01
12061.10 3.7140e-04 1.9274e-01 5.8795e-01 2.1894e-01
12793.43 4.1964e-04 1.9767e-01 5.8175e-01 2.2016e-01
13528.61 4.4354e-04 2.0665e-01 5.6453e-01 2.2838e-01
14194.74 2.9208e-04 1.3375e-01 6.1001e-01 2.5595e-01
14757.77 3.1086e-04 1.2265e-01 6.1531e-01 2.6173e-01
15240.48 2.1145e-04 1.0355e-01 6.5234e-01 2.4389e-01
15646.99 1.5271e-04 6.8263e-02 7.4393e-01 1.8765e-01
15960.30 1.6101e-04 4.9094e-02 8.1521e-01 1.3554e-01
16187.41 2.2281e-04 7.6146e-02 8.1086e-01 1.1277e-01
16354.17 1.2207e-04 5.4378e-02 8.4455e-01 1.0095e-01
16484.18 4.7359e-05 2.6215e-02 8.5440e-01 1.1934e-01
16593.12 3.2967e-05 2.3697e-02 8.3769e-01 1.3858e-01
16691.99 3.0492e-05 2.1168e-02 8.2791e-01 1.5089e-01
16788.59 1.2605e-05 1.0729e-02 8.3218e-01 1.5708e-01
16888.37 1.2236e-05 1.6902e-02 8.2179e-01 1.6129e-01
16998.79 3.0882e-05 2.0507e-02 8.0414e-01 1.7532e-01
17146.37 8.5551e-06 9.8029e-03 8.0560e-01 1.8459e-01
17415.23 2.3882e-06 6.0499e-03 7.9566e-01 1.9829e-01
17888.12 1.9485e-06 6.4917e-03 7.5726e-01 2.3624e-01
18532.37 1.3914e-06 4.6480e-03 7.3631e-01 2.5904e-01
19260.76 5.3549e-07 3.4557e-03 6.9716e-01 2.9938e-01
20034.10 2.5842e-07 1.6596e-03 6.5193e-01 3.4641e-01
20838.00 1.2508e-07 1.4058e-03 6.1561e-01 3.8299e-01
21647.97 2.6294e-07 1.7258e-03 5.8502e-01 4.1326e-01
22447.94 8.1104e-08 9.6304e-04 5.4966e-01 4.4937e-01
23245.88 1.2451e-07 1.5610e-03 4.5640e-01 5.4204e-01
24052.47 1.3052e-08 2.7038e-04 4.0499e-01 5.9473e-01
24867.72 2.1646e-07 1.2069e-03 3.9511e-01 6.0368e-01
25698.86 2.2723e-06 3.1783e-02 3.2745e-01 6.4077e-01
26587.16 1.8277e-07 2.1445e-03 2.4544e-01 7.5241e-01
27637.54 2.9784e-07 1.0443e-03 3.0664e-01 6.9232e-01
28986.97 4.3353e-08 3.5912e-04 2.6562e-01 7.3402e-01
#TIME: 204.93
#NVEL 78
#vel_mid[km/s] ar0 ar1 ar2 ar3
1060.83 2.7970e-02 5.9724e-01 3.3949e-01 3.5300e-02
1919.29 1.8637e-02 6.1889e-01 3.2972e-01 3.2758e-02
2581.60 9.1499e-03 5.4018e-01 4.0063e-01 5.0048e-02
3084.17 2.8480e-03 3.5344e-01 5.5721e-01 8.6501e-02
3472.46 5.1642e-04 1.4915e-01 7.1292e-01 1.3742e-01
3909.64 1.7400e-04 1.0163e-01 7.1999e-01 1.7821e-01
4148.46 1.7137e-04 1.1548e-01 7.0283e-01 1.8152e-01
4670.75 2.3420e-04 1.3119e-01 6.9386e-01 1.7472e-01
4956.05 1.0329e-04 7.8198e-02 7.1919e-01 2.0251e-01
5258.79 2.0183e-05 3.5307e-02 7.2890e-01 2.3578e-01
5580.02 2.5436e-06 1.1904e-02 7.2396e-01 2.6414e-01
5920.87 5.4068e-07 5.2415e-03 7.0777e-01 2.8699e-01
6282.54 2.4620e-07 3.5638e-03 6.8032e-01 3.1611e-01
6666.30 2.0529e-07 3.2492e-03 6.7760e-01 3.1915e-01
7073.50 2.3118e-07 3.5618e-03 6.7463e-01 3.2181e-01
7505.58 2.5486e-07 3.6084e-03 6.6101e-01 3.3538e-01
7964.05 3.0953e-07 4.2555e-03 6.5843e-01 3.3732e-01
8450.53 1.3670e-06 9.2777e-03 6.7166e-01 3.1906e-01
8966.72 5.8336e-06 2.0983e-02 6.7592e-01 3.0309e-01
9514.44 2.3085e-05 4.4337e-02 6.6767e-01 2.8797e-01
10095.62 6.8022e-05 8.8687e-02 6.5008e-01 2.6117e-01
10712.30 1.5309e-04 1.1973e-01 6.3955e-01 2.4057e-01
11366.65 3.3460e-04 1.6344e-01 6.1176e-01 2.2447e-01
12061.10 4.5371e-04 1.9904e-01 5.8188e-01 2.1863e-01
12793.43 6.8847e-04 2.3502e-01 5.5113e-01 2.1316e-01
13528.61 4.0940e-04 1.7153e-01 5.9104e-01 2.3702e-01
14194.74 3.6507e-04 1.7484e-01 5.8140e-01 2.4340e-01
14757.77 1.6887e-04 9.6658e-02 6.3013e-01 2.7304e-01
15240.48 8.9137e-05 5.0706e-02 7.0066e-01 2.4855e-01
15646.99 1.9165e-04 8.0847e-02 7.3315e-01 1.8581e-01
15960.30 1.4967e-04 6.0351e-02 8.0554e-01 1.3396e-01
16187.41 2.2577e-04 6.2188e-02 8.2149e-01 1.1609e-01
16354.17 1.4952e-04 6.4936e-02 8.2565e-01 1.0926e-01
16484.18 5.9485e-05 2.5704e-02 8.5310e-01 1.2114e-01
16593.12 3.5020e-05 3.4910e-02 8.4257e-01 1.2249e-01
16691.99 5.2281e-05 2.4654e-02 8.2016e-01 1.5513e-01
16788.59 9.0964e-06 1.1914e-02 8.3948e-01 1.4860e-01
16888.37 8.5389e-06 1.1172e-02 8.1993e-01 1.6889e-01
16998.79 1.5238e-05 1.8410e-02 8.1954e-01 1.6204e-01
17146.37 1.6077e-05 1.8503e-02 7.9403e-01 1.8745e-01
17415.23 3.1155e-06 7.3900e-03 7.9281e-01 1.9980e-01
17888.12 1.6448e-06 4.6873e-03 7.6337e-01 2.3194e-01
18532.37 7.0725e-07 3.2403e-03 7.3787e-01 2.5889e-01
19260.76 1.5068e-06 4.6222e-03 7.0703e-01 2.8834e-01
20034.10 1.8765e-07 1.5614e-03 6.5719e-01 3.4124e-01
20838.00 2.1079e-07 1.9751e-03 6.1984e-01 3.7819e-01
21647.97 2.0349e-07 1.4943e-03 5.8287e-01 4.1563e-01
22447.94 9.9370e-08 1.1885e-03 5.2239e-01 4.7642e-01
23245.88 1.0456e-05 2.6979e-02 4.7206e-01 5.0095e-01
24052.47 3.5376e-07 4.6029e-03 4.2451e-01 5.7088e-01
24867.72 1.2301e-07 7.5051e-04 3.8409e-01 6.1516e-01
25698.86 1.1273e-06 2.2907e-03 3.6720e-01 6.3051e-01
26587.16 4.5237e-07 5.0381e-03 2.9534e-01 6.9962e-01
27637.54 9.5154e-07 8.2422e-03 2.6951e-01 7.2224e-01
28986.97 1.7381e-06 1.4663e-02 2.4772e-01 7.3761e-01
#TIME: 207.87
#NVEL 78
#vel_mid[km/s] ar0 ar1 ar2 ar3
