#NTIMES: 200
#NSTAGES: 6
#TIMES[d]: 1.3135 1.3409 1.3688 1.3973 1.4263 1.4560 1.4863 1.5173 1.5488 1.5811 1.6140 1.6476 1.6819 1.7169 1.7526 1.7891 1.8263 1.8643 1.9031 1.9427 1.9831 2.0244 2.0665 2.1096 2.1535 2.1983 2.2440 2.2907 2.3384 2.3871 2.4368 2.4875 2.5392 2.5921 2.6460 2.7011 2.7573 2.8147 2.8733 2.9331 2.9941 3.0564 3.1200 3.1850 3.2513 3.3189 3.3880 3.4585 3.5305 3.6040 3.6790 3.7555 3.8337 3.9135 3.9949 4.0781 4.1629 4.2496 4.3380 4.4283 4.5205 4.6145 4.7106 4.8086 4.9087 5.0109 5.1151 5.2216 5.3303 5.4412 5.5544 5.6700 5.7880 5.9085 6.0315 6.1570 6.2851 6.4159 6.5495 6.6858 6.8249 6.9670 7.1120 7.2600 7.4111 7.5653 7.7228 7.8835 8.0476 8.2150 8.3860 8.5605 8.7387 8.9206 9.1062 9.2957 9.4892 9.6867 9.8883 10.0941 10.3042 10.5186 10.7375 10.9610 11.1891 11.4220 11.6597 11.9023 12.1501 12.4029 12.6611 12.9246 13.1935 13.4681 13.7484 14.0346 14.3266 14.6248 14.9292 15.2399 15.5570 15.8808 16.2113 16.5487 16.8931 17.2447 17.6036 17.9700 18.3440 18.7257 19.1155 19.5133 19.9194 20.3340 20.7571 21.1891 21.6301 22.0803 22.5398 23.0089 23.4878 23.9766 24.4756 24.9850 25.5050 26.0358 26.5776 27.1308 27.6954 28.2718 28.8602 29.4608 30.0740 30.6999 31.3388 31.9910 32.6568 33.3365 34.0302 34.7385 35.4615 36.1995 36.9529 37.7219 38.5070 39.3084 40.1265 40.9616 41.8141 42.6843 43.5726 44.4795 45.4052 46.3501 47.3148 48.2995 49.3047 50.3308 51.3783 52.4476 53.5391 54.6534 55.7908 56.9519 58.1372 59.3472 60.5823 61.8431 63.1302 64.4440 65.7853 67.1544 68.5520 69.9787 71.4351 72.9218 74.4394 75.9886 77.5701 79.1845
#
#TIME: 1.3135
#NVEL: 115
#vel_mid[km/s] ar0 ar1 ar2 ar3 ar4 ar5
5.8030e+04 1.0000e+00 2.8777e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.9510e+04 1.0000e+00 3.2740e-23 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.0994e+04 1.0000e+00 6.5339e-11 2.8586e-43 0.0000e+00 0.0000e+00 0.0000e+00
6.2466e+04 1.0000e+00 9.7370e-22 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.3912e+04 1.0000e+00 1.2513e-22 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.5312e+04 1.0000e+00 5.0620e-25 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.6639e+04 1.0000e+00 3.6229e-25 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.7870e+04 1.0000e+00 2.6849e-23 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.8864e+04 1.0000e+00 9.7497e-27 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9460e+04 1.0000e+00 5.2516e-28 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9745e+04 1.0000e+00 4.7068e-28 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9888e+04 1.0000e+00 2.6168e-24 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9960e+04 1.0000e+00 9.3444e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9991e+04 1.0000e+00 3.2370e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
7.0000e+04 1.0000e+00 3.9012e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
#
#TIME: 1.8643
#NVEL: 115
#vel_mid[km/s] ar0 ar1 ar2 ar3 ar4 ar5
4.2577e+02 1.6170e-33 2.0461e-24 5.5802e-16 7.4622e-09 1.5998e-03 9.9840e-01
8.5779e+02 3.9657e-25 8.0787e-18 3.3109e-11 9.0991e-06 5.0116e-02 9.4987e-01
8.7843e+02 4.6276e-26 1.1866e-18 5.7279e-12 2.3983e-06 2.4349e-02 9.7565e-01
9.1772e+02 3.3234e-26 8.8362e-19 4.3763e-12 1.9539e-06 2.1782e-02 9.7822e-01
9.7304e+02 3.0698e-26 8.2356e-19 4.1057e-12 1.8616e-06 2.1217e-02 9.7878e-01
1.0350e+03 3.1205e-26 8.3559e-19 4.1598e-12 1.8801e-06 2.1331e-02 9.7867e-01
1.1000e+03 2.6233e-26 7.1626e-19 3.6161e-12 1.6903e-06 2.0132e-02 9.7987e-01
1.1690e+03 1.8265e-26 5.1968e-19 2.7033e-12 1.3552e-06 1.7855e-02 9.8214e-01
1.2425e+03 7.1465e-27 2.2532e-19 1.2586e-12 7.5550e-07 1.2980e-02 9.8702e-01
1.3205e+03 1.1947e-27 4.5588e-20 2.8893e-13 2.4341e-07 6.9776e-03 9.9302e-01
1.4033e+03 1.2623e-28 6.1726e-21 4.6240e-14 5.9233e-08 3.2173e-03 9.9678e-01
1.4915e+03 1.7958e-29 1.0936e-21 9.5222e-15 1.7432e-08 1.6473e-03 9.9835e-01
1.5852e+03 3.6230e-30 2.6536e-22 2.6335e-15 6.4361e-09 9.5589e-04 9.9904e-01
1.6847e+03 7.1232e-31 6.3215e-23 7.2237e-16 2.3590e-09 5.5321e-04 9.9945e-01
1.7904e+03 1.3188e-31 1.4398e-23 1.9314e-16 8.4983e-10 3.1787e-04 9.9968e-01
1.9028e+03 2.3890e-32 3.2497e-24 5.2146e-17 3.0999e-10 1.8439e-04 9.9982e-01
2.0223e+03 4.4241e-33 7.4791e-25 1.4382e-17 1.1464e-10 1.0782e-04 9.9989e-01
2.1493e+03 7.7631e-34 1.6544e-25 3.8869e-18 4.1909e-11 6.2794e-05 9.9994e-01
2.2843e+03 1.4690e-34 3.9248e-26 1.1276e-18 1.6218e-11 3.7764e-05 9.9996e-01
2.4277e+03 3.5183e-35 1.1479e-26 3.9585e-19 7.2976e-12 2.4663e-05 9.9998e-01
2.5802e+03 1.2757e-35 4.8211e-27 1.9071e-19 4.2003e-12 1.8393e-05 9.9998e-01
2.7422e+03 7.7017e-36 3.1631e-27 1.3559e-19 3.2768e-12 1.6158e-05 9.9998e-01
2.9144e+03 8.4918e-36 3.5170e-27 1.5272e-19 3.6655e-12 1.7235e-05 9.9998e-01
3.0973e+03 2.0400e-35 7.7547e-27 3.1423e-19 6.5859e-12 2.3750e-05 9.9998e-01
3.2918e+03 1.3420e-34 4.2251e-26 1.4814e-18 2.3052e-11 4.7160e-05 9.9995e-01
3.4986e+03 2.6331e-33 5.8752e-25 1.5738e-17 1.4815e-10 1.2976e-04 9.9987e-01
3.7182e+03 9.1741e-32 1.2736e-23 2.3091e-16 1.1481e-09 3.9090e-04 9.9961e-01
3.9517e+03 5.6351e-30 4.7543e-22 5.9569e-15 1.4017e-08 1.5257e-03 9.9847e-01
4.1999e+03 2.6073e-27 1.3368e-19 1.3412e-12 1.0084e-06 1.6482e-02 9.8352e-01
4.4636e+03 9.0078e-25 2.8620e-17 2.1001e-10 4.8994e-05 1.3569e-01 8.6426e-01
4.7438e+03 2.0364e-23 4.9247e-16 2.8370e-09 3.3555e-04 3.4860e-01 6.5106e-01
5.0416e+03 6.5244e-23 1.4348e-15 7.5092e-09 6.7446e-04 4.6967e-01 5.2965e-01
5.3582e+03 7.3019e-23 1.6327e-15 8.6735e-09 7.5463e-04 4.9264e-01 5.0661e-01
5.6947e+03 7.7759e-23 1.7881e-15 9.7457e-09 8.3002e-04 5.1317e-01 4.8600e-01
6.0522e+03 1.2111e-22 2.7426e-15 1.4624e-08 1.1095e-03 5.7196e-01 4.2693e-01
6.4323e+03 3.1947e-22 6.8133e-15 3.3524e-08 1.9622e-03 6.8644e-01 3.1160e-01
6.8362e+03 1.2736e-21 2.4716e-14 1.0557e-07 4.1691e-03 8.1823e-01 1.7761e-01
7.2654e+03 6.6291e-21 1.1337e-13 3.9296e-07 9.4577e-03 9.1040e-01 8.0144e-02
7.7216e+03 4.8461e-20 7.1326e-13 1.8524e-06 2.3934e-02 9.4885e-01 2.7212e-02
8.2065e+03 9.5432e-19 1.1339e-11 1.7995e-05 8.8981e-02 9.0632e-01 4.6778e-03
8.7177e+03 1.4575e-16 1.1979e-09 6.7625e-04 5.5189e-01 4.4733e-01 9.5231e-05
9.2147e+03 7.3711e-14 3.1397e-07 2.5526e-02 9.6396e-01 1.0516e-02 9.8876e-09
9.6291e+03 5.8056e-11 8.8025e-05 5.6466e-01 4.3523e-01 1.9093e-05 1.6909e-14
9.9539e+03 9.2242e-09 3.0342e-03 9.8840e-01 8.5696e-03 6.2245e-10 1.6980e-22
1.0246e+04 2.4760e-06 1.0955e-01 8.9042e-01 2.9720e-05 7.0044e-16 7.4312e-33
1.0542e+04 2.6629e-04 9.1403e-01 8.5705e-02 3.9674e-09 7.1388e-24 0.0000e+00
1.0840e+04 4.8760e-03 9.9440e-01 7.2291e-04 2.7462e-14 1.7280e-33 0.0000e+00
1.1119e+04 1.1591e-01 8.8409e-01 2.2231e-06 2.1456e-20 8.4078e-45 0.0000e+00
1.1356e+04 7.5317e-01 2.4683e-01 2.4809e-09 7.1316e-27 0.0000e+00 0.0000e+00
1.1540e+04 9.7796e-01 2.2039e-02 1.7368e-12 3.6582e-33 0.0000e+00 0.0000e+00
1.1677e+04 9.9788e-01 2.1189e-03 2.5671e-15 1.1506e-38 0.0000e+00 0.0000e+00
1.1784e+04 9.9979e-01 2.0505e-04 4.2359e-18 4.9045e-44 0.0000e+00 0.0000e+00
1.1876e+04 9.9998e-01 1.8008e-05 5.1080e-21 0.0000e+00 0.0000e+00 0.0000e+00
1.1964e+04 1.0000e+00 7.8749e-07 8.3499e-25 0.0000e+00 0.0000e+00 0.0000e+00
1.2056e+04 1.0000e+00 1.2687e-08 6.6486e-30 0.0000e+00 0.0000e+00 0.0000e+00
1.2170e+04 1.0000e+00 7.4139e-11 2.7726e-36 0.0000e+00 0.0000e+00 0.0000e+00
1.2360e+04 1.0000e+00 7.7959e-14 7.0065e-45 0.0000e+00 0.0000e+00 0.0000e+00
1.2670e+04 1.0000e+00 2.6478e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.3075e+04 1.0000e+00 1.0255e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.3530e+04 1.0000e+00 8.2093e-24 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.4013e+04 1.0000e+00 1.3834e-25 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.4509e+04 1.0000e+00 4.2801e-27 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5002e+04 1.0000e+00 3.8544e-28 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5476e+04 1.0000e+00 5.8964e-29 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5924e+04 1.0000e+00 1.7334e-29 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6356e+04 1.0000e+00 5.7785e-30 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6776e+04 1.0000e+00 4.3565e-30 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7184e+04 1.0000e+00 2.1287e-30 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7580e+04 1.0000e+00 1.0221e-30 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7990e+04 1.0000e+00 5.4732e-31 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.8458e+04 1.0000e+00 2.2523e-31 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.9085e+04 1.0000e+00 1.2032e-31 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.0000e+04 1.0000e+00 3.9779e-32 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.1194e+04 1.0000e+00 1.9352e-32 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.2528e+04 1.0000e+00 1.2120e-32 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.3943e+04 1.0000e+00 9.7615e-33 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.5446e+04 1.0000e+00 2.7524e-33 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.7044e+04 1.0000e+00 1.2823e-33 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.8744e+04 1.0000e+00 1.0474e-33 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.0520e+04 1.0000e+00 2.0921e-32 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.2244e+04 1.0000e+00 2.3565e-32 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.3773e+04 1.0000e+00 8.2940e-36 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.5108e+04 1.0000e+00 1.0970e-30 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.6326e+04 1.0000e+00 3.1176e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.7486e+04 1.0000e+00 9.2584e-35 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.8628e+04 1.0000e+00 3.5931e-33 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.9769e+04 1.0000e+00 5.9221e-31 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.0916e+04 1.0000e+00 5.3227e-29 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.2074e+04 1.0000e+00 4.4301e-32 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.3252e+04 1.0000e+00 1.1830e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.4454e+04 1.0000e+00 3.3274e-30 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.5683e+04 1.0000e+00 3.4983e-29 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.6942e+04 1.0000e+00 3.1873e-30 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.8231e+04 1.0000e+00 3.4592e-29 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.9550e+04 1.0000e+00 5.9413e-27 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.0900e+04 1.0000e+00 2.5956e-26 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.2277e+04 1.0000e+00 4.4252e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.3682e+04 1.0000e+00 6.4895e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.5110e+04 1.0000e+00 6.6377e-27 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.6562e+04 1.0000e+00 4.2407e-27 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.8030e+04 1.0000e+00 2.0065e-23 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.9510e+04 1.0000e+00 1.5411e-25 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.0994e+04 1.0000e+00 5.1484e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.2466e+04 1.0000e+00 2.5496e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.3912e+04 1.0000e+00 3.3876e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.5312e+04 1.0000e+00 1.7381e-07 6.0015e-33 0.0000e+00 0.0000e+00 0.0000e+00
6.6639e+04 1.0000e+00 1.2405e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.7870e+04 1.0000e+00 4.1941e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.8864e+04 1.0000e+00 1.9249e-22 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9460e+04 1.0000e+00 1.6708e-26 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9745e+04 1.0000e+00 4.4849e-28 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9888e+04 1.0000e+00 8.8772e-27 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9960e+04 1.0000e+00 2.6312e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9991e+04 1.0000e+00 9.7873e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
7.0000e+04 1.0000e+00 8.9900e-23 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
#
#TIME: 1.9031
#NVEL: 115
#vel_mid[km/s] ar0 ar1 ar2 ar3 ar4 ar5
4.2577e+02 3.3064e-33 3.9984e-24 1.0652e-15 1.2381e-08 2.1260e-03 9.9787e-01
8.5779e+02 6.9223e-25 1.3689e-17 5.5818e-11 1.3746e-05 6.2912e-02 9.3707e-01
8.7843e+02 6.3628e-26 1.6197e-18 7.9142e-12 3.1205e-06 2.8257e-02 9.7174e-01
9.1772e+02 4.3803e-26 1.1610e-18 5.8374e-12 2.4752e-06 2.4916e-02 9.7508e-01
9.7304e+02 4.0201e-26 1.0758e-18 5.4470e-12 2.3486e-06 2.4216e-02 9.7578e-01
1.0350e+03 4.1015e-26 1.0951e-18 5.5353e-12 2.3774e-06 2.4376e-02 9.7562e-01
1.1000e+03 3.4745e-26 9.4492e-19 4.8401e-12 2.1469e-06 2.3063e-02 9.7693e-01
1.1690e+03 2.4124e-26 6.8354e-19 3.6069e-12 1.7173e-06 2.0430e-02 9.7957e-01
1.2425e+03 9.4990e-27 2.9766e-19 1.6839e-12 9.5953e-07 1.4870e-02 9.8513e-01
1.3205e+03 1.5541e-27 5.8963e-20 3.7843e-13 3.0427e-07 7.9241e-03 9.9208e-01
1.4033e+03 1.5959e-28 7.7745e-21 5.9035e-14 7.2685e-08 3.6165e-03 9.9638e-01
1.4915e+03 2.1628e-29 1.3195e-21 1.1692e-14 2.0792e-08 1.8231e-03 9.9818e-01
1.5852e+03 4.2638e-30 3.1371e-22 3.1732e-15 7.5745e-09 1.0501e-03 9.9895e-01
1.6847e+03 8.2182e-31 7.3390e-23 8.5503e-16 2.7400e-09 6.0327e-04 9.9940e-01
1.7904e+03 1.4953e-31 1.6451e-23 2.2494e-16 9.7517e-10 3.4426e-04 9.9966e-01
1.9028e+03 2.6482e-32 3.6379e-24 5.9538e-17 3.5041e-10 1.9802e-04 9.9980e-01
2.0223e+03 4.8371e-33 8.2643e-25 1.6195e-17 1.2818e-10 1.1507e-04 9.9988e-01
2.1493e+03 8.4552e-34 1.8194e-25 4.3456e-18 4.6563e-11 6.6758e-05 9.9993e-01
2.2843e+03 1.5809e-34 4.2669e-26 1.2452e-18 1.7838e-11 3.9916e-05 9.9996e-01
2.4277e+03 3.7248e-35 1.2299e-26 4.3112e-19 7.9392e-12 2.5911e-05 9.9997e-01
2.5802e+03 1.3312e-35 5.1008e-27 2.0535e-19 4.5295e-12 1.9231e-05 9.9998e-01
2.7422e+03 7.9598e-36 3.3188e-27 1.4494e-19 3.5141e-12 1.6844e-05 9.9998e-01
2.9144e+03 8.7705e-36 3.6882e-27 1.6323e-19 3.9307e-12 1.7967e-05 9.9998e-01
3.0973e+03 2.1377e-35 8.2372e-27 3.3992e-19 7.1288e-12 2.4887e-05 9.9998e-01
3.2918e+03 1.4532e-34 4.6226e-26 1.6489e-18 2.5517e-11 5.0038e-05 9.9995e-01
3.4986e+03 2.9337e-33 6.6034e-25 1.8027e-17 1.6775e-10 1.3948e-04 9.9986e-01
3.7182e+03 1.0390e-31 1.4547e-23 2.6939e-16 1.3183e-09 4.2364e-04 9.9958e-01
3.9517e+03 6.7931e-30 5.7399e-22 7.3169e-15 1.6706e-08 1.6879e-03 9.9831e-01
4.1999e+03 3.5586e-27 1.8129e-19 1.8395e-12 1.3036e-06 1.9070e-02 9.8093e-01
4.4636e+03 1.3160e-24 4.1488e-17 3.0483e-10 6.5613e-05 1.5849e-01 8.4145e-01
4.7438e+03 3.1131e-23 7.4480e-16 4.2473e-09 4.5378e-04 3.9961e-01 5.9994e-01
5.0416e+03 1.0139e-22 2.2012e-15 1.1326e-08 9.0879e-04 5.2862e-01 4.7047e-01
5.3582e+03 1.1639e-22 2.5625e-15 1.3327e-08 1.0279e-03 5.5465e-01 4.4432e-01
5.6947e+03 1.2516e-22 2.8315e-15 1.5073e-08 1.1336e-03 5.7636e-01 4.2251e-01
6.0522e+03 1.9437e-22 4.3314e-15 2.2495e-08 1.5022e-03 6.3410e-01 3.6439e-01
6.4323e+03 5.1328e-22 1.0770e-14 5.1283e-08 2.6194e-03 7.4185e-01 2.5553e-01
6.8362e+03 2.0163e-21 3.8606e-14 1.5852e-07 5.4287e-03 8.5525e-01 1.3932e-01
7.2654e+03 1.0413e-20 1.7643e-13 5.8367e-07 1.2106e-02 9.2733e-01 6.0560e-02
7.7216e+03 7.7476e-20 1.1335e-12 2.7775e-06 3.0577e-02 9.4962e-01 1.9797e-02
8.2065e+03 1.6072e-18 1.8979e-11 2.7775e-05 1.1425e-01 8.8255e-01 3.1796e-03
8.7177e+03 2.2792e-16 1.8640e-09 9.4475e-04 6.2642e-01 3.7258e-01 5.3089e-05
9.2147e+03 1.0755e-13 4.5290e-07 3.2230e-02 9.6044e-01 7.3331e-03 4.3325e-09
9.6291e+03 8.2314e-11 1.1769e-04 6.3374e-01 3.6613e-01 1.0456e-05 5.3209e-15
9.9539e+03 1.2577e-08 3.7751e-03 9.9020e-01 6.0294e-03 2.5750e-10 3.5398e-23
1.0246e+04 3.7082e-06 1.4159e-01 8.5839e-01 1.8162e-05 2.1789e-16 9.7735e-34
1.0542e+04 3.1289e-04 9.3376e-01 6.5925e-02 1.9597e-09 1.8150e-24 0.0000e+00
1.0840e+04 5.8183e-03 9.9367e-01 5.1051e-04 1.1373e-14 3.2195e-34 0.0000e+00
1.1119e+04 1.3499e-01 8.6501e-01 1.5310e-06 8.5680e-21 1.4013e-45 0.0000e+00
1.1356e+04 7.8733e-01 2.1267e-01 1.4329e-09 2.2038e-27 0.0000e+00 0.0000e+00
1.1540e+04 9.8118e-01 1.8821e-02 1.0529e-12 1.2915e-33 0.0000e+00 0.0000e+00
1.1677e+04 9.9835e-01 1.6467e-03 1.2228e-15 2.5942e-39 0.0000e+00 0.0000e+00
1.1784e+04 9.9984e-01 1.5800e-04 1.9793e-18 1.1210e-44 0.0000e+00 0.0000e+00
1.1876e+04 9.9999e-01 1.0943e-05 1.2396e-21 0.0000e+00 0.0000e+00 0.0000e+00
1.1964e+04 1.0000e+00 2.7701e-07 4.4098e-26 0.0000e+00 0.0000e+00 0.0000e+00
1.2056e+04 1.0000e+00 9.4326e-10 4.1325e-33 0.0000e+00 0.0000e+00 0.0000e+00
1.2170e+04 1.0000e+00 2.0470e-12 9.2964e-41 0.0000e+00 0.0000e+00 0.0000e+00
1.2360e+04 1.0000e+00 2.0712e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2670e+04 1.0000e+00 1.2216e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.3075e+04 1.0000e+00 8.9302e-23 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.3530e+04 1.0000e+00 1.2234e-24 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.4013e+04 1.0000e+00 2.9148e-26 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.4509e+04 1.0000e+00 2.0128e-27 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5002e+04 1.0000e+00 2.7821e-28 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5476e+04 1.0000e+00 4.6223e-29 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5924e+04 1.0000e+00 1.2505e-29 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6356e+04 1.0000e+00 4.7893e-30 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6776e+04 1.0000e+00 2.1318e-30 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7184e+04 1.0000e+00 1.1460e-30 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7580e+04 1.0000e+00 7.4261e-31 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7990e+04 1.0000e+00 3.5968e-31 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.8458e+04 1.0000e+00 1.3799e-31 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.9085e+04 1.0000e+00 5.2170e-32 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.0000e+04 1.0000e+00 1.4002e-32 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.1194e+04 1.0000e+00 7.6979e-33 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.2528e+04 1.0000e+00 1.0338e-32 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.3943e+04 1.0000e+00 4.1607e-33 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.5446e+04 1.0000e+00 1.6605e-33 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.7044e+04 1.0000e+00 7.4319e-34 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.8744e+04 1.0000e+00 6.6686e-35 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.0520e+04 1.0000e+00 2.8181e-35 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.2244e+04 1.0000e+00 1.0156e-34 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.3773e+04 1.0000e+00 9.8013e-35 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.5108e+04 1.0000e+00 2.1239e-36 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.6326e+04 1.0000e+00 5.0532e-22 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.7486e+04 1.0000e+00 1.1334e-33 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.8628e+04 1.0000e+00 1.2223e-24 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.9769e+04 1.0000e+00 3.2416e-36 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.0916e+04 1.0000e+00 7.4328e-33 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.2074e+04 1.0000e+00 5.4186e-36 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.3252e+04 1.0000e+00 1.1548e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.4454e+04 1.0000e+00 1.6403e-33 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.5683e+04 1.0000e+00 2.2145e-31 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.6942e+04 1.0000e+00 2.5576e-33 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.8231e+04 1.0000e+00 1.3655e-31 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.9550e+04 1.0000e+00 1.4881e-29 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.0900e+04 1.0000e+00 7.4051e-29 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.2277e+04 1.0000e+00 5.7183e-22 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.3682e+04 1.0000e+00 2.3659e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
