#NTIMES: 145 
#NSTAGES: 5 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] al0 al1 al2 al3 al4 
440.10 5.44e-20 7.71e-13 5.01e-06 1.00e+00 3.18e-09 
999.11 6.95e-21 1.22e-13 1.45e-06 1.00e+00 3.42e-07 
1267.34 1.44e-21 2.99e-14 5.51e-07 1.00e+00 2.68e-05 
1514.05 5.90e-22 1.32e-14 3.03e-07 1.00e+00 3.50e-04 
1808.80 2.30e-22 5.96e-15 1.76e-07 9.96e-01 3.98e-03 
1919.29 1.20e-22 3.48e-15 1.21e-07 9.80e-01 2.00e-02 
2160.92 1.03e-22 2.77e-15 9.19e-08 8.85e-01 1.15e-01 
2292.92 3.64e-23 1.25e-15 5.20e-08 7.10e-01 2.90e-01 
2432.98 2.73e-23 9.13e-16 3.81e-08 5.62e-01 4.38e-01 
2581.60 2.42e-23 7.65e-16 3.12e-08 4.69e-01 5.31e-01 
2739.29 1.82e-23 5.83e-16 2.42e-08 3.85e-01 6.15e-01 
2906.62 1.46e-23 4.75e-16 2.02e-08 3.37e-01 6.63e-01 
3084.17 1.33e-23 4.39e-16 1.91e-08 3.26e-01 6.74e-01 
3272.56 1.00e-23 3.67e-16 1.75e-08 3.26e-01 6.74e-01 
3472.46 8.73e-24 3.49e-16 1.80e-08 3.56e-01 6.44e-01 
3684.57 8.14e-24 3.57e-16 2.00e-08 4.12e-01 5.88e-01 
3909.64 6.70e-24 3.36e-16 2.12e-08 4.72e-01 5.28e-01 
4148.46 7.10e-24 3.81e-16 2.52e-08 5.60e-01 4.40e-01 
4401.86 8.99e-24 4.80e-16 3.11e-08 6.49e-01 3.51e-01 
4670.75 1.06e-23 5.75e-16 3.72e-08 7.39e-01 2.61e-01 
4956.05 9.90e-24 5.68e-16 3.89e-08 7.84e-01 2.16e-01 
5258.79 7.69e-24 4.92e-16 3.73e-08 8.07e-01 1.93e-01 
5580.02 6.39e-24 4.54e-16 3.78e-08 8.52e-01 1.48e-01 
5920.87 6.54e-24 4.78e-16 4.07e-08 8.91e-01 1.09e-01 
6282.54 5.73e-24 4.56e-16 4.17e-08 9.23e-01 7.72e-02 
6666.30 6.26e-24 5.07e-16 4.65e-08 9.54e-01 4.64e-02 
7073.50 5.90e-24 5.19e-16 5.00e-08 9.76e-01 2.41e-02 
7505.58 6.61e-24 5.97e-16 5.72e-08 9.88e-01 1.17e-02 
7964.05 7.34e-24 7.00e-16 6.75e-08 9.96e-01 3.98e-03 
8450.53 9.76e-24 9.55e-16 8.81e-08 9.99e-01 8.80e-04 
8966.72 1.41e-23 1.41e-15 1.23e-07 1.00e+00 1.57e-04 
9514.44 2.55e-23 2.63e-15 2.03e-07 1.00e+00 1.09e-05 
10095.62 8.29e-23 8.04e-15 4.61e-07 1.00e+00 3.10e-07 
10712.30 3.33e-22 3.23e-14 1.29e-06 1.00e+00 2.72e-09 
11366.65 2.66e-21 2.62e-13 5.59e-06 1.00e+00 3.40e-12 
12061.10 4.92e-20 5.20e-12 4.20e-05 1.00e+00 3.14e-16 
12793.43 1.80e-18 2.07e-10 4.66e-04 1.00e+00 4.87e-21 
13528.61 2.23e-16 2.35e-08 9.20e-03 9.91e-01 7.92e-27 
14194.74 2.74e-14 2.69e-06 1.68e-01 8.32e-01 2.62e-31 
14757.77 7.88e-13 6.25e-05 7.47e-01 2.52e-01 4.13e-32 
15240.48 7.42e-12 3.91e-04 9.69e-01 3.02e-02 6.10e-33 
15646.99 7.39e-11 2.09e-03 9.95e-01 2.92e-03 7.85e-34 
15960.30 8.48e-10 1.13e-02 9.88e-01 2.68e-04 1.18e-34 
16187.41 4.45e-09 3.81e-02 9.62e-01 4.44e-05 4.82e-35 
16354.17 2.00e-08 1.16e-01 8.84e-01 7.07e-06 1.32e-35 
16484.18 3.19e-08 1.71e-01 8.29e-01 3.17e-06 1.19e-35 
16593.12 4.54e-08 2.40e-01 7.60e-01 1.31e-06 1.12e-35 
16691.99 7.94e-08 3.78e-01 6.22e-01 3.94e-07 4.96e-36 
16788.59 1.06e-07 4.64e-01 5.36e-01 2.11e-07 8.05e-36 
16888.37 1.32e-07 5.66e-01 4.34e-01 7.50e-08 2.38e-36 
16998.79 2.00e-07 7.17e-01 2.83e-01 1.84e-08 2.32e-36 
17146.37 2.73e-07 8.65e-01 1.35e-01 2.19e-09 1.20e-36 
17415.23 3.68e-07 9.50e-01 5.00e-02 1.34e-10 1.29e-36 
17888.12 5.44e-07 9.93e-01 6.80e-03 7.50e-13 1.75e-37 
18532.37 8.45e-07 9.99e-01 8.25e-04 3.08e-15 1.46e-37 
19260.76 1.02e-06 1.00e+00 9.24e-05 1.07e-17 8.26e-38 
20034.10 7.35e-07 1.00e+00 1.99e-05 1.98e-19 9.85e-38 
20838.00 9.43e-07 1.00e+00 4.13e-06 2.00e-21 1.19e-37 
21647.97 9.52e-07 1.00e+00 1.10e-06 4.95e-23 1.35e-37 
22447.94 1.57e-06 1.00e+00 2.26e-07 9.26e-25 1.68e-37 
23245.88 1.71e-06 1.00e+00 8.30e-08 4.04e-26 2.18e-37 
24052.47 2.97e-06 1.00e+00 1.94e-08 1.39e-27 2.83e-37 
24867.72 7.05e-07 1.00e+00 1.11e-08 2.17e-27 3.68e-37 
25698.86 7.24e-07 1.00e+00 2.98e-09 2.54e-27 4.98e-37 
26587.16 3.77e-06 1.00e+00 6.60e-10 3.40e-27 7.43e-37 
27637.54 1.05e-05 1.00e+00 2.16e-10 1.40e-26 1.31e-36 
28986.97 4.33e-06 1.00e+00 6.85e-11 5.66e-26 3.14e-36 
#TIME: 4.22 
#NVEL: 67 
#vel_mid[km/s] al0 al1 al2 al3 al4 
440.10 1.38e-20 2.66e-13 3.12e-06 1.00e+00 8.30e-09 
999.11 3.87e-21 7.59e-14 1.15e-06 1.00e+00 6.23e-07 
1267.34 1.13e-21 2.46e-14 5.07e-07 1.00e+00 6.64e-05 
1514.05 4.80e-22 1.12e-14 2.84e-07 9.99e-01 6.70e-04 
1808.80 1.95e-22 5.39e-15 1.70e-07 9.95e-01 4.83e-03 
1919.29 1.22e-22 3.52e-15 1.24e-07 9.77e-01 2.35e-02 
2160.92 6.57e-23 2.08e-15 8.28e-08 9.09e-01 9.06e-02 
2292.92 3.67e-23 1.26e-15 5.37e-08 7.17e-01 2.83e-01 
2432.98 2.54e-23 8.92e-16 3.96e-08 5.94e-01 4.06e-01 
2581.60 1.99e-23 7.14e-16 3.23e-08 5.18e-01 4.82e-01 
2739.29 1.88e-23 6.40e-16 2.82e-08 4.53e-01 5.47e-01 
2906.62 1.44e-23 5.08e-16 2.34e-08 4.03e-01 5.97e-01 
3084.17 1.04e-23 4.04e-16 2.03e-08 3.85e-01 6.15e-01 
3272.56 8.91e-24 3.64e-16 1.94e-08 3.84e-01 6.16e-01 
3472.46 7.85e-24 3.49e-16 1.99e-08 4.16e-01 5.84e-01 
3684.57 7.45e-24 3.59e-16 2.20e-08 4.75e-01 5.25e-01 
3909.64 6.39e-24 3.48e-16 2.35e-08 5.40e-01 4.60e-01 
4148.46 5.84e-24 3.53e-16 2.59e-08 6.15e-01 3.85e-01 
4401.86 7.82e-24 4.57e-16 3.21e-08 7.00e-01 3.00e-01 
4670.75 9.63e-24 5.57e-16 3.84e-08 7.80e-01 2.20e-01 
4956.05 7.76e-24 5.01e-16 3.82e-08 8.21e-01 1.79e-01 
5258.79 6.18e-24 4.41e-16 3.69e-08 8.42e-01 1.58e-01 
5580.02 5.85e-24 4.41e-16 3.87e-08 8.82e-01 1.18e-01 
5920.87 5.02e-24 4.14e-16 3.92e-08 9.12e-01 8.77e-02 
6282.54 5.09e-24 4.33e-16 4.20e-08 9.40e-01 6.01e-02 
6666.30 5.08e-24 4.54e-16 4.53e-08 9.65e-01 3.55e-02 
7073.50 5.44e-24 5.03e-16 5.06e-08 9.82e-01 1.82e-02 
7505.58 5.82e-24 5.64e-16 5.71e-08 9.92e-01 8.50e-03 
7964.05 6.76e-24 6.82e-16 6.86e-08 9.97e-01 2.80e-03 
8450.53 9.56e-24 9.73e-16 9.20e-08 9.99e-01 5.66e-04 
8966.72 1.33e-23 1.42e-15 1.27e-07 1.00e+00 8.85e-05 
9514.44 2.64e-23 2.82e-15 2.18e-07 1.00e+00 7.65e-06 
10095.62 8.50e-23 8.65e-15 5.00e-07 1.00e+00 1.78e-07 
10712.30 3.62e-22 3.67e-14 1.44e-06 1.00e+00 1.39e-09 
11366.65 3.02e-21 3.09e-13 6.36e-06 1.00e+00 1.66e-12 
12061.10 6.01e-20 6.64e-12 4.98e-05 1.00e+00 1.23e-16 
12793.43 2.26e-18 2.70e-10 5.56e-04 9.99e-01 2.04e-21 
13528.61 2.75e-16 3.00e-08 1.09e-02 9.89e-01 3.41e-27 
14194.74 3.54e-14 3.56e-06 1.99e-01 8.01e-01 2.50e-31 
14757.77 9.17e-13 7.34e-05 7.84e-01 2.16e-01 4.04e-32 
15240.48 8.35e-12 4.40e-04 9.75e-01 2.47e-02 5.76e-33 
15646.99 7.69e-11 2.24e-03 9.95e-01 2.58e-03 8.56e-34 
15960.30 9.50e-10 1.29e-02 9.87e-01 2.20e-04 1.30e-34 
16187.41 4.10e-09 3.55e-02 9.64e-01 4.66e-05 5.19e-35 
16354.17 1.85e-08 1.14e-01 8.86e-01 6.70e-06 1.70e-35 
16484.18 2.89e-08 1.62e-01 8.38e-01 3.15e-06 1.46e-35 
16593.12 4.51e-08 2.50e-01 7.50e-01 1.13e-06 1.22e-35 
16691.99 6.47e-08 3.49e-01 6.51e-01 4.90e-07 1.50e-35 
16788.59 1.17e-07 5.18e-01 4.82e-01 1.10e-07 4.31e-36 
16888.37 1.40e-07 5.92e-01 4.08e-01 6.13e-08 4.30e-36 
16998.79 1.86e-07 7.29e-01 2.71e-01 1.50e-08 4.79e-36 
17146.37 2.44e-07 8.37e-01 1.63e-01 3.37e-09 4.86e-36 
17415.23 3.30e-07 9.42e-01 5.76e-02 2.03e-10 2.83e-36 
17888.12 4.99e-07 9.91e-01 8.63e-03 1.26e-12 1.23e-36 
18532.37 7.68e-07 9.99e-01 8.82e-04 3.30e-15 5.76e-37 
19260.76 1.03e-06 1.00e+00 1.14e-04 1.67e-17 8.79e-38 
20034.10 1.00e-06 1.00e+00 2.04e-05 1.01e-19 1.05e-37 
20838.00 1.13e-06 1.00e+00 4.10e-06 1.50e-21 1.27e-37 
21647.97 1.18e-06 1.00e+00 8.02e-07 1.84e-23 1.44e-37 
22447.94 1.13e-06 1.00e+00 1.80e-07 2.80e-25 1.78e-37 
23245.88 1.52e-06 1.00e+00 7.15e-08 2.13e-26 2.32e-37 
24052.47 1.79e-06 1.00e+00 2.03e-08 3.93e-27 3.01e-37 
24867.72 8.78e-07 1.00e+00 8.84e-09 9.47e-28 3.92e-37 
25698.86 3.73e-06 1.00e+00 2.49e-09 1.68e-27 5.30e-37 
26587.16 3.48e-06 1.00e+00 1.04e-09 6.47e-27 7.90e-37 
27637.54 6.87e-06 1.00e+00 2.89e-10 1.42e-26 1.40e-36 
28986.97 6.79e-06 1.00e+00 8.05e-11 5.63e-26 3.33e-36 
#TIME: 4.31 
#NVEL: 67 
#vel_mid[km/s] al0 al1 al2 al3 al4 
440.10 1.97e-20 3.87e-13 3.62e-06 1.00e+00 4.15e-09 
999.11 2.88e-21 6.37e-14 1.03e-06 1.00e+00 7.40e-07 
1267.34 7.46e-22 1.92e-14 4.43e-07 1.00e+00 5.48e-05 
1514.05 3.25e-22 8.97e-15 2.54e-07 1.00e+00 4.92e-04 
1808.80 1.45e-22 4.49e-15 1.57e-07 9.96e-01 3.99e-03 
1919.29 8.24e-23 2.80e-15 1.12e-07 9.82e-01 1.75e-02 
2160.92 5.77e-23 1.95e-15 8.29e-08 9.26e-01 7.39e-02 
2292.92 2.53e-23 1.02e-15 4.98e-08 7.47e-01 2.53e-01 
2432.98 1.86e-23 7.61e-16 3.85e-08 6.39e-01 3.61e-01 
2581.60 1.63e-23 6.47e-16 3.26e-08 5.61e-01 4.39e-01 
2739.29 1.33e-23 5.40e-16 2.79e-08 5.06e-01 4.94e-01 
2906.62 1.06e-23 4.42e-16 2.37e-08 4.55e-01 5.45e-01 
3084.17 9.58e-24 4.06e-16 2.23e-08 4.39e-01 5.61e-01 
3272.56 7.83e-24 3.59e-16 2.12e-08 4.47e-01 5.53e-01 
3472.46 7.03e-24 3.46e-16 2.17e-08 4.78e-01 5.22e-01 
3684.57 6.64e-24 3.54e-16 2.37e-08 5.38e-01 4.62e-01 
3909.64 5.38e-24 3.27e-16 2.44e-08 5.94e-01 4.06e-01 
4148.46 5.30e-24 3.44e-16 2.70e-08 6.62e-01 3.38e-01 
4401.86 7.46e-24 4.60e-16 3.40e-08 7.49e-01 2.51e-01 
4670.75 7.85e-24 5.03e-16 3.80e-08 8.15e-01 1.85e-01 
4956.05 6.86e-24 4.77e-16 3.87e-08 8.51e-01 1.49e-01 
5258.79 5.71e-24 4.31e-16 3.79e-08 8.72e-01 1.28e-01 
5580.02 4.67e-24 3.91e-16 3.77e-08 9.04e-01 9.63e-02 
5920.87 4.60e-24 4.00e-16 3.98e-08 9.30e-01 6.97e-02 
6282.54 4.56e-24 4.14e-16 4.23e-08 9.54e-01 4.58e-02 
6666.30 4.36e-24 4.21e-16 4.48e-08 9.72e-01 2.77e-02 
7073.50 4.43e-24 4.50e-16 4.91e-08 9.86e-01 1.43e-02 
7505.58 5.00e-24 5.24e-16 5.66e-08 9.94e-01 6.38e-03 
7964.05 5.99e-24 6.49e-16 6.89e-08 9.98e-01 1.97e-03 
8450.53 8.36e-24 9.22e-16 9.26e-08 1.00e+00 3.74e-04 
8966.72 1.23e-23 1.41e-15 1.31e-07 1.00e+00 5.92e-05 
9514.44 2.63e-23 2.95e-15 2.32e-07 1.00e+00 5.37e-06 
10095.62 8.97e-23 9.52e-15 5.46e-07 1.00e+00 1.01e-07 
10712.30 3.96e-22 4.19e-14 1.61e-06 1.00e+00 7.14e-10 
11366.65 3.49e-21 3.71e-13 7.30e-06 1.00e+00 7.81e-13 
12061.10 7.00e-20 8.14e-12 5.79e-05 1.00e+00 5.31e-17 
12793.43 2.77e-18 3.43e-10 6.54e-04 9.99e-01 7.90e-22 
13528.61 3.75e-16 4.21e-08 1.35e-02 9.87e-01 1.24e-27 
14194.74 4.62e-14 4.76e-06 2.36e-01 7.64e-01 2.52e-31 
14757.77 9.90e-13 8.13e-05 8.08e-01 1.92e-01 4.34e-32 
15240.48 8.92e-12 4.81e-04 9.79e-01 2.08e-02 6.28e-33 
15646.99 8.48e-11 2.49e-03 9.95e-01 2.08e-03 8.55e-34 
15960.30 8.69e-10 1.22e-02 9.88e-01 2.27e-04 1.74e-34 
16187.41 5.42e-09 4.57e-02 9.54e-01 3.01e-05 3.01e-35 
16354.17 1.77e-08 1.10e-01 8.90e-01 6.76e-06 1.95e-35 
16484.18 3.64e-08 1.97e-01 8.03e-01 2.07e-06 1.12e-35 
16593.12 5.48e-08 2.98e-01 7.02e-01 7.41e-07 6.95e-36 
16691.99 7.15e-08 3.61e-01 6.39e-01 4.30e-07 9.45e-36 
16788.59 1.08e-07 5.04e-01 4.96e-01 1.27e-07 1.60e-35 
16888.37 1.42e-07 6.37e-01 3.63e-01 4.14e-08 4.90e-36 
16998.79 1.70e-07 6.94e-01 3.06e-01 2.04e-08 9.56e-36 
17146.37 2.50e-07 8.29e-01 1.71e-01 3.64e-09 2.98e-36 
17415.23 3.14e-07 9.38e-01 6.18e-02 2.27e-10 4.54e-36 
17888.12 5.06e-07 9.91e-01 8.96e-03 1.33e-12 1.42e-36 
18532.37 7.20e-07 9.99e-01 1.08e-03 6.29e-15 4.35e-37 
19260.76 8.83e-07 1.00e+00 9.40e-05 1.23e-17 1.47e-37 
20034.10 9.52e-07 1.00e+00 2.01e-05 1.67e-19 1.11e-37 
20838.00 1.19e-06 1.00e+00 4.96e-06 3.80e-21 1.35e-37 
21647.97 1.23e-06 1.00e+00 1.50e-06 8.10e-23 1.53e-37 
22447.94 1.14e-06 1.00e+00 3.47e-07 1.65e-24 1.90e-37 
23245.88 1.80e-06 1.00e+00 9.06e-08 6.55e-26 4.44e-37 
24052.47 1.38e-06 1.00e+00 3.10e-08 3.20e-27 3.20e-37 
24867.72 1.37e-06 1.00e+00 9.00e-09 1.25e-27 4.16e-37 
25698.86 8.98e-07 1.00e+00 2.93e-09 2.41e-27 5.64e-37 
26587.16 5.13e-06 1.00e+00 7.22e-10 2.82e-27 8.40e-37 
27637.54 1.20e-06 1.00e+00 3.16e-10 1.10e-26 1.48e-36 
28986.97 6.38e-07 1.00e+00 1.14e-10 7.81e-26 3.55e-36 
#TIME: 4.40 
#NVEL: 67 
#vel_mid[km/s] al0 al1 al2 al3 al4 
440.10 6.49e-21 1.59e-13 2.32e-06 1.00e+00 1.39e-08 
