#NTIMES: 108
#NSTAGES: 9
#TIMES[d]: 2.037028e+00 2.112455e+00 2.190675e+00 2.271792e+00 2.355913e+00 2.443148e+00 2.533613e+00 2.627428e+00 2.724717e+00 2.825608e+00 2.930235e+00 3.038736e+00 3.151255e+00 3.267940e+00 3.388946e+00 3.514432e+00 3.644565e+00 3.779516e+00 3.919465e+00 4.064595e+00 4.215100e+00 4.371177e+00 4.533034e+00 4.700883e+00 4.874948e+00 5.055458e+00 5.242653e+00 5.436778e+00 5.638092e+00 5.846861e+00 6.063359e+00 6.287873e+00 6.520702e+00 6.762152e+00 7.012541e+00 7.272203e+00 7.541479e+00 7.820726e+00 8.110313e+00 8.410623e+00 8.722052e+00 9.045013e+00 9.379933e+00 9.727255e+00 1.008744e+01 1.046096e+01 1.084831e+01 1.125000e+01 1.166656e+01 1.209856e+01 1.254655e+01 1.301112e+01 1.349289e+01 1.399251e+01 1.451063e+01 1.504793e+01 1.560513e+01 1.618296e+01 1.678218e+01 1.740360e+01 1.804802e+01 1.871630e+01 1.940933e+01 2.012802e+01 2.087333e+01 2.164623e+01 2.244774e+01 2.327894e+01 2.414092e+01 2.503481e+01 2.596181e+01 2.692312e+01 2.792004e+01 2.895387e+01 3.002597e+01 3.113778e+01 3.229075e+01 3.348642e+01 3.472636e+01 3.601222e+01 3.734568e+01 3.872852e+01 4.016256e+01 4.164970e+01 4.319192e+01 4.479123e+01 4.644977e+01 4.816972e+01 4.995336e+01 5.180304e+01 5.372120e+01 5.571040e+01 5.777325e+01 5.991249e+01 6.213094e+01 6.443153e+01 6.681731e+01 6.929144e+01 7.185717e+01 7.451791e+01 7.727716e+01 8.013859e+01 8.310597e+01 8.618323e+01 8.937444e+01 9.268381e+01 9.611572e+01 9.967470e+01 
#
#TIME: 2.037028e+00 
#NVEL: 115
#vel_mid[km/s] s0 s1 s2 s3 s4 s5 s6 s7 s8
3.860572e+03 3.145157e-28 1.799136e-20 1.812463e-13 1.219415e-07 3.145157e-03 9.968547e-01 0.000000e+00 0.000000e+00 0.000000e+00 
4.104562e+03 4.186141e-25 2.269123e-17 1.259755e-10 2.093070e-05 6.298773e-02 9.369913e-01 0.000000e+00 0.000000e+00 0.000000e+00 
4.363973e+03 2.334993e-21 8.444893e-14 1.527475e-07 3.735989e-03 7.413604e-01 2.549034e-01 0.000000e+00 0.000000e+00 0.000000e+00 
4.639779e+03 2.031553e-19 5.332827e-12 4.262634e-06 2.865941e-02 9.450350e-01 2.630136e-02 0.000000e+00 0.000000e+00 0.000000e+00 
4.933016e+03 1.307859e-18 3.031694e-11 1.678008e-05 6.292528e-02 9.288970e-01 8.160898e-03 0.000000e+00 0.000000e+00 0.000000e+00 
5.244785e+03 2.244873e-18 5.136270e-11 2.568135e-05 8.045626e-02 9.141124e-01 5.405655e-03 0.000000e+00 0.000000e+00 0.000000e+00 
5.576259e+03 2.400279e-18 5.707751e-11 2.853875e-05 8.618326e-02 9.090821e-01 4.706059e-03 0.000000e+00 0.000000e+00 0.000000e+00 
5.928682e+03 3.550743e-18 8.490044e-11 3.947474e-05 1.039435e-01 8.926448e-01 3.372214e-03 0.000000e+00 0.000000e+00 0.000000e+00 
6.303378e+03 7.055206e-18 1.673461e-10 6.861618e-05 1.419645e-01 8.560891e-01 1.877803e-03 0.000000e+00 0.000000e+00 0.000000e+00 
6.701756e+03 2.382355e-17 5.431768e-10 1.734354e-04 2.344237e-01 7.647358e-01 6.670593e-04 0.000000e+00 0.000000e+00 0.000000e+00 
7.125310e+03 9.864286e-17 2.068401e-09 4.828852e-04 3.899233e-01 6.094166e-01 1.771440e-04 0.000000e+00 0.000000e+00 0.000000e+00 
7.575635e+03 4.964306e-16 9.392693e-09 1.469547e-03 6.148970e-01 3.836055e-01 2.792422e-05 0.000000e+00 0.000000e+00 0.000000e+00 
8.054419e+03 4.174450e-15 6.666659e-08 5.607470e-03 8.629273e-01 1.314640e-01 1.121494e-06 0.000000e+00 0.000000e+00 0.000000e+00 
8.563463e+03 1.858516e-13 1.913071e-06 4.546272e-02 9.456247e-01 8.910694e-03 1.098379e-09 0.000000e+00 0.000000e+00 0.000000e+00 
9.105475e+03 2.157110e-10 6.633590e-04 8.256195e-01 1.737142e-01 2.977957e-06 2.262102e-17 0.000000e+00 0.000000e+00 0.000000e+00 
9.611971e+03 5.690134e-06 5.479165e-01 4.520763e-01 1.482810e-06 7.474329e-18 5.322445e-39 0.000000e+00 0.000000e+00 0.000000e+00 
1.001075e+04 5.964210e-03 9.940350e-01 8.330293e-07 2.709095e-21 8.260290e-45 9.240325e-85 0.000000e+00 0.000000e+00 0.000000e+00 
1.035413e+04 9.886488e-01 1.135115e-02 3.286342e-18 7.396558e-47 1.391432e-89 3.634200e-159 0.000000e+00 0.000000e+00 0.000000e+00 
1.071873e+04 9.999999e-01 1.288461e-07 4.725274e-36 1.442308e-84 1.170330e-154 4.299450e-267 0.000000e+00 0.000000e+00 0.000000e+00 
1.109526e+04 1.000000e+00 2.354125e-17 5.271630e-70 2.052314e-155 5.090543e-276 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.142152e+04 1.000000e+00 1.186858e-33 4.866530e-128 1.570842e-277 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.165575e+04 1.000000e+00 1.248047e-32 1.388672e-129 8.359375e-285 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.180634e+04 1.000000e+00 1.254032e-32 1.401210e-129 8.487903e-285 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.190922e+04 1.000000e+00 1.298441e-32 1.505568e-129 9.420935e-285 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.198841e+04 1.000000e+00 1.408602e-32 1.768817e-129 1.201613e-284 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.205647e+04 1.000000e+00 1.522581e-32 2.067742e-129 1.516129e-284 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.212064e+04 1.000000e+00 1.599265e-32 2.286765e-129 1.772059e-284 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.218540e+04 1.000000e+00 1.672199e-32 2.493776e-129 2.012448e-284 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.225395e+04 1.000000e+00 1.704036e-32 2.591928e-129 2.134529e-284 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.233084e+04 1.000000e+00 1.585366e-32 2.243902e-129 1.715447e-284 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.244353e+04 1.000000e+00 1.522449e-32 2.077551e-129 1.530612e-284 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.267901e+04 1.000000e+00 2.072727e-32 3.809091e-129 3.790909e-284 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.305675e+04 1.000000e+00 8.814691e-34 6.928214e-132 2.954925e-288 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.350389e+04 1.000000e+00 8.259587e-34 6.106195e-132 2.433628e-288 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.398480e+04 1.000000e+00 8.000000e-34 5.736842e-132 2.210526e-288 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.448732e+04 1.000000e+00 7.772727e-34 5.381818e-132 2.018182e-288 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.499069e+04 1.000000e+00 7.206086e-34 4.633472e-132 1.604426e-288 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
