#NTIMES: 200
#NSTAGES: 6
#TIMES[d]: 1.3135 1.3409 1.3688 1.3973 1.4263 1.4560 1.4863 1.5173 1.5488 1.5811 1.6140 1.6476 1.6819 1.7169 1.7526 1.7891 1.8263 1.8643 1.9031 1.9427 1.9831 2.0244 2.0665 2.1096 2.1535 2.1983 2.2440 2.2907 2.3384 2.3871 2.4368 2.4875 2.5392 2.5921 2.6460 2.7011 2.7573 2.8147 2.8733 2.9331 2.9941 3.0564 3.1200 3.1850 3.2513 3.3189 3.3880 3.4585 3.5305 3.6040 3.6790 3.7555 3.8337 3.9135 3.9949 4.0781 4.1629 4.2496 4.3380 4.4283 4.5205 4.6145 4.7106 4.8086 4.9087 5.0109 5.1151 5.2216 5.3303 5.4412 5.5544 5.6700 5.7880 5.9085 6.0315 6.1570 6.2851 6.4159 6.5495 6.6858 6.8249 6.9670 7.1120 7.2600 7.4111 7.5653 7.7228 7.8835 8.0476 8.2150 8.3860 8.5605 8.7387 8.9206 9.1062 9.2957 9.4892 9.6867 9.8883 10.0941 10.3042 10.5186 10.7375 10.9610 11.1891 11.4220 11.6597 11.9023 12.1501 12.4029 12.6611 12.9246 13.1935 13.4681 13.7484 14.0346 14.3266 14.6248 14.9292 15.2399 15.5570 15.8808 16.2113 16.5487 16.8931 17.2447 17.6036 17.9700 18.3440 18.7257 19.1155 19.5133 19.9194 20.3340 20.7571 21.1891 21.6301 22.0803 22.5398 23.0089 23.4878 23.9766 24.4756 24.9850 25.5050 26.0358 26.5776 27.1308 27.6954 28.2718 28.8602 29.4608 30.0740 30.6999 31.3388 31.9910 32.6568 33.3365 34.0302 34.7385 35.4615 36.1995 36.9529 37.7219 38.5070 39.3084 40.1265 40.9616 41.8141 42.6843 43.5726 44.4795 45.4052 46.3501 47.3148 48.2995 49.3047 50.3308 51.3783 52.4476 53.5391 54.6534 55.7908 56.9519 58.1372 59.3472 60.5823 61.8431 63.1302 64.4440 65.7853 67.1544 68.5520 69.9787 71.4351 72.9218 74.4394 75.9886 77.5701 79.1845
#
#TIME: 1.3135
#NVEL: 115
#vel_mid[km/s] k0 k1 k2 k3 k4 k5
4.2577e+02 1.5662e-36 5.7731e-28 5.0542e-19 3.8962e-11 1.4027e-04 9.9986e-01
8.5779e+02 5.0266e-27 2.3205e-20 2.5444e-13 2.4567e-07 1.1077e-02 9.8892e-01
8.7843e+02 5.0197e-27 2.3178e-20 2.5421e-13 2.4550e-07 1.1073e-02 9.8893e-01
9.1772e+02 5.0011e-27 2.3096e-20 2.5340e-13 2.4489e-07 1.1058e-02 9.8894e-01
9.7304e+02 4.8860e-27 2.2616e-20 2.4891e-13 2.4162e-07 1.0977e-02 9.8902e-01
1.0350e+03 4.6025e-27 2.1409e-20 2.3738e-13 2.3302e-07 1.0762e-02 9.8924e-01
1.1000e+03 3.8614e-27 1.8237e-20 2.0674e-13 2.0975e-07 1.0160e-02 9.8984e-01
1.1690e+03 2.4197e-27 1.1903e-20 1.4314e-13 1.5853e-07 8.7189e-03 9.9128e-01
1.2425e+03 9.2032e-28 4.8933e-21 6.6144e-14 8.7630e-08 6.2975e-03 9.9370e-01
1.3205e+03 2.1815e-28 1.2825e-21 2.0390e-14 3.5064e-08 3.7983e-03 9.9620e-01
1.4033e+03 4.1194e-29 2.7277e-22 5.2323e-15 1.2095e-08 2.1117e-03 9.9789e-01
1.4915e+03 8.6578e-30 6.4833e-23 1.4933e-15 4.5342e-09 1.2321e-03 9.9877e-01
1.5852e+03 2.0489e-30 1.7453e-23 4.8115e-16 1.8764e-09 7.6136e-04 9.9924e-01
1.6847e+03 4.6999e-31 4.6196e-24 1.5435e-16 7.7623e-10 4.7166e-04 9.9953e-01
1.7904e+03 9.7635e-32 1.1358e-24 4.7155e-17 3.1121e-10 2.8830e-04 9.9971e-01
1.9028e+03 1.8434e-32 2.6096e-25 1.3822e-17 1.2193e-10 1.7474e-04 9.9983e-01
2.0223e+03 3.5780e-33 6.1542e-26 4.1538e-18 4.8632e-11 1.0709e-04 9.9989e-01
2.1493e+03 7.1560e-34 1.4950e-26 1.2853e-18 1.9844e-11 6.6558e-05 9.9993e-01
2.2843e+03 1.7162e-34 4.2524e-27 4.5343e-19 8.9255e-12 4.3604e-05 9.9996e-01
