#NTIMES: 200
#NSTAGES: 10
#TIMES[d]: 1.3135 1.3409 1.3688 1.3973 1.4263 1.4560 1.4863 1.5173 1.5488 1.5811 1.6140 1.6476 1.6819 1.7169 1.7526 1.7891 1.8263 1.8643 1.9031 1.9427 1.9831 2.0244 2.0665 2.1096 2.1535 2.1983 2.2440 2.2907 2.3384 2.3871 2.4368 2.4875 2.5392 2.5921 2.6460 2.7011 2.7573 2.8147 2.8733 2.9331 2.9941 3.0564 3.1200 3.1850 3.2513 3.3189 3.3880 3.4585 3.5305 3.6040 3.6790 3.7555 3.8337 3.9135 3.9949 4.0781 4.1629 4.2496 4.3380 4.4283 4.5205 4.6145 4.7106 4.8086 4.9087 5.0109 5.1151 5.2216 5.3303 5.4412 5.5544 5.6700 5.7880 5.9085 6.0315 6.1570 6.2851 6.4159 6.5495 6.6858 6.8249 6.9670 7.1120 7.2600 7.4111 7.5653 7.7228 7.8835 8.0476 8.2150 8.3860 8.5605 8.7387 8.9206 9.1062 9.2957 9.4892 9.6867 9.8883 10.0941 10.3042 10.5186 10.7375 10.9610 11.1891 11.4220 11.6597 11.9023 12.1501 12.4029 12.6611 12.9246 13.1935 13.4681 13.7484 14.0346 14.3266 14.6248 14.9292 15.2399 15.5570 15.8808 16.2113 16.5487 16.8931 17.2447 17.6036 17.9700 18.3440 18.7257 19.1155 19.5133 19.9194 20.3340 20.7571 21.1891 21.6301 22.0803 22.5398 23.0089 23.4878 23.9766 24.4756 24.9850 25.5050 26.0358 26.5776 27.1308 27.6954 28.2718 28.8602 29.4608 30.0740 30.6999 31.3388 31.9910 32.6568 33.3365 34.0302 34.7385 35.4615 36.1995 36.9529 37.7219 38.5070 39.3084 40.1265 40.9616 41.8141 42.6843 43.5726 44.4795 45.4052 46.3501 47.3148 48.2995 49.3047 50.3308 51.3783 52.4476 53.5391 54.6534 55.7908 56.9519 58.1372 59.3472 60.5823 61.8431 63.1302 64.4440 65.7853 67.1544 68.5520 69.9787 71.4351 72.9218 74.4394 75.9886 77.5701 79.1845
#
#TIME: 1.3135
#NVEL: 115
#vel_mid[km/s] ca0 ca1 ca2 ca3 ca4 ca5 ca6 ca7 ca8 ca9
3.4986e+03 7.1466e-43 1.6197e-34 7.1824e-27 3.6298e-20 4.1086e-14 4.5216e-09 3.4853e-05 1.7356e-02 6.4460e-01 3.3801e-01
3.7182e+03 5.5741e-39 9.0136e-31 1.9728e-23 5.0876e-17 2.4500e-11 8.8001e-07 1.6216e-03 1.4588e-01 8.0670e-01 4.5798e-02
3.9517e+03 4.2447e-35 5.3011e-27 5.7889e-20 7.9129e-14 1.4907e-08 1.4648e-04 5.0689e-02 6.0165e-01 3.4621e-01 1.3073e-03
4.1999e+03 7.7735e-31 1.0170e-22 5.9724e-16 4.4153e-10 2.1605e-05 2.8530e-02 6.8019e-01 2.8744e-01 3.8199e-03 1.2776e-07
4.4636e+03 9.5684e-28 1.1409e-19 4.3144e-13 1.4867e-07 1.7696e-03 3.3421e-01 6.5126e-01 1.2750e-02 5.4110e-06 2.2778e-12
4.7438e+03 1.9280e-26 2.0976e-18 6.6578e-12 1.4640e-06 8.5140e-03 6.2353e-01 3.6628e-01 1.6742e-03 1.3984e-07 7.4163e-15
5.0416e+03 3.7413e-26 4.0542e-18 1.2612e-11 2.4844e-06 1.2054e-02 6.9094e-01 2.9609e-01 9.1927e-04 4.9705e-08 1.5028e-15
5.3582e+03 2.8060e-26 3.2096e-18 1.0540e-11 2.1922e-06 1.1232e-02 6.7996e-01 3.0779e-01 1.0096e-03 5.7680e-08 1.8431e-15
5.6947e+03 2.5301e-26 3.0465e-18 1.0491e-11 2.2322e-06 1.1484e-02 6.8645e-01 3.0112e-01 9.3928e-04 5.0380e-08 1.4611e-15
6.0522e+03 3.8665e-26 4.7287e-18 1.6371e-11 3.2393e-06 1.4654e-02 7.3157e-01 2.5319e-01 5.8819e-04 2.2593e-08 4.2303e-16
6.4323e+03 1.1276e-25 1.3664e-17 4.6129e-11 7.4819e-06 2.4744e-02 8.1136e-01 1.6369e-01 1.9652e-04 3.5920e-09 2.5710e-17
6.8362e+03 5.6196e-25 6.6007e-17 2.1355e-10 2.5025e-05 5.0779e-02 8.7204e-01 7.7120e-02 3.3941e-05 2.0083e-10 3.3448e-19
7.2654e+03 3.8312e-24 4.2310e-16 1.2898e-09 9.9253e-05 1.1019e-01 8.6155e-01 2.8158e-02 3.7182e-06 5.6949e-12 1.6589e-21
7.7216e+03 3.8217e-23 3.8612e-15 1.0984e-08 4.8882e-04 2.5333e-01 7.3921e-01 6.9735e-03 2.0606e-07 5.8708e-14 1.9523e-24
8.2065e+03 8.4904e-22 7.4083e-14 1.9150e-07 3.6480e-03 5.9789e-01 3.9788e-01 5.8543e-04 1.8601e-09 4.3088e-17 5.6170e-29
8.7177e+03 9.8716e-20 6.4225e-12 1.3994e-05 5.0687e-02 9.1288e-01 3.6413e-02 1.5691e-06 7.3524e-14 1.4535e-23 4.0444e-38
9.2147e+03 8.4288e-17 3.0611e-09 4.4990e-03 7.5400e-01 2.4145e-01 5.9681e-05 4.4560e-12 1.1167e-22 4.2231e-36 0.0000e+00
9.6291e+03 1.4704e-14 2.8349e-07 2.4088e-01 7.5782e-01 1.2984e-03 4.4276e-10 8.4782e-21 1.2394e-35 0.0000e+00 0.0000e+00
9.9539e+03 1.6566e-13 2.0600e-06 9.6347e-01 3.6524e-02 1.7539e-07 3.5602e-17 5.6300e-32 0.0000e+00 0.0000e+00 0.0000e+00
1.0246e+04 5.8686e-13 4.9863e-06 9.9978e-01 2.1528e-04 1.0619e-12 3.6630e-26 1.4013e-45 0.0000e+00 0.0000e+00 0.0000e+00
1.0542e+04 2.4846e-12 1.5685e-05 9.9998e-01 3.1217e-07 2.5110e-19 1.4385e-37 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.0840e+04 3.0489e-11 9.7472e-05 9.9990e-01 9.0762e-11 1.5880e-27 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1119e+04 5.2639e-10 7.5530e-04 9.9924e-01 1.3718e-14 2.2385e-36 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
