#NTIMES: 200
#NSTAGES: 10
#TIMES[d]: 1.3135 1.3409 1.3688 1.3973 1.4263 1.4560 1.4863 1.5173 1.5488 1.5811 1.6140 1.6476 1.6819 1.7169 1.7526 1.7891 1.8263 1.8643 1.9031 1.9427 1.9831 2.0244 2.0665 2.1096 2.1535 2.1983 2.2440 2.2907 2.3384 2.3871 2.4368 2.4875 2.5392 2.5921 2.6460 2.7011 2.7573 2.8147 2.8733 2.9331 2.9941 3.0564 3.1200 3.1850 3.2513 3.3189 3.3880 3.4585 3.5305 3.6040 3.6790 3.7555 3.8337 3.9135 3.9949 4.0781 4.1629 4.2496 4.3380 4.4283 4.5205 4.6145 4.7106 4.8086 4.9087 5.0109 5.1151 5.2216 5.3303 5.4412 5.5544 5.6700 5.7880 5.9085 6.0315 6.1570 6.2851 6.4159 6.5495 6.6858 6.8249 6.9670 7.1120 7.2600 7.4111 7.5653 7.7228 7.8835 8.0476 8.2150 8.3860 8.5605 8.7387 8.9206 9.1062 9.2957 9.4892 9.6867 9.8883 10.0941 10.3042 10.5186 10.7375 10.9610 11.1891 11.4220 11.6597 11.9023 12.1501 12.4029 12.6611 12.9246 13.1935 13.4681 13.7484 14.0346 14.3266 14.6248 14.9292 15.2399 15.5570 15.8808 16.2113 16.5487 16.8931 17.2447 17.6036 17.9700 18.3440 18.7257 19.1155 19.5133 19.9194 20.3340 20.7571 21.1891 21.6301 22.0803 22.5398 23.0089 23.4878 23.9766 24.4756 24.9850 25.5050 26.0358 26.5776 27.1308 27.6954 28.2718 28.8602 29.4608 30.0740 30.6999 31.3388 31.9910 32.6568 33.3365 34.0302 34.7385 35.4615 36.1995 36.9529 37.7219 38.5070 39.3084 40.1265 40.9616 41.8141 42.6843 43.5726 44.4795 45.4052 46.3501 47.3148 48.2995 49.3047 50.3308 51.3783 52.4476 53.5391 54.6534 55.7908 56.9519 58.1372 59.3472 60.5823 61.8431 63.1302 64.4440 65.7853 67.1544 68.5520 69.9787 71.4351 72.9218 74.4394 75.9886 77.5701 79.1845
#
#TIME: 1.3135
#NVEL: 115
#vel_mid[km/s] ca0 ca1 ca2 ca3 ca4 ca5 ca6 ca7 ca8 ca9
3.8628e+04 4.2840e-02 9.5716e-01 1.1543e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.9769e+04 3.4066e-01 6.5934e-01 3.7788e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.0916e+04 2.0076e-01 7.9924e-01 1.4048e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.2074e+04 1.0707e-02 9.8929e-01 5.9427e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.3252e+04 2.9182e-03 9.9708e-01 5.4654e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.4454e+04 7.5086e-04 9.9925e-01 6.6471e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.5683e+04 9.5507e-09 9.6530e-01 3.4703e-02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.6942e+04 1.0754e-02 9.8925e-01 1.3137e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.8231e+04 6.1617e-03 9.9384e-01 2.7285e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.9550e+04 3.4859e-08 9.9998e-01 2.3848e-05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.0900e+04 1.2338e-02 9.8766e-01 3.2991e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.2277e+04 2.9365e-03 9.9706e-01 3.9014e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.3682e+04 4.4032e-09 9.9429e-01 5.7111e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.5110e+04 3.4286e-04 9.9966e-01 1.6836e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.6562e+04 1.5704e-01 8.4296e-01 3.2736e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.8030e+04 2.8970e-01 7.1030e-01 3.8606e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.9510e+04 2.2854e-01 7.7146e-01 5.7742e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.0994e+04 1.2262e-01 8.7738e-01 2.1644e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.2466e+04 6.1970e-02 9.3803e-01 7.3632e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.3912e+04 3.0637e-02 9.6936e-01 2.3450e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.5312e+04 1.9948e-02 9.8005e-01 4.1368e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.6639e+04 5.3024e-05 9.9995e-01 8.8523e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.7870e+04 8.0253e-03 9.9197e-01 1.4746e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.8864e+04 5.7342e-03 9.9427e-01 2.2773e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9460e+04 5.5081e-03 9.9449e-01 2.2310e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9745e+04 2.5959e-27 6.5636e-12 1.0000e+00 2.0101e-13 6.6005e-37 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9888e+04 1.6953e-27 4.9830e-12 1.0000e+00 5.7276e-13 7.3888e-36 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9960e+04 9.4213e-28 3.3550e-12 1.0000e+00 2.9664e-12 3.3329e-34 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9991e+04 7.9080e-28 2.9890e-12 1.0000e+00 4.6822e-12 9.5685e-34 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
7.0000e+04 6.2810e-20 7.3712e-07 1.0000e+00 1.6091e-36 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
#
#TIME: 4.2496
#NVEL: 115
#vel_mid[km/s] ca0 ca1 ca2 ca3 ca4 ca5 ca6 ca7 ca8 ca9
4.2577e+02 5.8938e-22 3.8510e-12 1.1041e-03 7.5809e-01 2.4079e-01 1.2784e-05 3.0597e-14 4.6295e-27 2.1019e-43 0.0000e+00
8.5779e+02 4.6939e-17 4.7604e-09 2.1209e-02 9.4557e-01 3.3216e-02 3.4506e-07 3.3064e-16 3.7171e-29 2.8026e-45 0.0000e+00
8.7843e+02 1.5044e-18 2.2971e-10 1.4591e-03 6.0551e-01 3.9287e-01 1.5813e-04 1.4701e-11 3.6051e-22 1.0670e-35 0.0000e+00
9.1772e+02 5.0995e-20 1.0657e-11 8.6195e-05 1.6879e-01 8.2693e-01 4.2011e-03 9.2419e-09 9.4623e-18 1.9667e-29 0.0000e+00
9.7304e+02 1.4050e-20 3.2472e-12 2.8181e-05 9.2761e-02 8.9650e-01 1.0714e-02 6.8644e-08 2.4895e-16 2.1809e-27 6.8664e-44
1.0350e+03 1.0225e-20 2.4189e-12 2.1320e-05 7.9578e-02 9.0705e-01 1.3350e-02 1.1100e-07 5.4822e-16 6.8235e-27 3.4052e-43
1.1000e+03 8.9022e-21 2.1282e-12 1.8892e-05 7.4441e-02 9.1088e-01 1.4660e-02 1.3631e-07 7.6850e-16 1.1118e-26 6.7402e-43
1.1690e+03 6.1926e-21 1.5215e-12 1.3758e-05 6.2427e-02 9.1889e-01 1.8668e-02 2.3223e-07 1.8485e-15 3.9567e-26 3.9741e-42
1.2425e+03 2.3826e-21 6.2197e-13 5.8255e-06 3.8404e-02 9.2636e-01 3.5228e-02 9.6303e-07 1.9545e-14 1.2132e-24 4.8170e-40
1.3205e+03 3.9497e-22 1.1309e-13 1.1035e-06 1.4491e-02 8.7733e-01 1.0817e-01 1.3033e-05 1.5538e-12 7.2256e-22 3.8949e-36
1.4033e+03 3.0787e-23 1.0142e-14 1.0653e-07 3.3471e-03 6.4647e-01 3.4991e-01 2.7064e-04 2.9689e-10 1.7064e-18 2.3734e-31
1.4915e+03 2.0910e-24 8.0164e-16 9.2702e-09 6.2811e-04 3.3554e-01 6.6126e-01 2.5754e-03 1.9425e-08 9.8203e-16 2.2496e-27
1.5852e+03 1.4901e-25 6.6326e-17 8.5423e-10 1.1168e-04 1.4236e-01 8.4454e-01 1.2987e-02 5.0361e-07 1.6019e-13 3.8952e-24
1.6847e+03 9.7323e-27 5.0172e-18 7.2523e-11 1.7730e-05 5.2185e-02 8.9598e-01 5.1802e-02 9.7664e-06 1.8285e-11 4.3191e-21
1.7904e+03 5.2833e-28 3.1668e-19 5.2305e-12 2.3713e-06 1.6147e-02 8.0700e-01 1.7669e-01 1.6379e-04 1.8209e-09 4.2071e-18
1.9028e+03 2.3387e-29 1.6516e-20 3.2249e-13 2.6253e-07 4.0027e-03 5.5775e-01 4.3639e-01 1.8534e-03 1.1244e-07 2.2559e-15
2.0223e+03 6.7848e-31 5.6944e-22 1.3616e-14 1.9578e-08 6.6730e-04 2.5947e-01 7.2571e-01 1.4142e-02 4.6737e-06 8.0518e-13
2.1493e+03 1.3213e-32 1.3380e-23 4.1132e-16 1.0256e-09 7.7927e-05 8.4430e-02 8.4061e-01 7.4750e-02 1.3325e-04 1.9222e-10
2.2843e+03 2.4454e-34 2.9367e-25 1.1808e-17 4.7871e-11 7.6491e-06 2.1647e-02 7.1128e-01 2.6475e-01 2.3125e-03 2.4572e-08
2.4277e+03 7.1171e-36 9.7882e-27 5.0283e-19 2.9523e-12 8.5189e-07 5.2126e-03 4.4817e-01 5.2991e-01 1.6698e-02 8.8306e-07
2.5802e+03 4.5731e-37 6.9958e-28 4.3810e-20 3.3304e-13 1.4557e-07 1.5318e-03 2.5861e-01 6.8678e-01 5.3067e-02 8.5490e-06
2.7422e+03 1.2276e-37 2.0220e-28 1.4161e-20 1.2250e-13 6.4690e-08 8.6314e-04 1.9428e-01 7.2375e-01 8.1086e-02 2.0530e-05
2.9144e+03 2.2704e-37 3.8532e-28 2.6762e-20 2.2560e-13 1.0930e-07 1.2743e-03 2.3827e-01 7.0053e-01 5.9911e-02 1.0675e-05
3.0973e+03 5.0003e-36 8.2711e-27 4.9290e-19 3.2473e-12 9.8230e-07 5.9629e-03 4.7991e-01 5.0073e-01 1.3396e-02 5.4592e-07
3.2918e+03 2.1438e-33 3.2253e-24 1.4515e-16 5.0352e-10 5.0703e-05 6.9794e-02 8.4316e-01 8.6823e-02 1.7371e-04 2.5922e-10
3.4986e+03 2.0463e-30 2.4960e-21 8.3937e-14 1.0747e-07 2.4485e-03 4.8496e-01 5.0984e-01 2.7497e-03 2.0366e-07 4.4924e-15
3.7182e+03 9.7187e-28 8.0382e-19 1.8657e-11 7.2020e-06 3.3231e-02 8.8760e-01 7.9134e-02 2.2807e-05 6.4860e-11 2.2883e-20
3.9517e+03 1.0516e-24 5.6844e-16 9.4827e-09 6.9981e-04 3.6656e-01 6.3086e-01 1.8723e-03 9.4367e-09 2.8762e-16 3.0524e-28
4.1999e+03 1.6598e-21 7.4683e-13 1.2823e-05 6.6068e-02 9.1948e-01 1.4435e-02 1.0869e-07 4.1827e-16 3.5518e-27 8.8282e-44
4.4636e+03 3.1132e-19 1.0696e-10 1.5775e-03 6.6902e-01 3.2933e-01 7.2798e-05 2.4949e-12 1.5822e-23 8.6586e-38 0.0000e+00
4.7438e+03 4.9154e-18 1.2724e-09 1.4528e-02 9.4606e-01 3.9414e-02 3.8830e-07 2.6675e-16 1.6863e-29 0.0000e+00 0.0000e+00
5.0416e+03 2.4418e-17 5.2805e-09 4.9959e-02 9.4237e-01 7.6752e-03 9.7080e-09 5.0442e-19 1.5304e-33 0.0000e+00 0.0000e+00
5.3582e+03 5.0826e-17 1.0343e-08 9.0905e-02 9.0594e-01 3.1503e-03 1.3556e-09 1.7977e-20 1.0898e-35 0.0000e+00 0.0000e+00
5.6947e+03 7.3716e-17 1.4922e-08 1.2891e-01 8.6931e-01 1.7752e-03 3.8581e-10 2.1336e-21 4.5859e-37 0.0000e+00 0.0000e+00
6.0522e+03 1.0909e-16 2.1842e-08 1.8381e-01 8.1524e-01 9.4266e-04 9.8948e-11 2.1581e-22 1.5421e-38 0.0000e+00 0.0000e+00
6.4323e+03 1.8818e-16 3.7062e-08 2.9825e-01 7.0141e-01 3.4309e-04 1.1988e-11 6.4080e-24 8.6775e-41 0.0000e+00 0.0000e+00
6.8362e+03 3.5866e-16 6.9047e-08 5.1594e-01 4.8399e-01 6.8162e-05 4.8558e-13 3.3970e-26 4.2039e-44 0.0000e+00 0.0000e+00
7.2654e+03 6.2525e-16 1.1551e-07 7.6665e-01 2.3335e-01 7.2049e-06 7.4382e-15 4.4165e-29 0.0000e+00 0.0000e+00 0.0000e+00
7.7216e+03 1.0065e-15 1.7217e-07 9.3587e-01 6.4133e-02 2.6840e-07 2.2003e-17 5.1715e-33 0.0000e+00 0.0000e+00 0.0000e+00
8.2065e+03 1.8126e-15 2.6576e-07 9.9288e-01 7.1164e-03 1.4739e-09 2.7242e-21 5.1335e-39 0.0000e+00 0.0000e+00 0.0000e+00
8.7177e+03 4.3733e-15 5.1669e-07 9.9983e-01 1.7370e-04 2.5408e-13 9.1148e-28 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
9.2147e+03 2.1466e-14 1.8299e-06 1.0000e+00 2.0772e-07 3.9038e-20 1.7556e-39 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
9.6291e+03 3.3120e-13 1.3984e-05 9.9999e-01 2.0248e-11 1.9109e-29 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
9.9539e+03 1.7921e-12 5.0934e-05 9.9995e-01 4.1457e-14 1.0572e-35 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.0246e+04 7.2811e-12 1.4811e-04 9.9985e-01 2.3060e-16 5.9253e-41 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.0542e+04 2.9574e-11 4.1616e-04 9.9958e-01 1.7232e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.0840e+04 1.6922e-10 1.4152e-03 9.9858e-01 7.3646e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1119e+04 1.2146e-09 5.4957e-03 9.9450e-01 1.8362e-23 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1356e+04 1.0646e-08 2.3625e-02 9.7637e-01 3.1356e-26 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1540e+04 6.8777e-08 8.2616e-02 9.1738e-01 8.2191e-29 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1677e+04 3.0322e-07 2.2218e-01 7.7782e-01 2.7827e-31 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1784e+04 1.0327e-06 4.6015e-01 5.3985e-01 1.2046e-33 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1876e+04 2.5589e-06 7.0282e-01 2.9718e-01 6.4544e-36 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1964e+04 5.3438e-06 8.7868e-01 1.2131e-01 1.4267e-38 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2056e+04 8.0830e-06 9.4865e-01 5.1338e-02 4.0538e-41 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2170e+04 1.2368e-05 9.8048e-01 1.9510e-02 9.1084e-44 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2360e+04 2.2154e-05 9.9486e-01 5.1189e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2670e+04 5.2417e-05 9.9925e-01 6.9819e-04 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.3075e+04 1.5414e-04 9.9979e-01 5.9031e-05 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.3530e+04 4.0900e-04 9.9959e-01 5.8627e-06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.4013e+04 1.0668e-03 9.9893e-01 6.0352e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.4509e+04 2.0263e-03 9.9797e-01 1.1261e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5002e+04 3.1681e-03 9.9683e-01 3.0717e-08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5476e+04 5.3905e-03 9.9461e-01 6.3096e-09 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5924e+04 5.0556e-03 9.9494e-01 5.4045e-09 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6356e+04 8.1051e-03 9.9189e-01 1.0925e-09 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6776e+04 7.5982e-03 9.9240e-01 9.7482e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7184e+04 8.0935e-03 9.9191e-01 6.4435e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7580e+04 1.2591e-02 9.8741e-01 1.6900e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7990e+04 1.5079e-02 9.8492e-01 8.3724e-11 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.8458e+04 1.8423e-02 9.8158e-01 4.0429e-11 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.9085e+04 1.1300e-03 9.9887e-01 1.2240e-08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.0000e+04 1.4557e-02 9.8544e-01 1.8066e-11 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.1194e+04 7.9262e-04 9.9921e-01 2.2285e-09 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.2528e+04 1.4202e-03 9.9858e-01 1.7356e-10 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.3943e+04 5.8032e-03 9.9420e-01 2.4647e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.5446e+04 1.7620e-02 9.8238e-01 9.1683e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.7044e+04 6.1800e-03 9.9382e-01 3.2812e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.8744e+04 2.8506e-02 9.7149e-01 6.4411e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.0520e+04 3.1266e-02 9.6873e-01 2.7115e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.2244e+04 1.1757e-02 9.8824e-01 1.2754e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.3773e+04 9.8015e-08 9.9557e-01 4.4257e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.5108e+04 5.7379e-06 9.9999e-01 1.2105e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.6326e+04 2.1132e-05 9.9998e-01 5.2117e-09 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.7486e+04 1.0722e-02 9.8928e-01 2.7660e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.8628e+04 2.4680e-01 7.5320e-01 1.5805e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.9769e+04 2.8919e-01 7.1081e-01 6.3803e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.0916e+04 1.0374e-02 9.8963e-01 8.7705e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.2074e+04 8.2018e-02 9.1798e-01 8.3724e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.3252e+04 2.2327e-02 9.7767e-01 8.8571e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.4454e+04 5.6900e-03 9.9431e-01 9.2720e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.5683e+04 1.3572e-08 9.9634e-01 3.6621e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.6942e+04 4.1623e-02 9.5838e-01 8.0983e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.8231e+04 3.7114e-02 9.6289e-01 7.0946e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.9550e+04 1.7589e-07 1.0000e+00 9.3529e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.0900e+04 6.2729e-03 9.9373e-01 1.1870e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.2277e+04 2.5487e-03 9.9745e-01 4.8858e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.3682e+04 7.9111e-09 9.9977e-01 2.3109e-04 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.5110e+04 2.1174e-03 9.9788e-01 3.4047e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.6562e+04 1.6296e-01 8.3704e-01 2.8101e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.8030e+04 3.1787e-01 6.8213e-01 2.6471e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.9510e+04 2.9236e-01 7.0764e-01 2.5030e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.0994e+04 1.6510e-01 8.3490e-01 9.6616e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.2466e+04 8.3248e-02 9.1675e-01 3.6323e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.3912e+04 3.6628e-02 9.6337e-01 1.5371e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.5312e+04 1.8301e-02 9.8170e-01 4.6438e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.6639e+04 2.5119e-04 9.9975e-01 1.9539e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.7870e+04 5.3245e-03 9.9468e-01 3.1161e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.8864e+04 3.3535e-03 9.9665e-01 6.1552e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9460e+04 3.1054e-03 9.9689e-01 6.4781e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9745e+04 1.0192e-26 1.6824e-11 1.0000e+00 3.1284e-15 4.1776e-41 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9888e+04 6.0324e-27 1.1977e-11 1.0000e+00 1.1679e-14 8.7495e-40 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9960e+04 2.7460e-27 7.0735e-12 1.0000e+00 1.0446e-13 1.4002e-37 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9991e+04 2.1314e-27 5.9837e-12 1.0000e+00 2.0451e-13 6.6216e-37 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
7.0000e+04 9.1929e-19 4.3144e-06 1.0000e+00 8.3423e-40 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
#
#TIME: 4.3380
#NVEL: 115
