#NTIMES: 128
#NSTAGES: 9
#TIMES[d]: 2.037028e+00 2.112455e+00 2.190675e+00 2.271792e+00 2.355913e+00 2.443148e+00 2.533613e+00 2.627428e+00 2.724717e+00 2.825608e+00 2.930235e+00 3.038736e+00 3.151255e+00 3.267940e+00 3.388946e+00 3.514432e+00 3.644565e+00 3.779516e+00 3.919465e+00 4.064595e+00 4.215100e+00 4.371177e+00 4.533034e+00 4.700883e+00 4.874948e+00 5.055458e+00 5.242653e+00 5.436778e+00 5.638092e+00 5.846861e+00 6.063359e+00 6.287873e+00 6.520702e+00 6.762152e+00 7.012541e+00 7.272203e+00 7.541479e+00 7.820726e+00 8.110313e+00 8.410623e+00 8.722052e+00 9.045013e+00 9.379933e+00 9.727255e+00 1.008744e+01 1.046096e+01 1.084831e+01 1.125000e+01 1.166656e+01 1.209856e+01 1.254655e+01 1.301112e+01 1.349289e+01 1.399251e+01 1.451063e+01 1.504793e+01 1.560513e+01 1.618296e+01 1.678218e+01 1.740360e+01 1.804802e+01 1.871630e+01 1.940933e+01 2.012802e+01 2.087333e+01 2.164623e+01 2.244774e+01 2.327894e+01 2.414092e+01 2.503481e+01 2.596181e+01 2.692312e+01 2.792004e+01 2.895387e+01 3.002597e+01 3.113778e+01 3.229075e+01 3.348642e+01 3.472636e+01 3.601222e+01 3.734568e+01 3.872852e+01 4.016256e+01 4.164970e+01 4.319192e+01 4.479123e+01 4.644977e+01 4.816972e+01 4.995336e+01 5.180304e+01 5.372120e+01 5.571040e+01 5.777325e+01 5.991249e+01 6.213094e+01 6.443153e+01 6.681731e+01 6.929144e+01 7.185717e+01 7.451791e+01 7.727716e+01 8.013859e+01 8.310597e+01 8.618323e+01 8.937444e+01 9.268381e+01 9.611572e+01 9.967470e+01 1.033655e+02 1.071929e+02 1.111621e+02 1.152782e+02 1.195467e+02 1.239733e+02 1.285638e+02 1.333243e+02 1.382611e+02 1.433806e+02 1.486897e+02 1.541954e+02 1.599050e+02 1.658260e+02 1.719662e+02 1.783338e+02 1.849372e+02 1.917850e+02 1.988865e+02 2.062509e+02 
#
#TIME: 2.037028e+00 
#NVEL: 115
#vel_mid[km/s] temp[K] ne[/cm^3] al0 al1 al2 al3 al4 al5 al6 al7 al8
4.242332e+02 4.476481e+04 2.952632e+13 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
8.515108e+02 4.587027e+04 5.911254e+13 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
8.638199e+02 4.625995e+04 4.630391e+13 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
8.922215e+02 4.623995e+04 4.016827e+13 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
9.416122e+02 4.548603e+04 3.157240e+13 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.002576e+03 4.496458e+04 3.210414e+13 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.065938e+03 4.489202e+04 3.205340e+13 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.133306e+03 4.529169e+04 3.209654e+13 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.204932e+03 4.600435e+04 3.257792e+13 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.281084e+03 4.812197e+04 3.443614e+13 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.362050e+03 5.114445e+04 3.714984e+13 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.448132e+03 5.404087e+04 4.020017e+13 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.539655e+03 5.658079e+04 4.232310e+13 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.636962e+03 5.963442e+04 4.433977e+13 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.740419e+03 6.267641e+04 4.541322e+13 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.850415e+03 6.596284e+04 4.503974e+13 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.967362e+03 6.957379e+04 4.595208e+13 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.091700e+03 7.370162e+04 4.699659e+13 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.223897e+03 7.813947e+04 4.820732e+13 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.364448e+03 8.235190e+04 4.832436e+13 5.082975e-26 8.850645e-18 2.360172e-10 6.146281e-04 3.724647e-01 6.269207e-01 0.000000e+00 0.000000e+00 0.000000e+00 
2.513883e+03 8.553460e+04 4.788240e+13 5.233829e-27 1.105931e-18 3.668232e-11 1.110482e-04 1.624763e-01 8.374127e-01 0.000000e+00 0.000000e+00 0.000000e+00 
2.672762e+03 8.669479e+04 4.624058e+13 9.751696e-28 2.399386e-19 9.450097e-12 3.230459e-05 8.511789e-02 9.148498e-01 0.000000e+00 0.000000e+00 0.000000e+00 
2.841682e+03 8.520897e+04 4.269968e+13 4.753592e-28 1.298002e-19 5.689533e-12 2.150200e-05 6.896403e-02 9.310145e-01 0.000000e+00 0.000000e+00 0.000000e+00 
3.021278e+03 8.078053e+04 3.753985e+13 1.062103e-27 2.961457e-19 1.299750e-11 5.136848e-05 1.115116e-01 8.884370e-01 0.000000e+00 0.000000e+00 0.000000e+00 
3.212225e+03 7.379445e+04 2.966421e+13 2.920653e-26 7.159343e-18 2.621098e-10 9.870308e-04 4.747933e-01 5.242197e-01 0.000000e+00 0.000000e+00 0.000000e+00 
3.415240e+03 6.601306e+04 2.448419e+13 2.299589e-24 3.905447e-16 9.313977e-09 2.659301e-02 9.378212e-01 3.558582e-02 0.000000e+00 0.000000e+00 0.000000e+00 
3.631085e+03 6.012772e+04 2.628402e+13 2.360626e-22 2.113699e-14 2.548291e-07 3.940962e-01 6.054660e-01 4.375554e-04 0.000000e+00 0.000000e+00 0.000000e+00 
3.860572e+03 5.655824e+04 2.508909e+13 7.525750e-21 2.956173e-13 1.602995e-06 9.888607e-01 1.113769e-02 1.540541e-08 0.000000e+00 0.000000e+00 0.000000e+00 
4.104562e+03 4.683278e+04 1.159091e+13 9.273668e-20 1.907806e-12 6.117269e-06 9.999919e-01 2.019537e-06 3.798852e-17 0.000000e+00 0.000000e+00 0.000000e+00 
