#NTIMES:    67
#NSTAGES:     5
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           o0           o1           o2           o3           o4
    1.463678E+04   6.9254E-001   3.0746E-001   2.1161E-015   1.9871E-043   8.5700E-068
    1.515385E+04   7.4662E-001   2.5338E-001   6.2716E-016   1.0723E-044   2.9972E-068
    1.570238E+04   8.4311E-001   1.5689E-001   5.7264E-017   8.5181E-047   3.4544E-069
    1.628316E+04   9.5288E-001   4.7121E-002   2.9558E-019   3.5981E-052   2.1905E-071
    1.695591E+04   9.8631E-001   1.3689E-002   3.0926E-021   1.5023E-053   2.6740E-073
    1.773545E+04   9.9542E-001   4.5839E-003   4.1724E-023   6.5539E-054   4.7511E-075
    1.852426E+04   9.9778E-001   2.2208E-003   1.4101E-024   4.0381E-054   2.0612E-076
    1.933673E+04   9.9861E-001   1.3858E-003   2.1682E-025   3.1366E-054   4.0007E-077
    2.006825E+04   9.9856E-001   1.4372E-003   2.6013E-025   3.0189E-054   4.5490E-077
    2.082304E+04   9.9834E-001   1.6618E-003   6.6675E-025   3.1338E-054   1.0583E-076
    2.162788E+04   9.9849E-001   1.5149E-003   8.7848E-025   3.0388E-054   1.4862E-076
    2.248295E+04   9.9786E-001   2.1373E-003   2.8302E-024   3.6136E-054   4.0517E-076
    2.340334E+04   9.9798E-001   2.0233E-003   3.0569E-024   3.6141E-054   4.6259E-076
    2.427003E+04   9.9712E-001   2.8843E-003   6.8106E-024   4.4142E-054   8.8520E-076
    2.528269E+04   9.9657E-001   3.4297E-003   9.4990E-024   4.9532E-054   1.1672E-075
    2.627013E+04   9.9678E-001   3.2248E-003   8.5768E-024   4.8179E-054   1.0912E-075
    2.723040E+04   9.9460E-001   5.4041E-003   2.0310E-023   6.7550E-054   2.1696E-075
    2.827004E+04   9.9306E-001   6.9355E-003   2.9317E-023   8.0727E-054   2.9257E-075
    2.934273E+04   9.8961E-001   1.0385E-002   5.5705E-023   1.0909E-053   5.0384E-075
    3.052012E+04   9.8517E-001   1.4831E-002   9.8760E-023   1.4459E-053   8.3270E-075
    3.176086E+04   9.8094E-001   1.9059E-002   1.5042E-022   1.7820E-053   1.2209E-074
    3.295538E+04   9.7903E-001   2.0970E-002   1.7713E-022   1.9410E-053   1.4270E-074
    3.403161E+04   9.7643E-001   2.3568E-002   2.2294E-022   2.1488E-053   1.7736E-074
    3.500379E+04   9.7186E-001   2.8136E-002   3.2789E-022   2.4992E-053   2.5477E-074
    3.593430E+04   9.6659E-001   3.3408E-002   5.0443E-022   2.8952E-053   3.8319E-074
    3.686142E+04   9.6203E-001   3.7971E-002   7.5618E-022   3.2358E-053   5.6545E-074
    3.781660E+04   9.5908E-001   4.0923E-002   1.0696E-021   3.4621E-053   7.9343E-074
    3.881204E+04   9.5812E-001   4.1883E-002   1.3903E-021   3.5522E-053   1.0306E-073
    3.984228E+04   9.5837E-001   4.1634E-002   1.7132E-021   3.5648E-053   1.2742E-073
    4.090108E+04   9.5917E-001   4.0828E-002   2.0375E-021   3.5467E-053   1.5228E-073
    4.198933E+04   9.6020E-001   3.9802E-002   2.3444E-021   3.5198E-053   1.7616E-073
    4.310952E+04   9.6123E-001   3.8765E-002   2.6154E-021   3.4974E-053   1.9761E-073
    4.426353E+04   9.6212E-001   3.7881E-002   2.8437E-021   3.4899E-053   2.1622E-073
    4.545322E+04   9.6262E-001   3.7379E-002   3.0528E-021   3.5135E-053   2.3386E-073
    4.667980E+04   9.6251E-001   3.7487E-002   3.2855E-021   3.5849E-053   2.5380E-073
    4.794258E+04   9.6181E-001   3.8188E-002   3.5550E-021   3.7017E-053   2.7701E-073
    4.924062E+04   9.6066E-001   3.9337E-002   3.8533E-021   3.8521E-053   3.0280E-073
    5.057272E+04   9.5915E-001   4.0852E-002   4.1820E-021   4.0308E-053   3.3123E-073
    5.193717E+04   9.5742E-001   4.2580E-002   4.5277E-021   4.2294E-053   3.6148E-073
    5.333235E+04   9.5576E-001   4.4238E-002   4.8445E-021   4.4302E-053   3.9066E-073
    5.475676E+04   9.5443E-001   4.5570E-002   5.0841E-021   4.6199E-053   4.1600E-073
    5.620758E+04   9.5357E-001   4.6432E-002   5.2171E-021   4.7943E-053   4.3613E-073
    5.768166E+04   9.5323E-001   4.6772E-002   5.2324E-021   4.9559E-053   4.5087E-073
    5.917412E+04   9.5334E-001   4.6663E-002   5.1461E-021   5.1214E-053   4.6213E-073
    6.067730E+04   9.5385E-001   4.6154E-002   4.9700E-021   5.3126E-053   4.7172E-073
    6.217708E+04   9.5474E-001   4.5259E-002   4.7087E-021   5.5526E-053   4.8071E-073
    6.366086E+04   9.5596E-001   4.4038E-002   4.3781E-021   5.8683E-053   4.9047E-073
    6.510379E+04   9.5744E-001   4.2558E-002   3.9989E-021   6.2780E-053   5.0133E-073
    6.648389E+04   9.5900E-001   4.0999E-002   3.6116E-021   6.7965E-053   5.1447E-073
    6.776932E+04   9.6074E-001   3.9257E-002   3.2121E-021   7.3815E-053   5.2457E-073
    6.895129E+04   9.6357E-001   3.6426E-002   2.6743E-021   7.7843E-053   5.0134E-073
    6.949055E+04   9.6747E-001   3.2526E-002   2.1021E-021   7.4036E-053   4.2176E-073
    6.976176E+04   9.7015E-001   2.9850E-002   1.6956E-021   7.0159E-053   3.5221E-073
    6.989776E+04   9.7292E-001   2.7081E-002   1.3312E-021   6.4734E-053   2.8164E-073
    6.996586E+04   9.7502E-001   2.4978E-002   1.0771E-021   6.0232E-053   2.3008E-073
    6.999823E+04   9.7638E-001   2.3624E-002   9.1690E-022   5.7254E-053   1.9696E-073
    6.999993E+04   9.7676E-001   2.3236E-002   8.9087E-022   5.6341E-053   1.9147E-073
#TIME:     0.605
#NVEL: 115
#vel_mid[km/s]           o0           o1           o2           o3           o4
    8.484664E+02   3.6552E-023   6.8065E-016   1.3410E-009   3.3791E-004   9.9966E-001
    8.543246E+02   3.6552E-023   6.8065E-016   1.3410E-009   3.3791E-004   9.9966E-001
    8.721432E+02   3.6552E-023   6.8065E-016   1.3410E-009   3.3791E-004   9.9966E-001
    9.089031E+02   3.6553E-023   6.8067E-016   1.3410E-009   3.3791E-004   9.9966E-001
    9.682894E+02   3.6559E-023   6.8076E-016   1.3412E-009   3.3793E-004   9.9966E-001
    1.029084E+03   3.6599E-023   6.8138E-016   1.3421E-009   3.3807E-004   9.9966E-001
    1.093701E+03   3.6651E-023   6.8250E-016   1.3444E-009   3.3844E-004   9.9966E-001
    1.162375E+03   3.6428E-023   6.7968E-016   1.3414E-009   3.3811E-004   9.9966E-001
    1.235362E+03   3.4352E-023   6.4637E-016   1.2882E-009   3.3053E-004   9.9967E-001
    1.312931E+03   2.3983E-023   4.7088E-016   9.8936E-010   2.8430E-004   9.9972E-001
    1.395371E+03   3.9946E-024   1.0358E-016   2.9814E-010   1.4600E-004   9.9985E-001
    1.482988E+03   9.0219E-025   2.9684E-017   1.1179E-010   8.5050E-005   9.9991E-001
    1.576106E+03   7.2116E-025   2.4630E-017   9.6733E-011   7.8599E-005   9.9992E-001
    1.675071E+03   3.0458E-025   1.2059E-017   5.5878E-011   5.8411E-005   9.9994E-001
    1.780251E+03   9.6373E-026   4.6802E-018   2.7256E-011   3.9835E-005   9.9996E-001
    1.892034E+03   3.9378E-026   2.2854E-018   1.6144E-011   3.0336E-005   9.9997E-001
    2.010837E+03   1.4254E-026   9.9804E-019   8.7110E-012   2.2037E-005   9.9998E-001
    2.137099E+03   5.3587E-027   4.5576E-019   4.9303E-012   1.6507E-005   9.9998E-001
    2.271289E+03   1.9234E-027   1.9954E-019   2.7013E-012   1.2224E-005   9.9999E-001
    2.413905E+03   7.5284E-028   9.4454E-020   1.5806E-012   9.3977E-006   9.9999E-001
    2.565477E+03   3.7532E-028   5.4417E-020   1.0687E-012   7.7735E-006   9.9999E-001
    2.726565E+03   2.4021E-028   3.8507E-020   8.4128E-013   6.9166E-006   9.9999E-001
    2.897769E+03   2.1202E-028   3.5493E-020   8.0444E-013   6.7430E-006   9.9999E-001
    3.079722E+03   2.6385E-028   4.3529E-020   9.5223E-013   7.2822E-006   9.9999E-001
    3.273101E+03   6.0572E-028   8.7539E-020   1.6196E-012   9.4576E-006   9.9999E-001
    3.478622E+03   2.8641E-027   3.3292E-019   4.6507E-012   1.6431E-005   9.9998E-001
    3.697048E+03   3.0119E-026   2.2235E-018   1.8990E-011   3.4554E-005   9.9997E-001
    3.929188E+03   1.3198E-025   6.8026E-018   4.0456E-011   5.0606E-005   9.9995E-001
    4.175906E+03   3.4563E-024   1.3772E-016   5.5826E-010   2.3311E-004   9.9977E-001
    4.438115E+03   2.1720E-023   7.2477E-016   2.2797E-009   5.2348E-004   9.9948E-001
    4.716788E+03   2.5808E-023   8.7954E-016   2.7702E-009   5.9058E-004   9.9941E-001
    5.012959E+03   1.4810E-023   5.6013E-016   1.9791E-009   4.9301E-004   9.9951E-001
    5.327727E+03   8.1182E-024   3.4215E-016   1.3644E-009   4.0317E-004   9.9960E-001
    5.662260E+03   6.3422E-024   2.8656E-016   1.2222E-009   3.8267E-004   9.9962E-001
    6.017798E+03   6.0986E-024   2.8276E-016   1.2316E-009   3.8639E-004   9.9961E-001
    6.395661E+03   9.5943E-024   4.2967E-016   1.7638E-009   4.7564E-004   9.9952E-001
