#NTIMES:     67
#NSTAGES:     5
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           cl0           cl1           cl2           cl3           cl4
    1.463678E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    8.5452E-27
    1.515385E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.7163E-27
    1.570238E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.5844E-28
    1.628316E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.5492E-31
    1.695591E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.3851E-33
    1.773545E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.6092E-35
    1.852426E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    5.6101E-37
    1.933673E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    6.8771E-37
    2.006825E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.7007E-36
    2.082304E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    3.8494E-36
    2.162788E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    5.1250E-36
    2.248295E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.1677E-35
    2.340334E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.3359E-35
    2.427003E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    2.2989E-35
    2.528269E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    2.9700E-35
    2.627013E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    2.8787E-35
    2.723040E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    4.8620E-35
    2.827004E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    6.0262E-35
    2.934273E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    8.3480E-35
    3.052012E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.0804E-34
    3.176086E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.2697E-34
    3.295538E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.3163E-34
    3.403161E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.3906E-34
    3.500379E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.5422E-34
    3.593430E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.7042E-34
    3.686142E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.8253E-34
    3.781660E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.8842E-34
    3.881204E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.8753E-34
    3.984228E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.8314E-34
    4.090108E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.7763E-34
    4.198933E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.7201E-34
    4.310952E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.6684E-34
    4.426353E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.6257E-34
    4.545322E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.6004E-34
    4.667980E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.6016E-34
    4.794258E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.6278E-34
    4.924062E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.6727E-34
    5.057272E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.7325E-34
    5.193717E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.8003E-34
    5.333235E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.8640E-34
    5.475676E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.9122E-34
    5.620758E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.9382E-34
    5.768166E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.9389E-34
    5.917412E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.9159E-34
    6.067730E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.8701E-34
    6.217708E+04    1.0000E-99    1.0000E-99    1.0000E-99    1.0000E+00    1.8011E-34
