#NTIMES:     67
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]       temp[K]        rho[gcc]     ne[/cm^3]   natom[/cm^3]
    2.248295E+04    5.2007E+03    3.9439E-12    3.3352E+10    1.7195E+11
    2.340334E+04    5.1311E+03    3.2983E-12    2.7013E+10    1.4384E+11
    2.427003E+04    5.0719E+03    1.7732E-12    1.7390E+10    7.7337E+10
    2.528269E+04    5.0141E+03    1.1969E-12    1.2754E+10    5.2206E+10
    2.627013E+04    4.9483E+03    1.0533E-12    1.1043E+10    4.5939E+10
    2.723040E+04    4.9503E+03    5.5451E-13    7.1620E+09    2.4186E+10
    2.827004E+04    4.9440E+03    3.8010E-13    5.4081E+09    1.6578E+10
    2.934273E+04    4.9668E+03    2.2984E-13    3.7298E+09    1.0025E+10
    3.052012E+04    4.9938E+03    1.4445E-13    2.5984E+09    6.3002E+09
    3.176086E+04    5.0063E+03    9.8646E-14    1.8968E+09    4.3025E+09
    3.295538E+04    4.9966E+03    7.6701E-14    1.5181E+09    3.3454E+09
    3.403161E+04    4.9895E+03    5.8323E-14    1.1912E+09    2.5438E+09
    3.500379E+04    4.9910E+03    4.1155E-14    8.7602E+08    1.7950E+09
    3.593430E+04    4.9911E+03    2.7790E-14    6.1491E+08    1.2121E+09
    3.686142E+04    4.9858E+03    1.8393E-14    4.1955E+08    8.0225E+08
    3.781660E+04    4.9748E+03    1.2129E-14    2.8259E+08    5.2900E+08
    3.881204E+04    4.9572E+03    8.1415E-15    1.9209E+08    3.5510E+08
    3.984228E+04    4.9314E+03    5.4967E-15    1.3062E+08    2.3974E+08
    4.090108E+04    4.8934E+03    3.7089E-15    8.8474E+07    1.6177E+08
    4.198933E+04    4.8393E+03    2.5014E-15    5.9759E+07    1.0910E+08
    4.310952E+04    4.7728E+03    1.6853E-15    4.0264E+07    7.3506E+07
    4.426353E+04    4.7074E+03    1.1339E-15    2.7075E+07    4.9457E+07
    4.545322E+04    4.6593E+03    7.6171E-16    1.8187E+07    3.3223E+07
    4.667980E+04    4.6388E+03    5.1089E-16    1.2218E+07    2.2283E+07
    4.794258E+04    4.6461E+03    3.4233E-16    8.2144E+06    1.4931E+07
    4.924062E+04    4.6753E+03    2.2931E-16    5.5278E+06    1.0002E+07
    5.057272E+04    4.7185E+03    1.5365E-16    3.7243E+06    6.7016E+06
    5.193717E+04    4.7696E+03    1.0306E-16    2.5125E+06    4.4951E+06
    5.333235E+04    4.8230E+03    6.9247E-17    1.6970E+06    3.0203E+06
    5.475676E+04    4.8730E+03    4.6634E-17    1.1475E+06    2.0340E+06
    5.620758E+04    4.9155E+03    3.1503E-17    7.7725E+05    1.3740E+06
    5.768166E+04    4.9486E+03    2.1365E-17    5.2784E+05    9.3186E+05
    5.917412E+04    4.9734E+03    1.4564E-17    3.5991E+05    6.3523E+05
    6.067730E+04    4.9916E+03    9.9970E-18    2.4688E+05    4.3603E+05
    6.217708E+04    5.0048E+03    6.9313E-18    1.7090E+05    3.0231E+05
    6.366086E+04    5.0143E+03    4.8661E-18    1.1969E+05    2.1224E+05
    6.510379E+04    5.0210E+03    3.4768E-18    8.5252E+04    1.5165E+05
    6.648389E+04    5.0257E+03    2.5382E-18    6.2033E+04    1.1070E+05
    6.776932E+04    5.0289E+03    1.9044E-18    4.6331E+04    8.3064E+04
    6.895129E+04    5.0311E+03    1.4694E-18    3.5542E+04    6.4088E+04
    6.949055E+04    5.0318E+03    1.3073E-18    3.1440E+04    5.7020E+04
    6.976176E+04    5.0321E+03    1.2331E-18    2.9537E+04    5.3784E+04
    6.989776E+04    5.0321E+03    1.1976E-18    2.8584E+04    5.2236E+04
    6.996586E+04    5.0320E+03    1.1803E-18    2.8086E+04    5.1478E+04
    6.999823E+04    5.0319E+03    1.1721E-18    2.7826E+04    5.1122E+04
    6.999993E+04    5.0319E+03    1.1717E-18    2.7801E+04    5.1104E+04
#TIME:     0.605
#NVEL: 115
#vel_mid[km/s]       temp[K]        rho[gcc]     ne[/cm^3]   natom[/cm^3]
    8.484664E+02    1.1155E+05    2.0169E-08    1.3426E+15    2.2110E+14
    8.543246E+02    1.1155E+05    2.0169E-08    1.3426E+15    2.2110E+14
    8.721432E+02    1.1155E+05    2.0169E-08    1.3426E+15    2.2110E+14
    9.089031E+02    1.1155E+05    2.0169E-08    1.3426E+15    2.2110E+14
    9.682894E+02    1.1154E+05    2.0169E-08    1.3426E+15    2.2110E+14
    1.029084E+03    1.1154E+05    2.0169E-08    1.3426E+15    2.2110E+14
    1.093701E+03    1.1151E+05    2.0144E-08    1.3409E+15    2.2081E+14
    1.162375E+03    1.1148E+05    2.0087E-08    1.3371E+15    2.2019E+14
    1.235362E+03    1.1182E+05    2.0154E-08    1.3416E+15    2.2092E+14
    1.312931E+03    1.1449E+05    2.1116E-08    1.4089E+15    2.3151E+14
    1.395371E+03    1.2571E+05    2.2147E-08    1.5236E+15    2.4347E+14
    1.482988E+03    1.3691E+05    2.3273E-08    1.6471E+15    2.5650E+14
    1.576106E+03    1.3868E+05    2.3439E-08    1.6627E+15    2.5840E+14
