#NTIMES: 108
#NSTAGES: 9
#TIMES[d]: 2.037028e+00 2.112455e+00 2.190675e+00 2.271792e+00 2.355913e+00 2.443148e+00 2.533613e+00 2.627428e+00 2.724717e+00 2.825608e+00 2.930235e+00 3.038736e+00 3.151255e+00 3.267940e+00 3.388946e+00 3.514432e+00 3.644565e+00 3.779516e+00 3.919465e+00 4.064595e+00 4.215100e+00 4.371177e+00 4.533034e+00 4.700883e+00 4.874948e+00 5.055458e+00 5.242653e+00 5.436778e+00 5.638092e+00 5.846861e+00 6.063359e+00 6.287873e+00 6.520702e+00 6.762152e+00 7.012541e+00 7.272203e+00 7.541479e+00 7.820726e+00 8.110313e+00 8.410623e+00 8.722052e+00 9.045013e+00 9.379933e+00 9.727255e+00 1.008744e+01 1.046096e+01 1.084831e+01 1.125000e+01 1.166656e+01 1.209856e+01 1.254655e+01 1.301112e+01 1.349289e+01 1.399251e+01 1.451063e+01 1.504793e+01 1.560513e+01 1.618296e+01 1.678218e+01 1.740360e+01 1.804802e+01 1.871630e+01 1.940933e+01 2.012802e+01 2.087333e+01 2.164623e+01 2.244774e+01 2.327894e+01 2.414092e+01 2.503481e+01 2.596181e+01 2.692312e+01 2.792004e+01 2.895387e+01 3.002597e+01 3.113778e+01 3.229075e+01 3.348642e+01 3.472636e+01 3.601222e+01 3.734568e+01 3.872852e+01 4.016256e+01 4.164970e+01 4.319192e+01 4.479123e+01 4.644977e+01 4.816972e+01 4.995336e+01 5.180304e+01 5.372120e+01 5.571040e+01 5.777325e+01 5.991249e+01 6.213094e+01 6.443153e+01 6.681731e+01 6.929144e+01 7.185717e+01 7.451791e+01 7.727716e+01 8.013859e+01 8.310597e+01 8.618323e+01 8.937444e+01 9.268381e+01 9.611572e+01 9.967470e+01 
#
#TIME: 2.037028e+00 
#NVEL: 115
#vel_mid[km/s] si0 si1 si2 si3 si4 si5 si6 si7 si8
4.242332e+02 3.018643e-23 2.819963e-16 9.933962e-10 1.948338e-04 9.998052e-01 1.884248e-09 0.000000e+00 0.000000e+00 0.000000e+00 
8.515108e+02 1.706193e-22 9.145951e-16 1.936419e-09 2.529329e-04 9.997471e-01 4.572976e-09 0.000000e+00 0.000000e+00 0.000000e+00 
8.638199e+02 4.036071e-23 2.942373e-16 8.692448e-10 1.644627e-04 9.998355e-01 1.138588e-08 0.000000e+00 0.000000e+00 0.000000e+00 
8.922215e+02 2.397754e-23 2.004447e-16 6.776262e-10 1.459503e-04 9.998540e-01 1.194138e-08 0.000000e+00 0.000000e+00 0.000000e+00 
9.416122e+02 2.132185e-23 2.023768e-16 7.468669e-10 1.620219e-04 9.998380e-01 4.354716e-09 0.000000e+00 0.000000e+00 0.000000e+00 
1.002576e+03 3.075901e-23 2.758312e-16 9.410021e-10 1.852598e-04 9.998147e-01 2.752431e-09 0.000000e+00 0.000000e+00 0.000000e+00 
1.065938e+03 3.342550e-23 2.969841e-16 9.998071e-10 1.928622e-04 9.998071e-01 2.425568e-09 0.000000e+00 0.000000e+00 0.000000e+00 
1.133306e+03 2.715496e-23 2.478851e-16 8.696686e-10 1.768918e-04 9.998231e-01 3.324856e-09 0.000000e+00 0.000000e+00 0.000000e+00 
1.204932e+03 2.245349e-23 2.091088e-16 7.598762e-10 1.628306e-04 9.998372e-01 4.622104e-09 0.000000e+00 0.000000e+00 0.000000e+00 
1.281084e+03 8.961292e-24 9.244280e-17 3.909953e-10 1.084788e-04 9.998915e-01 2.278055e-08 0.000000e+00 0.000000e+00 0.000000e+00 
1.362050e+03 1.532567e-24 1.965534e-17 1.154580e-10 5.120011e-05 9.999484e-01 4.295311e-07 0.000000e+00 0.000000e+00 0.000000e+00 
1.448132e+03 5.403034e-25 7.876065e-18 5.644961e-11 3.279454e-05 9.999646e-01 2.653132e-06 0.000000e+00 0.000000e+00 0.000000e+00 
1.539655e+03 2.099233e-25 3.464082e-18 3.002204e-11 2.230869e-05 9.999649e-01 1.279401e-05 0.000000e+00 0.000000e+00 0.000000e+00 
1.636962e+03 8.424442e-26 1.580532e-18 1.662120e-11 1.546379e-05 9.999282e-01 5.635269e-05 0.000000e+00 0.000000e+00 0.000000e+00 
1.740419e+03 2.727808e-26 6.080420e-19 8.213901e-12 1.008832e-05 9.996882e-01 3.017352e-04 0.000000e+00 0.000000e+00 0.000000e+00 
1.850415e+03 8.905040e-27 2.389771e-19 4.188387e-12 6.766824e-06 9.986726e-01 1.320663e-03 0.000000e+00 0.000000e+00 0.000000e+00 
1.967362e+03 3.075486e-27 9.829495e-20 2.211134e-12 4.623280e-06 9.940052e-01 5.990163e-03 0.000000e+00 0.000000e+00 0.000000e+00 
2.091700e+03 1.086264e-27 4.099258e-20 1.181411e-12 3.179501e-06 9.752586e-01 2.473827e-02 0.000000e+00 0.000000e+00 0.000000e+00 
2.223897e+03 3.574044e-28 1.603424e-20 5.997540e-13 2.080779e-06 8.996309e-01 1.003670e-01 0.000000e+00 0.000000e+00 0.000000e+00 
2.364448e+03 1.078340e-28 5.760362e-21 2.751149e-13 1.221197e-06 7.188931e-01 2.811056e-01 0.000000e+00 0.000000e+00 0.000000e+00 
2.513883e+03 3.527395e-29 2.160957e-21 1.260273e-13 6.815064e-07 5.068490e-01 4.931503e-01 0.000000e+00 0.000000e+00 0.000000e+00 
