#NTIMES: 108
#NSTAGES: 9
#TIMES[d]: 2.037028e+00 2.112455e+00 2.190675e+00 2.271792e+00 2.355913e+00 2.443148e+00 2.533613e+00 2.627428e+00 2.724717e+00 2.825608e+00 2.930235e+00 3.038736e+00 3.151255e+00 3.267940e+00 3.388946e+00 3.514432e+00 3.644565e+00 3.779516e+00 3.919465e+00 4.064595e+00 4.215100e+00 4.371177e+00 4.533034e+00 4.700883e+00 4.874948e+00 5.055458e+00 5.242653e+00 5.436778e+00 5.638092e+00 5.846861e+00 6.063359e+00 6.287873e+00 6.520702e+00 6.762152e+00 7.012541e+00 7.272203e+00 7.541479e+00 7.820726e+00 8.110313e+00 8.410623e+00 8.722052e+00 9.045013e+00 9.379933e+00 9.727255e+00 1.008744e+01 1.046096e+01 1.084831e+01 1.125000e+01 1.166656e+01 1.209856e+01 1.254655e+01 1.301112e+01 1.349289e+01 1.399251e+01 1.451063e+01 1.504793e+01 1.560513e+01 1.618296e+01 1.678218e+01 1.740360e+01 1.804802e+01 1.871630e+01 1.940933e+01 2.012802e+01 2.087333e+01 2.164623e+01 2.244774e+01 2.327894e+01 2.414092e+01 2.503481e+01 2.596181e+01 2.692312e+01 2.792004e+01 2.895387e+01 3.002597e+01 3.113778e+01 3.229075e+01 3.348642e+01 3.472636e+01 3.601222e+01 3.734568e+01 3.872852e+01 4.016256e+01 4.164970e+01 4.319192e+01 4.479123e+01 4.644977e+01 4.816972e+01 4.995336e+01 5.180304e+01 5.372120e+01 5.571040e+01 5.777325e+01 5.991249e+01 6.213094e+01 6.443153e+01 6.681731e+01 6.929144e+01 7.185717e+01 7.451791e+01 7.727716e+01 8.013859e+01 8.310597e+01 8.618323e+01 8.937444e+01 9.268381e+01 9.611572e+01 9.967470e+01 
#
#TIME: 2.037028e+00 
#NVEL: 115
#vel_mid[km/s] mn0 mn1 mn2 mn3 mn4 mn5 mn6 mn7 mn8
6.983908e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
6.993554e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
6.998302e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
6.999912e+04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
#
#TIME: 2.112455e+00 
#NVEL: 115
#vel_mid[km/s] mn0 mn1 mn2 mn3 mn4 mn5 mn6 mn7 mn8
4.242332e+02 2.375833e-28 5.607476e-20 9.669384e-13 6.284461e-07 9.975943e-03 7.842803e-01 2.056500e-01 9.311732e-05 7.740616e-14 
8.515108e+02 1.701435e-27 2.224469e-19 2.249676e-12 9.326386e-07 1.115385e-02 7.750983e-01 2.136247e-01 1.222513e-04 2.293787e-13 
8.638199e+02 3.807590e-28 6.457412e-20 8.479430e-13 4.679993e-07 7.517341e-03 7.166749e-01 2.755815e-01 2.258463e-04 6.465565e-13 
8.922215e+02 2.103459e-28 4.083743e-20 6.130352e-13 3.799491e-07 6.765179e-03 7.030480e-01 2.899363e-01 2.501411e-04 7.077856e-13 
9.416122e+02 9.946970e-29 2.366610e-20 4.288730e-13 3.123445e-07 6.258903e-03 6.991711e-01 2.943246e-01 2.450703e-04 5.718307e-13 
1.002576e+03 2.268703e-28 5.078132e-20 8.440044e-13 5.419025e-07 8.933751e-03 7.628953e-01 2.280458e-01 1.246023e-04 1.469367e-13 
1.065938e+03 2.001676e-28 4.509658e-20 7.594593e-13 4.968866e-07 8.442362e-03 7.535720e-01 2.378462e-01 1.389398e-04 1.836832e-13 
1.133306e+03 1.886560e-28 4.256551e-20 7.227884e-13 4.775355e-07 8.230119e-03 7.487286e-01 2.428946e-01 1.462084e-04 2.039843e-13 
1.204932e+03 4.803741e-29 1.167642e-20 2.223514e-13 1.783567e-07 4.280562e-03 6.218705e-01 3.733601e-01 4.886974e-04 2.413761e-12 
