#NTIMES: 200
#NSTAGES: 10
#TIMES[d]: 1.31352774879 1.34086478482 1.36877075709 1.39725750625 1.4263371194 1.45602193516 1.48632454897 1.51725781839 1.54883486857 1.58106909784 1.61397418335 1.6475640869 1.68185306088 1.71685565429 1.75258671891 1.78906141564 1.82629522088 1.86430393314 1.90310367972 1.94271092358 1.98314247027 2.02441547513 2.06654745052 2.10955627325 2.15346019222 2.19827783609 2.24402822123 2.29073075979 2.3384052679 2.38707197411 2.43675152798 2.48746500882 2.53923393462 2.59208027122 2.64602644162 2.70109533547 2.7573103188 2.81469524393 2.87327445961 2.9330728213 2.99411570179 3.0564290019 3.1200391615 3.18497317073 3.25125858145 3.31892351891 3.38799669372 3.458507414 3.53048559784 3.60396178597 3.67896715474 3.75553352933 3.83369339728 3.91347992225 3.99492695808 4.07806906321 4.16294151528 4.24958032614 4.33802225711 4.42830483457 4.52046636593 4.61454595581 4.71058352271 4.80861981588 4.90869643266 5.01085583611 5.11514137302 5.2215972923 5.33026876379 5.44120189738 5.55444376261 5.67004240861 5.78804688453 5.90850726031 6.03147464794 6.15700122315 6.28514024756 6.41594609124 6.54947425584 6.68578139809 6.82492535384 6.96696516263 7.11196109274 7.25997466672 7.41106868754 7.56530726521 7.72275584402 7.88348123025 8.04755162055 8.21503663089 8.38600732606 8.56053624988 8.73869745591 8.92056653893 9.10622066697 9.2957386141 9.48920079382 9.68668929318 9.88828790763 10.0940821766 10.3041594196 10.5186087737 10.7375212308 10.9609896768 11.1891089304 11.421975784 11.6596890442 11.902349574 12.1500603357 12.4029264342 12.661055162 12.9245560446 13.1935408868 13.4681238204 13.7484213523 14.0345524144 14.3266384136 14.6248032836 14.9291735374 15.2398783209 15.5570494679 15.8808215559 16.211331963 16.5487209267 16.8931316029 17.244710127 17.6036056756 17.9699705301 18.3439601411 18.7257331944 19.1154516784 19.5132809528 19.9193898187 20.3339505904 20.7571391682 21.1891351133 21.630121724 22.0802861133 22.5398192884 23.0089162317 23.4877759837 23.9766017271 24.4756008733 24.9849851505 25.5049706931 26.0357781339 26.5776326973 27.1307642952 27.6954076244 28.271802266 28.8601927875 29.4608288462 30.0739652952 30.6998622917 31.3387854071 31.9910057402 32.6568000314 33.3364507809 34.0302463683 34.7384811748 35.4614557083 36.1994767308 36.9528573888 37.7219173456 38.5069829176 39.3083872125 40.1264702705 40.9615792085 41.8140683681 42.6842994648 43.5726417426 44.4794721299 45.4051753997 46.3501443331 47.3147798855 48.299491357 49.3046965661 50.3308220268 51.3783031297 52.4475843269 53.53911932 54.6533712535 55.7908129104 56.9519269135 58.1372059297 59.3471528795 60.5822811498 61.8431148124 63.1301888459 64.4440493627 65.7852538411 67.1543713615 68.5519828478 69.9786813143 71.4350721169 72.9217732101 74.4394154093 75.9886426585 77.5701123031 79.1844953693
#
#TIME: 1.31352774879
#NVEL: 115
#vel_mid[km/s] temp[K] ne[/cm^3] v0 v1 v2 v3 v4 v5 v6 v7 v8 v9
1.8458e+04 1.9916e+03 1.4599e+07 9.9984e-01 1.6082e-04 1.3997e-28 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.9085e+04 1.9841e+03 6.6249e+06 9.9996e-01 4.4474e-05 1.0248e-30 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.0000e+04 1.9545e+03 3.4029e+06 9.9995e-01 5.3070e-05 8.3846e-31 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.1194e+04 1.8638e+03 1.2675e+06 9.9991e-01 9.4939e-05 1.6944e-30 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.2528e+04 1.9288e+03 3.4942e+05 9.9990e-01 1.0227e-04 4.9634e-31 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.3943e+04 1.6390e+03 1.0823e+05 9.9846e-01 1.5358e-03 6.4118e-28 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.5446e+04 1.6892e+03 4.8945e+04 4.4601e-01 5.5399e-01 1.4524e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.7044e+04 1.6930e+03 4.3206e+03 9.9997e-01 3.0434e-05 7.4623e-35 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.8744e+04 1.5679e+03 2.0221e+03 9.9986e-01 1.3515e-04 3.3905e-33 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.0520e+04 1.4943e+03 1.1135e+03 9.9947e-01 5.2724e-04 1.2348e-31 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.2244e+04 1.7933e+03 4.0257e+02 9.9999e-01 1.3050e-05 3.4625e-37 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.3773e+04 1.5075e+03 3.4149e+02 9.9997e-01 3.4704e-05 6.2099e-36 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.5108e+04 1.6567e+03 7.5871e+02 9.5933e-01 4.0666e-02 7.2569e-26 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.6326e+04 1.6372e+03 1.0584e+02 9.9999e-01 9.8307e-06 3.0782e-38 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.7486e+04 1.6202e+03 7.3747e+01 9.9998e-01 1.7627e-05 1.2772e-37 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.8628e+04 3.2102e+03 2.8864e+05 7.8366e-07 9.9999e-01 8.4078e-06 2.3898e-31 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.9769e+04 1.9059e+03 3.4659e+02 3.4954e-02 9.6505e-01 7.0273e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.0916e+04 1.5551e+03 4.8591e+01 9.9559e-01 4.4141e-03 2.7690e-30 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.2074e+04 1.8191e+03 9.9101e+00 1.0000e+00 3.2426e-06 6.2048e-41 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.3252e+04 1.6209e+03 8.5643e+00 9.9999e-01 9.9052e-06 1.7644e-39 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.4454e+04 1.3367e+03 6.9372e+00 9.9995e-01 5.1432e-05 2.4714e-37 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.5683e+04 1.3772e+03 3.1520e+00 1.0000e+00 3.1831e-06 1.5702e-41 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.6942e+04 1.3838e+03 3.3239e+00 9.9988e-01 1.2035e-04 1.5430e-36 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.8231e+04 1.6246e+03 5.4313e+00 9.8874e-01 1.1258e-02 4.3648e-30 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.9550e+04 1.3046e+03 1.0315e+00 1.0000e+00 3.5470e-06 6.1153e-42 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.0900e+04 1.3561e+03 9.1311e-01 9.9997e-01 3.3915e-05 6.5060e-39 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.2277e+04 1.6324e+03 7.4566e-01 9.9971e-01 2.9372e-04 4.6084e-36 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.3682e+04 1.8041e+03 2.6932e-01 1.0000e+00 1.3240e-06 5.8855e-44 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.5110e+04 1.3434e+03 1.5975e-01 1.0000e+00 7.3921e-07 5.6052e-45 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.6562e+04 1.3611e+03 2.1965e-01 9.9981e-01 1.8592e-04 2.6871e-37 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.8030e+04 1.2627e+03 1.1794e-01 9.9999e-01 7.5182e-06 5.3824e-42 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.9510e+04 1.1706e+03 1.6773e-02 1.0000e+00 2.8330e-08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.0994e+04 1.1472e+03 1.1113e-02 1.0000e+00 2.2731e-08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.2466e+04 1.1516e+03 3.5253e-02 1.0000e+00 2.3289e-06 3.3631e-44 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.3912e+04 1.1621e+03 1.1479e-02 1.0000e+00 1.1622e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.5312e+04 1.1300e+03 1.0816e-02 1.0000e+00 2.2151e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.6639e+04 1.1175e+03 3.4336e-03 1.0000e+00 2.2755e-08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.7870e+04 1.1070e+03 2.2321e-03 1.0000e+00 1.4190e-08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.8864e+04 1.1034e+03 4.3224e-03 1.0000e+00 1.3220e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9460e+04 1.0830e+03 2.9699e-03 1.0000e+00 6.2708e-08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9745e+04 1.0936e+03 2.1927e-03 1.0000e+00 3.2844e-08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9888e+04 1.0909e+03 1.9574e-03 1.0000e+00 2.6836e-08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9960e+04 1.0769e+03 1.1901e-03 1.0000e+00 7.6937e-09 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9991e+04 1.0783e+03 1.2049e-03 1.0000e+00 8.1569e-09 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
7.0000e+04 1.1944e+03 3.0800e-03 9.9999e-01 1.0452e-05 2.2841e-43 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
#
#TIME: 2.9330728213
#NVEL: 115
#vel_mid[km/s] temp[K] ne[/cm^3] v0 v1 v2 v3 v4 v5 v6 v7 v8 v9
4.2577e+02 3.4149e+04 1.0292e+11 4.7983e-31 3.1383e-21 9.8986e-13 5.9535e-06 4.0920e-02 9.5907e-01 3.0169e-07 2.8335e-17 4.4171e-31 0.0000e+00
8.5779e+02 3.7198e+04 8.5220e+12 7.3268e-24 8.6564e-16 5.0781e-09 9.0296e-04 3.2656e-01 6.7254e-01 1.1649e-07 1.1704e-17 3.8090e-31 0.0000e+00
8.7843e+02 4.1275e+04 9.4905e+12 9.4396e-26 1.5438e-17 1.2832e-10 4.9022e-05 6.9667e-02 9.3028e-01 6.5222e-06 5.1210e-14 2.5371e-25 2.5742e-41
9.1772e+02 4.2946e+04 9.7571e+12 1.7155e-26 3.2109e-18 3.0870e-11 1.5567e-05 3.6576e-02 9.6338e-01 2.5676e-05 9.6843e-13 2.9263e-23 2.4192e-38
9.7304e+02 4.3353e+04 9.7992e+12 1.1578e-26 2.2387e-18 2.2295e-11 1.1976e-05 3.1541e-02 9.6841e-01 3.4829e-05 1.8674e-12 8.4599e-23 1.1183e-37
1.0350e+03 4.3398e+04 9.8076e+12 1.0978e-26 2.1317e-18 2.1328e-11 1.1554e-05 3.0907e-02 9.6905e-01 3.6319e-05 2.0439e-12 9.7913e-23 1.3808e-37
1.1000e+03 4.3492e+04 9.8142e+12 9.7885e-27 1.9196e-18 1.9411e-11 1.0712e-05 2.9613e-02 9.7034e-01 3.9620e-05 2.4652e-12 1.3256e-22 2.1371e-37
1.1690e+03 4.3762e+04 9.8242e+12 7.4155e-27 1.4898e-18 1.5465e-11 8.9236e-06 2.6712e-02 9.7323e-01 4.8807e-05 3.8641e-12 2.7413e-22 6.0907e-37
1.2425e+03 4.4699e+04 9.9990e+12 2.9495e-27 6.3736e-19 7.1708e-12 4.7788e-06 1.8724e-02 9.8117e-01 1.0084e-04 1.8553e-11 3.4789e-21 2.3857e-35
1.3205e+03 4.6850e+04 1.0635e+13 4.4587e-28 1.1060e-19 1.4584e-12 1.2893e-06 8.8321e-03 9.9070e-01 4.6851e-04 5.1962e-10 7.7595e-19 5.9116e-32
1.4033e+03 4.9780e+04 1.1608e+13 4.5868e-29 1.3411e-20 2.1592e-13 2.6385e-07 3.5392e-03 9.9346e-01 2.9980e-03 2.9455e-08 5.4771e-16 7.7768e-28
1.4915e+03 5.2645e+04 1.2631e+13 6.3610e-30 2.1453e-21 4.1545e-14 6.6271e-08 1.5864e-03 9.8355e-01 1.4858e-02 9.7087e-07 1.6174e-13 2.9156e-24
1.5852e+03 5.5193e+04 1.3338e+13 1.1587e-30 4.4665e-22 1.0315e-14 2.0577e-08 7.9575e-04 9.4619e-01 5.2997e-02 1.6115e-05 1.5885e-11 2.2380e-21
1.6847e+03 5.7919e+04 1.3801e+13 1.8209e-31 8.1771e-23 2.3110e-15 5.8196e-09 3.6469e-04 8.3054e-01 1.6886e-01 2.3194e-04 1.3045e-09 1.3702e-18
1.7904e+03 6.0963e+04 1.3980e+13 1.8698e-32 1.0082e-23 3.6286e-16 1.1850e-09 1.2410e-04 5.6135e-01 4.3567e-01 2.8522e-03 9.7152e-08 8.1020e-16
1.9028e+03 6.4092e+04 1.3918e+13 1.3757e-33 8.9768e-25 4.1622e-17 1.7629e-10 3.0158e-05 2.6229e-01 7.1737e-01 2.0312e-02 3.7412e-06 2.1640e-13
2.0223e+03 6.7667e+04 1.4226e+13 7.3225e-35 5.6903e-26 3.3773e-18 1.8313e-11 5.0385e-06 8.3706e-02 8.1490e-01 1.0129e-01 1.0321e-04 4.2559e-11
2.1493e+03 7.1500e+04 1.4664e+13 3.0996e-36 2.8409e-27 2.1482e-19 1.4800e-12 6.3656e-07 1.9631e-02 6.4618e-01 3.3244e-01 1.7568e-03 4.7876e-09
2.2843e+03 7.5593e+04 1.5098e+13 9.3638e-38 1.0094e-28 9.7244e-21 8.5246e-14 5.5930e-08 3.1187e-03 3.2769e-01 6.5260e-01 1.6592e-02 2.7338e-07
2.4277e+03 7.9202e+04 1.5278e+13 3.6715e-39 4.5750e-30 5.4531e-22 5.9295e-15 5.5006e-09 4.9921e-04 1.3386e-01 7.9398e-01 7.1659e-02 5.0189e-06
2.5802e+03 8.1921e+04 1.5198e+13 2.9233e-40 4.0932e-31 5.7598e-23 7.4295e-16 8.8836e-10 1.1494e-04 5.9911e-02 7.6971e-01 1.7023e-01 3.3080e-05
2.7422e+03 8.2920e+04 1.4652e+13 9.0347e-41 1.3649e-31 2.1093e-23 2.9950e-16 4.0518e-10 6.1474e-05 4.1851e-02 7.2944e-01 2.2858e-01 6.5712e-05
2.9144e+03 8.1864e+04 1.3630e+13 1.4371e-40 2.2374e-31 3.4963e-23 5.0073e-16 6.6345e-10 9.4871e-05 5.4229e-02 7.6193e-01 1.8371e-01 3.8796e-05
3.0973e+03 7.7976e+04 1.2041e+13 2.2278e-39 3.3419e-30 4.6861e-22 5.9865e-15 6.2556e-09 6.0991e-04 1.5134e-01 7.8902e-01 5.9026e-02 3.2279e-06
3.2918e+03 7.0707e+04 9.4215e+12 3.9062e-37 5.3540e-28 5.9570e-20 6.0422e-13 3.6736e-07 1.5459e-02 6.1515e-01 3.6724e-01 2.1511e-03 6.1878e-09
3.4986e+03 6.3181e+04 7.8615e+12 1.1395e-34 1.2471e-25 9.5175e-18 6.6278e-11 1.7456e-05 2.2295e-01 7.5225e-01 2.4776e-02 4.9770e-06 2.9233e-13
3.7182e+03 5.7672e+04 8.3048e+12 1.5764e-32 1.1567e-23 5.3159e-16 2.1721e-09 2.1596e-04 7.6868e-01 2.3064e-01 4.5846e-04 3.6543e-09 5.3108e-18
3.9517e+03 5.1467e+04 7.8379e+12 1.5346e-30 7.6065e-22 2.1260e-14 4.7508e-08 1.4039e-03 9.8644e-01 1.2158e-02 5.7840e-07 6.2241e-14 6.3033e-25
4.1999e+03 4.1949e+04 4.4420e+12 1.1608e-27 4.2881e-19 8.0784e-12 7.3303e-06 2.6726e-02 9.7324e-01 2.3337e-05 6.7946e-13 1.3555e-23 6.1214e-39
4.4636e+03 3.6113e+04 3.0565e+12 4.0859e-25 1.1324e-16 1.5420e-09 5.2608e-04 2.8577e-01 7.1371e-01 6.9398e-08 2.9636e-18 3.0965e-32 0.0000e+00
4.7438e+03 3.3205e+04 2.7590e+12 1.4408e-23 3.0379e-15 3.0405e-08 4.8264e-03 7.0627e-01 2.8891e-01 7.8628e-10 4.9516e-22 4.0079e-38 0.0000e+00
5.0416e+03 3.1905e+04 2.6296e+12 6.5132e-23 1.2072e-14 1.0360e-07 1.1156e-02 8.4852e-01 1.4032e-01 6.3984e-11 4.8996e-24 3.4982e-41 0.0000e+00
5.3582e+03 3.1403e+04 2.4928e+12 9.8875e-23 1.8065e-14 1.5110e-07 1.4452e-02 8.8004e-01 1.0550e-01 2.4664e-11 8.5349e-25 2.4270e-42 0.0000e+00
5.6947e+03 3.1000e+04 2.3330e+12 1.3034e-22 2.4001e-14 2.0014e-07 1.7593e-02 8.9943e-01 8.2972e-02 1.1022e-11 1.9409e-25 2.5083e-43 0.0000e+00
6.0522e+03 3.0498e+04 2.1988e+12 2.0019e-22 3.6407e-14 2.9549e-07 2.2838e-02 9.1751e-01 5.9651e-02 3.8275e-12 2.8365e-26 1.4013e-44 0.0000e+00
6.4323e+03 2.9674e+04 2.0295e+12 4.5465e-22 7.9259e-14 5.9933e-07 3.6133e-02 9.3174e-01 3.2128e-02 5.6539e-13 9.0340e-28 0.0000e+00 0.0000e+00
6.8362e+03 2.8538e+04 1.8390e+12 1.5854e-21 2.5616e-13 1.7086e-06 6.9872e-02 9.1798e-01 1.2143e-02 3.0900e-14 4.9998e-30 0.0000e+00 0.0000e+00
7.2654e+03 2.7311e+04 1.6871e+12 7.1336e-21 1.0345e-12 5.7811e-06 1.4598e-01 8.5044e-01 3.5751e-03 9.2635e-16 1.0070e-32 0.0000e+00 0.0000e+00
7.7216e+03 2.5901e+04 1.5358e+12 4.3460e-20 5.4908e-12 2.4101e-05 3.2623e-01 6.7309e-01 6.5647e-04 9.3835e-18 3.3286e-36 0.0000e+00 0.0000e+00
8.2065e+03 2.4022e+04 1.3193e+12 4.0299e-19 4.2819e-11 1.3067e-04 6.9613e-01 3.0370e-01 3.2891e-05 5.9482e-21 1.2067e-41 0.0000e+00 0.0000e+00
8.7177e+03 2.1362e+04 9.8929e+11 6.2367e-18 5.3539e-10 8.7856e-04 9.6880e-01 3.0320e-02 7.7028e-08 7.7566e-27 0.0000e+00 0.0000e+00 0.0000e+00
9.2147e+03 1.8215e+04 8.0100e+11 5.2285e-16 2.7934e-08 1.3190e-02 9.8641e-01 4.0446e-04 2.3140e-12 1.5014e-36 0.0000e+00 0.0000e+00 0.0000e+00
9.6291e+03 1.5087e+04 5.5413e+11 1.1840e-13 3.8631e-06 3.3834e-01 6.6166e-01 7.2868e-07 9.5891e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
9.9539e+03 1.2554e+04 4.4158e+11 6.6068e-12 1.0001e-04 9.7815e-01 2.1750e-02 1.8671e-11 1.0556e-27 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.0246e+04 1.0720e+04 3.3668e+11 1.2455e-10 8.7716e-04 9.9886e-01 2.6052e-04 1.7626e-16 4.2517e-37 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.0542e+04 9.3684e+03 2.7686e+11 3.0546e-09 8.5733e-03 9.9142e-01 2.4585e-06 9.7395e-22 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.0840e+04 8.1151e+03 2.2911e+11 1.6374e-07 1.3269e-01 8.6731e-01 6.4180e-09 2.3869e-28 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1119e+04 7.0501e+03 1.6532e+11 3.7783e-06 7.8737e-01 2.1262e-01 2.1775e-12 2.0742e-36 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1356e+04 6.4350e+03 1.1599e+11 1.0552e-05 9.6712e-01 3.2867e-02 4.0111e-15 2.8629e-42 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1540e+04 6.0258e+03 1.1183e+11 2.5181e-05 9.9423e-01 5.7456e-03 2.0502e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1677e+04 5.6738e+03 1.1531e+11 6.8199e-05 9.9915e-01 7.7686e-04 5.4304e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1784e+04 5.3471e+03 1.1076e+11 1.7934e-04 9.9972e-01 1.0216e-04 1.2421e-22 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1876e+04 5.0127e+03 9.7863e+10 4.9868e-04 9.9949e-01 1.0918e-05 1.4094e-25 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1964e+04 4.6062e+03 7.4205e+10 1.9189e-03 9.9808e-01 5.0355e-07 1.1233e-29 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2056e+04 4.1672e+03 3.6815e+10 8.0218e-03 9.9198e-01 1.2128e-08 8.5345e-35 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2170e+04 3.7687e+03 1.7385e+10 3.4036e-02 9.6596e-01 2.4779e-10 3.9112e-40 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2360e+04 3.3654e+03 5.9358e+09 1.5116e-01 8.4884e-01 2.3117e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2670e+04 3.0201e+03 1.5125e+09 4.5593e-01 5.4407e-01 1.2928e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.3075e+04 2.7734e+03 6.3740e+08 7.6522e-01 2.3478e-01 1.2376e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.3530e+04 2.5897e+03 3.2163e+08 9.1817e-01 8.1825e-02 1.4922e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.4013e+04 2.4613e+03 1.5172e+08 9.7084e-01 2.9157e-02 2.3162e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.4509e+04 2.3221e+03 8.7006e+07 9.8328e-01 1.6718e-02 2.1426e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5002e+04 2.2519e+03 3.9627e+07 9.9458e-01 5.4234e-03 2.5901e-23 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5476e+04 2.2052e+03 2.9089e+07 9.9658e-01 3.4153e-03 4.3047e-24 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5924e+04 2.1705e+03 1.9751e+07 9.9847e-01 1.5327e-03 2.2721e-25 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6356e+04 2.1077e+03 1.6307e+07 9.9913e-01 8.6701e-04 3.0829e-26 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6776e+04 2.0670e+03 1.9226e+07 9.9888e-01 1.1228e-03 8.3290e-26 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7184e+04 2.0820e+03 1.8105e+07 9.9958e-01 4.1511e-04 3.4651e-27 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7580e+04 2.1102e+03 1.5341e+07 9.9984e-01 1.6081e-04 1.4798e-28 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7990e+04 2.0489e+03 1.8255e+07 9.9972e-01 2.8317e-04 1.0572e-27 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.8458e+04 2.2314e+03 1.5413e+07 9.9977e-01 2.2729e-04 4.3920e-28 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.9085e+04 2.0260e+03 1.1894e+07 9.9975e-01 2.5272e-04 4.5683e-28 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.0000e+04 1.8256e+03 5.5919e+06 9.9971e-01 2.8935e-04 2.9770e-28 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.1194e+04 1.8797e+03 1.3803e+06 9.9984e-01 1.5634e-04 8.9047e-30 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
