#NTIMES:    67
#NSTAGES:     4
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           ne0           ne1           ne2           ne3
    8.484663E+02   4.4826E-018   1.4945E-011   1.9901E-005   9.9998E-001
    8.542546E+02   4.4826E-018   1.4945E-011   1.9901E-005   9.9998E-001
    8.718573E+02   4.4826E-018   1.4945E-011   1.9901E-005   9.9998E-001
    9.081584E+02   4.4827E-018   1.4946E-011   1.9901E-005   9.9998E-001
    9.674554E+02   4.4829E-018   1.4946E-011   1.9902E-005   9.9998E-001
    1.028597E+03   4.4845E-018   1.4950E-011   1.9905E-005   9.9998E-001
    1.093605E+03   4.4881E-018   1.4962E-011   1.9922E-005   9.9998E-001
    1.162722E+03   4.4844E-018   1.4959E-011   1.9935E-005   9.9998E-001
    1.236207E+03   4.4197E-018   1.4796E-011   1.9778E-005   9.9998E-001
    1.314336E+03   3.8843E-018   1.3382E-011   1.8327E-005   9.9998E-001
    1.397402E+03   1.2096E-018   5.7855E-012   1.0716E-005   9.9999E-001
    1.485719E+03   4.5128E-019   2.8838E-012   6.9918E-006   9.9999E-001
    1.579618E+03   4.2437E-019   2.7615E-012   6.8095E-006   9.9999E-001
    1.679450E+03   2.4207E-019   1.8690E-012   5.4295E-006   9.9999E-001
    1.785593E+03   1.1486E-019   1.1179E-012   4.0771E-006   1.0000E+000
    1.898443E+03   6.4124E-020   7.5196E-013   3.3070E-006   1.0000E+000
    2.018426E+03   3.3105E-020   4.7887E-013   2.6108E-006   1.0000E+000
    2.145992E+03   1.7431E-020   3.1015E-013   2.0955E-006   1.0000E+000
    2.281620E+03   8.9355E-021   1.9731E-013   1.6761E-006   1.0000E+000
    2.425820E+03   4.7967E-021   1.2974E-013   1.3682E-006   1.0000E+000
    2.579133E+03   3.0319E-021   9.5305E-014   1.1801E-006   1.0000E+000
    2.742135E+03   2.2439E-021   7.7902E-014   1.0696E-006   1.0000E+000
    2.915440E+03   2.0164E-021   7.2606E-014   1.0289E-006   1.0000E+000
    3.099698E+03   2.2739E-021   7.8953E-014   1.0635E-006   1.0000E+000
    3.295601E+03   3.8452E-021   1.1306E-013   1.2652E-006   1.0000E+000
    3.503885E+03   1.0779E-020   2.3127E-013   1.8661E-006   1.0000E+000
    3.725332E+03   4.5883E-020   6.2319E-013   3.2102E-006   1.0000E+000
    3.960775E+03   1.1812E-019   1.1699E-012   4.3895E-006   1.0000E+000
    4.211099E+03   9.6869E-019   6.0841E-012   1.5469E-005   9.9998E-001
    4.477243E+03   1.7300E-018   9.9039E-012   2.2508E-005   9.9998E-001
    4.760207E+03   1.6490E-018   9.8278E-012   2.3075E-005   9.9998E-001
    5.061055E+03   1.0552E-018   7.0971E-012   1.8971E-005   9.9998E-001
