#NTIMES:    67
#NSTAGES:     5
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           s0           s1           s2           s3           s4
    1.463678E+04   1.0000E-099   1.0000E+000   5.2397E-007   1.7201E-021   7.1803E-045
    1.515385E+04   1.0000E-099   1.0000E+000   2.8575E-007   3.4251E-022   3.3809E-046
    1.570238E+04   1.0000E-099   1.0000E+000   8.6837E-008   1.5760E-023   1.2297E-048
    1.628316E+04   1.0000E-099   1.0000E+000   6.7526E-009   2.2206E-026   5.8203E-054
    1.695591E+04   1.0000E-099   1.0000E+000   7.5069E-010   9.2422E-029   2.8702E-058
    1.773545E+04   1.0000E-099   1.0000E+000   9.6137E-011   4.9715E-031   7.1966E-062
    1.852426E+04   1.0000E-099   1.0000E+000   1.9314E-011   7.2695E-033   1.2916E-062
    1.933673E+04   1.0000E-099   1.0000E+000   7.2022E-012   7.1629E-034   5.9874E-063
    2.006825E+04   1.0000E-099   1.0000E+000   5.2436E-012   8.1507E-034   4.0994E-063
    2.082304E+04   1.0000E-099   1.0000E+000   4.7409E-012   2.0669E-033   3.4863E-063
    2.162788E+04   1.0000E-099   1.0000E+000   3.4683E-012   2.5675E-033   2.7732E-063
    2.248295E+04   1.0000E-099   1.0000E+000   4.2040E-012   6.4626E-033   3.1245E-063
    2.340334E+04   1.0000E-099   1.0000E+000   3.3601E-012   5.7680E-033   2.5166E-063
    2.427003E+04   1.0000E-099   1.0000E+000   4.3853E-012   9.0000E-033   2.8262E-063
    2.528269E+04   1.0000E-099   1.0000E+000   4.8195E-012   9.1593E-033   2.8235E-063
    2.627013E+04   1.0000E-099   1.0000E+000   4.1297E-012   6.5443E-033   2.4171E-063
    2.723040E+04   1.0000E-099   1.0000E+000   7.2990E-012   1.1515E-032   3.6414E-063
    2.827004E+04   1.0000E-099   1.0000E+000   9.5086E-012   1.2951E-032   4.4235E-063
    2.934273E+04   1.0000E-099   1.0000E+000   1.5266E-011   1.9003E-032   6.5154E-063
    3.052012E+04   1.0000E-099   1.0000E+000   2.3719E-011   2.6548E-032   9.5490E-063
    3.176086E+04   1.0000E-099   1.0000E+000   3.2860E-011   3.2972E-032   1.2847E-062
    3.295538E+04   1.0000E-099   1.0000E+000   3.7575E-011   3.2842E-032   1.4612E-062
    3.403161E+04   1.0000E-099   1.0000E+000   4.4961E-011   3.5551E-032   1.7358E-062
    3.500379E+04   1.0000E-099   1.0000E+000   6.0126E-011   4.5081E-032   2.2924E-062
    3.593430E+04   1.0000E-099   1.0000E+000   8.3202E-011   5.9287E-032   3.1419E-062
    3.686142E+04   1.0000E-099   1.0000E+000   1.1369E-010   7.5184E-032   4.2768E-062
    3.781660E+04   1.0000E-099   1.0000E+000   1.5035E-010   9.0036E-032   5.6636E-062
    3.881204E+04   1.0000E-099   1.0000E+000   1.8881E-010   1.0148E-031   7.1493E-062
    3.984228E+04   1.0000E-099   1.0000E+000   2.2930E-010   1.1248E-031   8.7393E-062
    4.090108E+04   1.0000E-099   1.0000E+000   2.7102E-010   1.2560E-031   1.0396E-061
    4.198933E+04   1.0000E-099   1.0000E+000   3.1067E-010   1.4123E-031   1.1982E-061
    4.310952E+04   1.0000E-099   1.0000E+000   3.4468E-010   1.5867E-031   1.3360E-061
    4.426353E+04   1.0000E-099   1.0000E+000   3.7066E-010   1.7642E-031   1.4458E-061
    4.545322E+04   1.0000E-099   1.0000E+000   3.8920E-010   1.9401E-031   1.5330E-061
    4.667980E+04   1.0000E-099   1.0000E+000   4.0322E-010   2.1128E-031   1.6109E-061
    4.794258E+04   1.0000E-099   1.0000E+000   4.1438E-010   2.2702E-031   1.6857E-061
    4.924062E+04   1.0000E-099   1.0000E+000   4.2347E-010   2.3937E-031   1.7586E-061
    5.057272E+04   1.0000E-099   1.0000E+000   4.3196E-010   2.4727E-031   1.8329E-061
    5.193717E+04   1.0000E-099   1.0000E+000   4.4016E-010   2.5348E-031   1.9083E-061
    5.333235E+04   1.0000E-099   1.0000E+000   4.4641E-010   2.5799E-031   1.9771E-061
    5.475676E+04   1.0000E-099   1.0000E+000   4.4878E-010   2.5891E-031   2.0318E-061
    5.620758E+04   1.0000E-099   1.0000E+000   4.4581E-010   2.5391E-031   2.0680E-061
    5.768166E+04   1.0000E-099   1.0000E+000   4.3691E-010   2.4229E-031   2.0874E-061
    5.917412E+04   1.0000E-099   1.0000E+000   4.2264E-010   2.2535E-031   2.0982E-061
    6.067730E+04   1.0000E-099   1.0000E+000   4.0324E-010   2.0459E-031   2.1078E-061
    6.217708E+04   1.0000E-099   1.0000E+000   3.7905E-010   1.8140E-031   2.1228E-061
    6.366086E+04   1.0000E-099   1.0000E+000   3.5069E-010   1.5727E-031   2.1462E-061
    6.510379E+04   1.0000E-099   1.0000E+000   3.1889E-010   1.3339E-031   2.1733E-061
    6.648389E+04   1.0000E-099   1.0000E+000   2.8555E-010   1.1132E-031   2.1979E-061
    6.776932E+04   1.0000E-099   1.0000E+000   2.5217E-010   9.1440E-032   2.2089E-061
    6.895129E+04   1.0000E-099   1.0000E+000   2.1544E-010   7.0558E-032   2.1476E-061
    6.949055E+04   1.0000E-099   1.0000E+000   1.8551E-010   5.3667E-032   1.9694E-061
    6.976176E+04   1.0000E-099   1.0000E+000   1.6153E-010   4.1165E-032   1.7701E-061
    6.989776E+04   1.0000E-099   1.0000E+000   1.3959E-010   3.0886E-032   1.5554E-061
    6.996586E+04   1.0000E-099   1.0000E+000   1.2289E-010   2.3969E-032   1.3811E-061
    6.999823E+04   1.0000E-099   1.0000E+000   1.1095E-010   1.9582E-032   1.2531E-061
    6.999993E+04   1.0000E-099   1.0000E+000   1.0968E-010   1.9137E-032   1.2393E-061
#TIME:     0.605
#NVEL: 115
#vel_mid[km/s]           s0           s1           s2           s3           s4
    8.484664E+02   1.0000E-099   9.2174E-018   2.1789E-011   2.7904E-005   9.9997E-001
    8.543246E+02   1.0000E-099   9.2174E-018   2.1789E-011   2.7904E-005   9.9997E-001
    8.721432E+02   1.0000E-099   9.2174E-018   2.1789E-011   2.7904E-005   9.9997E-001
    9.089031E+02   1.0000E-099   9.2175E-018   2.1789E-011   2.7905E-005   9.9997E-001
    9.682894E+02   1.0000E-099   9.2184E-018   2.1791E-011   2.7905E-005   9.9997E-001
    1.029084E+03   1.0000E-099   9.2241E-018   2.1800E-011   2.7912E-005   9.9997E-001
    1.093701E+03   1.0000E-099   9.2228E-018   2.1803E-011   2.7912E-005   9.9997E-001
    1.162375E+03   1.0000E-099   9.1718E-018   2.1726E-011   2.7862E-005   9.9997E-001
    1.235362E+03   1.0000E-099   8.8957E-018   2.1239E-011   2.7558E-005   9.9997E-001
    1.312931E+03   1.0000E-099   7.5308E-018   1.8685E-011   2.5927E-005   9.9997E-001
    1.395371E+03   1.0000E-099   2.8866E-018   9.2881E-012   1.8580E-005   9.9998E-001
    1.482988E+03   1.0000E-099   1.3049E-018   5.2313E-012   1.4219E-005   9.9999E-001
