#NTIMES: 200
#NSTAGES: 7
#TIMES[d]: 1.3135 1.3409 1.3688 1.3973 1.4263 1.4560 1.4863 1.5173 1.5488 1.5811 1.6140 1.6476 1.6819 1.7169 1.7526 1.7891 1.8263 1.8643 1.9031 1.9427 1.9831 2.0244 2.0665 2.1096 2.1535 2.1983 2.2440 2.2907 2.3384 2.3871 2.4368 2.4875 2.5392 2.5921 2.6460 2.7011 2.7573 2.8147 2.8733 2.9331 2.9941 3.0564 3.1200 3.1850 3.2513 3.3189 3.3880 3.4585 3.5305 3.6040 3.6790 3.7555 3.8337 3.9135 3.9949 4.0781 4.1629 4.2496 4.3380 4.4283 4.5205 4.6145 4.7106 4.8086 4.9087 5.0109 5.1151 5.2216 5.3303 5.4412 5.5544 5.6700 5.7880 5.9085 6.0315 6.1570 6.2851 6.4159 6.5495 6.6858 6.8249 6.9670 7.1120 7.2600 7.4111 7.5653 7.7228 7.8835 8.0476 8.2150 8.3860 8.5605 8.7387 8.9206 9.1062 9.2957 9.4892 9.6867 9.8883 10.0941 10.3042 10.5186 10.7375 10.9610 11.1891 11.4220 11.6597 11.9023 12.1501 12.4029 12.6611 12.9246 13.1935 13.4681 13.7484 14.0346 14.3266 14.6248 14.9292 15.2399 15.5570 15.8808 16.2113 16.5487 16.8931 17.2447 17.6036 17.9700 18.3440 18.7257 19.1155 19.5133 19.9194 20.3340 20.7571 21.1891 21.6301 22.0803 22.5398 23.0089 23.4878 23.9766 24.4756 24.9850 25.5050 26.0358 26.5776 27.1308 27.6954 28.2718 28.8602 29.4608 30.0740 30.6999 31.3388 31.9910 32.6568 33.3365 34.0302 34.7385 35.4615 36.1995 36.9529 37.7219 38.5070 39.3084 40.1265 40.9616 41.8141 42.6843 43.5726 44.4795 45.4052 46.3501 47.3148 48.2995 49.3047 50.3308 51.3783 52.4476 53.5391 54.6534 55.7908 56.9519 58.1372 59.3472 60.5823 61.8431 63.1302 64.4440 65.7853 67.1544 68.5520 69.9787 71.4351 72.9218 74.4394 75.9886 77.5701 79.1845
#
#TIME: 1.3135
#NVEL: 115
#vel_mid[km/s] al0 al1 al2 al3 al4 al5 al6
4.2577e+02 2.7184e-30 9.8410e-21 4.2768e-12 2.1510e-04 2.4115e-01 7.5838e-01 2.6112e-04
8.5779e+02 4.1251e-22 1.8703e-14 1.0180e-07 6.4127e-02 9.0041e-01 3.5465e-02 1.5294e-07
8.7843e+02 4.1207e-22 1.8687e-14 1.0174e-07 6.4100e-02 9.0042e-01 3.5484e-02 1.5311e-07
9.1772e+02 4.1092e-22 1.8639e-14 1.0150e-07 6.3958e-02 9.0045e-01 3.5589e-02 1.5412e-07
9.7304e+02 4.0369e-22 1.8355e-14 1.0021e-07 6.3281e-02 9.0063e-01 3.6084e-02 1.5884e-07
1.0350e+03 3.8580e-22 1.7634e-14 9.6847e-08 6.1419e-02 9.0106e-01 3.7519e-02 1.7306e-07
1.1000e+03 3.3741e-22 1.5672e-14 8.7635e-08 5.6329e-02 9.0174e-01 4.1935e-02 2.2115e-07
1.1690e+03 2.3510e-22 1.1398e-14 6.6869e-08 4.4535e-02 8.9934e-01 5.6125e-02 4.2267e-07
1.2425e+03 1.0874e-22 5.7170e-15 3.6824e-08 2.6134e-02 8.7099e-01 1.0287e-01 1.6827e-06
1.3205e+03 3.1145e-23 1.8142e-15 1.3243e-08 1.0076e-02 7.4514e-01 2.4478e-01 1.3983e-05
1.4033e+03 5.6297e-24 3.6820e-16 3.1104e-09 2.5413e-03 4.7770e-01 5.1963e-01 1.2840e-04
1.4915e+03 8.4493e-25 6.2021e-17 6.0630e-10 5.3129e-04 2.3503e-01 7.6372e-01 7.1793e-04
1.5852e+03 1.2520e-25 1.0350e-17 1.1727e-10 1.1089e-04 1.0476e-01 8.9242e-01 2.7092e-03
1.6847e+03 1.6648e-26 1.5684e-18 2.0864e-11 2.1516e-05 4.3069e-02 9.4781e-01 9.0948e-03
1.7904e+03 1.9205e-27 2.1101e-19 3.3769e-12 3.8819e-06 1.6660e-02 9.5429e-01 2.9045e-02
1.9028e+03 1.9497e-28 2.5647e-20 5.0700e-13 6.6747e-07 6.1405e-03 9.0773e-01 8.6127e-02
2.0223e+03 1.8344e-29 2.8801e-21 7.0173e-14 1.0551e-07 2.0556e-03 7.7316e-01 2.2478e-01
2.1493e+03 1.4695e-30 2.7497e-22 8.2482e-15 1.4178e-08 5.7347e-04 5.3592e-01 4.6351e-01
2.2843e+03 1.1986e-31 2.6110e-23 9.4017e-16 1.8157e-09 1.4155e-04 3.0115e-01 6.9870e-01
2.4277e+03 1.3548e-32 3.3575e-24 1.4101e-16 3.0218e-10 3.9816e-05 1.6377e-01 8.3619e-01
2.5802e+03 2.9373e-33 8.0489e-25 3.7974e-17 8.8763e-11 1.6542e-05 1.0488e-01 8.9510e-01
2.7422e+03 1.6199e-33 4.7332e-25 2.3899e-17 5.9399e-11 1.2478e-05 9.0958e-02 9.0903e-01
2.9144e+03 2.8232e-33 8.4013e-25 4.2722e-17 1.0912e-10 1.9673e-05 1.1586e-01 8.8412e-01
3.0973e+03 1.8753e-32 5.4162e-24 2.5964e-16 6.6191e-10 7.3123e-05 2.2543e-01 7.7450e-01
3.2918e+03 4.6814e-31 1.2830e-22 5.5359e-15 1.4259e-08 6.2157e-04 5.6663e-01 4.3275e-01
3.4986e+03 3.1504e-29 7.0258e-21 2.3099e-13 5.2971e-07 5.8012e-03 9.1212e-01 8.2077e-02
3.7182e+03 3.9306e-27 5.8221e-19 1.1968e-11 1.9908e-05 4.3863e-02 9.4816e-01 7.9581e-03
