#NTIMES:    67
#NSTAGES:     4
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           k0           k1           k2           k3
    2.248295E+04   1.0000E-099   1.0000E-099   1.0000E+000   4.6856E-030
    2.340334E+04   1.0000E-099   1.0000E-099   1.0000E+000   5.4593E-030
    2.427003E+04   1.0000E-099   1.0000E-099   1.0000E+000   9.8274E-030
    2.528269E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.3231E-029
    2.627013E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.3103E-029
    2.723040E+04   1.0000E-099   1.0000E-099   1.0000E+000   2.3929E-029
    2.827004E+04   1.0000E-099   1.0000E-099   1.0000E+000   3.1461E-029
    2.934273E+04   1.0000E-099   1.0000E-099   1.0000E+000   4.7508E-029
    3.052012E+04   1.0000E-099   1.0000E-099   1.0000E+000   6.7151E-029
    3.176086E+04   1.0000E-099   1.0000E-099   1.0000E+000   8.5118E-029
    3.295538E+04   1.0000E-099   1.0000E-099   1.0000E+000   9.2835E-029
    3.403161E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.0330E-028
    3.500379E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.2156E-028
    3.593430E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.4230E-028
    3.686142E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.6017E-028
    3.781660E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.7188E-028
    3.881204E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.7590E-028
    3.984228E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.7527E-028
    4.090108E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.7247E-028
    4.198933E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.6873E-028
    4.310952E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.6483E-028
    4.426353E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.6142E-028
    4.545322E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.5948E-028
    4.667980E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.5997E-028
    4.794258E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.6286E-028
    4.924062E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.6754E-028
    5.057272E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.7368E-028
    5.193717E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.8063E-028
    5.333235E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.8719E-028
    5.475676E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.9226E-028
    5.620758E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.9520E-028
    5.768166E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.9573E-028
    5.917412E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.9407E-028
    6.067730E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.9033E-028
    6.217708E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.8449E-028
    6.366086E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.7673E-028
    6.510379E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.6737E-028
    6.648389E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.5717E-028
    6.776932E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.4639E-028
    6.895129E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.3105E-028
    6.949055E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.1438E-028
    6.976176E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.0044E-028
    6.989776E+04   1.0000E-099   1.0000E-099   1.0000E+000   8.7854E-029
    6.996586E+04   1.0000E-099   1.0000E-099   1.0000E+000   7.8698E-029
    6.999823E+04   1.0000E-099   1.0000E-099   1.0000E+000   7.2440E-029
    6.999993E+04   1.0000E-099   1.0000E-099   1.0000E+000   7.1810E-029
#TIME:     0.605
#NVEL: 115
#vel_mid[km/s]           k0           k1           k2           k3
    8.484664E+02   1.0000E-099   1.0000E-099   3.8937E-007   1.0000E+000
    8.543246E+02   1.0000E-099   1.0000E-099   3.8937E-007   1.0000E+000
    8.721432E+02   1.0000E-099   1.0000E-099   3.8937E-007   1.0000E+000
    9.089031E+02   1.0000E-099   1.0000E-099   3.8937E-007   1.0000E+000
    9.682894E+02   1.0000E-099   1.0000E-099   3.8939E-007   1.0000E+000
    1.029084E+03   1.0000E-099   1.0000E-099   3.8950E-007   1.0000E+000
    1.093701E+03   1.0000E-099   1.0000E-099   3.8968E-007   1.0000E+000
    1.162375E+03   1.0000E-099   1.0000E-099   3.8911E-007   1.0000E+000
    1.235362E+03   1.0000E-099   1.0000E-099   3.8307E-007   1.0000E+000
    1.312931E+03   1.0000E-099   1.0000E-099   3.4755E-007   1.0000E+000
    1.395371E+03   1.0000E-099   1.0000E-099   2.1585E-007   1.0000E+000
    1.482988E+03   1.0000E-099   1.0000E-099   1.4530E-007   1.0000E+000
    1.576106E+03   1.0000E-099   1.0000E-099   1.3692E-007   1.0000E+000
    1.675071E+03   1.0000E-099   1.0000E-099   1.0898E-007   1.0000E+000
    1.780251E+03   1.0000E-099   1.0000E-099   8.0418E-008   1.0000E+000
    1.892034E+03   1.0000E-099   1.0000E-099   6.3710E-008   1.0000E+000
    2.010837E+03   1.0000E-099   1.0000E-099   4.8746E-008   1.0000E+000
    2.137099E+03   1.0000E-099   1.0000E-099   3.7767E-008   1.0000E+000
    2.271289E+03   1.0000E-099   1.0000E-099   2.8870E-008   1.0000E+000
    2.413905E+03   1.0000E-099   1.0000E-099   2.2612E-008   1.0000E+000
    2.565477E+03   1.0000E-099   1.0000E-099   1.8875E-008   1.0000E+000
    2.726565E+03   1.0000E-099   1.0000E-099   1.6839E-008   1.0000E+000
    2.897769E+03   1.0000E-099   1.0000E-099   1.6367E-008   1.0000E+000
    3.079722E+03   1.0000E-099   1.0000E-099   1.7443E-008   1.0000E+000
    3.273101E+03   1.0000E-099   1.0000E-099   2.1829E-008   1.0000E+000
    3.478622E+03   1.0000E-099   1.0000E-099   3.3347E-008   1.0000E+000
    3.697048E+03   1.0000E-099   1.0000E-099   6.1628E-008   1.0000E+000
    3.929188E+03   1.0000E-099   1.0000E-099   8.9334E-008   1.0000E+000
    4.175906E+03   1.0000E-099   1.0000E-099   2.2153E-007   1.0000E+000
    4.438115E+03   1.0000E-099   1.0000E-099   3.6463E-007   1.0000E+000
    4.716788E+03   1.0000E-099   1.0000E-099   3.8386E-007   1.0000E+000
    5.012959E+03   1.0000E-099   1.0000E-099   3.3261E-007   1.0000E+000
    5.327727E+03   1.0000E-099   1.0000E-099   2.8463E-007   1.0000E+000
    5.662260E+03   1.0000E-099   1.0000E-099   2.6786E-007   1.0000E+000
    6.017798E+03   1.0000E-099   1.0000E-099   2.6581E-007   1.0000E+000
    6.395661E+03   1.0000E-099   1.0000E-099   3.0070E-007   1.0000E+000
    6.797251E+03   1.0000E-099   1.0000E-099   3.6937E-007   1.0000E+000
    7.224056E+03   1.0000E-099   1.0000E-099   4.6865E-007   1.0000E+000
    7.677661E+03   1.0000E-099   1.0000E-099   6.3438E-007   1.0000E+000
    8.159748E+03   1.0000E-099   1.0000E-099   9.5387E-007   1.0000E+000
    8.672106E+03   1.0000E-099   1.0000E-099   2.2963E-006   1.0000E+000
    9.216636E+03   1.0000E-099   1.0000E-099   2.1556E-005   9.9998E-001
    9.793140E+03   1.0000E-099   1.0000E-099   2.0003E-003   9.9800E-001
    1.026683E+04   1.0000E-099   1.0000E-099   3.4168E-001   6.5832E-001
    1.070804E+04   1.0000E-099   1.0000E-099   9.9826E-001   1.7411E-003
    1.120152E+04   1.0000E-099   1.0000E-099   1.0000E+000   2.2698E-009
    1.159423E+04   1.0000E-099   1.0000E-099   1.0000E+000   4.7696E-013
    1.180243E+04   1.0000E-099   1.0000E-099   1.0000E+000   5.6122E-014
    1.192916E+04   1.0000E-099   1.0000E-099   1.0000E+000   2.4851E-015
    1.202084E+04   1.0000E-099   1.0000E-099   1.0000E+000   3.8339E-017
    1.209768E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.2274E-018
    1.216841E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.0685E-019
    1.223949E+04   1.0000E-099   1.0000E-099   1.0000E+000   7.9208E-021
    1.231406E+04   1.0000E-099   1.0000E-099   1.0000E+000   6.0683E-022
    1.239842E+04   1.0000E-099   1.0000E-099   1.0000E+000   6.8477E-023
    1.256481E+04   1.0000E-099   1.0000E-099   1.0000E+000   7.0196E-024
    1.321135E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.7781E-023
    1.378971E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.2303E-022
    1.426236E+04   1.0000E-099   1.0000E-099   1.0000E+000   8.1076E-023
    1.471893E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.0125E-023
    1.520339E+04   1.0000E-099   1.0000E-099   1.0000E+000   7.9161E-025
    1.569984E+04   1.0000E-099   1.0000E-099   1.0000E+000   3.7852E-026
    1.625603E+04   1.0000E-099   1.0000E-099   1.0000E+000   2.8621E-028
    1.692188E+04   1.0000E-099   1.0000E-099   1.0000E+000   4.0979E-030
    1.755155E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.7569E-031
    1.815678E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.4085E-032
    1.877630E+04   1.0000E-099   1.0000E-099   1.0000E+000   5.2026E-033
    1.943029E+04   1.0000E-099   1.0000E-099   1.0000E+000   7.9130E-033
    2.010428E+04   1.0000E-099   1.0000E-099   1.0000E+000   2.9176E-032
    2.090850E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.0679E-031
    2.182676E+04   1.0000E-099   1.0000E-099   1.0000E+000   2.0672E-031
    2.283367E+04   1.0000E-099   1.0000E-099   1.0000E+000   6.1914E-031
    2.394324E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.2459E-030
    2.516734E+04   1.0000E-099   1.0000E-099   1.0000E+000   2.6916E-030
    2.638649E+04   1.0000E-099   1.0000E-099   1.0000E+000   3.1794E-030
    2.758311E+04   1.0000E-099   1.0000E-099   1.0000E+000   8.3424E-030
    2.884269E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.4788E-029
    3.014497E+04   1.0000E-099   1.0000E-099   1.0000E+000   2.8292E-029
    3.148085E+04   1.0000E-099   1.0000E-099   1.0000E+000   4.4318E-029
    3.276289E+04   1.0000E-099   1.0000E-099   1.0000E+000   5.4519E-029
    3.391810E+04   1.0000E-099   1.0000E-099   1.0000E+000   6.6015E-029
    3.495083E+04   1.0000E-099   1.0000E-099   1.0000E+000   8.5761E-029
    3.592850E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.1050E-028
    3.688885E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.3415E-028
    3.786912E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.5192E-028
    3.888044E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.6114E-028
    3.991994E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.6467E-028
    4.098383E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.6501E-028
    4.207443E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.6354E-028
    4.319619E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.6124E-028
    4.435339E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.5899E-028
    4.555005E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.5792E-028
    4.678738E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.5910E-028
    4.806468E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.6252E-028
    4.937985E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.6764E-028
    5.073002E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.7412E-028
    5.211198E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.8125E-028
    5.352349E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.8781E-028
    5.496004E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.9270E-028
    5.642085E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.9535E-028
    5.789881E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.9557E-028
    5.939226E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.9362E-028
    6.088737E+04   1.0000E-099   1.0000E-099   1.0000E+000   1.8961E-028
