#NTIMES: 50
#NSTAGES 5
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 115
#vel_mid[km/s] fe0 fe1 fe2 fe3 fe4
425.78 5.0584e-04 5.6138e-01 3.4571e-01 7.9357e-02 1.3046e-02
857.79 1.1908e-03 6.5513e-01 2.6834e-01 6.5622e-02 9.7159e-03
878.44 1.8114e-03 6.4491e-01 2.7964e-01 6.4193e-02 9.4406e-03
917.72 1.4052e-03 6.5585e-01 2.6925e-01 6.4041e-02 9.4598e-03
973.04 4.3263e-04 5.3205e-01 3.1804e-01 6.9784e-02 7.9699e-02
1034.98 1.3643e-03 6.5967e-01 2.6354e-01 6.5696e-02 9.7297e-03
1099.97 8.5470e-04 6.4652e-01 2.7712e-01 6.5711e-02 9.7955e-03
1169.04 8.8418e-04 6.3132e-01 2.9111e-01 6.6659e-02 1.0025e-02
1242.44 8.7466e-04 6.4117e-01 2.8265e-01 6.5559e-02 9.7537e-03
1320.45 1.2560e-03 6.4945e-01 2.7726e-01 6.2836e-02 9.1943e-03
1403.37 2.4829e-03 6.6868e-01 2.5816e-01 6.1751e-02 8.9265e-03
1491.49 3.2966e-03 6.7769e-01 2.5152e-01 5.9121e-02 8.3782e-03
1585.14 2.7556e-03 6.8436e-01 2.4656e-01 5.8154e-02 8.1659e-03
1684.67 3.7763e-03 6.7448e-01 2.5505e-01 5.8441e-02 8.2553e-03
1790.45 3.2161e-03 6.7410e-01 2.5478e-01 5.9456e-02 8.4489e-03
1902.87 1.6408e-03 6.7480e-01 2.5411e-01 6.0738e-02 8.7062e-03
2022.36 2.9521e-04 5.2636e-01 3.7524e-01 8.3859e-02 1.4250e-02
2149.34 4.7981e-04 6.2585e-01 2.9560e-01 6.7804e-02 1.0261e-02
2284.30 4.1766e-04 6.0205e-01 3.1229e-01 7.3692e-02 1.1550e-02
2427.74 2.9799e-04 5.7664e-01 3.2991e-01 8.0147e-02 1.3003e-02
2580.18 2.5659e-04 5.4902e-01 3.4866e-01 8.7363e-02 1.4693e-02
2742.19 2.2157e-04 5.1799e-01 3.7153e-01 9.4013e-02 1.6245e-02
2914.37 2.2258e-04 4.9729e-01 3.8604e-01 9.9016e-02 1.7433e-02
3097.37 2.3724e-04 4.7021e-01 4.0867e-01 1.0264e-01 1.8245e-02
3291.85 2.1443e-04 4.2224e-01 4.4778e-01 1.0990e-01 1.9871e-02
3498.55 3.5735e-04 3.9921e-01 4.7589e-01 1.0591e-01 1.8635e-02
3718.23 3.9973e-03 4.9107e-01 4.1645e-01 7.6511e-02 1.1971e-02
3951.70 1.9118e-02 5.3378e-01 3.7572e-01 6.2271e-02 9.1154e-03
4199.83 1.1087e-02 4.3863e-01 4.4884e-01 8.7122e-02 1.4321e-02
4463.54 1.0200e-02 4.1669e-01 4.5476e-01 1.0065e-01 1.7705e-02
4743.81 1.5072e-02 4.4451e-01 4.2325e-01 9.9497e-02 1.7670e-02
5041.68 1.9396e-02 4.5535e-01 4.1218e-01 9.6085e-02 1.6982e-02
5358.25 2.5568e-02 4.8378e-01 3.8378e-01 9.1030e-02 1.5845e-02
5694.70 2.8982e-02 4.7245e-01 3.9100e-01 9.1552e-02 1.6010e-02
6052.28 3.2544e-02 4.8623e-01 3.7775e-01 8.8226e-02 1.5247e-02
6432.31 3.8520e-02 4.9083e-01 3.7029e-01 8.5670e-02 1.4687e-02
6836.20 4.3602e-02 4.8399e-01 3.7051e-01 8.6887e-02 1.5013e-02
7265.45 4.9884e-02 4.9905e-01 3.5337e-01 8.3459e-02 1.4230e-02
7721.65 5.5755e-02 5.1325e-01 3.3850e-01 7.9227e-02 1.3268e-02
8206.56 6.6358e-02 5.1070e-01 3.3327e-01 7.6886e-02 1.2790e-02
8717.73 7.9349e-02 5.2237e-01 3.1843e-01 6.8854e-02 1.1000e-02
9214.74 7.9407e-02 5.2884e-01 3.1746e-01 6.4325e-02 9.9723e-03
9629.11 8.9185e-02 5.2738e-01 3.1464e-01 5.9757e-02 9.0312e-03
9954.11 1.0525e-01 5.4027e-01 2.9448e-01 5.2444e-02 7.5498e-03
10245.64 8.8303e-02 4.9679e-01 3.4877e-01 5.7632e-02 8.5052e-03
10541.49 7.3955e-02 4.8151e-01 3.7594e-01 5.9760e-02 8.8391e-03
10839.94 6.8828e-02 5.1329e-01 3.6318e-01 4.8147e-02 6.5553e-03
11119.11 7.7661e-02 5.3445e-01 3.4177e-01 4.0864e-02 5.2615e-03
11355.83 8.0246e-02 6.1465e-01 2.7328e-01 2.8540e-02 3.2861e-03
11539.81 7.9442e-02 6.7848e-01 2.1908e-01 2.0860e-02 2.1365e-03
11677.16 1.1176e-01 7.0418e-01 1.6719e-01 1.5459e-02 1.4021e-03
11784.05 9.3797e-02 7.2559e-01 1.6558e-01 1.3828e-02 1.2054e-03
11875.85 8.9811e-02 7.4900e-01 1.4689e-01 1.3207e-02 1.0909e-03
11963.37 7.8086e-02 7.3347e-01 1.7245e-01 1.4695e-02 1.3059e-03
12055.39 5.9025e-02 7.2465e-01 1.9654e-01 1.8074e-02 1.7129e-03
12170.41 3.9057e-02 6.4389e-01 2.8710e-01 2.6940e-02 3.0157e-03
12360.89 7.8328e-03 5.5947e-01 3.9377e-01 3.4728e-02 4.1920e-03
12670.46 5.8687e-04 4.1469e-01 5.2637e-01 5.1828e-02 6.5279e-03
13075.34 1.5966e-04 2.7218e-01 6.4088e-01 7.6744e-02 1.0036e-02
13530.52 7.8784e-05 2.4121e-01 6.5064e-01 9.4960e-02 1.3104e-02
14012.75 2.8787e-05 1.1579e-01 7.3925e-01 1.2777e-01 1.7171e-02
14508.81 2.2140e-05 1.0375e-01 7.2899e-01 1.4540e-01 2.1833e-02
15002.30 2.1712e-05 1.3025e-01 7.0151e-01 1.4525e-01 2.2972e-02
15475.29 2.9782e-05 1.5285e-01 6.8231e-01 1.4163e-01 2.3177e-02
15923.68 3.6670e-05 2.1760e-01 6.3125e-01 1.2813e-01 2.2984e-02
16355.64 2.8759e-05 2.0959e-01 6.2603e-01 1.3865e-01 2.5711e-02
16776.27 2.0978e-05 1.6108e-01 6.7089e-01 1.4146e-01 2.6547e-02
17183.14 4.1929e-05 2.8622e-01 5.7044e-01 1.2114e-01 2.2155e-02
17580.45 2.8292e-05 1.8105e-01 6.7269e-01 1.2388e-01 2.2342e-02
17990.34 1.4350e-05 9.7785e-02 7.2223e-01 1.5038e-01 2.9594e-02
18458.06 2.5301e-05 1.9717e-01 6.2927e-01 1.4504e-01 2.8496e-02
19084.69 8.3428e-06 8.1252e-02 7.0073e-01 1.7997e-01 3.8042e-02
19999.79 3.8900e-06 4.6653e-02 6.5745e-01 2.3677e-01 5.9125e-02
21193.46 1.8171e-06 4.6627e-02 4.9293e-01 3.3782e-01 1.2262e-01
22528.72 8.7889e-07 2.1515e-02 3.7543e-01 4.0217e-01 2.0089e-01
23943.32 1.1574e-06 3.1352e-02 2.9176e-01 4.2234e-01 2.5454e-01
25446.74 3.1398e-07 1.1718e-02 2.0957e-01 4.5640e-01 3.2231e-01
27044.57 4.6432e-08 1.7460e-03 1.0932e-01 4.4265e-01 4.4629e-01
28744.18 8.9706e-09 4.7815e-04 4.3450e-02 2.6946e-01 6.8662e-01
30520.16 1.1636e-09 1.2070e-04 1.7528e-02 1.8245e-01 7.9990e-01
32243.50 3.3943e-10 3.4730e-05 1.0081e-02 1.4179e-01 8.4810e-01
33773.01 2.3265e-10 2.7900e-05 6.6705e-03 1.1706e-01 8.7624e-01
35108.48 2.1017e-10 3.6007e-05 3.6016e-03 8.7435e-02 9.0893e-01
36326.30 1.3110e-11 2.7297e-06 1.7551e-03 6.1887e-02 9.3635e-01
37486.70 9.4800e-12 2.3574e-06 8.6023e-04 4.3887e-02 9.5525e-01
38628.25 2.0339e-12 7.6240e-07 4.9990e-04 3.3957e-02 9.6554e-01
39768.62 1.9899e-13 1.1241e-07 2.7255e-04 2.5448e-02 9.7428e-01
40915.31 4.4377e-14 4.1876e-08 1.4950e-04 1.9253e-02 9.8060e-01
42074.51 3.7471e-14 4.8728e-08 8.5898e-05 1.4598e-02 9.8532e-01
43252.44 2.3926e-14 3.5942e-08 4.7981e-05 1.1045e-02 9.8891e-01
44454.05 8.9188e-15 1.9761e-08 2.6639e-05 8.3464e-03 9.9163e-01
45683.04 3.0437e-15 1.0178e-08 1.4659e-05 6.2784e-03 9.9371e-01
46941.68 1.3542e-15 5.4093e-09 7.9845e-06 4.7034e-03 9.9529e-01
48230.81 4.7346e-16 2.7018e-09 4.3089e-06 3.5098e-03 9.9649e-01
49550.29 1.6912e-16 1.1828e-09 2.3093e-06 2.6126e-03 9.9739e-01
50899.37 5.4478e-17 4.3433e-10 1.2302e-06 1.9398e-03 9.9806e-01
52276.86 1.4299e-17 1.6566e-10 6.5243e-07 1.4396e-03 9.9856e-01
53681.16 1.3369e-19 1.8776e-12 3.4528e-07 1.0676e-03 9.9893e-01
55110.21 2.8801e-20 7.6995e-13 1.8275e-07 7.9263e-04 9.9921e-01
56561.17 1.0236e-19 2.0787e-12 9.7209e-08 5.8913e-04 9.9941e-01
58030.00 2.5885e-19 3.9069e-12 5.2003e-08 4.3939e-04 9.9956e-01
59510.42 1.0596e-19 1.6580e-12 2.8190e-08 3.2879e-04 9.9967e-01
60993.45 3.9296e-20 6.8938e-13 1.5526e-08 2.4792e-04 9.9975e-01
62466.44 2.0029e-20 3.0367e-13 8.7234e-09 1.8830e-04 9.9981e-01
63912.69 3.5429e-21 1.3245e-13 5.0557e-09 1.4472e-04 9.9986e-01
65311.62 1.8483e-20 6.6899e-14 3.0365e-09 1.1280e-04 9.9989e-01
66639.26 1.1389e-20 3.0766e-14 1.9057e-09 8.9626e-05 9.9991e-01
67870.77 5.0402e-21 1.6512e-14 1.2550e-09 7.2681e-05 9.9993e-01
68864.47 3.8568e-21 9.2632e-15 8.5221e-10 6.0030e-05 9.9994e-01
69459.55 4.3461e-21 7.3848e-15 7.2211e-10 5.5514e-05 9.9994e-01
69744.99 2.2679e-22 6.5879e-15 6.7268e-10 5.3372e-05 9.9995e-01
69888.26 1.5554e-21 6.3506e-15 6.4642e-10 5.2314e-05 9.9995e-01
69959.62 6.4595e-21 6.2172e-15 6.3383e-10 5.1800e-05 9.9995e-01
69991.15 5.9158e-22 6.0853e-15 6.2757e-10 5.1574e-05 9.9995e-01
69999.53 3.5791e-22 6.1348e-15 6.2776e-10 5.1559e-05 9.9995e-01
#TIME: 202.03
#NVEL 115
#vel_mid[km/s] fe0 fe1 fe2 fe3 fe4
425.78 2.2425e-03 6.6832e-01 2.5653e-01 6.3610e-02 9.2927e-03
857.79 1.7863e-03 6.2756e-01 2.9569e-01 6.5244e-02 9.7187e-03
878.44 1.0096e-03 5.6346e-01 3.1382e-01 6.9662e-02 5.2049e-02
917.72 8.5961e-04 5.6818e-01 3.4147e-01 7.7029e-02 1.2466e-02
973.04 1.9932e-03 6.4404e-01 2.7800e-01 6.6129e-02 9.8303e-03
1034.98 2.2748e-03 6.4110e-01 2.7833e-01 6.8013e-02 1.0277e-02
1099.97 1.1411e-03 6.5822e-01 2.6728e-01 6.3952e-02 9.4116e-03
1169.04 5.1590e-04 5.4025e-01 3.6300e-01 8.2454e-02 1.3778e-02
1242.44 5.6176e-04 5.2356e-01 3.7804e-01 8.3748e-02 1.4093e-02
1320.45 7.3850e-04 5.5269e-01 3.5641e-01 7.7571e-02 1.2590e-02
1403.37 3.4545e-03 6.7127e-01 2.5568e-01 6.0855e-02 8.7452e-03
1491.49 4.7366e-03 6.7663e-01 2.5221e-01 5.8217e-02 8.2100e-03
1585.14 5.2267e-03 6.7544e-01 2.5297e-01 5.8167e-02 8.2005e-03
1684.67 5.3050e-03 6.7814e-01 2.5083e-01 5.7642e-02 8.0913e-03
1790.45 4.2049e-03 6.7105e-01 2.5751e-01 5.8873e-02 8.3529e-03
1902.87 2.7622e-03 6.6599e-01 2.5999e-01 6.2229e-02 9.0284e-03
2022.36 1.2602e-03 6.7225e-01 2.5381e-01 6.3409e-02 9.2607e-03
2149.34 5.0370e-04 6.2916e-01 2.9276e-01 6.7396e-02 1.0179e-02
2284.30 4.1688e-04 6.0468e-01 3.1020e-01 7.3247e-02 1.1458e-02
2427.74 2.9857e-04 5.7385e-01 3.3276e-01 8.0086e-02 1.3005e-02
2580.18 2.6513e-04 5.4764e-01 3.5019e-01 8.7254e-02 1.4654e-02
2742.19 2.3249e-04 5.2141e-01 3.6832e-01 9.3815e-02 1.6219e-02
2914.37 2.3201e-04 4.9961e-01 3.8396e-01 9.8808e-02 1.7393e-02
3097.37 2.3671e-04 4.7231e-01 4.0679e-01 1.0246e-01 1.8209e-02
3291.85 2.1559e-04 4.1234e-01 4.5629e-01 1.1103e-01 2.0117e-02
3498.55 3.4501e-04 4.0186e-01 4.7354e-01 1.0568e-01 1.8571e-02
3718.23 4.2036e-03 4.9140e-01 4.1594e-01 7.6496e-02 1.1959e-02
