#NTIMES: 200
#NSTAGES: 7
#TIMES[d]: 1.3135 1.3409 1.3688 1.3973 1.4263 1.4560 1.4863 1.5173 1.5488 1.5811 1.6140 1.6476 1.6819 1.7169 1.7526 1.7891 1.8263 1.8643 1.9031 1.9427 1.9831 2.0244 2.0665 2.1096 2.1535 2.1983 2.2440 2.2907 2.3384 2.3871 2.4368 2.4875 2.5392 2.5921 2.6460 2.7011 2.7573 2.8147 2.8733 2.9331 2.9941 3.0564 3.1200 3.1850 3.2513 3.3189 3.3880 3.4585 3.5305 3.6040 3.6790 3.7555 3.8337 3.9135 3.9949 4.0781 4.1629 4.2496 4.3380 4.4283 4.5205 4.6145 4.7106 4.8086 4.9087 5.0109 5.1151 5.2216 5.3303 5.4412 5.5544 5.6700 5.7880 5.9085 6.0315 6.1570 6.2851 6.4159 6.5495 6.6858 6.8249 6.9670 7.1120 7.2600 7.4111 7.5653 7.7228 7.8835 8.0476 8.2150 8.3860 8.5605 8.7387 8.9206 9.1062 9.2957 9.4892 9.6867 9.8883 10.0941 10.3042 10.5186 10.7375 10.9610 11.1891 11.4220 11.6597 11.9023 12.1501 12.4029 12.6611 12.9246 13.1935 13.4681 13.7484 14.0346 14.3266 14.6248 14.9292 15.2399 15.5570 15.8808 16.2113 16.5487 16.8931 17.2447 17.6036 17.9700 18.3440 18.7257 19.1155 19.5133 19.9194 20.3340 20.7571 21.1891 21.6301 22.0803 22.5398 23.0089 23.4878 23.9766 24.4756 24.9850 25.5050 26.0358 26.5776 27.1308 27.6954 28.2718 28.8602 29.4608 30.0740 30.6999 31.3388 31.9910 32.6568 33.3365 34.0302 34.7385 35.4615 36.1995 36.9529 37.7219 38.5070 39.3084 40.1265 40.9616 41.8141 42.6843 43.5726 44.4795 45.4052 46.3501 47.3148 48.2995 49.3047 50.3308 51.3783 52.4476 53.5391 54.6534 55.7908 56.9519 58.1372 59.3472 60.5823 61.8431 63.1302 64.4440 65.7853 67.1544 68.5520 69.9787 71.4351 72.9218 74.4394 75.9886 77.5701 79.1845
#
#TIME: 1.3135
#NVEL: 115
#vel_mid[km/s] s0 s1 s2 s3 s4 s5 s6
4.2577e+02 2.3962e-43 2.1472e-34 1.4571e-25 1.5334e-17 1.7626e-10 6.3407e-05 9.9994e-01
8.5779e+02 6.1826e-32 6.9326e-25 5.8924e-18 7.7661e-12 1.1181e-06 5.0374e-03 9.9496e-01
8.7843e+02 6.1724e-32 6.9226e-25 5.8852e-18 7.7586e-12 1.1173e-06 5.0356e-03 9.9496e-01
9.1772e+02 6.1448e-32 6.8922e-25 5.8609e-18 7.7312e-12 1.1143e-06 5.0280e-03 9.9497e-01
9.7304e+02 5.9747e-32 6.7149e-25 5.7252e-18 7.5831e-12 1.0984e-06 4.9888e-03 9.9501e-01
1.0350e+03 5.5592e-32 6.2736e-25 5.3810e-18 7.2004e-12 1.0566e-06 4.8835e-03 9.9512e-01
1.1000e+03 4.4984e-32 5.1422e-25 4.4913e-18 6.1941e-12 9.4413e-07 4.5910e-03 9.9541e-01
1.1690e+03 2.5606e-32 3.0293e-25 2.7768e-18 4.1498e-12 6.9982e-07 3.8955e-03 9.9610e-01
1.2425e+03 7.9853e-33 1.0057e-25 1.0119e-18 1.7815e-12 3.7069e-07 2.7458e-03 9.9725e-01
1.3205e+03 1.4087e-33 1.9084e-26 2.1704e-19 4.8501e-13 1.3837e-07 1.5925e-03 9.9841e-01
1.4033e+03 1.8911e-34 2.7837e-27 3.6401e-20 1.0703e-13 4.4022e-08 8.4693e-04 9.9915e-01
1.4915e+03 2.8904e-35 4.6432e-28 6.9664e-21 2.6507e-14 1.5341e-08 4.7534e-04 9.9952e-01
1.5852e+03 5.1000e-36 9.0176e-29 1.5539e-21 7.5246e-15 5.9606e-09 2.8440e-04 9.9972e-01
1.6847e+03 8.6710e-37 1.7107e-29 3.4257e-22 2.1269e-15 2.3190e-09 1.7099e-04 9.9983e-01
1.7904e+03 1.3092e-37 2.9537e-30 7.0378e-23 5.7179e-16 8.7504e-10 1.0165e-04 9.9990e-01
1.9028e+03 1.7631e-38 4.6782e-31 1.3614e-23 1.4780e-16 3.2333e-10 6.0112e-05 9.9994e-01
2.0223e+03 2.4546e-39 7.6444e-32 2.7100e-24 3.9119e-17 1.2165e-10 3.6040e-05 9.9996e-01
2.1493e+03 3.5433e-40 1.2950e-32 5.5861e-25 1.0670e-17 4.6869e-11 2.1990e-05 9.9998e-01
2.2843e+03 6.3627e-41 2.6710e-33 1.3681e-25 3.3470e-18 1.9991e-11 1.4210e-05 9.9999e-01
2.4277e+03 1.5528e-41 7.3410e-34 4.3474e-26 1.3050e-18 1.0029e-11 1.0022e-05 9.9999e-01
2.5802e+03 5.7033e-42 2.9631e-34 1.9606e-26 6.8226e-19 6.2631e-12 7.9146e-06 9.9999e-01
2.7422e+03 3.5453e-42 1.9610e-34 1.3869e-26 5.2018e-19 5.1819e-12 7.1997e-06 9.9999e-01
2.9144e+03 4.1941e-42 2.3734e-34 1.6970e-26 6.2717e-19 6.0291e-12 7.7661e-06 9.9999e-01
3.0973e+03 1.0528e-41 5.8499e-34 3.9831e-26 1.3085e-18 1.0578e-11 1.0327e-05 9.9999e-01
3.2918e+03 5.8476e-41 3.1569e-33 1.9716e-25 5.2058e-18 3.0487e-11 1.7892e-05 9.9998e-01
3.4986e+03 1.3017e-39 5.9185e-32 2.8846e-24 4.9669e-17 1.6541e-10 4.3700e-05 9.9996e-01
3.7182e+03 1.0126e-37 3.1789e-30 9.8961e-23 9.0283e-16 1.3885e-09 1.3509e-04 9.9986e-01
3.9517e+03 9.5511e-36 2.2337e-28 4.6767e-21 2.2428e-14 1.5240e-08 4.9445e-04 9.9951e-01
4.1999e+03 2.2691e-33 5.3110e-26 9.0165e-19 2.1501e-12 5.2559e-07 3.6213e-03 9.9638e-01
