#NTIMES: 145 
#NSTAGES: 5 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] s0 s1 s2 s3 s4 
440.10 8.48e-19 3.33e-11 6.36e-06 2.74e-02 9.73e-01 
999.11 1.36e-20 6.88e-13 2.94e-07 5.25e-03 9.95e-01 
1267.34 4.69e-22 3.02e-14 2.46e-08 1.32e-03 9.99e-01 
1514.05 4.56e-23 3.40e-15 4.39e-09 5.14e-04 9.99e-01 
1808.80 5.20e-24 4.59e-16 9.41e-10 2.20e-04 1.00e+00 
1919.29 1.08e-24 1.07e-16 2.90e-10 1.10e-04 1.00e+00 
2160.92 1.73e-25 1.95e-17 7.57e-11 5.13e-05 1.00e+00 
2292.92 4.70e-26 5.59e-18 2.83e-11 2.72e-05 1.00e+00 
2432.98 2.18e-26 2.83e-18 1.60e-11 2.04e-05 1.00e+00 
2581.60 1.32e-26 1.81e-18 1.11e-11 1.70e-05 1.00e+00 
2739.29 9.82e-27 1.40e-18 8.55e-12 1.52e-05 1.00e+00 
2906.62 6.77e-27 1.02e-18 6.72e-12 1.35e-05 1.00e+00 
3084.17 4.51e-27 7.34e-19 5.39e-12 1.21e-05 1.00e+00 
3272.56 3.22e-27 5.79e-19 4.47e-12 1.12e-05 1.00e+00 
3472.46 2.44e-27 4.78e-19 3.97e-12 1.06e-05 1.00e+00 
3684.57 1.91e-27 4.13e-19 3.63e-12 1.03e-05 1.00e+00 
3909.64 1.28e-27 3.15e-19 3.04e-12 9.45e-06 1.00e+00 
4148.46 1.13e-27 2.97e-19 3.04e-12 9.49e-06 1.00e+00 
4401.86 1.66e-27 4.23e-19 4.00e-12 1.10e-05 1.00e+00 
4670.75 2.35e-27 6.00e-19 5.32e-12 1.30e-05 1.00e+00 
4956.05 2.06e-27 5.74e-19 5.44e-12 1.34e-05 1.00e+00 
5258.79 1.63e-27 5.08e-19 5.14e-12 1.32e-05 1.00e+00 
5580.02 1.80e-27 5.97e-19 6.06e-12 1.47e-05 1.00e+00 
5920.87 1.87e-27 6.51e-19 6.84e-12 1.59e-05 1.00e+00 
6282.54 2.15e-27 7.95e-19 8.14e-12 1.77e-05 1.00e+00 
6666.30 2.84e-27 1.08e-18 1.08e-11 2.09e-05 1.00e+00 
7073.50 4.34e-27 1.69e-18 1.58e-11 2.61e-05 1.00e+00 
7505.58 5.85e-27 2.38e-18 2.09e-11 3.05e-05 1.00e+00 
7964.05 1.12e-26 4.73e-18 3.68e-11 4.21e-05 1.00e+00 
8450.53 3.76e-26 1.57e-17 9.86e-11 7.55e-05 1.00e+00 
8966.72 1.43e-25 5.83e-17 2.91e-10 1.40e-04 1.00e+00 
9514.44 1.09e-24 4.20e-16 1.41e-09 3.38e-04 1.00e+00 
10095.62 2.62e-23 8.71e-15 1.55e-08 1.30e-03 9.99e-01 
10712.30 1.92e-21 5.27e-13 4.13e-07 8.54e-03 9.91e-01 
11366.65 6.16e-19 1.28e-10 3.23e-05 1.01e-01 8.99e-01 
12061.10 4.89e-16 6.88e-08 3.59e-03 8.10e-01 1.87e-01 
12793.43 1.42e-13 1.13e-05 8.91e-02 9.08e-01 3.02e-03 
13528.61 3.53e-11 1.15e-03 8.04e-01 1.95e-01 3.03e-06 
14194.74 1.20e-09 1.60e-02 9.79e-01 5.21e-03 3.11e-10 
14757.77 2.06e-08 1.18e-01 8.81e-01 1.54e-04 8.30e-14 
15240.48 2.04e-07 4.79e-01 5.21e-01 6.45e-06 6.39e-17 
15646.99 9.69e-07 8.62e-01 1.38e-01 7.16e-08 1.96e-20 
15960.30 3.25e-06 9.76e-01 2.42e-02 1.04e-09 5.36e-24 
16187.41 6.66e-06 9.94e-01 6.48e-03 3.91e-11 1.62e-26 
16354.17 1.24e-05 9.99e-01 1.19e-03 5.29e-13 7.07e-30 
16484.18 1.59e-05 9.99e-01 5.75e-04 1.09e-13 5.15e-31 
16593.12 1.77e-05 1.00e+00 2.94e-04 1.56e-14 1.26e-32 
16691.99 2.57e-05 1.00e+00 1.75e-04 5.06e-15 1.31e-33 
16788.59 3.35e-05 1.00e+00 6.61e-05 3.35e-16 5.91e-36 
16888.37 3.82e-05 1.00e+00 5.14e-05 2.00e-16 2.09e-36 
16998.79 5.35e-05 1.00e+00 2.20e-05 2.54e-17 6.75e-38 
17146.37 6.07e-05 1.00e+00 1.04e-05 3.45e-18 1.33e-38 
17415.23 1.12e-04 1.00e+00 2.69e-06 6.42e-20 1.08e-38 
17888.12 2.24e-04 1.00e+00 2.20e-07 1.36e-22 4.61e-39 
18532.37 4.98e-04 1.00e+00 1.24e-08 7.31e-26 5.87e-39 
19260.76 2.03e-03 9.98e-01 9.47e-10 5.36e-29 7.58e-39 
20034.10 7.91e-03 9.92e-01 5.90e-11 4.98e-32 1.05e-38 
20838.00 1.31e-02 9.87e-01 7.76e-12 1.50e-34 1.45e-38 
21647.97 1.28e-02 9.87e-01 9.27e-13 4.94e-36 1.95e-38 
22447.94 5.71e-02 9.43e-01 8.13e-14 7.21e-38 2.88e-38 
23245.88 7.74e-02 9.23e-01 2.41e-14 1.13e-37 4.56e-38 
24052.47 5.96e-02 9.40e-01 1.66e-14 3.58e-34 7.39e-38 
24867.72 1.67e-01 8.33e-01 2.80e-15 1.23e-34 1.21e-37 
25698.86 2.35e-01 7.65e-01 1.97e-16 5.06e-37 2.07e-37 
26587.16 2.89e-01 7.11e-01 5.54e-17 9.48e-37 3.91e-37 
27637.54 2.83e-01 7.17e-01 1.61e-17 2.11e-36 8.74e-37 
28986.97 4.17e-01 5.83e-01 1.65e-18 6.39e-36 2.67e-36 
#TIME: 4.31 
#NVEL: 67 
#vel_mid[km/s] s0 s1 s2 s3 s4 
440.10 1.15e-18 4.15e-11 7.53e-06 2.99e-02 9.70e-01 
999.11 1.01e-20 5.36e-13 2.57e-07 4.99e-03 9.95e-01 
1267.34 3.44e-22 2.33e-14 2.21e-08 1.27e-03 9.99e-01 
1514.05 3.64e-23 2.86e-15 4.23e-09 5.14e-04 9.99e-01 
1808.80 4.50e-24 4.26e-16 9.50e-10 2.26e-04 1.00e+00 
1919.29 8.93e-25 9.36e-17 2.90e-10 1.10e-04 1.00e+00 
2160.92 1.90e-25 2.26e-17 8.86e-11 5.67e-05 1.00e+00 
2292.92 3.75e-26 4.80e-18 2.77e-11 2.66e-05 1.00e+00 
2432.98 1.89e-26 2.62e-18 1.66e-11 2.07e-05 1.00e+00 
2581.60 1.25e-26 1.84e-18 1.20e-11 1.78e-05 1.00e+00 
2739.29 8.75e-27 1.34e-18 9.26e-12 1.57e-05 1.00e+00 
2906.62 6.20e-27 9.99e-19 7.37e-12 1.41e-05 1.00e+00 
3084.17 4.65e-27 8.08e-19 6.14e-12 1.31e-05 1.00e+00 
3272.56 3.18e-27 6.07e-19 5.02e-12 1.20e-05 1.00e+00 
3472.46 2.44e-27 5.09e-19 4.46e-12 1.14e-05 1.00e+00 
3684.57 1.92e-27 4.38e-19 4.06e-12 1.10e-05 1.00e+00 
3909.64 1.25e-27 3.25e-19 3.34e-12 1.00e-05 1.00e+00 
4148.46 1.14e-27 3.17e-19 3.34e-12 1.01e-05 1.00e+00 
4401.86 1.74e-27 4.67e-19 4.48e-12 1.19e-05 1.00e+00 
4670.75 2.30e-27 6.15e-19 5.79e-12 1.38e-05 1.00e+00 
4956.05 2.11e-27 6.18e-19 6.03e-12 1.43e-05 1.00e+00 
5258.79 1.72e-27 5.63e-19 5.78e-12 1.43e-05 1.00e+00 
5580.02 1.77e-27 6.14e-19 6.61e-12 1.55e-05 1.00e+00 
5920.87 1.98e-27 7.24e-19 7.69e-12 1.71e-05 1.00e+00 
6282.54 2.28e-27 8.82e-19 9.21e-12 1.92e-05 1.00e+00 
6666.30 2.97e-27 1.18e-18 1.21e-11 2.25e-05 1.00e+00 
7073.50 4.21e-27 1.70e-18 1.68e-11 2.70e-05 1.00e+00 
7505.58 6.21e-27 2.63e-18 2.37e-11 3.30e-05 1.00e+00 
7964.05 1.24e-26 5.44e-18 4.30e-11 4.64e-05 1.00e+00 
8450.53 4.41e-26 1.91e-17 1.22e-10 8.63e-05 1.00e+00 
8966.72 1.74e-25 7.30e-17 3.62e-10 1.60e-04 1.00e+00 
9514.44 1.39e-24 5.49e-16 1.78e-09 3.87e-04 1.00e+00 
