#NTIMES: 4
#NWAVE: 10000
#TIMES[d]: 5.0 10.0 15.0 20.0
#wavelength[Ang] flux_t0[erg/s/Ang] flux_t1[erg/s/Ang] ... flux_tn[erg/s/Ang]
2.000000E+04 1.612216E+36 7.055648E+36 1.214317E+37 1.514126E+37
1.992230E+04 1.652266E+36 7.143664E+36 1.229198E+37 1.534458E+37
1.984521E+04 1.689095E+36 7.218995E+36 1.248322E+37 1.555413E+37
1.976871E+04 1.717612E+36 7.290594E+36 1.268441E+37 1.580273E+37
1.969279E+04 1.738844E+36 7.378309E+36 1.285571E+37 1.598514E+37
1.961746E+04 1.770519E+36 7.453586E+36 1.299714E+37 1.625178E+37
1.954270E+04 1.798735E+36 7.532216E+36 1.317483E+37 1.644968E+37
1.946851E+04 1.822029E+36 7.590275E+36 1.333733E+37 1.661579E+37
1.939488E+04 1.850162E+36 7.670095E+36 1.347977E+37 1.683419E+37
1.932180E+04 1.869010E+36 7.743752E+36 1.366177E+37 1.715012E+37
1.924928E+04 1.876183E+36 7.818095E+36 1.383417E+37 1.739608E+37
1.917729E+04 1.875911E+36 7.894332E+36 1.400740E+37 1.763432E+37
1.910585E+04 1.874805E+36 7.964597E+36 1.413506E+37 1.778634E+37
1.903493E+04 1.870149E+36 8.013544E+36 1.421265E+37 1.792692E+37
1.896454E+04 1.858608E+36 8.037261E+36 1.431069E+37 1.807008E+37
1.889466E+04 1.843073E+36 8.070161E+36 1.442309E+37 1.825222E+37
1.882530E+04 1.821228E+36 8.099851E+36 1.463346E+37 1.842797E+37
1.875645E+04 1.795730E+36 8.119253E+36 1.479395E+37 1.857775E+37
1.868810E+04 1.764568E+36 8.105339E+36 1.488941E+37 1.870957E+37
1.862024E+04 1.739769E+36 8.091039E+36 1.488110E+37 1.877916E+37
1.855288E+04 1.713936E+36 8.048700E+36 1.475899E+37 1.876225E+37
1.848600E+04 1.675692E+36 7.950498E+36 1.468194E+37 1.883620E+37
1.841960E+04 1.625040E+36 7.765029E+36 1.455207E+37 1.887243E+37
1.835368E+04 1.559807E+36 7.509955E+36 1.443180E+37 1.888356E+37
1.828822E+04 1.475422E+36 7.161248E+36 1.410827E+37 1.883104E+37
