#NTIMES: 50
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL: 115
#vel_mid[km/s] temp[K] rho[gcc] ne[/cm^3] natom[/cm^3]
28744.18 1.1582e+04 6.3072e-21 5.4196e+02 2.7273e+02
30520.16 1.3359e+04 3.0619e-21 2.8880e+02 1.3239e+02
32243.50 1.4076e+04 1.9046e-21 1.8849e+02 8.2354e+01
33773.01 1.4400e+04 1.3018e-21 1.3288e+02 5.6286e+01
35108.48 1.4833e+04 8.1716e-22 8.6939e+01 3.5338e+01
36326.30 1.5114e+04 4.8815e-22 5.4219e+01 2.1108e+01
37486.70 1.5087e+04 2.9355e-22 3.3774e+01 1.2693e+01
38628.25 1.4765e+04 1.8431e-22 2.1778e+01 7.9699e+00
39768.62 1.4242e+04 1.1906e-22 1.4348e+01 5.1476e+00
40915.31 1.3627e+04 7.7797e-23 9.5199e+00 3.3649e+00
42074.51 1.2966e+04 5.1191e-23 6.3407e+00 2.2133e+00
43252.44 1.2295e+04 3.3844e-23 4.2309e+00 1.4635e+00
44454.05 1.1632e+04 2.2444e-23 2.8279e+00 9.7045e-01
45683.04 1.0991e+04 1.4910e-23 1.8902e+00 6.4471e-01
46941.68 1.0377e+04 9.9180e-24 1.2633e+00 4.2885e-01
48230.81 9.7933e+03 6.6053e-24 8.4437e-01 2.8569e-01
49550.29 9.2350e+03 4.4059e-24 5.6475e-01 1.9056e-01
50899.37 8.7042e+03 2.9441e-24 3.7815e-01 1.2730e-01
52276.86 8.2001e+03 1.9722e-24 2.5370e-01 8.5274e-02
53681.16 7.7257e+03 1.3248e-24 1.7061e-01 5.7284e-02
55110.21 7.2795e+03 8.9319e-25 1.1513e-01 3.8616e-02
56561.17 6.8614e+03 6.0458e-25 7.7982e-02 2.6148e-02
58030.00 6.4691e+03 4.1148e-25 5.3100e-02 1.7792e-02
59510.42 6.1025e+03 2.8175e-25 3.6372e-02 1.2183e-02
60993.45 5.7599e+03 1.9468e-25 2.5139e-02 8.4186e-03
62466.44 5.4449e+03 1.3591e-25 1.7554e-02 5.8770e-03
63912.69 5.1573e+03 9.6352e-26 1.2446e-02 4.1663e-03
65311.62 4.8945e+03 6.9502e-26 8.9790e-03 3.0056e-03
66639.26 4.6589e+03 5.1350e-26 6.6344e-03 2.2202e-03
67870.77 4.4530e+03 3.8948e-26 5.0323e-03 1.6841e-03
68864.47 4.2967e+03 3.0509e-26 3.9422e-03 1.3192e-03
69459.55 4.2055e+03 2.7344e-26 3.5333e-03 1.1824e-03
69744.99 4.1627e+03 2.5887e-26 3.3451e-03 1.1194e-03
69888.26 4.1409e+03 2.5188e-26 3.2547e-03 1.0891e-03
69959.62 4.1302e+03 2.4845e-26 3.2105e-03 1.0743e-03
69991.15 4.1255e+03 2.4684e-26 3.1897e-03 1.0673e-03
69999.53 4.1242e+03 2.4676e-26 3.1886e-03 1.0669e-03
#TIME: 202.03
#NVEL: 115
#vel_mid[km/s] temp[K] rho[gcc] ne[/cm^3] natom[/cm^3]
425.78 4.9154e+03 5.4168e-16 5.9867e+06 4.2101e+06
857.79 4.7554e+03 5.4168e-16 6.1736e+06 4.2104e+06
878.44 6.8371e+03 5.4168e-16 6.7528e+06 4.2100e+06
917.72 6.7925e+03 5.4168e-16 6.5223e+06 4.2106e+06
973.04 4.9580e+03 5.4167e-16 6.0962e+06 4.2100e+06
1034.98 4.6801e+03 5.4152e-16 6.1375e+06 4.2088e+06
1099.97 3.8277e+03 5.4066e-16 6.0905e+06 4.2024e+06
1169.04 7.4374e+03 5.4032e-16 6.6160e+06 4.2048e+06
1242.44 7.4981e+03 5.4506e-16 6.8072e+06 4.2788e+06
1320.45 7.0851e+03 5.6749e-16 7.1226e+06 4.5804e+06
1403.37 4.5405e+03 5.9904e-16 7.1869e+06 5.0667e+06
1491.49 4.5504e+03 6.2239e-16 7.7273e+06 5.5072e+06
1585.14 4.8449e+03 6.3329e-16 8.1277e+06 5.7981e+06
1684.67 4.5796e+03 6.3808e-16 8.4214e+06 6.0329e+06
1790.45 4.6114e+03 6.3497e-16 8.7173e+06 6.2059e+06
1902.87 4.8781e+03 6.1916e-16 8.8304e+06 6.2327e+06
2022.36 5.2507e+03 6.0792e-16 8.8559e+06 6.2754e+06
2149.34 3.9415e+03 5.9484e-16 9.1828e+06 6.2840e+06
2284.30 4.0459e+03 5.8249e-16 9.3994e+06 6.3024e+06
2427.74 4.1449e+03 5.6446e-16 9.5665e+06 6.2748e+06
2580.18 4.2858e+03 5.3870e-16 9.5725e+06 6.2008e+06
2742.19 4.4227e+03 5.0095e-16 9.3767e+06 6.0542e+06
2914.37 4.5449e+03 4.4904e-16 8.8857e+06 5.8362e+06
3097.37 4.6549e+03 3.8060e-16 8.0551e+06 5.5105e+06
3291.85 4.8030e+03 2.8764e-16 6.6693e+06 4.7937e+06
3498.55 4.8453e+03 2.3219e-16 5.7106e+06 4.4677e+06
3718.23 4.5781e+03 2.3857e-16 5.7262e+06 5.0956e+06
3951.70 4.2542e+03 2.3407e-16 5.2666e+06 5.2153e+06
4199.83 4.3507e+03 1.4399e-16 3.3665e+06 3.1645e+06
4463.54 4.2677e+03 1.0914e-16 2.4652e+06 2.2995e+06
4743.81 4.1043e+03 1.0314e-16 2.1164e+06 2.0832e+06
5041.68 3.9735e+03 1.0031e-16 1.9229e+06 1.9673e+06
5358.25 3.8751e+03 9.6047e-17 1.7709e+06 1.8517e+06
5694.70 3.8040e+03 9.0383e-17 1.6268e+06 1.7271e+06
6052.28 3.7341e+03 8.5544e-17 1.5034e+06 1.6287e+06
6432.31 3.6786e+03 7.9213e-17 1.3761e+06 1.5078e+06
6836.20 3.6542e+03 7.2049e-17 1.2267e+06 1.3742e+06
7265.45 3.6557e+03 6.6472e-17 1.0921e+06 1.2721e+06
7721.65 3.5992e+03 6.1430e-17 9.8694e+05 1.1805e+06
8206.56 3.5400e+03 5.5775e-17 8.6718e+05 1.0788e+06
8717.73 3.4614e+03 4.8237e-17 7.3813e+05 9.4509e+05
9214.74 3.3768e+03 4.3066e-17 6.4450e+05 8.6581e+05
9629.11 3.2845e+03 3.8757e-17 5.7890e+05 8.0508e+05
9954.11 3.2460e+03 3.3695e-17 5.1554e+05 7.2479e+05
10245.64 3.2968e+03 2.8131e-17 4.6497e+05 6.3417e+05
10541.49 3.3375e+03 2.3914e-17 4.3468e+05 5.7527e+05
10839.94 3.4192e+03 2.3019e-17 4.4300e+05 5.9593e+05
11119.11 3.5324e+03 2.3372e-17 4.7161e+05 6.4715e+05
11355.83 3.6554e+03 2.6513e-17 5.3174e+05 7.7204e+05
11539.81 3.6518e+03 3.4378e-17 6.4578e+05 1.0350e+06
11677.16 3.6782e+03 4.1741e-17 7.2525e+05 1.2821e+06
11784.05 3.6551e+03 4.4706e-17 7.6153e+05 1.3898e+06
11875.85 3.7148e+03 4.4690e-17 7.6811e+05 1.3988e+06
11963.37 3.7701e+03 3.9356e-17 7.1548e+05 1.2369e+06
12055.39 3.8885e+03 2.9633e-17 5.9027e+05 9.3386e+05
12170.41 3.9262e+03 2.2695e-17 5.0217e+05 7.1679e+05
12360.89 4.1105e+03 1.7432e-17 4.6150e+05 5.5226e+05
12670.46 4.3146e+03 1.1984e-17 3.5209e+05 3.8141e+05
13075.34 4.3711e+03 8.3231e-18 2.6162e+05 2.6605e+05
13530.52 4.3836e+03 5.9894e-18 1.9738e+05 1.9228e+05
14012.75 4.2561e+03 4.3667e-18 1.5053e+05 1.4100e+05
14508.81 4.1844e+03 3.2862e-18 1.1718e+05 1.0698e+05
15002.30 4.2614e+03 2.6988e-18 9.7488e+04 8.8965e+04
15475.29 4.2091e+03 2.3486e-18 8.6909e+04 7.8793e+04
15923.68 4.4226e+03 1.9505e-18 7.4291e+04 6.6981e+04
16355.64 4.6817e+03 1.6303e-18 6.5143e+04 5.7634e+04
16776.27 4.9456e+03 1.5060e-18 6.2203e+04 5.5022e+04
17183.14 5.1628e+03 1.4571e-18 6.1193e+04 5.5035e+04
17580.45 5.2607e+03 1.3398e-18 5.8014e+04 5.2167e+04
17990.34 5.7101e+03 1.1436e-18 5.1264e+04 4.5738e+04
18458.06 5.9464e+03 9.6215e-19 4.4536e+04 3.9376e+04
19084.69 6.1688e+03 7.5063e-19 3.5867e+04 3.1327e+04
19999.79 6.3164e+03 4.1371e-19 2.1991e+04 1.7576e+04
21193.46 6.6349e+03 1.8325e-19 1.0286e+04 7.8781e+03
22528.72 7.4235e+03 9.0535e-20 5.5308e+03 3.9078e+03
23943.32 8.0784e+03 4.4571e-20 2.9846e+03 1.9263e+03
25446.74 8.3829e+03 2.5330e-20 1.9458e+03 1.0952e+03
27044.57 9.3833e+03 1.3337e-20 1.1412e+03 5.7669e+02
28744.18 1.0867e+04 6.0428e-21 5.6693e+02 2.6125e+02
30520.16 1.2987e+04 2.9336e-21 2.8177e+02 1.2685e+02
32243.50 1.3882e+04 1.8248e-21 1.7991e+02 7.8914e+01
33773.01 1.4146e+04 1.2472e-21 1.2711e+02 5.3925e+01
35108.48 1.4529e+04 7.8290e-22 8.3193e+01 3.3852e+01
36326.30 1.4765e+04 4.6769e-22 5.1844e+01 2.0224e+01
37486.70 1.4696e+04 2.8125e-22 3.2300e+01 1.2162e+01
