#NTIMES:    67
#NSTAGES:     4
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           al0           al1           al2           al3
    2.248295E+04   1.0000E-099   1.0000E+000   6.7144E-008   6.1526E-023
    2.340334E+04   1.0000E-099   1.0000E+000   5.2669E-008   5.8975E-023
    2.427003E+04   1.0000E-099   1.0000E+000   6.5908E-008   1.1211E-022
    2.528269E+04   1.0000E-099   1.0000E+000   7.0795E-008   1.2618E-022
    2.627013E+04   1.0000E-099   1.0000E+000   5.8828E-008   8.9573E-023
    2.723040E+04   1.0000E-099   1.0000E+000   9.5833E-008   1.5751E-022
    2.827004E+04   1.0000E-099   1.0000E+000   1.1400E-007   1.6195E-022
    2.934273E+04   1.0000E-099   1.0000E+000   1.5818E-007   2.1070E-022
    3.052012E+04   1.0000E-099   1.0000E+000   2.0126E-007   2.3950E-022
    3.176086E+04   1.0000E-099   1.0000E+000   2.2084E-007   2.2712E-022
    3.295538E+04   1.0000E-099   1.0000E+000   1.9946E-007   1.6789E-022
    3.403161E+04   1.0000E-099   1.0000E+000   1.8354E-007   1.3267E-022
    3.500379E+04   1.0000E-099   1.0000E+000   1.8295E-007   1.1971E-022
    3.593430E+04   1.0000E-099   1.0000E+000   1.8422E-007   1.0925E-022
    3.686142E+04   1.0000E-099   1.0000E+000   1.7901E-007   9.4753E-023
    3.781660E+04   1.0000E-099   1.0000E+000   1.6259E-007   7.6080E-023
    3.881204E+04   1.0000E-099   1.0000E+000   1.3456E-007   5.5620E-023
    3.984228E+04   1.0000E-099   1.0000E+000   1.0478E-007   3.8930E-023
    4.090108E+04   1.0000E-099   1.0000E+000   7.8629E-008   2.6854E-023
    4.198933E+04   1.0000E-099   1.0000E+000   5.7346E-008   1.8337E-023
    4.310952E+04   1.0000E-099   1.0000E+000   4.1093E-008   1.2475E-023
    4.426353E+04   1.0000E-099   1.0000E+000   2.9411E-008   8.5768E-024
    4.545322E+04   1.0000E-099   1.0000E+000   2.1434E-008   6.0908E-024
    4.667980E+04   1.0000E-099   1.0000E+000   1.6187E-008   4.5666E-024
    4.794258E+04   1.0000E-099   1.0000E+000   1.2783E-008   3.6424E-024
    4.924062E+04   1.0000E-099   1.0000E+000   1.0563E-008   3.0785E-024
    5.057272E+04   1.0000E-099   1.0000E+000   9.1198E-009   2.7440E-024
    5.193717E+04   1.0000E-099   1.0000E+000   8.1964E-009   2.5576E-024
    5.333235E+04   1.0000E-099   1.0000E+000   7.5893E-009   2.4497E-024
    5.475676E+04   1.0000E-099   1.0000E+000   7.1522E-009   2.3689E-024
    5.620758E+04   1.0000E-099   1.0000E+000   6.8005E-009   2.2871E-024
    5.768166E+04   1.0000E-099   1.0000E+000   6.4829E-009   2.1895E-024
    5.917412E+04   1.0000E-099   1.0000E+000   6.1815E-009   2.0767E-024
    6.067730E+04   1.0000E-099   1.0000E+000   5.8867E-009   1.9501E-024
    6.217708E+04   1.0000E-099   1.0000E+000   5.5957E-009   1.8117E-024
    6.366086E+04   1.0000E-099   1.0000E+000   5.3105E-009   1.6663E-024
    6.510379E+04   1.0000E-099   1.0000E+000   5.0265E-009   1.5167E-024
    6.648389E+04   1.0000E-099   1.0000E+000   4.7566E-009   1.3741E-024
    6.776932E+04   1.0000E-099   1.0000E+000   4.4805E-009   1.2316E-024
    6.895129E+04   1.0000E-099   1.0000E+000   4.0567E-009   1.0309E-024
    6.949055E+04   1.0000E-099   1.0000E+000   3.6083E-009   8.2498E-025
    6.976176E+04   1.0000E-099   1.0000E+000   3.2254E-009   6.5635E-025
    6.989776E+04   1.0000E-099   1.0000E+000   2.8426E-009   5.0186E-025
    6.996586E+04   1.0000E-099   1.0000E+000   2.5427E-009   3.9040E-025
    6.999823E+04   1.0000E-099   1.0000E+000   2.3285E-009   3.1721E-025
    6.999993E+04   1.0000E-099   1.0000E+000   2.3044E-009   3.0932E-025
