#NTIMES: 128
#NSTAGES: 9
#TIMES[d]: 2.037028e+00 2.112455e+00 2.190675e+00 2.271792e+00 2.355913e+00 2.443148e+00 2.533613e+00 2.627428e+00 2.724717e+00 2.825608e+00 2.930235e+00 3.038736e+00 3.151255e+00 3.267940e+00 3.388946e+00 3.514432e+00 3.644565e+00 3.779516e+00 3.919465e+00 4.064595e+00 4.215100e+00 4.371177e+00 4.533034e+00 4.700883e+00 4.874948e+00 5.055458e+00 5.242653e+00 5.436778e+00 5.638092e+00 5.846861e+00 6.063359e+00 6.287873e+00 6.520702e+00 6.762152e+00 7.012541e+00 7.272203e+00 7.541479e+00 7.820726e+00 8.110313e+00 8.410623e+00 8.722052e+00 9.045013e+00 9.379933e+00 9.727255e+00 1.008744e+01 1.046096e+01 1.084831e+01 1.125000e+01 1.166656e+01 1.209856e+01 1.254655e+01 1.301112e+01 1.349289e+01 1.399251e+01 1.451063e+01 1.504793e+01 1.560513e+01 1.618296e+01 1.678218e+01 1.740360e+01 1.804802e+01 1.871630e+01 1.940933e+01 2.012802e+01 2.087333e+01 2.164623e+01 2.244774e+01 2.327894e+01 2.414092e+01 2.503481e+01 2.596181e+01 2.692312e+01 2.792004e+01 2.895387e+01 3.002597e+01 3.113778e+01 3.229075e+01 3.348642e+01 3.472636e+01 3.601222e+01 3.734568e+01 3.872852e+01 4.016256e+01 4.164970e+01 4.319192e+01 4.479123e+01 4.644977e+01 4.816972e+01 4.995336e+01 5.180304e+01 5.372120e+01 5.571040e+01 5.777325e+01 5.991249e+01 6.213094e+01 6.443153e+01 6.681731e+01 6.929144e+01 7.185717e+01 7.451791e+01 7.727716e+01 8.013859e+01 8.310597e+01 8.618323e+01 8.937444e+01 9.268381e+01 9.611572e+01 9.967470e+01 1.033655e+02 1.071929e+02 1.111621e+02 1.152782e+02 1.195467e+02 1.239733e+02 1.285638e+02 1.333243e+02 1.382611e+02 1.433806e+02 1.486897e+02 1.541954e+02 1.599050e+02 1.658260e+02 1.719662e+02 1.783338e+02 1.849372e+02 1.917850e+02 1.988865e+02 2.062509e+02 
#
#TIME: 2.037028e+00 
#NVEL: 115
#vel_mid[km/s] temp[K] ne[/cm^3] mg0 mg1 mg2 mg3 mg4 mg5 mg6 mg7 mg8
4.242332e+02 4.476481e+04 2.952632e+13 2.157247e-15 2.588697e-08 4.713985e-02 9.507868e-01 2.073354e-03 6.072252e-10 0.000000e+00 0.000000e+00 0.000000e+00 
8.515108e+02 4.587027e+04 5.911254e+13 1.267257e-14 7.930198e-08 7.379216e-02 9.248618e-01 1.345969e-03 2.872975e-10 0.000000e+00 0.000000e+00 0.000000e+00 
8.638199e+02 4.625995e+04 4.630391e+13 4.205536e-15 3.568333e-08 4.409441e-02 9.532548e-01 2.650762e-03 1.218331e-09 0.000000e+00 0.000000e+00 0.000000e+00 
8.922215e+02 4.623995e+04 4.016827e+13 2.045952e-15 2.096287e-08 3.049683e-02 9.652395e-01 4.263635e-03 3.375377e-09 0.000000e+00 0.000000e+00 0.000000e+00 
9.416122e+02 4.548603e+04 3.157240e+13 1.604799e-15 1.943047e-08 3.457646e-02 9.621275e-01 3.296038e-03 1.758889e-09 0.000000e+00 0.000000e+00 0.000000e+00 
1.002576e+03 4.496458e+04 3.210414e+13 2.297226e-15 2.610149e-08 4.417742e-02 9.534959e-01 2.326677e-03 8.062378e-10 0.000000e+00 0.000000e+00 0.000000e+00 
1.065938e+03 4.489202e+04 3.205340e+13 2.286190e-15 2.599114e-08 4.417758e-02 9.534994e-01 2.323004e-03 8.062408e-10 0.000000e+00 0.000000e+00 0.000000e+00 
1.133306e+03 4.529169e+04 3.209654e+13 1.945791e-15 2.266404e-08 3.906322e-02 9.581544e-01 2.782333e-03 1.208749e-09 0.000000e+00 0.000000e+00 0.000000e+00 
1.204932e+03 4.600435e+04 3.257792e+13 1.206964e-15 1.502474e-08 2.680956e-02 9.684195e-01 4.770890e-03 4.094421e-09 0.000000e+00 0.000000e+00 0.000000e+00 
1.281084e+03 4.812197e+04 3.443614e+13 5.135470e-16 7.083407e-09 1.310430e-02 9.739684e-01 1.292722e-02 4.043445e-08 0.000000e+00 0.000000e+00 0.000000e+00 
1.362050e+03 5.114445e+04 3.714984e+13 1.764730e-16 2.744659e-09 5.274892e-03 9.520536e-01 4.267087e-02 6.475680e-07 0.000000e+00 0.000000e+00 0.000000e+00 
1.448132e+03 5.404087e+04 4.020017e+13 4.974146e-17 8.976911e-10 1.808781e-03 8.541464e-01 1.440325e-01 1.232650e-05 0.000000e+00 0.000000e+00 0.000000e+00 
1.539655e+03 5.658079e+04 4.232310e+13 1.684518e-17 3.397832e-10 7.126809e-04 6.896447e-01 3.095483e-01 9.430424e-05 0.000000e+00 0.000000e+00 0.000000e+00 
1.636962e+03 5.963442e+04 4.433977e+13 4.297282e-18 9.896771e-11 2.178237e-04 4.451179e-01 5.540297e-01 6.345298e-04 0.000000e+00 0.000000e+00 0.000000e+00 
1.740419e+03 6.267641e+04 4.541322e+13 7.704131e-19 2.080400e-11 4.939763e-05 2.194395e-01 7.770628e-01 3.448335e-03 0.000000e+00 0.000000e+00 0.000000e+00 
1.850415e+03 6.596284e+04 4.503974e+13 1.045917e-19 3.405128e-12 9.043643e-06 8.807722e-02 8.965002e-01 1.541351e-02 0.000000e+00 0.000000e+00 0.000000e+00 
1.967362e+03 6.957379e+04 4.595208e+13 1.392109e-20 5.336419e-13 1.542608e-06 3.204360e-02 9.092605e-01 5.869433e-02 0.000000e+00 0.000000e+00 0.000000e+00 
