#NTIMES:     67
#NSTAGES:     2
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           na0           na1
    6.999993E+04    1.4314E-07    1.0000E+00
#TIME:     0.605
#NVEL: 115
#vel_mid[km/s]           na0           na1
    8.484664E+02    5.0013E-06    9.9999E-01
    8.543246E+02    5.0013E-06    9.9999E-01
    8.721432E+02    5.0013E-06    9.9999E-01
    9.089031E+02    5.0013E-06    9.9999E-01
    9.682894E+02    5.0013E-06    9.9999E-01
    1.029084E+03    5.0017E-06    1.0000E+00
    1.093701E+03    5.0000E-06    9.9999E-01
    1.162375E+03    4.9932E-06    1.0000E+00
    1.235362E+03    4.9797E-06    9.9999E-01
    1.312931E+03    4.9408E-06    1.0000E+00
    1.395371E+03    4.4514E-06    1.0000E+00
    1.482988E+03    4.0635E-06    1.0000E+00
    1.576106E+03    4.0041E-06    1.0000E+00
    1.675071E+03    3.7658E-06    1.0000E+00
    1.780251E+03    3.4460E-06    1.0000E+00
    1.892034E+03    3.1550E-06    1.0000E+00
    2.010837E+03    2.8995E-06    1.0000E+00
    2.137099E+03    2.6358E-06    1.0000E+00
    2.271289E+03    2.3975E-06    1.0000E+00
    2.413905E+03    2.1807E-06    1.0000E+00
    2.565477E+03    2.0282E-06    1.0000E+00
    2.726565E+03    1.9273E-06    1.0000E+00
    2.897769E+03    1.8849E-06    1.0000E+00
    3.079722E+03    1.8961E-06    1.0000E+00
    3.273101E+03    2.0285E-06    1.0000E+00
    3.478622E+03    2.1950E-06    1.0000E+00
    3.697048E+03    2.7567E-06    1.0000E+00
    3.929188E+03    3.4289E-06    1.0000E+00
    4.175906E+03    3.2079E-06    1.0000E+00
    4.438115E+03    3.2613E-06    1.0000E+00
    4.716788E+03    3.1618E-06    1.0000E+00
    5.012959E+03    3.0002E-06    1.0000E+00
    5.327727E+03    2.8462E-06    1.0000E+00
    5.662260E+03    2.7225E-06    1.0000E+00
    6.017798E+03    2.6675E-06    1.0000E+00
    6.395661E+03    2.6622E-06    1.0000E+00
    6.797251E+03    2.6621E-06    1.0000E+00
    7.224056E+03    2.7166E-06    1.0000E+00
    7.677661E+03    2.7716E-06    1.0000E+00
    8.159748E+03    2.9103E-06    1.0000E+00
    8.672106E+03    3.1410E-06    1.0000E+00
    9.216636E+03    4.1869E-06    1.0000E+00
    9.793140E+03    6.6974E-06    9.9999E-01
    1.026683E+04    8.9690E-06    9.9999E-01
    1.070804E+04    1.1784E-05    9.9999E-01
    1.120152E+04    2.0982E-05    9.9998E-01
    1.159423E+04    3.7589E-05    9.9996E-01
    1.180243E+04    5.1044E-05    9.9995E-01
    1.192916E+04    5.3148E-05    9.9995E-01
    1.202084E+04    4.8590E-05    9.9995E-01
    1.209768E+04    4.3171E-05    9.9996E-01
    1.216841E+04    3.9308E-05    9.9996E-01
    1.223949E+04    3.6321E-05    9.9996E-01
    1.231406E+04    3.4257E-05    9.9997E-01
    1.239842E+04    3.2996E-05    9.9997E-01
    1.256481E+04    3.0842E-05    9.9997E-01
    1.321135E+04    2.0707E-05    9.9998E-01
    1.378971E+04    1.5781E-05    9.9998E-01
    1.426236E+04    1.2955E-05    9.9999E-01
    1.471893E+04    1.0907E-05    9.9999E-01
    1.520339E+04    1.0377E-05    9.9999E-01
    1.569984E+04    1.1048E-05    9.9999E-01
    1.625603E+04    1.1369E-05    9.9999E-01
    1.692188E+04    1.4558E-05    9.9999E-01
    1.755155E+04    1.6336E-05    9.9998E-01
    1.815678E+04    1.6058E-05    9.9998E-01
    1.877630E+04    1.6452E-05    9.9998E-01
    1.943029E+04    1.8638E-05    9.9998E-01
    2.010428E+04    1.9892E-05    9.9998E-01
    2.090850E+04    2.3585E-05    9.9998E-01
    2.182676E+04    3.0573E-05    9.9997E-01
    2.283367E+04    3.5556E-05    9.9996E-01
    2.394324E+04    4.0904E-05    9.9996E-01
    2.516734E+04    4.3835E-05    9.9996E-01
    2.638649E+04    5.8332E-05    9.9994E-01
    2.758311E+04    5.9564E-05    9.9994E-01
    2.884269E+04    6.0764E-05    9.9994E-01
    3.014497E+04    5.5980E-05    9.9994E-01
    3.148085E+04    5.4302E-05    9.9995E-01
    3.276289E+04    5.7638E-05    9.9994E-01
    3.391810E+04    6.0421E-05    9.9994E-01
    3.495083E+04    5.8154E-05    9.9994E-01
    3.592850E+04    5.2647E-05    9.9995E-01
    3.688885E+04    4.5858E-05    9.9995E-01
    3.786912E+04    3.9189E-05    9.9996E-01
    3.888044E+04    3.3509E-05    9.9997E-01
    3.991994E+04    2.8471E-05    9.9997E-01
    4.098383E+04    2.4005E-05    9.9998E-01
    4.207443E+04    2.0170E-05    9.9998E-01
    4.319619E+04    1.6870E-05    9.9998E-01
    4.435339E+04    1.3987E-05    9.9999E-01
    4.555005E+04    1.1452E-05    9.9999E-01
    4.678738E+04    9.2615E-06    9.9999E-01
    4.806468E+04    7.4279E-06    9.9999E-01
    4.937985E+04    5.9355E-06    9.9999E-01
    5.073002E+04    4.7386E-06    1.0000E+00
    5.211198E+04    3.7703E-06    1.0000E+00
    5.352349E+04    2.9748E-06    1.0000E+00
    5.496004E+04    2.3379E-06    1.0000E+00
    5.642085E+04    1.8584E-06    1.0000E+00
    5.789881E+04    1.5059E-06    1.0000E+00
    5.939226E+04    1.2323E-06    1.0000E+00
    6.088737E+04    1.0059E-06    1.0000E+00
    6.237825E+04    8.1696E-07    1.0000E+00
    6.383998E+04    6.6679E-07    1.0000E+00
    6.526223E+04    5.4547E-07    1.0000E+00
    6.660986E+04    4.4592E-07    1.0000E+00
    6.786444E+04    3.6644E-07    1.0000E+00
    6.899777E+04    3.0714E-07    1.0000E+00
    6.951321E+04    2.8352E-07    1.0000E+00
    6.977237E+04    2.7233E-07    1.0000E+00
    6.990232E+04    2.6658E-07    1.0000E+00
    6.996738E+04    2.6349E-07    1.0000E+00
    6.999830E+04    2.6184E-07    1.0000E+00
