#NTIMES: 200
#NSTAGES: 10
#TIMES[d]: 1.3135 1.3409 1.3688 1.3973 1.4263 1.4560 1.4863 1.5173 1.5488 1.5811 1.6140 1.6476 1.6819 1.7169 1.7526 1.7891 1.8263 1.8643 1.9031 1.9427 1.9831 2.0244 2.0665 2.1096 2.1535 2.1983 2.2440 2.2907 2.3384 2.3871 2.4368 2.4875 2.5392 2.5921 2.6460 2.7011 2.7573 2.8147 2.8733 2.9331 2.9941 3.0564 3.1200 3.1850 3.2513 3.3189 3.3880 3.4585 3.5305 3.6040 3.6790 3.7555 3.8337 3.9135 3.9949 4.0781 4.1629 4.2496 4.3380 4.4283 4.5205 4.6145 4.7106 4.8086 4.9087 5.0109 5.1151 5.2216 5.3303 5.4412 5.5544 5.6700 5.7880 5.9085 6.0315 6.1570 6.2851 6.4159 6.5495 6.6858 6.8249 6.9670 7.1120 7.2600 7.4111 7.5653 7.7228 7.8835 8.0476 8.2150 8.3860 8.5605 8.7387 8.9206 9.1062 9.2957 9.4892 9.6867 9.8883 10.0941 10.3042 10.5186 10.7375 10.9610 11.1891 11.4220 11.6597 11.9023 12.1501 12.4029 12.6611 12.9246 13.1935 13.4681 13.7484 14.0346 14.3266 14.6248 14.9292 15.2399 15.5570 15.8808 16.2113 16.5487 16.8931 17.2447 17.6036 17.9700 18.3440 18.7257 19.1155 19.5133 19.9194 20.3340 20.7571 21.1891 21.6301 22.0803 22.5398 23.0089 23.4878 23.9766 24.4756 24.9850 25.5050 26.0358 26.5776 27.1308 27.6954 28.2718 28.8602 29.4608 30.0740 30.6999 31.3388 31.9910 32.6568 33.3365 34.0302 34.7385 35.4615 36.1995 36.9529 37.7219 38.5070 39.3084 40.1265 40.9616 41.8141 42.6843 43.5726 44.4795 45.4052 46.3501 47.3148 48.2995 49.3047 50.3308 51.3783 52.4476 53.5391 54.6534 55.7908 56.9519 58.1372 59.3472 60.5823 61.8431 63.1302 64.4440 65.7853 67.1544 68.5520 69.9787 71.4351 72.9218 74.4394 75.9886 77.5701 79.1845
#
#TIME: 1.3135
#NVEL: 115
#vel_mid[km/s] sc0 sc1 sc2 sc3 sc4 sc5 sc6 sc7 sc8 sc9
1.4033e+03 2.8322e-24 7.3288e-16 6.3239e-09 6.1054e-03 6.6277e-01 3.3076e-01 3.6150e-04 3.4546e-10 3.8237e-19 1.7426e-30
1.4915e+03 2.6237e-25 8.0508e-17 8.0145e-10 1.0607e-03 3.4098e-01 6.5429e-01 3.6720e-03 2.5734e-08 2.8865e-16 1.7255e-26
1.5852e+03 2.6067e-26 9.3115e-18 1.0606e-10 1.8233e-04 1.4383e-01 8.3787e-01 1.8113e-02 6.5413e-07 4.9414e-14 2.4382e-23
1.6847e+03 2.3451e-27 9.6952e-19 1.2643e-11 2.7752e-05 5.1861e-02 8.7852e-01 6.9583e-02 1.2190e-05 5.7992e-12 2.1773e-20
1.7904e+03 1.5960e-28 7.7371e-20 1.1786e-12 3.3299e-06 1.5040e-02 7.5832e-01 2.2644e-01 1.9884e-04 6.1989e-10 1.8333e-17
1.9028e+03 8.4751e-30 4.9148e-21 8.9901e-14 3.2958e-07 3.4444e-03 4.8696e-01 5.0757e-01 2.0212e-03 3.6656e-08 7.4098e-15
2.0223e+03 2.5870e-31 1.8207e-22 4.0921e-15 1.9774e-08 4.9373e-04 2.0387e-01 7.8065e-01 1.4985e-02 1.7007e-06 2.5207e-12
2.1493e+03 6.1867e-33 5.2914e-24 1.4751e-16 9.4041e-10 5.4442e-05 6.3517e-02 8.6036e-01 7.6013e-02 5.1260e-05 5.2138e-10
2.2843e+03 1.5776e-34 1.5938e-25 5.3932e-18 4.4180e-11 5.4787e-06 1.6568e-02 7.2057e-01 2.6193e-01 9.2602e-04 5.6023e-08
2.4277e+03 5.5586e-36 6.4595e-27 2.5869e-19 2.6384e-12 6.0772e-07 4.0158e-03 4.5639e-01 5.3221e-01 7.3822e-03 1.9307e-06
2.5802e+03 4.2725e-37 5.5581e-28 2.5472e-20 3.0886e-13 1.0897e-07 1.2341e-03 2.7136e-01 7.0261e-01 2.4782e-02 1.7520e-05
2.7422e+03 1.2154e-37 1.7082e-28 8.5351e-21 1.1464e-13 4.9184e-08 7.0767e-04 2.0716e-01 7.5283e-01 3.9259e-02 4.1968e-05
2.9144e+03 2.0290e-37 2.9355e-28 1.4966e-20 2.0200e-13 7.9596e-08 1.0083e-03 2.4839e-01 7.2194e-01 2.8636e-02 2.2784e-05
3.0973e+03 3.7144e-36 5.1894e-27 2.4753e-19 2.9583e-12 7.0746e-07 4.6135e-03 4.8950e-01 5.0017e-01 5.7121e-03 1.1946e-06
3.2918e+03 9.5251e-34 1.2075e-24 4.9675e-17 4.6214e-10 3.5224e-05 5.2148e-02 8.5970e-01 8.8050e-02 6.5649e-05 7.1939e-10
3.4986e+03 7.3192e-31 7.2719e-22 2.2752e-14 1.4011e-07 2.1341e-03 4.1938e-01 5.7565e-01 2.8304e-03 5.9601e-08 1.3455e-14
3.7182e+03 2.1844e-28 1.4676e-19 3.1110e-12 1.1053e-05 3.2557e-02 8.6179e-01 1.0561e-01 2.8285e-05 2.0344e-11 1.1456e-19
3.9517e+03 1.0705e-25 4.6220e-17 6.5389e-10 1.1532e-03 3.6668e-01 6.2935e-01 2.8252e-03 1.3804e-08 9.5251e-17 3.1745e-27
4.1999e+03 4.5562e-23 1.5255e-14 1.9040e-07 1.3469e-01 8.5500e-01 1.0314e-02 1.0421e-07 2.7685e-16 2.9533e-28 5.1428e-43
4.4636e+03 1.4091e-21 3.4204e-13 3.3716e-06 8.5300e-01 1.4698e-01 1.8912e-05 7.5379e-13 2.2204e-24 8.9600e-40 0.0000e+00
4.7438e+03 6.4748e-21 1.1706e-12 8.6971e-06 9.8547e-01 1.4522e-02 8.6790e-08 8.4496e-17 2.6441e-30 0.0000e+00 0.0000e+00
5.0416e+03 1.5473e-20 2.3560e-12 1.4530e-05 9.9676e-01 3.2264e-03 2.9072e-09 2.8772e-19 5.4672e-34 0.0000e+00 0.0000e+00
5.3582e+03 2.1141e-20 3.0744e-12 1.7878e-05 9.9835e-01 1.6321e-03 6.2185e-10 2.1615e-20 1.1303e-35 0.0000e+00 0.0000e+00
5.6947e+03 2.4668e-20 3.5655e-12 2.0355e-05 9.9898e-01 9.9960e-04 2.0372e-10 3.2904e-21 6.6428e-37 0.0000e+00 0.0000e+00
6.0522e+03 3.0156e-20 4.2896e-12 2.3714e-05 9.9940e-01 5.7814e-04 5.8775e-11 4.0599e-22 2.8607e-38 0.0000e+00 0.0000e+00
6.4323e+03 4.1760e-20 5.7767e-12 3.0140e-05 9.9972e-01 2.4879e-04 8.6839e-12 1.6283e-23 2.2815e-40 0.0000e+00 0.0000e+00
6.8362e+03 6.9124e-20 9.1514e-12 4.3250e-05 9.9989e-01 7.1580e-05 5.1625e-13 1.4177e-25 1.8357e-43 0.0000e+00 0.0000e+00
7.2654e+03 1.3620e-19 1.6927e-11 6.8916e-05 9.9992e-01 1.5055e-05 1.5166e-14 3.8033e-28 0.0000e+00 0.0000e+00 0.0000e+00
7.7216e+03 3.3640e-19 3.8781e-11 1.2742e-04 9.9987e-01 1.9661e-06 1.5189e-16 1.6821e-31 0.0000e+00 0.0000e+00 0.0000e+00
8.2065e+03 1.4366e-18 1.4565e-10 3.2716e-04 9.9967e-01 9.6272e-08 1.6741e-19 1.8676e-36 0.0000e+00 0.0000e+00 0.0000e+00
8.7177e+03 1.7890e-17 1.4545e-09 1.5917e-03 9.9841e-01 7.0015e-10 2.5347e-24 1.6816e-44 0.0000e+00 0.0000e+00 0.0000e+00
9.2147e+03 1.3275e-15 7.9428e-08 2.3496e-02 9.7650e-01 1.4957e-13 1.3898e-32 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
9.6291e+03 6.8394e-13 2.1382e-05 6.5231e-01 3.4767e-01 1.0942e-19 1.4013e-45 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
9.9539e+03 1.0380e-11 1.9125e-04 9.8291e-01 1.6902e-02 1.6216e-25 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.0246e+04 8.1729e-11 9.2536e-04 9.9827e-01 8.0555e-04 6.7130e-31 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.0542e+04 5.6050e-10 3.8361e-03 9.9611e-01 5.0014e-05 9.0672e-36 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.0840e+04 5.8339e-09 2.0366e-02 9.7963e-01 1.9146e-06 2.0530e-41 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1119e+04 6.6768e-08 1.0945e-01 8.9055e-01 5.7052e-08 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1356e+04 4.5900e-07 3.8084e-01 6.1916e-01 1.6915e-09 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1540e+04 1.5551e-06 7.1503e-01 2.8497e-01 4.7542e-11 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1677e+04 3.3623e-06 8.9594e-01 1.0406e-01 1.5342e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1784e+04 6.5386e-06 9.6844e-01 3.1549e-02 3.9095e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1876e+04 1.2550e-05 9.9166e-01 8.3264e-03 7.2499e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.1964e+04 2.1659e-05 9.9757e-01 2.4113e-03 1.6867e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2056e+04 3.4223e-05 9.9927e-01 6.9101e-04 3.2201e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2170e+04 6.0221e-05 9.9977e-01 1.6918e-04 4.0452e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2360e+04 1.5842e-04 9.9982e-01 1.8297e-05 4.4660e-24 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.2670e+04 6.5626e-04 9.9934e-01 6.3998e-07 1.3734e-28 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.3075e+04 3.6174e-03 9.9638e-01 1.1939e-08 5.9236e-34 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.3530e+04 1.1341e-02 9.8866e-01 6.6831e-10 6.4382e-38 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.4013e+04 2.5146e-02 9.7485e-01 6.6136e-11 3.4492e-41 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.4509e+04 3.6704e-02 9.6330e-01 1.8196e-11 4.6103e-43 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5002e+04 6.8913e-02 9.3109e-01 2.6790e-12 1.4013e-45 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5476e+04 1.0756e-01 8.9244e-01 6.7031e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.5924e+04 1.4802e-01 8.5198e-01 2.1819e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6356e+04 1.6889e-01 8.3111e-01 1.1582e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.6776e+04 3.4746e-01 6.5254e-01 1.0320e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7184e+04 3.9692e-01 6.0308e-01 5.5903e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7580e+04 3.8238e-01 6.1762e-01 5.7469e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.7990e+04 5.2900e-01 4.7100e-01 1.1243e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.8458e+04 5.9861e-01 4.0139e-01 4.4638e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1.9085e+04 9.6011e-01 3.9890e-02 1.3895e-19 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.0000e+04 9.6934e-01 3.0658e-02 2.9334e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.1194e+04 9.8279e-01 1.7215e-02 1.5799e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.2528e+04 4.6542e-01 5.3458e-01 4.4800e-17 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.3943e+04 9.7571e-01 2.4288e-02 3.0742e-22 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.5446e+04 1.0708e-01 8.9292e-01 3.2088e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.7044e+04 7.4228e-01 2.5772e-01 7.4024e-20 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2.8744e+04 2.9815e-01 7.0185e-01 4.0740e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.0520e+04 1.2435e-02 9.8757e-01 3.6502e-15 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.2244e+04 6.5957e-04 9.9934e-01 2.3977e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.3773e+04 9.1938e-01 8.0615e-02 1.3764e-22 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.5108e+04 9.7846e-01 2.1543e-02 1.2646e-24 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.6326e+04 1.1804e-05 9.9999e-01 2.6983e-09 2.1241e-41 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.7486e+04 2.2927e-06 1.0000e+00 4.0502e-08 3.9244e-38 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.8628e+04 9.7921e-02 9.0208e-01 3.0487e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3.9769e+04 4.8264e-02 9.5174e-01 9.6777e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.0916e+04 6.5301e-03 9.9347e-01 4.9486e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.2074e+04 5.8607e-02 9.4139e-01 2.9645e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.3252e+04 9.2541e-01 7.4585e-02 4.1674e-24 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.4454e+04 6.2344e-02 9.3766e-01 1.2271e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.5683e+04 4.1118e-08 9.9992e-01 8.0491e-05 1.7405e-28 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.6942e+04 4.8456e-01 5.1544e-01 1.8496e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.8231e+04 2.9818e-02 9.7018e-01 1.9113e-18 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4.9550e+04 4.1731e-01 5.8269e-01 1.7082e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.0900e+04 6.2509e-01 3.7491e-01 1.4517e-22 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.2277e+04 1.9034e-03 9.9810e-01 2.6572e-16 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.3682e+04 2.0715e-01 7.9285e-01 5.5434e-21 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.5110e+04 9.9225e-01 7.7514e-03 1.1490e-28 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.6562e+04 9.9326e-01 6.7372e-03 5.2308e-29 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.8030e+04 9.8865e-01 1.1350e-02 1.8918e-28 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.9510e+04 9.9037e-01 9.6263e-03 8.0129e-29 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.0994e+04 9.7982e-01 2.0177e-02 6.0221e-28 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.2466e+04 9.9454e-01 5.4613e-03 7.1086e-30 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.3912e+04 9.9794e-01 2.0597e-03 2.6480e-31 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.5312e+04 9.9805e-01 1.9460e-03 1.6589e-31 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.6639e+04 9.9865e-01 1.3461e-03 4.1551e-32 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.7870e+04 9.9915e-01 8.5191e-04 8.2301e-33 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.8864e+04 9.9929e-01 7.1428e-04 3.8922e-33 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9460e+04 9.9993e-01 6.9978e-05 3.5423e-36 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9745e+04 9.9988e-01 1.1843e-04 1.6259e-35 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9888e+04 9.9984e-01 1.5548e-04 3.5347e-35 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9960e+04 9.9901e-01 9.9267e-04 8.6311e-33 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9991e+04 9.9180e-01 8.1958e-03 5.4067e-30 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
7.0000e+04 9.9625e-01 3.7491e-03 2.0757e-31 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
#
#TIME: 3.8337
#NVEL: 115
#vel_mid[km/s] sc0 sc1 sc2 sc3 sc4 sc5 sc6 sc7 sc8 sc9
4.2577e+02 3.0726e-25 1.5706e-15 3.2751e-07 8.5023e-01 1.4976e-01 8.4038e-06 5.9655e-14 9.7830e-27 8.4078e-44 0.0000e+00
8.5779e+02 5.7363e-20 4.5692e-12 1.4940e-05 9.7997e-01 2.0010e-02 2.2878e-07 5.9805e-16 7.8052e-29 1.4013e-45 0.0000e+00
8.7843e+02 5.9959e-21 7.5738e-13 3.7614e-06 7.0055e-01 2.9930e-01 1.4872e-04 3.6617e-11 1.2170e-21 9.1868e-36 0.0000e+00
9.1772e+02 7.9420e-22 1.3194e-13 8.2266e-07 2.7758e-01 7.1907e-01 3.3477e-03 1.2296e-08 1.1009e-17 3.7078e-30 1.4013e-45
9.7304e+02 4.1055e-22 7.3152e-14 4.8207e-07 1.8982e-01 8.0329e-01 6.8882e-03 5.3015e-08 1.1706e-16 1.1193e-28 1.8777e-43
1.0350e+03 3.5634e-22 6.4395e-14 4.2905e-07 1.7438e-01 8.1765e-01 7.9675e-03 7.1603e-08 1.9106e-16 2.2740e-28 4.8765e-43
1.1000e+03 3.2803e-22 5.9793e-14 4.0112e-07 1.6605e-01 8.2530e-01 8.6456e-03 8.4811e-08 2.5181e-16 3.3910e-28 8.3377e-43
1.1690e+03 2.5178e-22 4.7158e-14 3.2324e-07 1.4179e-01 8.4705e-01 1.1154e-02 1.4432e-07 6.0062e-16 1.1951e-27 4.5584e-42
1.2425e+03 1.2739e-22 2.5342e-14 1.8168e-07 9.1809e-02 8.8690e-01 2.1291e-02 5.7177e-07 5.8124e-15 3.2561e-26 3.9737e-40
1.3205e+03 2.8951e-23 6.4593e-15 5.0244e-08 3.3626e-02 8.9070e-01 7.5666e-02 9.4856e-06 6.3669e-13 3.1947e-23 4.5666e-36
1.4033e+03 3.6062e-24 9.4814e-16 8.3693e-09 7.9361e-03 7.1357e-01 2.7827e-01 2.2288e-04 1.4416e-10 1.0055e-19 2.7231e-31
1.4915e+03 3.5509e-25 1.1075e-16 1.1266e-09 1.4708e-03 3.9552e-01 6.0050e-01 2.5067e-03 1.2111e-08 8.7381e-17 3.1826e-27
1.5852e+03 3.5981e-26 1.3102e-17 1.5272e-10 2.6058e-04 1.7390e-01 8.1256e-01 1.3272e-02 3.3671e-07 1.6705e-14 5.1481e-24
1.6847e+03 3.2109e-27 1.3582e-18 1.8160e-11 3.9836e-05 6.3860e-02 8.8227e-01 5.3829e-02 6.7786e-06 2.1731e-12 5.2510e-21
1.7904e+03 2.1993e-28 1.0923e-19 1.7049e-12 4.8339e-06 1.8990e-02 7.9439e-01 1.8649e-01 1.2069e-04 2.6087e-10 5.1341e-18
1.9028e+03 1.2435e-29 7.3698e-21 1.3755e-13 5.0558e-07 4.6162e-03 5.4458e-01 4.4947e-01 1.3315e-03 1.6925e-08 2.3091e-15
2.0223e+03 3.9663e-31 2.8507e-22 6.5203e-15 3.1603e-08 6.9598e-04 2.4259e-01 7.4587e-01 1.0836e-02 8.7926e-07 9.0091e-13
2.1493e+03 9.5836e-33 8.3869e-24 2.3800e-16 1.5246e-09 7.8657e-05 7.8344e-02 8.6297e-01 5.8581e-02 2.8723e-05 2.0610e-10
2.2843e+03 2.4178e-34 2.5105e-25 8.6747e-18 7.1661e-11 8.0426e-06 2.1114e-02 7.6101e-01 2.1730e-01 5.7263e-04 2.5148e-08
2.4277e+03 8.8243e-36 1.0550e-26 4.3135e-19 4.4320e-12 9.3211e-07 5.3959e-03 5.1348e-01 4.7614e-01 4.9919e-03 9.6363e-07
2.5802e+03 7.0038e-37 9.3673e-28 4.3771e-20 5.3340e-13 1.7270e-07 1.7221e-03 3.1896e-01 6.6152e-01 1.7787e-02 9.3778e-06
2.7422e+03 2.0157e-37 2.9119e-28 1.4827e-20 1.9994e-13 7.8880e-08 1.0014e-03 2.4752e-01 7.2263e-01 2.8827e-02 2.3078e-05
2.9144e+03 3.3424e-37 4.9710e-28 2.5838e-20 3.5043e-13 1.2675e-07 1.4144e-03 2.9367e-01 6.8420e-01 2.0708e-02 1.2300e-05
3.0973e+03 5.9301e-36 8.5164e-27 4.1453e-19 4.9903e-12 1.0861e-06 6.1835e-03 5.4728e-01 4.4274e-01 3.8029e-03 5.8363e-07
3.2918e+03 1.4934e-33 1.9368e-24 8.1117e-17 7.5821e-10 5.1403e-05 6.4831e-02 8.6705e-01 6.8033e-02 3.6759e-05 2.8304e-10
3.4986e+03 1.0823e-30 1.1009e-21 3.5221e-14 2.1781e-07 2.9021e-03 4.7653e-01 5.1867e-01 1.8998e-03 2.8081e-08 4.2828e-15
3.7182e+03 3.0773e-28 2.1070e-19 4.5617e-12 1.6134e-05 4.0678e-02 8.7663e-01 8.2656e-02 1.5905e-05 7.7100e-12 2.7960e-20
3.9517e+03 1.4584e-25 6.3968e-17 9.2488e-10 1.6052e-03 4.2442e-01 5.7209e-01 1.8932e-03 6.3077e-09 2.7651e-17 5.5334e-28
4.1999e+03 5.4794e-23 1.8638e-14 2.3828e-07 1.6320e-01 8.2932e-01 7.4820e-03 5.2561e-08 8.8528e-17 5.5295e-29 5.1848e-44
4.4636e+03 1.4735e-21 3.6308e-13 3.6464e-06 8.8157e-01 1.1841e-01 1.1021e-05 2.9361e-13 5.2217e-25 1.1689e-40 0.0000e+00
4.7438e+03 6.7501e-21 1.2364e-12 9.2898e-06 9.8916e-01 1.0831e-02 4.4086e-08 2.6683e-17 4.6087e-31 0.0000e+00 0.0000e+00
5.0416e+03 1.6423e-20 2.5290e-12 1.5672e-05 9.9767e-01 2.3155e-03 1.3591e-09 7.9254e-20 7.7789e-35 0.0000e+00 0.0000e+00
5.3582e+03 2.2949e-20 3.3644e-12 1.9537e-05 9.9885e-01 1.1258e-03 2.6608e-10 5.1378e-21 1.2907e-36 0.0000e+00 0.0000e+00
5.6947e+03 2.6852e-20 3.9155e-12 2.2292e-05 9.9929e-01 6.8413e-04 8.5651e-11 7.5948e-22 7.2570e-38 0.0000e+00 0.0000e+00
6.0522e+03 3.3139e-20 4.7544e-12 2.6135e-05 9.9959e-01 3.8764e-04 2.3594e-11 8.6731e-23 2.7828e-39 0.0000e+00 0.0000e+00
6.4323e+03 4.5842e-20 6.4142e-12 3.3257e-05 9.9980e-01 1.6558e-04 3.4269e-12 3.3787e-24 2.1221e-41 0.0000e+00 0.0000e+00
6.8362e+03 7.6172e-20 1.0240e-11 4.7989e-05 9.9991e-01 4.6516e-05 1.9290e-13 2.6821e-26 1.5414e-44 0.0000e+00 0.0000e+00
7.2654e+03 1.4954e-19 1.8987e-11 7.6604e-05 9.9991e-01 9.6486e-06 5.4864e-15 6.8077e-29 0.0000e+00 0.0000e+00 0.0000e+00
7.7216e+03 3.7755e-19 4.4509e-11 1.4360e-04 9.9986e-01 1.2089e-06 5.0051e-17 2.5766e-32 0.0000e+00 0.0000e+00 0.0000e+00
8.2065e+03 1.6874e-18 1.7392e-10 3.7656e-04 9.9962e-01 5.6512e-08 4.9801e-20 2.4187e-37 0.0000e+00 0.0000e+00 0.0000e+00
