#NTIMES: 200
#NSTAGES: 10
#TIMES[d]: 1.3135 1.3409 1.3688 1.3973 1.4263 1.4560 1.4863 1.5173 1.5488 1.5811 1.6140 1.6476 1.6819 1.7169 1.7526 1.7891 1.8263 1.8643 1.9031 1.9427 1.9831 2.0244 2.0665 2.1096 2.1535 2.1983 2.2440 2.2907 2.3384 2.3871 2.4368 2.4875 2.5392 2.5921 2.6460 2.7011 2.7573 2.8147 2.8733 2.9331 2.9941 3.0564 3.1200 3.1850 3.2513 3.3189 3.3880 3.4585 3.5305 3.6040 3.6790 3.7555 3.8337 3.9135 3.9949 4.0781 4.1629 4.2496 4.3380 4.4283 4.5205 4.6145 4.7106 4.8086 4.9087 5.0109 5.1151 5.2216 5.3303 5.4412 5.5544 5.6700 5.7880 5.9085 6.0315 6.1570 6.2851 6.4159 6.5495 6.6858 6.8249 6.9670 7.1120 7.2600 7.4111 7.5653 7.7228 7.8835 8.0476 8.2150 8.3860 8.5605 8.7387 8.9206 9.1062 9.2957 9.4892 9.6867 9.8883 10.0941 10.3042 10.5186 10.7375 10.9610 11.1891 11.4220 11.6597 11.9023 12.1501 12.4029 12.6611 12.9246 13.1935 13.4681 13.7484 14.0346 14.3266 14.6248 14.9292 15.2399 15.5570 15.8808 16.2113 16.5487 16.8931 17.2447 17.6036 17.9700 18.3440 18.7257 19.1155 19.5133 19.9194 20.3340 20.7571 21.1891 21.6301 22.0803 22.5398 23.0089 23.4878 23.9766 24.4756 24.9850 25.5050 26.0358 26.5776 27.1308 27.6954 28.2718 28.8602 29.4608 30.0740 30.6999 31.3388 31.9910 32.6568 33.3365 34.0302 34.7385 35.4615 36.1995 36.9529 37.7219 38.5070 39.3084 40.1265 40.9616 41.8141 42.6843 43.5726 44.4795 45.4052 46.3501 47.3148 48.2995 49.3047 50.3308 51.3783 52.4476 53.5391 54.6534 55.7908 56.9519 58.1372 59.3472 60.5823 61.8431 63.1302 64.4440 65.7853 67.1544 68.5520 69.9787 71.4351 72.9218 74.4394 75.9886 77.5701 79.1845
#
#TIME: 1.3135
#NVEL: 115
#vel_mid[km/s] sc0 sc1 sc2 sc3 sc4 sc5 sc6 sc7 sc8 sc9
3.0973e+03 0.0000e+00 2.3914e-39 4.1061e-32 8.2399e-25 2.2680e-18 1.0421e-12 5.3618e-08 2.2458e-04 8.1172e-02 9.1860e-01
3.2918e+03 2.8026e-45 7.0479e-37 1.1166e-29 1.5327e-22 2.7863e-16 7.1758e-11 1.6622e-06 2.4278e-03 2.4311e-01 7.5446e-01
3.4986e+03 8.0883e-42 2.0985e-33 2.6259e-26 2.0064e-19 1.8783e-13 1.9243e-08 1.3184e-04 4.1124e-02 6.5077e-01 3.0798e-01
3.7182e+03 5.5455e-38 1.0152e-29 8.2292e-23 3.0462e-16 1.1884e-10 3.8039e-06 6.0657e-03 3.2085e-01 6.3736e-01 3.5718e-02
3.9517e+03 2.2820e-34 3.1723e-26 1.7710e-19 3.4291e-13 4.9901e-08 4.1159e-04 1.1779e-01 7.5645e-01 1.2482e-01 5.2409e-04
4.1999e+03 1.6227e-30 2.2882e-22 1.1230e-15 1.4278e-09 4.6146e-05 4.5041e-02 7.9942e-01 1.5511e-01 3.8104e-04 1.8160e-08
4.4636e+03 1.1688e-27 1.4599e-19 5.8906e-13 5.3091e-07 3.4981e-03 4.2997e-01 5.6220e-01 4.3287e-03 2.3034e-07 1.7501e-13
4.7438e+03 1.8044e-26 2.0296e-18 7.2430e-12 5.3932e-06 1.5969e-02 7.1523e-01 2.6835e-01 4.4755e-04 3.9311e-09 4.2090e-16
5.0416e+03 3.2583e-26 3.6371e-18 1.2838e-11 9.2618e-06 2.2350e-02 7.6967e-01 2.0774e-01 2.3033e-04 1.2469e-09 7.8565e-17
5.3582e+03 2.4574e-26 2.8956e-18 1.0789e-11 8.2168e-06 2.0940e-02 7.6164e-01 2.1715e-01 2.5439e-04 1.4553e-09 9.6905e-17
5.6947e+03 2.1859e-26 2.7086e-18 1.0604e-11 8.4393e-06 2.1463e-02 7.6713e-01 2.1117e-01 2.3390e-04 1.2400e-09 7.5573e-17
6.0522e+03 3.1606e-26 3.9661e-18 1.5693e-11 1.2404e-05 2.7216e-02 8.0070e-01 1.7193e-01 1.3935e-04 5.0848e-10 2.0532e-17
6.4323e+03 8.2119e-26 1.0147e-17 3.9426e-11 2.9442e-05 4.5398e-02 8.5058e-01 1.0395e-01 4.1937e-05 6.7034e-11 1.0926e-18
6.8362e+03 3.4677e-25 4.1148e-17 1.5347e-10 1.0330e-04 9.2176e-02 8.6310e-01 4.4610e-02 6.2304e-06 2.8521e-12 1.1737e-20
7.2654e+03 1.9277e-24 2.1272e-16 7.4121e-10 4.2916e-04 1.9580e-01 7.8932e-01 1.4454e-02 5.6524e-07 5.8096e-14 4.6043e-23
7.7216e+03 1.4110e-23 1.4056e-15 4.4750e-09 2.1106e-03 4.1415e-01 5.8083e-01 2.9141e-03 2.3358e-08 3.7577e-16 3.8290e-26
8.2065e+03 1.7549e-22 1.4804e-14 4.1066e-08 1.3886e-02 7.6568e-01 2.2027e-01 1.5961e-04 1.2017e-10 1.2248e-19 5.8312e-31
8.7177e+03 7.5902e-21 4.6067e-13 9.8884e-07 1.6772e-01 8.2074e-01 1.1535e-02 2.1213e-07 1.7977e-15 9.9749e-27 1.4049e-40
9.2147e+03 5.5434e-19 1.7747e-11 2.2655e-05 9.4268e-01 5.7294e-02 3.4368e-06 8.5806e-14 2.3137e-25 1.1740e-40 0.0000e+00
9.6291e+03 1.4982e-17 2.4147e-10 1.5610e-04 9.9964e-01 2.0735e-04 1.0409e-11 4.9580e-23 3.7417e-39 0.0000e+00 0.0000e+00
9.9539e+03 3.8745e-16 3.9218e-09 1.1932e-03 9.9881e-01 3.4811e-07 5.7658e-18 1.6674e-33 0.0000e+00 0.0000e+00 0.0000e+00
