#NTIMES: 145 
#NSTAGES: 7 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] sc0 sc1 sc2 sc3 sc4 sc5 sc6 
440.10 2.19e-19 2.10e-12 1.00e-05 9.06e-01 9.36e-02 1.35e-06 1.04e-14 
999.11 1.55e-20 1.83e-13 1.41e-06 3.34e-01 6.65e-01 5.98e-04 6.15e-10 
1267.34 3.58e-22 5.74e-15 6.68e-08 3.73e-02 9.50e-01 1.25e-02 2.91e-07 
1514.05 2.48e-23 4.62e-16 6.75e-09 6.43e-03 9.02e-01 9.17e-02 2.61e-05 
1808.80 1.57e-24 3.51e-17 6.60e-10 1.05e-03 6.28e-01 3.70e-01 9.54e-04 
1919.29 1.44e-25 3.64e-18 8.15e-11 1.99e-04 3.46e-01 6.47e-01 7.42e-03 
2160.92 7.10e-27 2.29e-19 6.45e-12 2.46e-05 1.21e-01 8.40e-01 3.89e-02 
2292.92 8.86e-28 2.94e-20 9.76e-13 5.95e-06 6.21e-02 8.55e-01 8.30e-02 
2432.98 2.12e-28 8.20e-21 3.09e-13 2.19e-06 3.48e-02 8.21e-01 1.44e-01 
2581.60 8.50e-29 3.77e-21 1.56e-13 1.20e-06 2.41e-02 7.83e-01 1.93e-01 
2739.29 3.94e-29 1.86e-21 8.15e-14 6.90e-07 1.74e-02 7.39e-01 2.43e-01 
2906.62 2.17e-29 1.12e-21 5.31e-14 4.82e-07 1.40e-02 7.06e-01 2.80e-01 
3084.17 1.34e-29 8.30e-22 4.27e-14 4.13e-07 1.26e-02 6.91e-01 2.96e-01 
3272.56 5.66e-30 6.12e-22 3.47e-14 3.77e-07 1.21e-02 6.90e-01 2.98e-01 
3472.46 6.10e-30 5.80e-22 3.60e-14 4.22e-07 1.31e-02 7.06e-01 2.81e-01 
3684.57 7.26e-30 6.17e-22 4.20e-14 5.30e-07 1.49e-02 7.31e-01 2.54e-01 
3909.64 7.67e-30 5.68e-22 4.38e-14 6.21e-07 1.61e-02 7.49e-01 2.34e-01 
4148.46 7.19e-30 7.88e-22 6.45e-14 9.32e-07 2.03e-02 7.85e-01 1.95e-01 
4401.86 1.02e-29 1.55e-21 1.20e-13 1.61e-06 2.78e-02 8.23e-01 1.50e-01 
4670.75 3.46e-29 3.16e-21 2.39e-13 3.01e-06 4.05e-02 8.55e-01 1.05e-01 
4956.05 3.61e-29 3.78e-21 3.11e-13 4.00e-06 4.78e-02 8.65e-01 8.71e-02 
5258.79 2.70e-29 3.69e-21 3.33e-13 4.59e-06 5.25e-02 8.70e-01 7.74e-02 
5580.02 4.48e-29 5.48e-21 5.14e-13 7.18e-06 6.98e-02 8.75e-01 5.55e-02 
5920.87 6.55e-29 8.28e-21 8.08e-13 1.10e-05 8.86e-02 8.70e-01 4.10e-02 
6282.54 1.00e-28 1.27e-20 1.28e-12 1.76e-05 1.16e-01 8.56e-01 2.81e-02 
6666.30 2.01e-28 2.62e-20 2.66e-12 3.40e-05 1.63e-01 8.20e-01 1.71e-02 
7073.50 4.95e-28 6.30e-20 6.30e-12 7.59e-05 2.46e-01 7.45e-01 8.29e-03 
7505.58 1.03e-27 1.38e-19 1.40e-11 1.58e-04 3.33e-01 6.63e-01 4.27e-03 
