#NTIMES:    67
#NSTAGES:     4
#TIMES[d]:     0.550    0.605    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.160   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800  270.400  297.400  320.000
#
#TIME:     0.550
#NVEL: 115
#vel_mid[km/s]           mg0           mg1           mg2           mg3
    8.484663E+02   1.0000E-099   9.0523E-011   7.2440E-006   9.9999E-001
    8.542546E+02   1.0000E-099   9.0523E-011   7.2440E-006   9.9999E-001
    8.718573E+02   1.0000E-099   9.0523E-011   7.2440E-006   9.9999E-001
    9.081584E+02   1.0000E-099   9.0524E-011   7.2441E-006   9.9999E-001
    9.674554E+02   1.0000E-099   9.0527E-011   7.2442E-006   9.9999E-001
    1.028597E+03   1.0000E-099   9.0551E-011   7.2454E-006   9.9999E-001
    1.093605E+03   1.0000E-099   9.0673E-011   7.2507E-006   9.9999E-001
    1.162722E+03   1.0000E-099   9.0771E-011   7.2545E-006   9.9999E-001
    1.236207E+03   1.0000E-099   8.9619E-011   7.2010E-006   9.9999E-001
    1.314336E+03   1.0000E-099   7.9081E-011   6.7189E-006   9.9999E-001
    1.397402E+03   1.0000E-099   3.1746E-011   4.2472E-006   1.0000E+000
    1.485719E+03   1.0000E-099   1.4612E-011   3.1104E-006   1.0000E+000
    1.579618E+03   1.0000E-099   1.3893E-011   3.0582E-006   1.0000E+000
    1.679450E+03   1.0000E-099   9.0230E-012   2.6265E-006   1.0000E+000
    1.785593E+03   1.0000E-099   5.1270E-012   2.1807E-006   1.0000E+000
    1.898443E+03   1.0000E-099   3.4309E-012   1.8696E-006   1.0000E+000
