#NTIMES: 4
#NVEL: 524
#TIMES[d]: 5.0 10.0 15.0 20.0
#vel_mid[km/s] Tgas_t0[K] Tgas_t1[K] ... Tgas_tn[K]
7.728350E+03 1.000000E-99 1.000000E-99 1.000000E-99 8.629651E+03
7.779996E+03 1.000000E-99 1.000000E-99 1.000000E-99 8.628831E+03
7.831643E+03 1.000000E-99 1.000000E-99 1.000000E-99 8.628011E+03
7.883289E+03 1.000000E-99 1.000000E-99 1.000000E-99 8.627191E+03
7.934935E+03 1.000000E-99 1.000000E-99 1.000000E-99 8.626371E+03
7.986582E+03 1.000000E-99 1.000000E-99 1.000000E-99 8.625550E+03
8.038228E+03 1.000000E-99 1.000000E-99 1.000000E-99 8.624730E+03
8.089875E+03 1.000000E-99 1.000000E-99 1.000000E-99 8.623910E+03
8.141521E+03 1.000000E-99 1.000000E-99 1.000000E-99 8.623090E+03
8.193167E+03 1.000000E-99 1.000000E-99 1.000000E-99 8.622270E+03
8.244814E+03 1.000000E-99 1.000000E-99 1.000000E-99 8.612968E+03
8.296460E+03 1.000000E-99 1.000000E-99 1.000000E-99 8.600697E+03
8.348106E+03 1.000000E-99 1.000000E-99 1.000000E-99 8.588426E+03
8.399753E+03 1.000000E-99 1.000000E-99 1.000000E-99 8.576155E+03
8.451399E+03 1.000000E-99 1.000000E-99 1.000000E-99 8.563884E+03
8.503046E+03 1.000000E-99 1.000000E-99 1.000000E-99 8.551613E+03
8.554692E+03 1.000000E-99 1.000000E-99 1.000000E-99 8.539341E+03
8.606338E+03 1.000000E-99 1.000000E-99 1.000000E-99 8.527070E+03
8.657985E+03 1.000000E-99 1.000000E-99 1.000000E-99 8.514799E+03
8.709631E+03 1.000000E-99 1.000000E-99 1.000000E-99 8.502528E+03
8.761277E+03 1.000000E-99 1.000000E-99 1.000000E-99 8.484706E+03
8.812924E+03 1.000000E-99 1.000000E-99 1.000000E-99 8.465852E+03
8.864570E+03 1.000000E-99 1.000000E-99 1.000000E-99 8.446997E+03
8.916216E+03 1.000000E-99 1.000000E-99 1.000000E-99 8.428143E+03
8.967863E+03 1.000000E-99 1.000000E-99 1.000000E-99 8.409288E+03
9.019509E+03 1.000000E-99 1.000000E-99 1.000000E-99 8.390433E+03
9.071156E+03 1.000000E-99 1.000000E-99 1.000000E-99 8.371579E+03
9.122802E+03 1.000000E-99 1.000000E-99 1.000000E-99 8.352724E+03
9.174448E+03 1.000000E-99 1.000000E-99 1.000000E-99 8.333870E+03
9.226095E+03 1.000000E-99 1.000000E-99 1.000000E-99 8.314137E+03
9.277741E+03 1.000000E-99 1.000000E-99 1.000000E-99 8.291288E+03
9.329387E+03 1.000000E-99 1.000000E-99 1.000000E-99 8.268438E+03
9.381034E+03 1.000000E-99 1.000000E-99 1.000000E-99 8.245589E+03
9.432680E+03 1.000000E-99 1.000000E-99 1.000000E-99 8.222740E+03
9.484326E+03 1.000000E-99 1.000000E-99 1.000000E-99 8.199891E+03
9.535973E+03 1.000000E-99 1.000000E-99 1.000000E-99 8.177042E+03
9.587619E+03 1.000000E-99 1.000000E-99 1.000000E-99 8.154192E+03
9.639266E+03 1.000000E-99 1.000000E-99 1.000000E-99 8.131792E+03
9.690912E+03 1.000000E-99 1.000000E-99 8.216087E+03 8.111224E+03
9.742558E+03 1.000000E-99 1.000000E-99 8.208187E+03 8.090655E+03
9.794205E+03 1.000000E-99 1.000000E-99 8.200288E+03 8.070087E+03
9.845851E+03 1.000000E-99 1.000000E-99 8.192389E+03 8.049519E+03
9.897497E+03 1.000000E-99 1.000000E-99 8.184489E+03 8.028951E+03
9.949144E+03 1.000000E-99 1.000000E-99 8.176590E+03 8.008382E+03
1.000079E+04 1.000000E-99 1.000000E-99 8.162970E+03 7.990819E+03
1.005244E+04 1.000000E-99 1.000000E-99 8.148744E+03 7.973575E+03
1.010408E+04 1.000000E-99 1.000000E-99 8.134518E+03 7.956331E+03
1.015573E+04 1.000000E-99 1.000000E-99 8.120291E+03 7.939088E+03
1.020738E+04 1.000000E-99 1.000000E-99 8.106065E+03 7.921844E+03
1.025902E+04 1.000000E-99 1.000000E-99 8.092252E+03 7.905547E+03
1.031067E+04 1.000000E-99 1.000000E-99 8.079621E+03 7.891956E+03
1.036231E+04 1.000000E-99 1.000000E-99 8.066991E+03 7.878364E+03
1.041396E+04 1.000000E-99 1.000000E-99 8.054360E+03 7.864773E+03
1.046561E+04 1.000000E-99 1.000000E-99 8.041729E+03 7.851182E+03
1.051725E+04 1.000000E-99 1.000000E-99 8.029098E+03 7.837590E+03
1.056890E+04 1.000000E-99 1.000000E-99 8.016905E+03 7.824534E+03
1.062055E+04 1.000000E-99 1.000000E-99 8.005098E+03 7.811952E+03
1.067219E+04 1.000000E-99 1.000000E-99 7.993292E+03 7.799369E+03
1.072384E+04 1.000000E-99 1.000000E-99 7.981485E+03 7.786787E+03
1.077549E+04 1.000000E-99 1.000000E-99 7.969679E+03 7.774205E+03
1.082713E+04 1.000000E-99 1.000000E-99 7.957873E+03 7.761622E+03
1.087878E+04 1.000000E-99 1.000000E-99 7.944383E+03 7.749309E+03
1.093042E+04 1.000000E-99 1.000000E-99 7.930336E+03 7.737085E+03
1.098207E+04 1.000000E-99 1.000000E-99 7.916289E+03 7.724862E+03
1.103372E+04 1.000000E-99 1.000000E-99 7.902242E+03 7.712638E+03
1.108536E+04 1.000000E-99 1.000000E-99 7.888196E+03 7.700414E+03
1.113701E+04 1.000000E-99 1.000000E-99 7.873038E+03 7.686302E+03
1.118866E+04 1.000000E-99 1.000000E-99 7.855785E+03 7.668625E+03
1.124030E+04 1.000000E-99 1.000000E-99 7.838531E+03 7.650948E+03
1.129195E+04 1.000000E-99 1.000000E-99 7.821278E+03 7.633271E+03
