#NTIMES: 257
#TIMES[d]: 2.200 2.420 2.662 2.928 3.221 3.543 3.897 4.287 4.716 5.187 5.706 6.277 6.905 7.595 8.354 9.190 10.109 11.109 12.109 13.109 14.109 15.109 16.109 17.109 18.109 19.109 20.109 21.109 22.109 23.109 24.109 25.109 26.109 27.109 28.109 29.109 30.109 31.109 32.109 33.109 34.109 35.109 36.109 37.109 38.109 39.109 40.109 41.109 42.109 43.109 44.109 45.109 46.109 47.109 48.109 49.109 50.109 51.109 52.109 53.109 54.109 55.109 56.109 57.109 58.109 59.109 60.109 61.109 62.109 63.109 64.109 65.109 66.109 67.109 68.109 69.109 70.109 71.109 72.109 73.109 74.109 75.109 76.109 77.109 78.109 79.109 80.109 81.109 82.109 83.109 84.109 85.109 86.109 87.109 88.109 89.109 90.109 91.109 92.109 93.109 94.109 95.109 96.109 97.109 98.109 99.109 100.109 101.109 102.109 103.109 104.109 105.109 106.109 107.109 108.109 109.109 110.109 111.109 112.109 113.109 114.109 115.109 116.109 117.109 118.109 119.109 120.109 121.109 122.109 123.109 124.109 125.109 126.109 127.109 128.109 129.109 130.109 131.109 132.109 133.109 134.109 135.109 136.109 137.109 138.109 139.109 140.109 141.109 142.109 143.109 144.109 145.109 146.109 147.109 148.109 149.109 150.109 151.109 152.109 153.109 154.109 155.109 156.109 157.109 158.109 159.109 160.109 161.109 162.109 163.109 164.109 165.109 166.109 167.109 168.109 169.109 170.109 171.109 172.109 173.109 174.109 175.109 176.109 177.109 178.109 179.109 180.109 181.109 182.109 183.109 184.109 185.109 186.109 187.109 188.109 189.109 190.109 191.109 192.109 193.109 194.109 195.109 196.109 197.109 198.109 199.109 200.109 201.109 202.109 203.109 204.109 205.109 206.109 207.109 208.109 209.109 210.109 211.109 212.109 213.109 214.109 215.109 216.109 217.109 218.109 219.109 220.109 221.109 222.109 223.109 224.109 225.109 226.109 227.109 228.109 229.109 230.109 231.109 232.109 233.109 234.109 235.109 236.109 237.109 238.109 239.109 240.109 241.109 242.109 243.109 244.109 245.109 246.109 247.109 248.109 249.109 250.109 
#
#TIME: 2.200000
#NVEL: 81
#vel_mid[km/s] Rossmean[cm^2/g] Fluxmean[cm^2/g] Planckmean[cm^2/g] Jcmf[erg/s/cm^2] Hcmf[erg/s/cm^2]
2.675e+09 1.435874e-02 1e-99 4.762001e-02 1e-99 1e-99
2.725e+09 1.436265e-02 1e-99 5.106738e-02 1e-99 1e-99
2.775e+09 1.436583e-02 1e-99 5.486220e-02 1e-99 1e-99
2.825e+09 1.436812e-02 1e-99 5.899639e-02 1e-99 1e-99
2.875e+09 1.436938e-02 1e-99 6.357572e-02 1e-99 1e-99
2.925e+09 1.436953e-02 1e-99 6.881324e-02 1e-99 1e-99
2.975e+09 1.436856e-02 1e-99 7.499274e-02 1e-99 1e-99
3.025e+09 1.436652e-02 1e-99 8.244042e-02 1e-99 1e-99
3.075e+09 1.436349e-02 1e-99 9.151814e-02 1e-99 1e-99
3.125e+09 1.435964e-02 1e-99 1.026063e-01 1e-99 1e-99
3.175e+09 1.435515e-02 1e-99 1.160982e-01 1e-99 1e-99
3.225e+09 1.435021e-02 1e-99 1.323791e-01 1e-99 1e-99
3.275e+09 1.434502e-02 1e-99 1.518451e-01 1e-99 1e-99
3.325e+09 1.433974e-02 1e-99 1.749442e-01 1e-99 1e-99
3.375e+09 1.433452e-02 1e-99 2.022633e-01 1e-99 1e-99
3.425e+09 1.432944e-02 1e-99 2.345738e-01 1e-99 1e-99
3.475e+09 1.432456e-02 1e-99 2.727895e-01 1e-99 1e-99
3.525e+09 1.431989e-02 1e-99 3.178131e-01 1e-99 1e-99
3.575e+09 1.431543e-02 1e-99 3.703878e-01 1e-99 1e-99
3.625e+09 1.431116e-02 1e-99 4.311401e-01 1e-99 1e-99
3.675e+09 1.430705e-02 1e-99 5.006848e-01 1e-99 1e-99
3.725e+09 1.430310e-02 1e-99 5.799680e-01 1e-99 1e-99
3.775e+09 1.429930e-02 1e-99 6.703925e-01 1e-99 1e-99
3.825e+09 1.429565e-02 1e-99 7.729387e-01 1e-99 1e-99
3.875e+09 1.429216e-02 1e-99 8.871306e-01 1e-99 1e-99
3.925e+09 1.428887e-02 1e-99 1.011026e+00 1e-99 1e-99
3.975e+09 1.428582e-02 1e-99 1.143544e+00 1e-99 1e-99
4.025e+09 1.428307e-02 1e-99 1.286055e+00 1e-99 1e-99
#TIME: 2.420000
#NVEL: 81
#vel_mid[km/s] Rossmean[cm^2/g] Fluxmean[cm^2/g] Planckmean[cm^2/g] Jcmf[erg/s/cm^2] Hcmf[erg/s/cm^2]
2.500e+07 3.959869e-01 1e-99 4.201478e-01 1e-99 1e-99
7.500e+07 4.862804e-01 1e-99 5.215801e-01 1e-99 1e-99
1.250e+08 5.912671e-01 1e-99 6.410154e-01 1e-99 1e-99
1.750e+08 7.131094e-01 1e-99 7.763330e-01 1e-99 1e-99
2.250e+08 8.607677e-01 1e-99 9.335808e-01 1e-99 1e-99
2.750e+08 1.028467e+00 1e-99 1.107095e+00 1e-99 1e-99
3.250e+08 1.090679e+00 1e-99 1.155969e+00 1e-99 1e-99
3.750e+08 5.116712e-01 1e-99 4.898463e-01 1e-99 1e-99
4.250e+08 1.087490e-01 1e-99 6.445466e-02 1e-99 1e-99
4.750e+08 2.978794e-02 1e-99 2.621592e-03 1e-99 1e-99
5.250e+08 2.711736e-02 1e-99 2.872877e-03 1e-99 1e-99
5.750e+08 2.041485e-02 1e-99 3.927145e-03 1e-99 1e-99
6.250e+08 1.635836e-02 1e-99 5.961456e-03 1e-99 1e-99
6.750e+08 1.320249e-02 1e-99 8.614036e-03 1e-99 1e-99
7.250e+08 1.213712e-02 1e-99 9.846593e-03 1e-99 1e-99
7.750e+08 1.370745e-02 1e-99 1.042184e-02 1e-99 1e-99
8.250e+08 1.385675e-02 1e-99 1.139161e-02 1e-99 1e-99
8.750e+08 1.363669e-02 1e-99 1.248351e-02 1e-99 1e-99
9.250e+08 1.457379e-02 1e-99 1.321703e-02 1e-99 1e-99
9.750e+08 1.403990e-02 1e-99 1.442629e-02 1e-99 1e-99
1.025e+09 1.384072e-02 1e-99 1.550574e-02 1e-99 1e-99
1.075e+09 1.349198e-02 1e-99 1.660846e-02 1e-99 1e-99
1.125e+09 1.397582e-02 1e-99 1.739518e-02 1e-99 1e-99
1.175e+09 1.434406e-02 1e-99 1.815919e-02 1e-99 1e-99
1.225e+09 1.428804e-02 1e-99 1.904258e-02 1e-99 1e-99
1.275e+09 1.458734e-02 1e-99 1.972470e-02 1e-99 1e-99
1.325e+09 1.494036e-02 1e-99 2.027800e-02 1e-99 1e-99
1.375e+09 1.492782e-02 1e-99 2.103898e-02 1e-99 1e-99
1.425e+09 1.490534e-02 1e-99 2.178761e-02 1e-99 1e-99
1.475e+09 1.476003e-02 1e-99 2.264482e-02 1e-99 1e-99
1.525e+09 1.467527e-02 1e-99 2.343786e-02 1e-99 1e-99
1.575e+09 1.443040e-02 1e-99 2.438806e-02 1e-99 1e-99
1.625e+09 1.433073e-02 1e-99 2.519561e-02 1e-99 1e-99
1.675e+09 1.453838e-02 1e-99 2.560501e-02 1e-99 1e-99
1.725e+09 1.469573e-02 1e-99 2.588640e-02 1e-99 1e-99
1.775e+09 1.472934e-02 1e-99 2.631534e-02 1e-99 1e-99
1.825e+09 1.477270e-02 1e-99 2.663540e-02 1e-99 1e-99
1.875e+09 1.446518e-02 1e-99 2.821660e-02 1e-99 1e-99
1.925e+09 1.453176e-02 1e-99 2.858654e-02 1e-99 1e-99
1.975e+09 1.429754e-02 1e-99 3.001654e-02 1e-99 1e-99
2.025e+09 1.453237e-02 1e-99 2.967556e-02 1e-99 1e-99
2.075e+09 1.464840e-02 1e-99 2.946225e-02 1e-99 1e-99
2.125e+09 1.452818e-02 1e-99 3.075430e-02 1e-99 1e-99
2.175e+09 1.430628e-02 1e-99 3.249716e-02 1e-99 1e-99
2.225e+09 1.425601e-02 1e-99 3.335135e-02 1e-99 1e-99
2.275e+09 1.428867e-02 1e-99 3.393843e-02 1e-99 1e-99
2.325e+09 1.429842e-02 1e-99 3.477908e-02 1e-99 1e-99
2.375e+09 1.457467e-02 1e-99 3.480822e-02 1e-99 1e-99
2.425e+09 1.441355e-02 1e-99 3.697142e-02 1e-99 1e-99
2.475e+09 1.450682e-02 1e-99 3.862463e-02 1e-99 1e-99
2.525e+09 1.436434e-02 1e-99 4.115293e-02 1e-99 1e-99
2.575e+09 1.448364e-02 1e-99 4.374876e-02 1e-99 1e-99
2.625e+09 1.452449e-02 1e-99 4.674882e-02 1e-99 1e-99
2.675e+09 1.438907e-02 1e-99 5.029614e-02 1e-99 1e-99
2.725e+09 1.406085e-02 1e-99 5.363255e-02 1e-99 1e-99
2.775e+09 1.424803e-02 1e-99 5.821373e-02 1e-99 1e-99
2.825e+09 1.443114e-02 1e-99 6.253839e-02 1e-99 1e-99
2.875e+09 1.440421e-02 1e-99 6.794601e-02 1e-99 1e-99
2.925e+09 1.395279e-02 1e-99 7.341226e-02 1e-99 1e-99
2.975e+09 1.423027e-02 1e-99 8.151437e-02 1e-99 1e-99
3.025e+09 1.434797e-02 1e-99 9.108710e-02 1e-99 1e-99
3.075e+09 1.417462e-02 1e-99 1.004597e-01 1e-99 1e-99
3.125e+09 1.427062e-02 1e-99 1.144031e-01 1e-99 1e-99
3.175e+09 1.407347e-02 1e-99 1.268517e-01 1e-99 1e-99
3.225e+09 1.433106e-02 1e-99 1.521414e-01 1e-99 1e-99
3.275e+09 1.435603e-02 1e-99 1.788014e-01 1e-99 1e-99
3.325e+09 1.418069e-02 1e-99 1.949281e-01 1e-99 1e-99
3.375e+09 1.430228e-02 1e-99 2.337434e-01 1e-99 1e-99
3.425e+09 1.422937e-02 1e-99 2.653838e-01 1e-99 1e-99
3.475e+09 1.428458e-02 1e-99 3.152421e-01 1e-99 1e-99
3.525e+09 1.407018e-02 1e-99 3.495524e-01 1e-99 1e-99
3.575e+09 1.423324e-02 1e-99 4.225581e-01 1e-99 1e-99
3.625e+09 1.427717e-02 1e-99 5.014839e-01 1e-99 1e-99
3.675e+09 1.422687e-02 1e-99 5.772554e-01 1e-99 1e-99
3.725e+09 1.356928e-02 1e-99 6.179229e-01 1e-99 1e-99
3.775e+09 1.409198e-02 1e-99 7.710271e-01 1e-99 1e-99
3.825e+09 1.365618e-02 1e-99 8.596145e-01 1e-99 1e-99
3.875e+09 1.180439e-02 1e-99 9.092794e-01 1e-99 1e-99
3.925e+09 1.226886e-02 1e-99 1.080932e+00 1e-99 1e-99
3.975e+09 1.380030e-02 1e-99 1.410290e+00 1e-99 1e-99
4.025e+09 1.269039e-02 1e-99 1.515129e+00 1e-99 1e-99
#TIME: 2.662000
#NVEL: 81
#vel_mid[km/s] Rossmean[cm^2/g] Fluxmean[cm^2/g] Planckmean[cm^2/g] Jcmf[erg/s/cm^2] Hcmf[erg/s/cm^2]
2.500e+07 4.730655e-01 1e-99 5.101402e-01 1e-99 1e-99
7.500e+07 5.816260e-01 1e-99 6.303605e-01 1e-99 1e-99
1.250e+08 7.082157e-01 1e-99 7.730054e-01 1e-99 1e-99
1.750e+08 8.549659e-01 1e-99 9.351120e-01 1e-99 1e-99
2.250e+08 1.027312e+00 1e-99 1.119055e+00 1e-99 1e-99
2.750e+08 1.204667e+00 1e-99 1.308378e+00 1e-99 1e-99
3.250e+08 1.191041e+00 1e-99 1.246942e+00 1e-99 1e-99
3.750e+08 4.725789e-01 1e-99 4.574639e-01 1e-99 1e-99
4.250e+08 1.107619e-01 1e-99 6.838831e-02 1e-99 1e-99
4.750e+08 4.020028e-02 1e-99 3.069381e-03 1e-99 1e-99
5.250e+08 2.932003e-02 1e-99 3.408744e-03 1e-99 1e-99
5.750e+08 2.599500e-02 1e-99 3.607971e-03 1e-99 1e-99
6.250e+08 2.222370e-02 1e-99 4.538511e-03 1e-99 1e-99
6.750e+08 1.681604e-02 1e-99 5.613225e-03 1e-99 1e-99
7.250e+08 1.655965e-02 1e-99 7.620517e-03 1e-99 1e-99
7.750e+08 1.547126e-02 1e-99 1.065758e-02 1e-99 1e-99
8.250e+08 1.379409e-02 1e-99 1.226857e-02 1e-99 1e-99
8.750e+08 1.266038e-02 1e-99 1.363820e-02 1e-99 1e-99
9.250e+08 1.210815e-02 1e-99 1.489884e-02 1e-99 1e-99
9.750e+08 1.201328e-02 1e-99 1.593904e-02 1e-99 1e-99
1.025e+09 1.184446e-02 1e-99 1.699101e-02 1e-99 1e-99
1.075e+09 1.171933e-02 1e-99 1.799046e-02 1e-99 1e-99
1.125e+09 1.175369e-02 1e-99 1.884434e-02 1e-99 1e-99
1.175e+09 1.207658e-02 1e-99 1.938162e-02 1e-99 1e-99
1.225e+09 1.254176e-02 1e-99 1.986796e-02 1e-99 1e-99
1.275e+09 1.274983e-02 1e-99 2.053929e-02 1e-99 1e-99
1.325e+09 1.269627e-02 1e-99 2.129643e-02 1e-99 1e-99
1.375e+09 1.202207e-02 1e-99 2.227458e-02 1e-99 1e-99
1.425e+09 1.183262e-02 1e-99 2.310527e-02 1e-99 1e-99
1.475e+09 1.145925e-02 1e-99 2.415320e-02 1e-99 1e-99
1.525e+09 1.106257e-02 1e-99 2.546252e-02 1e-99 1e-99
1.575e+09 1.092861e-02 1e-99 2.645075e-02 1e-99 1e-99
1.625e+09 1.085394e-02 1e-99 2.737179e-02 1e-99 1e-99
1.675e+09 1.048758e-02 1e-99 2.902912e-02 1e-99 1e-99
1.725e+09 1.011365e-02 1e-99 3.063317e-02 1e-99 1e-99
1.775e+09 1.024061e-02 1e-99 3.152489e-02 1e-99 1e-99
1.825e+09 9.825937e-03 1e-99 3.325998e-02 1e-99 1e-99
1.875e+09 1.000723e-02 1e-99 3.426226e-02 1e-99 1e-99
1.925e+09 9.746303e-03 1e-99 3.595413e-02 1e-99 1e-99
1.975e+09 9.800818e-03 1e-99 3.726514e-02 1e-99 1e-99
2.025e+09 9.675576e-03 1e-99 3.896551e-02 1e-99 1e-99
2.075e+09 8.580202e-03 1e-99 4.151067e-02 1e-99 1e-99
2.125e+09 8.120886e-03 1e-99 4.361844e-02 1e-99 1e-99
2.175e+09 8.814770e-03 1e-99 4.576647e-02 1e-99 1e-99
2.225e+09 8.047814e-03 1e-99 4.860012e-02 1e-99 1e-99
2.275e+09 7.310357e-03 1e-99 5.114620e-02 1e-99 1e-99
2.325e+09 8.833869e-03 1e-99 5.209202e-02 1e-99 1e-99
2.375e+09 7.598653e-03 1e-99 5.653667e-02 1e-99 1e-99
2.425e+09 8.554762e-03 1e-99 5.688154e-02 1e-99 1e-99
2.475e+09 7.802852e-03 1e-99 6.090451e-02 1e-99 1e-99
2.525e+09 8.501787e-03 1e-99 6.025005e-02 1e-99 1e-99
2.575e+09 9.285544e-03 1e-99 5.362566e-02 1e-99 1e-99
2.625e+09 8.210579e-03 1e-99 6.455235e-02 1e-99 1e-99
2.675e+09 9.648151e-03 1e-99 4.879978e-02 1e-99 1e-99
2.725e+09 9.026695e-03 1e-99 6.041687e-02 1e-99 1e-99
2.775e+09 9.364087e-03 1e-99 5.709394e-02 1e-99 1e-99
2.825e+09 9.945709e-03 1e-99 5.672098e-02 1e-99 1e-99
2.875e+09 9.407520e-03 1e-99 6.442051e-02 1e-99 1e-99
2.925e+09 9.674015e-03 1e-99 6.958016e-02 1e-99 1e-99
2.975e+09 9.232596e-03 1e-99 7.959010e-02 1e-99 1e-99
3.025e+09 8.825615e-03 1e-99 9.177500e-02 1e-99 1e-99
3.075e+09 8.121918e-03 1e-99 1.050238e-01 1e-99 1e-99
3.125e+09 9.064129e-03 1e-99 1.135392e-01 1e-99 1e-99
3.175e+09 9.734437e-03 1e-99 1.322314e-01 1e-99 1e-99
3.225e+09 9.196671e-03 1e-99 1.481365e-01 1e-99 1e-99
3.275e+09 9.537889e-03 1e-99 1.736108e-01 1e-99 1e-99
3.325e+09 9.206160e-03 1e-99 1.959224e-01 1e-99 1e-99
3.375e+09 9.215108e-03 1e-99 2.259678e-01 1e-99 1e-99
3.425e+09 1.008866e-02 1e-99 2.697256e-01 1e-99 1e-99
3.475e+09 9.886788e-03 1e-99 3.104543e-01 1e-99 1e-99
3.525e+09 9.152862e-03 1e-99 3.459677e-01 1e-99 1e-99
3.575e+09 1.138889e-02 1e-99 4.208362e-01 1e-99 1e-99
3.625e+09 1.040275e-02 1e-99 4.847581e-01 1e-99 1e-99
3.675e+09 1.058409e-02 1e-99 5.647519e-01 1e-99 1e-99
3.725e+09 9.265185e-03 1e-99 6.296359e-01 1e-99 1e-99
3.775e+09 1.121474e-02 1e-99 7.762380e-01 1e-99 1e-99
3.825e+09 9.675019e-03 1e-99 8.703762e-01 1e-99 1e-99
3.875e+09 9.026399e-03 1e-99 9.641322e-01 1e-99 1e-99
3.925e+09 1.002400e-02 1e-99 1.201217e+00 1e-99 1e-99
3.975e+09 9.386602e-03 1e-99 1.362455e+00 1e-99 1e-99
4.025e+09 9.205517e-03 1e-99 1.570569e+00 1e-99 1e-99
#TIME: 2.928200
#NVEL: 81
#vel_mid[km/s] Rossmean[cm^2/g] Fluxmean[cm^2/g] Planckmean[cm^2/g] Jcmf[erg/s/cm^2] Hcmf[erg/s/cm^2]
2.500e+07 5.672235e-01 1e-99 6.200385e-01 1e-99 1e-99
7.500e+07 6.955881e-01 1e-99 7.607881e-01 1e-99 1e-99
1.250e+08 8.464127e-01 1e-99 9.291427e-01 1e-99 1e-99
1.750e+08 1.021086e+00 1e-99 1.121133e+00 1e-99 1e-99
2.250e+08 1.219003e+00 1e-99 1.334288e+00 1e-99 1e-99
2.750e+08 1.390110e+00 1e-99 1.522596e+00 1e-99 1e-99
3.250e+08 1.241005e+00 1e-99 1.276566e+00 1e-99 1e-99
3.750e+08 4.339117e-01 1e-99 4.239191e-01 1e-99 1e-99
4.250e+08 1.121712e-01 1e-99 7.156905e-02 1e-99 1e-99
4.750e+08 4.155368e-02 1e-99 3.544072e-03 1e-99 1e-99
5.250e+08 3.247378e-02 1e-99 4.004776e-03 1e-99 1e-99
5.750e+08 2.843275e-02 1e-99 4.143652e-03 1e-99 1e-99
6.250e+08 2.454853e-02 1e-99 4.492093e-03 1e-99 1e-99
6.750e+08 2.048432e-02 1e-99 5.749330e-03 1e-99 1e-99
7.250e+08 1.675563e-02 1e-99 6.474772e-03 1e-99 1e-99
7.750e+08 1.654976e-02 1e-99 8.257595e-03 1e-99 1e-99
8.250e+08 1.614632e-02 1e-99 1.156283e-02 1e-99 1e-99
8.750e+08 1.443788e-02 1e-99 1.377867e-02 1e-99 1e-99
9.250e+08 1.260880e-02 1e-99 1.530207e-02 1e-99 1e-99
9.750e+08 1.197276e-02 1e-99 1.652293e-02 1e-99 1e-99
1.025e+09 1.124557e-02 1e-99 1.775550e-02 1e-99 1e-99
1.075e+09 1.064781e-02 1e-99 1.870933e-02 1e-99 1e-99
1.125e+09 9.499168e-03 1e-99 1.922840e-02 1e-99 1e-99
1.175e+09 8.558943e-03 1e-99 1.946496e-02 1e-99 1e-99
1.225e+09 8.320885e-03 1e-99 2.011978e-02 1e-99 1e-99
1.275e+09 7.983882e-03 1e-99 2.065822e-02 1e-99 1e-99
1.325e+09 6.767351e-03 1e-99 2.005609e-02 1e-99 1e-99
1.375e+09 5.653457e-03 1e-99 1.914566e-02 1e-99 1e-99
1.425e+09 5.777082e-03 1e-99 2.018668e-02 1e-99 1e-99
1.475e+09 5.364198e-03 1e-99 2.023185e-02 1e-99 1e-99
1.525e+09 3.339482e-03 1e-99 1.605050e-02 1e-99 1e-99
1.575e+09 3.191123e-03 1e-99 1.630193e-02 1e-99 1e-99
1.625e+09 3.072975e-03 1e-99 1.671232e-02 1e-99 1e-99
1.675e+09 2.299542e-03 1e-99 1.505053e-02 1e-99 1e-99
1.725e+09 1.833120e-03 1e-99 1.439151e-02 1e-99 1e-99
