#NTIMES: 4
#NVEL: 591
#TIMES[d]: 5.0 10.0 15.0 20.0
#vel_mid[km/s] Tgas_t0[K] Tgas_t1[K] ... Tgas_tn[K]
7.272034E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.072640E+04
7.321949E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.071630E+04
7.371864E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.069795E+04
7.421780E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.066303E+04
7.471695E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.063132E+04
7.521610E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.058174E+04
7.571525E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.053054E+04
7.621441E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.046893E+04
7.671356E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.040530E+04
7.721271E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.033315E+04
7.771186E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.026446E+04
7.821102E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.018186E+04
7.871017E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.010606E+04
7.920932E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.001888E+04
7.970847E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.992258E+04
8.020763E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.981720E+04
8.070678E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.971449E+04
8.120593E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.961589E+04
8.170508E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.950366E+04
8.220424E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.939725E+04
8.270339E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.928856E+04
8.320254E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.918419E+04
8.370169E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.905865E+04
8.420085E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.893647E+04
8.470000E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.883222E+04
8.519915E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.872664E+04
8.569831E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.861512E+04
8.619746E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.849890E+04
8.669661E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.838142E+04
8.719576E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.826986E+04
8.769492E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.816230E+04
8.819407E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.805885E+04
8.869322E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.795902E+04
8.919237E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.785527E+04
8.969153E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.774627E+04
9.019068E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.764659E+04
9.068983E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.753854E+04
9.118898E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.743250E+04
9.168814E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.733959E+04
9.218729E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.724971E+04
9.268644E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.715307E+04
9.318559E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.705203E+04
9.368475E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.693089E+04
9.418390E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.683707E+04
