#NTIMES: 4
#NVEL: 591
#TIMES[d]: 5.0 10.0 15.0 20.0
#vel_mid[km/s] ne_t0[/cm^3] ne_t1[/cm^3] … ne_tn[/cm^3]
5.525000E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.767728E+09
5.574915E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.722441E+09
5.624831E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.677416E+09
5.674746E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.633205E+09
5.724661E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.590044E+09
5.774576E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.547951E+09
5.824492E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.507030E+09
5.874407E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.467247E+09
5.924322E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.428661E+09
5.974237E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.391433E+09
6.024153E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.355265E+09
6.074068E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.320312E+09
6.123983E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.286655E+09
6.173898E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.254198E+09
6.223814E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.221997E+09
6.273729E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.190506E+09
6.323644E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.160129E+09
6.373559E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.129281E+09
6.423475E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.099293E+09
6.473390E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.070143E+09
6.523305E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.040645E+09
6.573220E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.011511E+09
6.623136E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.982569E+09
6.673051E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.954784E+09
6.722966E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.927057E+09
6.772881E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.901654E+09
6.822797E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.876190E+09
6.872712E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.853675E+09
6.922627E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.832499E+09
6.972542E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.811563E+09
7.022458E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.790323E+09
7.072373E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.771790E+09
