#NTIMES:    60
#NSTAGES:     6
#TIMES[d]:     2.000    2.001    2.002    2.003    2.005    2.010    2.020    2.050    2.100    2.200    2.400    2.640    2.900    3.190    3.510    3.860    4.250    4.670    5.140    5.650    6.210    6.830    7.510    8.260    9.090   10.000   11.000   12.100   13.310   14.640   16.100   17.710   19.480   21.430   23.570   25.930   28.520   31.370   34.510   37.960   41.760   45.940   50.530   55.580   61.140   67.250   73.970   81.370   89.510   98.460  108.300  118.000  128.000  138.000  148.000  158.000  168.000  180.000  190.000  200.000
#
#TIME:     2.000
#NVEL: 100
#vel_mid[km/s]           ni0           ni1           ni2           ni3           ni4           ni5
    4.436768E+03   1.0000E-099   9.3897E-001   6.1031E-002   9.1314E-013   2.7566E-024   1.7244E-036
    4.439238E+03   1.0000E-099   9.8077E-001   1.9232E-002   2.7925E-014   8.5930E-025   5.3193E-038
    4.441732E+03   1.0000E-099   9.9475E-001   5.2534E-003   6.1955E-016   2.2811E-025   1.1661E-039
    4.444930E+03   1.0000E-099   9.9913E-001   8.6723E-004   3.3724E-018   3.6113E-026   6.2013E-042
    4.448112E+03   1.0000E-099   9.9987E-001   1.3378E-004   1.5967E-020   5.3900E-027   2.8874E-044
    4.451446E+03   1.0000E-099   9.9998E-001   1.8526E-005   1.5102E-022   7.2433E-028   2.6909E-046
    4.454633E+03   1.0000E-099   1.0000E+000   2.9867E-006   8.8408E-023   1.1263E-028   1.5398E-046
    4.458394E+03   1.0000E-099   1.0000E+000   4.4151E-007   8.3562E-023   1.5883E-029   1.4080E-046
    4.463266E+03   1.0000E-099   1.0000E+000   6.5892E-008   7.8742E-023   2.2443E-030   1.2753E-046
    4.478077E+03   1.0000E-099   1.0000E+000   1.7245E-008   7.4767E-023   5.5997E-031   1.1722E-046
    4.828250E+03   1.0000E-099   1.0000E+000   8.9605E-010   9.2887E-023   3.6196E-032   1.8507E-046
    5.302911E+03   1.0000E-099   1.0000E+000   6.4119E-010   1.2091E-022   3.3748E-032   3.2124E-046
    5.824236E+03   1.0000E-099   1.0000E+000   7.2681E-010   1.5439E-022   4.8893E-032   5.3602E-046
    6.396812E+03   1.0000E-099   1.0000E+000   8.6863E-010   1.9363E-022   7.3355E-032   8.6185E-046
    7.025678E+03   1.0000E-099   1.0000E+000   1.0598E-009   2.3880E-022   1.1048E-031   1.3384E-045
    7.716367E+03   1.0000E-099   1.0000E+000   1.3129E-009   2.8992E-022   1.6635E-031   2.0117E-045
    8.474956E+03   1.0000E-099   1.0000E+000   1.6469E-009   3.4688E-022   2.4993E-031   2.9327E-045
    9.308123E+03   1.0000E-099   1.0000E+000   2.0808E-009   4.0938E-022   3.7310E-031   4.1549E-045
    1.022320E+04   1.0000E-099   1.0000E+000   2.6190E-009   4.7701E-022   5.4782E-031   5.7308E-045
    1.122823E+04   1.0000E-099   1.0000E+000   3.2198E-009   5.4919E-022   7.7638E-031   7.7087E-045
    1.233207E+04   1.0000E-099   1.0000E+000   3.7633E-009   6.2524E-022   1.0345E-030   1.0128E-044
    1.354443E+04   1.0000E-099   1.0000E+000   4.0777E-009   7.0440E-022   1.2648E-030   1.3018E-044
    1.475430E+04   1.0000E-099   1.0000E+000   4.0126E-009   7.7868E-022   1.3780E-030   1.6078E-044
    1.596250E+04   1.0000E-099   1.0000E+000   3.6023E-009   8.4823E-022   1.3497E-030   1.9252E-044
    1.715172E+04   1.0000E-099   1.0000E+000   3.0098E-009   9.1235E-022   1.2146E-030   2.2443E-044
    1.831808E+04   1.0000E-099   1.0000E+000   2.4426E-009   9.7126E-022   1.0506E-030   2.5600E-044
    1.946215E+04   1.0000E-099   1.0000E+000   1.9824E-009   1.0254E-021   9.0122E-031   2.8695E-044
    2.056623E+04   1.0000E-099   1.0000E+000   1.5670E-009   1.0745E-021   7.4715E-031   3.1664E-044
    2.164457E+04   1.0000E-099   1.0000E+000   1.1729E-009   1.1196E-021   5.8322E-031   3.4535E-044
    2.269608E+04   1.0000E-099   1.0000E+000   8.5795E-010   1.1611E-021   4.4275E-031   3.7294E-044
    2.371204E+04   1.0000E-099   1.0000E+000   6.2987E-010   1.1989E-021   3.3586E-031   3.9911E-044
    2.470288E+04   1.0000E-099   1.0000E+000   4.6495E-010   1.2339E-021   2.5529E-031   4.2409E-044
    2.567282E+04   1.0000E-099   1.0000E+000   3.4954E-010   1.2665E-021   1.9708E-031   4.4794E-044
    2.662453E+04   1.0000E-099   1.0000E+000   2.6437E-010   1.2969E-021   1.5270E-031   4.7076E-044
    2.756088E+04   1.0000E-099   1.0000E+000   2.0042E-010   1.3255E-021   1.1837E-031   4.9264E-044
    2.848473E+04   1.0000E-099   1.0000E+000   1.5121E-010   1.3525E-021   9.1166E-032   5.1369E-044
