#NTIMES: 108
#NSTAGES: 9
#TIMES[d]: 2.037028e+00 2.112455e+00 2.190675e+00 2.271792e+00 2.355913e+00 2.443148e+00 2.533613e+00 2.627428e+00 2.724717e+00 2.825608e+00 2.930235e+00 3.038736e+00 3.151255e+00 3.267940e+00 3.388946e+00 3.514432e+00 3.644565e+00 3.779516e+00 3.919465e+00 4.064595e+00 4.215100e+00 4.371177e+00 4.533034e+00 4.700883e+00 4.874948e+00 5.055458e+00 5.242653e+00 5.436778e+00 5.638092e+00 5.846861e+00 6.063359e+00 6.287873e+00 6.520702e+00 6.762152e+00 7.012541e+00 7.272203e+00 7.541479e+00 7.820726e+00 8.110313e+00 8.410623e+00 8.722052e+00 9.045013e+00 9.379933e+00 9.727255e+00 1.008744e+01 1.046096e+01 1.084831e+01 1.125000e+01 1.166656e+01 1.209856e+01 1.254655e+01 1.301112e+01 1.349289e+01 1.399251e+01 1.451063e+01 1.504793e+01 1.560513e+01 1.618296e+01 1.678218e+01 1.740360e+01 1.804802e+01 1.871630e+01 1.940933e+01 2.012802e+01 2.087333e+01 2.164623e+01 2.244774e+01 2.327894e+01 2.414092e+01 2.503481e+01 2.596181e+01 2.692312e+01 2.792004e+01 2.895387e+01 3.002597e+01 3.113778e+01 3.229075e+01 3.348642e+01 3.472636e+01 3.601222e+01 3.734568e+01 3.872852e+01 4.016256e+01 4.164970e+01 4.319192e+01 4.479123e+01 4.644977e+01 4.816972e+01 4.995336e+01 5.180304e+01 5.372120e+01 5.571040e+01 5.777325e+01 5.991249e+01 6.213094e+01 6.443153e+01 6.681731e+01 6.929144e+01 7.185717e+01 7.451791e+01 7.727716e+01 8.013859e+01 8.310597e+01 8.618323e+01 8.937444e+01 9.268381e+01 9.611572e+01 9.967470e+01 
#
#TIME: 2.037028e+00 
#NVEL: 162
#vel_mid[km/s] co0 co1 co2 co3 co4 co5 co6 co7 co8
1.249994e+02 5.155170e-45 3.753608e-36 7.942185e-28 3.302531e-20 1.288793e-13 3.270311e-08 3.801938e-04 1.296848e-01 8.699350e-01 
3.749991e+02 9.386048e-45 7.074299e-36 1.520887e-27 6.257365e-20 2.346512e-13 5.492576e-08 5.596865e-04 1.590414e-01 8.403989e-01 
6.249988e+02 1.905793e-44 1.490670e-35 3.264379e-27 1.320847e-19 4.726745e-13 1.000070e-07 8.736458e-04 2.000139e-01 7.991123e-01 
8.749978e+02 3.842518e-44 3.133604e-35 7.006944e-27 2.794558e-19 9.513827e-13 1.818518e-07 1.356183e-03 2.496609e-01 7.489827e-01 
1.125000e+03 9.718758e-44 8.214932e-35 1.851726e-26 7.171232e-19 2.266962e-12 3.793234e-07 2.311852e-03 3.220882e-01 6.755996e-01 
1.375003e+03 2.179828e-43 1.921205e-34 4.384287e-26 1.662581e-18 4.938481e-12 7.303040e-07 3.682309e-03 3.965563e-01 5.997606e-01 
1.625005e+03 5.853756e-43 5.322834e-34 1.222482e-25 4.451577e-18 1.219759e-11 1.551926e-06 6.221317e-03 4.914432e-01 5.023339e-01 
1.875006e+03 1.841334e-42 1.719593e-33 3.926150e-25 1.354370e-17 3.332662e-11 3.515274e-06 1.085017e-02 5.995748e-01 3.895715e-01 
2.125006e+03 7.686910e-42 7.254089e-33 1.615290e-24 5.141920e-17 1.097635e-10 9.123878e-06 2.008292e-02 7.132899e-01 2.666181e-01 
2.375008e+03 4.600603e-41 4.316865e-32 9.099871e-24 2.573906e-16 4.519535e-10 2.756308e-05 3.972327e-02 8.086522e-01 1.515970e-01 
2.625010e+03 4.965213e-40 4.500489e-31 8.683008e-23 2.057017e-15 2.739428e-09 1.088433e-04 8.780845e-02 8.487334e-01 6.334927e-02 
