#NTIMES: 5
#NSTAGES: 3 
#TIMES[d]: 100 150 200 300 400
#
#TIME: 100
#NVEL: 40
#vel_mid[km/s] si0 si1 si2
7.750000e+03 1.626000e-05 7.621000e-01 2.378000e-01
8.250000e+03 1.549000e-05 7.550000e-01 2.449000e-01
8.750000e+03 1.470000e-05 7.472000e-01 2.528000e-01
9.250000e+03 1.387000e-05 7.363000e-01 2.637000e-01
9.750000e+03 1.306000e-05 7.252000e-01 2.748000e-01
1.025000e+04 1.223000e-05 7.120000e-01 2.880000e-01
1.075000e+04 1.139000e-05 6.952000e-01 3.048000e-01
1.125000e+04 1.060000e-05 6.791000e-01 3.209000e-01
1.175000e+04 9.890000e-06 6.614000e-01 3.386000e-01
1.225000e+04 9.173000e-06 6.422000e-01 3.578000e-01
1.275000e+04 8.527000e-06 6.212000e-01 3.788000e-01
1.325000e+04 7.936000e-06 5.985000e-01 4.014000e-01
1.375000e+04 7.446000e-06 5.751000e-01 4.249000e-01
1.425000e+04 6.918000e-06 5.489000e-01 4.511000e-01
1.475000e+04 6.486000e-06 5.233000e-01 4.767000e-01
1.525000e+04 6.107000e-06 4.980000e-01 5.020000e-01
1.575000e+04 5.651000e-06 4.699000e-01 5.301000e-01
1.625000e+04 5.235000e-06 4.428000e-01 5.572000e-01
1.675000e+04 4.796000e-06 4.141000e-01 5.859000e-01
1.725000e+04 4.367000e-06 3.861000e-01 6.139000e-01
1.775000e+04 3.938000e-06 3.581000e-01 6.419000e-01
1.825000e+04 3.531000e-06 3.312000e-01 6.688000e-01
1.875000e+04 3.141000e-06 3.057000e-01 6.943000e-01
1.925000e+04 2.808000e-06 2.850000e-01 7.150000e-01
1.975000e+04 2.722000e-06 2.860000e-01 7.140000e-01
#
#TIME: 300
#NVEL: 40
#vel_mid[km/s] si0 si1 si2
2.500000e+02 2.605000e-05 3.224000e-01 6.775000e-01
7.500000e+02 2.104000e-05 2.943000e-01 7.057000e-01
1.250000e+03 2.493000e-05 3.749000e-01 6.251000e-01
1.750000e+03 2.423000e-05 3.656000e-01 6.343000e-01
2.250000e+03 2.852000e-05 3.937000e-01 6.063000e-01
2.750000e+03 3.949000e-05 4.641000e-01 5.359000e-01
3.250000e+03 6.190000e-05 5.690000e-01 4.309000e-01
3.750000e+03 1.061000e-04 6.913000e-01 3.086000e-01
4.250000e+03 2.944000e-04 8.053000e-01 1.944000e-01
4.750000e+03 1.803000e-03 8.554000e-01 1.428000e-01
5.250000e+03 6.391000e-03 8.741000e-01 1.195000e-01
5.750000e+03 1.173000e-02 8.807000e-01 1.076000e-01
6.250000e+03 1.541000e-02 8.818000e-01 1.028000e-01
6.750000e+03 1.698000e-02 8.806000e-01 1.024000e-01
7.250000e+03 1.664000e-02 8.790000e-01 1.043000e-01
7.750000e+03 1.463000e-02 8.760000e-01 1.094000e-01
8.250000e+03 1.204000e-02 8.714000e-01 1.166000e-01
8.750000e+03 8.958000e-03 8.648000e-01 1.262000e-01
9.250000e+03 5.660000e-03 8.545000e-01 1.399000e-01
9.750000e+03 3.207000e-03 8.413000e-01 1.555000e-01
1.025000e+04 2.179000e-03 8.274000e-01 1.704000e-01
1.075000e+04 2.906000e-03 8.214000e-01 1.757000e-01
1.125000e+04 2.122000e-03 8.085000e-01 1.894000e-01
1.175000e+04 7.235000e-04 7.857000e-01 2.136000e-01
1.225000e+04 3.300000e-04 7.636000e-01 2.361000e-01
1.275000e+04 2.127000e-04 7.442000e-01 2.556000e-01
1.325000e+04 1.605000e-04 7.252000e-01 2.746000e-01
1.375000e+04 1.330000e-04 7.060000e-01 2.938000e-01
1.425000e+04 1.147000e-04 6.846000e-01 3.153000e-01
1.475000e+04 1.010000e-04 6.627000e-01 3.372000e-01
1.525000e+04 9.111000e-05 6.414000e-01 3.585000e-01
1.575000e+04 8.193000e-05 6.167000e-01 3.832000e-01
1.625000e+04 7.429000e-05 5.915000e-01 4.084000e-01
1.675000e+04 6.771000e-05 5.647000e-01 4.353000e-01
1.725000e+04 6.167000e-05 5.366000e-01 4.633000e-01
1.775000e+04 5.681000e-05 5.091000e-01 4.908000e-01
1.825000e+04 5.223000e-05 4.801000e-01 5.198000e-01
1.875000e+04 4.885000e-05 4.542000e-01 5.458000e-01
1.925000e+04 4.714000e-05 4.338000e-01 5.662000e-01
1.975000e+04 4.967000e-05 4.352000e-01 5.647000e-01
#
#TIME: 400
#NVEL: 40
#vel_mid[km/s] si0 si1 si2
2.500000e+02 5.982000e-05 3.984000e-01 6.015000e-01
7.500000e+02 4.692000e-05 3.657000e-01 6.343000e-01
1.250000e+03 5.134000e-05 4.505000e-01 5.495000e-01
1.750000e+03 4.771000e-05 4.371000e-01 5.629000e-01
2.250000e+03 5.355000e-05 4.607000e-01 5.393000e-01
2.750000e+03 7.094000e-05 5.285000e-01 4.714000e-01
3.250000e+03 1.056000e-04 6.347000e-01 3.652000e-01
3.750000e+03 2.013000e-04 7.578000e-01 2.420000e-01
4.250000e+03 2.733000e-02 8.866000e-01 8.602000e-02
4.750000e+03 1.677000e-01 7.830000e-01 4.935000e-02
5.250000e+03 2.085000e-01 7.456000e-01 4.589000e-02
5.750000e+03 2.285000e-01 7.276000e-01 4.387000e-02
6.250000e+03 2.393000e-01 7.177000e-01 4.303000e-02
6.750000e+03 2.479000e-01 7.096000e-01 4.247000e-02
7.250000e+03 2.506000e-01 7.067000e-01 4.266000e-02
7.750000e+03 2.536000e-01 7.034000e-01 4.297000e-02
8.250000e+03 2.575000e-01 6.993000e-01 4.324000e-02
8.750000e+03 2.638000e-01 6.931000e-01 4.311000e-02
9.250000e+03 2.830000e-01 6.761000e-01 4.087000e-02
9.750000e+03 3.400000e-01 6.284000e-01 3.160000e-02
1.025000e+04 3.506000e-01 6.194000e-01 3.000000e-02
1.075000e+04 3.527000e-01 6.178000e-01 2.951000e-02
1.125000e+04 3.516000e-01 6.193000e-01 2.903000e-02
1.175000e+04 3.450000e-01 6.257000e-01 2.925000e-02
1.225000e+04 3.371000e-01 6.330000e-01 2.986000e-02
1.275000e+04 3.248000e-01 6.445000e-01 3.070000e-02
1.325000e+04 3.095000e-01 6.585000e-01 3.197000e-02
1.375000e+04 2.940000e-01 6.727000e-01 3.324000e-02
1.425000e+04 2.752000e-01 6.899000e-01 3.498000e-02
1.475000e+04 2.614000e-01 7.017000e-01 3.688000e-02
1.525000e+04 2.473000e-01 7.138000e-01 3.892000e-02
1.575000e+04 2.298000e-01 7.287000e-01 4.151000e-02
1.625000e+04 2.105000e-01 7.452000e-01 4.431000e-02
1.675000e+04 1.909000e-01 7.616000e-01 4.753000e-02
1.725000e+04 1.684000e-01 7.805000e-01 5.112000e-02
1.775000e+04 1.467000e-01 7.983000e-01 5.499000e-02
1.825000e+04 1.219000e-01 8.188000e-01 5.935000e-02
1.875000e+04 9.647000e-02 8.394000e-01 6.416000e-02
1.925000e+04 7.215000e-02 8.582000e-01 6.961000e-02
1.975000e+04 6.673000e-02 8.572000e-01 7.604000e-02
